Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 20:01:22,Ours,0.00208,3.8774219262788576,0.98,0.98,1,54.9665,0:54.97,53.513,0.3135,1.1378,54.9665,0:54.97,20,"0,17,15,1,8,5,11,3,18,16,13,2,9,19,4,12,7,10,14,6",0:10;17:34;15:58;1:29;8:55;5:44;11:24;3:51;18:30;16:48;13:42;2:29;9:45;19:40;4:40;12:23;7:20;10:22;14:54;6:41,"0:[2];17:[2,4,6];15:[1,2,4,5,6];1:[2,4];8:[1,2,4,5,6];5:[1,2,4,6];11:[2,4];3:[1,2,4,5,6];18:[2,4,6];16:[1,2,4,6];13:[1,2,4,6];2:[2,4];9:[1,2,4,6];19:[1,2,4,6];4:[1,2,4,6];12:[2,4];7:[2,6];10:[2,4];14:[1,2,4,5,6];6:[1,2,4,6]","c0:bw=10,experts=[2]; c17:bw=34,experts=[2,4,6]; c15:bw=58,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,4]; c8:bw=55,experts=[1,2,4,5,6]; c5:bw=44,experts=[1,2,4,6]; c11:bw=24,experts=[2,4]; c3:bw=51,experts=[1,2,4,5,6]; c18:bw=30,experts=[2,4,6]; c16:bw=48,experts=[1,2,4,6]; c13:bw=42,experts=[1,2,4,6]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c19:bw=40,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c12:bw=23,experts=[2,4]; c7:bw=20,experts=[2,6]; c10:bw=22,experts=[2,4]; c14:bw=54,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","2.0087,2.1802,2.9535,3.7761,2.2242,1.2899,2.4251,1.4989,3.1152,2.0790,4.3692,2.8065,2.5009,3.9414,3.3581,2.6323,3.3212,1.2446,3.7877,2.0004"
2,2026-09-23 20:02:15,Ours,0.00406,3.579264553679754,1.0,1.0,2,52.5839,0:52.58,51.1522,0.3003,1.1292,107.6965,1:47.70,20,"19,16,15,5,4,12,14,7,3,6,2,9,13,10,18,8,17,11,0,1",19:53;16:16;15:62;5:69;4:30;12:16;14:26;7:55;3:67;6:17;2:22;9:46;13:54;10:59;18:24;8:48;17:51;11:29;0:36;1:41,"19:[1,2,4,5,6];16:[4];15:[0,1,2,4,5,6];5:[0,1,2,4,5,6];4:[1,4,6];12:[4];14:[4,6];7:[1,2,4,5,6];3:[0,1,2,4,5,6];6:[4];2:[4,6];9:[1,2,4,6];13:[1,2,4,5,6];10:[1,2,4,5,6];18:[4,6];8:[1,2,4,6];17:[1,2,4,5,6];11:[4,6];0:[1,4,6];1:[1,2,4,6]","c19:bw=53,experts=[1,2,4,5,6]; c16:bw=16,experts=[4]; c15:bw=62,experts=[0,1,2,4,5,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[1,4,6]; c12:bw=16,experts=[4]; c14:bw=26,experts=[4,6]; c7:bw=55,experts=[1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]; c9:bw=46,experts=[1,2,4,6]; c13:bw=54,experts=[1,2,4,5,6]; c10:bw=59,experts=[1,2,4,5,6]; c18:bw=24,experts=[4,6]; c8:bw=48,experts=[1,2,4,6]; c17:bw=51,experts=[1,2,4,5,6]; c11:bw=29,experts=[4,6]; c0:bw=36,experts=[1,4,6]; c1:bw=41,experts=[1,2,4,6]","3.7580,2.1369,2.8327,1.2705,3.2417,2.5110,3.7454,3.0628,1.4477,2.0474,2.4972,2.2925,4.2569,1.1838,3.1257,2.1878,2.2088,2.3357,1.4598,3.5499"
3,2026-09-23 20:03:09,Ours,0.006040000000000001,3.4289265424654984,1.28,1.28,3,54.4462,0:54.45,53.0019,0.3078,1.1343,162.156,2:42.16,20,"10,7,0,2,5,18,16,12,4,14,15,9,1,13,11,19,3,17,6,8",10:10;7:33;0:50;2:42;5:13;18:40;16:31;12:37;4:52;14:53;15:16;9:48;1:13;13:54;11:66;19:24;3:26;17:41;6:40;8:30,"10:[4];7:[0,4,6];0:[0,1,4,5,6];2:[0,1,4,6];5:[4];18:[0,1,4,6];16:[0,4,6];12:[0,4,6];4:[0,1,4,5,6];14:[0,1,4,5,6];15:[4];9:[0,1,4,6];1:[4];13:[0,1,4,5,6];11:[0,1,2,4,5,6];19:[4,6];3:[4,6];17:[0,1,4,6];6:[0,1,4,6];8:[0,4,6]","c10:bw=10,experts=[4]; c7:bw=33,experts=[0,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c2:bw=42,experts=[0,1,4,6]; c5:bw=13,experts=[4]; c18:bw=40,experts=[0,1,4,6]; c16:bw=31,experts=[0,4,6]; c12:bw=37,experts=[0,4,6]; c4:bw=52,experts=[0,1,4,5,6]; c14:bw=53,experts=[0,1,4,5,6]; c15:bw=16,experts=[4]; c9:bw=48,experts=[0,1,4,6]; c1:bw=13,experts=[4]; c13:bw=54,experts=[0,1,4,5,6]; c11:bw=66,experts=[0,1,2,4,5,6]; c19:bw=24,experts=[4,6]; c3:bw=26,experts=[4,6]; c17:bw=41,experts=[0,1,4,6]; c6:bw=40,experts=[0,1,4,6]; c8:bw=30,experts=[0,4,6]","1.2380,3.1361,1.5516,2.6993,1.3259,3.1591,2.1371,2.5589,3.4063,4.0205,2.9501,2.2912,3.7994,4.2712,2.4615,3.7705,1.5115,2.3098,2.0648,2.3389"
4,2026-09-23 20:04:03,Ours,0.00802,3.3474973807437345,1.35,1.35,4,54.1221,0:54.12,52.6881,0.2994,1.1323,216.2894,3:36.29,20,"0,18,6,8,17,11,4,9,12,10,5,19,15,7,1,3,16,13,2,14",0:59;18:43;6:53;8:31;17:39;11:49;4:56;9:22;12:63;10:64;5:73;19:47;15:24;7:45;1:40;3:34;16:45;13:49;2:60;14:32,"0:[0,1,4,5,6];18:[0,1,4,6];6:[0,1,4,5,6];8:[0,4,6];17:[0,4,6];11:[0,1,4,6];4:[0,1,4,5,6];9:[4,6];12:[0,1,2,4,5,6];10:[0,1,2,4,5,6];5:[0,1,2,4,5,6,7];19:[0,1,4,6];15:[4,6];7:[0,1,4,6];1:[0,1,4,6];3:[0,4,6];16:[0,1,4,6];13:[0,1,4,6];2:[0,1,2,4,5,6];14:[0,4,6]","c0:bw=59,experts=[0,1,4,5,6]; c18:bw=43,experts=[0,1,4,6]; c6:bw=53,experts=[0,1,4,5,6]; c8:bw=31,experts=[0,4,6]; c17:bw=39,experts=[0,4,6]; c11:bw=49,experts=[0,1,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c9:bw=22,experts=[4,6]; c12:bw=63,experts=[0,1,2,4,5,6]; c10:bw=64,experts=[0,1,2,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c19:bw=47,experts=[0,1,4,6]; c15:bw=24,experts=[4,6]; c7:bw=45,experts=[0,1,4,6]; c1:bw=40,experts=[0,1,4,6]; c3:bw=34,experts=[0,4,6]; c16:bw=45,experts=[0,1,4,6]; c13:bw=49,experts=[0,1,4,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c14:bw=32,experts=[0,4,6]","1.5327,3.1494,2.0703,2.3372,2.3057,2.4337,3.4310,2.2789,2.5253,1.2374,1.3004,3.7755,2.8832,3.1788,3.7448,1.4684,2.1525,4.2351,2.6976,3.9502"
5,2026-09-23 20:04:56,Ours,0.01,3.301144782786975,1.33,1.35,4,52.7839,0:52.78,51.2701,0.3467,1.1648,269.0847,4:29.08,20,"5,2,10,19,0,12,9,16,1,4,17,8,11,6,18,7,14,15,13,3",5:40;2:10;10:35;19:19;0:50;12:55;9:62;16:32;1:20;4:48;17:64;8:37;11:21;6:53;18:10;7:24;14:53;15:45;13:36;3:63,"5:[0,1,4,6];2:[4];10:[0,4,6];19:[4];0:[0,1,4,5,6];12:[0,1,4,5,6];9:[0,1,2,4,5,6];16:[0,4,6];1:[0,4];4:[0,1,4,6];17:[0,1,2,4,5,6];8:[0,4,6];11:[0,4];6:[0,1,4,5,6];18:[4];7:[0,4];14:[0,1,4,5,6];15:[0,1,4,6];13:[0,4,6];3:[0,1,2,4,5,6]","c5:bw=40,experts=[0,1,4,6]; c2:bw=10,experts=[4]; c10:bw=35,experts=[0,4,6]; c19:bw=19,experts=[4]; c0:bw=50,experts=[0,1,4,5,6]; c12:bw=55,experts=[0,1,4,5,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c16:bw=32,experts=[0,4,6]; c1:bw=20,experts=[0,4]; c4:bw=48,experts=[0,1,4,6]; c17:bw=64,experts=[0,1,2,4,5,6]; c8:bw=37,experts=[0,4,6]; c11:bw=21,experts=[0,4]; c6:bw=53,experts=[0,1,4,5,6]; c18:bw=10,experts=[4]; c7:bw=24,experts=[0,4]; c14:bw=53,experts=[0,1,4,5,6]; c15:bw=45,experts=[0,1,4,6]; c13:bw=36,experts=[0,4,6]; c3:bw=63,experts=[0,1,2,4,5,6]","1.2795,2.5940,1.2103,3.6593,1.4793,2.4142,2.2049,2.1356,3.6910,3.3347,2.2317,2.2713,2.3390,1.9699,2.9906,3.1638,3.8837,2.8684,4.1120,1.4369"
6,2026-09-23 20:05:49,Ours,0.01,3.274442634041955,1.62,1.62,6,52.5939,0:52.59,51.1574,0.309,1.1251,321.6908,5:21.69,20,"3,1,4,5,15,16,9,10,13,2,18,19,11,17,7,8,6,0,12,14",3:36;1:32;4:17;5:27;15:33;16:54;9:48;10:10;13:15;2:42;18:40;19:37;11:31;17:27;7:58;8:67;6:20;0:31;12:62;14:40,"3:[0,4,6];1:[0,4,6];4:[4];5:[0,4];15:[0,4,6];16:[0,1,4,5,6];9:[0,1,4,6];10:[4];13:[4];2:[0,1,4,6];18:[0,1,4,6];19:[0,4,6];11:[0,4,6];17:[0,4];7:[0,1,4,5,6];8:[0,1,2,4,5,6];6:[0,4];0:[0,4,6];12:[0,1,2,4,5,6];14:[0,1,4,6]","c3:bw=36,experts=[0,4,6]; c1:bw=32,experts=[0,4,6]; c4:bw=17,experts=[4]; c5:bw=27,experts=[0,4]; c15:bw=33,experts=[0,4,6]; c16:bw=54,experts=[0,1,4,5,6]; c9:bw=48,experts=[0,1,4,6]; c10:bw=10,experts=[4]; c13:bw=15,experts=[4]; c2:bw=42,experts=[0,1,4,6]; c18:bw=40,experts=[0,1,4,6]; c19:bw=37,experts=[0,4,6]; c11:bw=31,experts=[0,4,6]; c17:bw=27,experts=[0,4]; c7:bw=58,experts=[0,1,4,5,6]; c8:bw=67,experts=[0,1,2,4,5,6]; c6:bw=20,experts=[0,4]; c0:bw=31,experts=[0,4,6]; c12:bw=62,experts=[0,1,2,4,5,6]; c14:bw=40,experts=[0,1,4,6]","1.4731,3.6753,3.3330,1.2678,2.9095,2.0994,2.2338,1.2087,4.0766,2.5911,2.9619,3.6061,2.4160,2.1870,3.1724,2.2660,1.9765,1.4533,2.4069,3.8429"
7,2026-09-23 20:06:41,Ours,0.01,3.249693344623617,2.72,2.72,7,52.5817,0:52.58,51.1679,0.2673,1.1444,374.2861,6:14.29,20,"13,10,12,16,9,5,3,2,4,15,14,17,0,1,11,7,18,19,8,6",13:25;10:17;12:47;16:53;9:10;5:49;3:26;2:40;4:14;15:39;14:13;17:41;0:36;1:10;11:60;7:31;18:20;19:54;8:57;6:13,"13:[4,6];10:[4];12:[0,1,4,6];16:[0,1,4,5,6];9:[4];5:[0,1,4,6];3:[4,6];2:[0,1,4,6];4:[4];15:[0,4,6];14:[4];17:[0,1,4,6];0:[0,4,6];1:[4];11:[0,1,2,4,5,6];7:[0,4,6];18:[4,6];19:[0,1,4,5,6];8:[0,1,4,5,6];6:[4]","c13:bw=25,experts=[4,6]; c10:bw=17,experts=[4]; c12:bw=47,experts=[0,1,4,6]; c16:bw=53,experts=[0,1,4,5,6]; c9:bw=10,experts=[4]; c5:bw=49,experts=[0,1,4,6]; c3:bw=26,experts=[4,6]; c2:bw=40,experts=[0,1,4,6]; c4:bw=14,experts=[4]; c15:bw=39,experts=[0,4,6]; c14:bw=13,experts=[4]; c17:bw=41,experts=[0,1,4,6]; c0:bw=36,experts=[0,4,6]; c1:bw=10,experts=[4]; c11:bw=60,experts=[0,1,2,4,5,6]; c7:bw=31,experts=[0,4,6]; c18:bw=20,experts=[4,6]; c19:bw=54,experts=[0,1,4,5,6]; c8:bw=57,experts=[0,1,4,5,6]; c6:bw=13,experts=[4]","4.0777,1.2062,2.4590,2.1252,2.2366,1.2681,1.4758,2.6101,3.3529,2.9194,3.7892,2.2175,1.4483,3.6588,2.3264,3.1640,2.9643,3.6663,2.2377,1.9643"
8,2026-09-23 20:07:34,Ours,0.01,3.3169092073057924,4.33,4.33,8,52.5683,0:52.57,51.1338,0.3008,1.1314,426.8667,7:06.87,20,"17,18,1,5,3,15,7,11,16,8,10,12,6,9,19,0,2,13,14,4",17:56;18:39;1:58;5:28;3:37;15:66;7:15;11:45;16:45;8:37;10:51;12:51;6:41;9:59;19:31;0:32;2:54;13:35;14:59;4:10,"17:[0,3,4,6,7];18:[3,5,7];1:[3,4,5,6,7];5:[3,4];3:[3,4,7];15:[0,1,3,4,6,7];7:[3];11:[3,4,6,7];16:[3,4,6,7];8:[3,4,7];10:[0,3,4,6,7];12:[0,3,4,6,7];6:[3,4,6,7];9:[0,3,4,6,7];19:[3,4,7];0:[3,4,7];2:[0,3,4,6,7];13:[3,4,7];14:[0,3,4,6,7];4:[3]","c17:bw=56,experts=[0,3,4,6,7]; c18:bw=39,experts=[3,5,7]; c1:bw=58,experts=[3,4,5,6,7]; c5:bw=28,experts=[3,4]; c3:bw=37,experts=[3,4,7]; c15:bw=66,experts=[0,1,3,4,6,7]; c7:bw=15,experts=[3]; c11:bw=45,experts=[3,4,6,7]; c16:bw=45,experts=[3,4,6,7]; c8:bw=37,experts=[3,4,7]; c10:bw=51,experts=[0,3,4,6,7]; c12:bw=51,experts=[0,3,4,6,7]; c6:bw=41,experts=[3,4,6,7]; c9:bw=59,experts=[0,3,4,6,7]; c19:bw=31,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c2:bw=54,experts=[0,3,4,6,7]; c13:bw=35,experts=[3,4,7]; c14:bw=59,experts=[0,3,4,6,7]; c4:bw=10,experts=[3]","2.2424,3.0365,3.6538,1.2841,1.4608,2.9370,3.1610,2.3444,2.1081,2.2519,1.2116,2.4160,1.9916,2.2010,3.6091,1.4615,2.5393,4.0249,3.8730,3.3257"
9,2026-09-23 20:08:27,Ours,0.01,3.2054200711016017,4.87,4.87,9,53.0376,0:53.04,51.5953,0.2992,1.1356,479.9179,7:59.92,20,"17,11,7,13,0,9,4,8,1,5,2,16,19,15,3,18,10,14,12,6",17:49;11:28;7:46;13:41;0:52;9:26;4:59;8:18;1:14;5:52;2:21;16:41;19:26;15:36;3:23;18:53;10:34;14:37;12:38;6:31,"17:[0,4,6,7];11:[4,6];7:[0,4,6,7];13:[0,4,5,6];0:[0,2,4,6,7];9:[4,6];4:[0,2,4,6,7];8:[4];1:[4];5:[0,4,5,6,7];2:[4,6];16:[0,2,4,6];19:[4,6];15:[0,4,6];3:[4,6];18:[0,2,4,6,7];10:[0,4,6];14:[2,4,6];12:[0,4,6];6:[2,4,6]","c17:bw=49,experts=[0,4,6,7]; c11:bw=28,experts=[4,6]; c7:bw=46,experts=[0,4,6,7]; c13:bw=41,experts=[0,4,5,6]; c0:bw=52,experts=[0,2,4,6,7]; c9:bw=26,experts=[4,6]; c4:bw=59,experts=[0,2,4,6,7]; c8:bw=18,experts=[4]; c1:bw=14,experts=[4]; c5:bw=52,experts=[0,4,5,6,7]; c2:bw=21,experts=[4,6]; c16:bw=41,experts=[0,2,4,6]; c19:bw=26,experts=[4,6]; c15:bw=36,experts=[0,4,6]; c3:bw=23,experts=[4,6]; c18:bw=53,experts=[0,2,4,6,7]; c10:bw=34,experts=[0,4,6]; c14:bw=37,experts=[2,4,6]; c12:bw=38,experts=[0,4,6]; c6:bw=31,experts=[2,4,6]","2.2460,2.3657,3.2495,4.1213,1.5023,2.2533,3.3229,2.2398,3.6562,1.2781,2.6087,2.1037,3.6532,2.9284,1.4854,3.0117,1.2299,3.8667,2.4570,2.0155"
10,2026-09-23 20:09:21,Ours,0.01,3.2131746226542894,4.77,4.87,9,54.0769,0:54.08,52.6145,0.3158,1.1443,534.0084,8:54.01,20,"4,9,1,15,7,5,16,2,18,3,12,17,8,14,0,13,6,10,19,11",4:37;9:35;1:41;15:10;7:37;5:58;16:44;2:34;18:28;3:46;12:52;17:35;8:35;14:57;0:59;13:38;6:65;10:54;19:43;11:21,"4:[4,6,7];9:[4,6,7];1:[2,4,6,7];15:[2];7:[2,4,6];5:[0,1,4,6,7];16:[0,4,6,7];2:[4,6,7];18:[4,6];3:[1,4,6,7];12:[0,1,4,6,7];17:[4,6,7];8:[4,6,7];14:[0,1,4,6,7];0:[0,1,4,6,7];13:[2,4,6];6:[0,1,4,5,6,7];10:[0,1,4,6,7];19:[2,4,6,7];11:[4,6]","c4:bw=37,experts=[4,6,7]; c9:bw=35,experts=[4,6,7]; c1:bw=41,experts=[2,4,6,7]; c15:bw=10,experts=[2]; c7:bw=37,experts=[2,4,6]; c5:bw=58,experts=[0,1,4,6,7]; c16:bw=44,experts=[0,4,6,7]; c2:bw=34,experts=[4,6,7]; c18:bw=28,experts=[4,6]; c3:bw=46,experts=[1,4,6,7]; c12:bw=52,experts=[0,1,4,6,7]; c17:bw=35,experts=[4,6,7]; c8:bw=35,experts=[4,6,7]; c14:bw=57,experts=[0,1,4,6,7]; c0:bw=59,experts=[0,1,4,6,7]; c13:bw=38,experts=[2,4,6]; c6:bw=65,experts=[0,1,4,5,6,7]; c10:bw=54,experts=[0,1,4,6,7]; c19:bw=43,experts=[2,4,6,7]; c11:bw=21,experts=[4,6]","3.4004,2.2573,3.7539,2.9793,3.2005,1.2899,2.1102,2.6056,3.0100,1.5205,2.5995,2.3546,2.3858,4.0574,1.5797,4.2339,2.0506,1.2196,3.6816,2.3239"
