Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 19:45:17,Ours,0.00208,3.8773960303408543,1.45,1.45,1,54.6817,0:54.68,53.1934,0.301,1.1811,54.6817,0:54.68,20,"0,17,15,1,8,5,11,3,18,16,13,2,9,19,4,12,7,10,14,6",0:10;17:34;15:58;1:29;8:55;5:44;11:24;3:51;18:30;16:48;13:42;2:29;9:45;19:40;4:40;12:23;7:20;10:22;14:54;6:41,"0:[2];17:[2,4,6];15:[1,2,4,5,6];1:[2,4];8:[1,2,4,5,6];5:[1,2,4,6];11:[2,4];3:[1,2,4,5,6];18:[2,4,6];16:[1,2,4,6];13:[1,2,4,6];2:[2,4];9:[1,2,4,6];19:[1,2,4,6];4:[1,2,4,6];12:[2,4];7:[2,6];10:[2,4];14:[1,2,4,5,6];6:[1,2,4,6]","c0:bw=10,experts=[2]; c17:bw=34,experts=[2,4,6]; c15:bw=58,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,4]; c8:bw=55,experts=[1,2,4,5,6]; c5:bw=44,experts=[1,2,4,6]; c11:bw=24,experts=[2,4]; c3:bw=51,experts=[1,2,4,5,6]; c18:bw=30,experts=[2,4,6]; c16:bw=48,experts=[1,2,4,6]; c13:bw=42,experts=[1,2,4,6]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c19:bw=40,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c12:bw=23,experts=[2,4]; c7:bw=20,experts=[2,6]; c10:bw=22,experts=[2,4]; c14:bw=54,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","2.0517,2.2044,2.9866,3.8105,2.2433,1.3085,2.4568,1.5127,3.1657,2.1084,4.2362,2.6903,2.4020,3.7983,3.2393,2.5438,3.3102,1.2699,3.8364,2.0183"
2,2026-09-23 19:46:08,Ours,0.00406,3.405675912823142,3.35,3.35,2,50.9729,0:50.97,49.5104,0.3067,1.1497,105.7967,1:45.80,20,"19,16,15,5,4,12,14,7,3,6,2,9,13,10,18,8,17,11,0,1",19:53;16:16;15:62;5:69;4:30;12:16;14:26;7:55;3:67;6:17;2:22;9:46;13:54;10:59;18:24;8:48;17:51;11:29;0:36;1:41,"19:[0,1,4,5,6];16:[4];15:[0,1,2,4,5,6];5:[0,1,2,4,5,6];4:[0,4,6];12:[4];14:[4,6];7:[0,1,4,5,6];3:[0,1,2,4,5,6];6:[4];2:[4,6];9:[0,1,4,6];13:[0,1,4,5,6];10:[0,1,4,5,6];18:[4,6];8:[0,1,4,6];17:[0,1,4,5,6];11:[4,6];0:[0,4,6];1:[0,1,4,6]","c19:bw=53,experts=[0,1,4,5,6]; c16:bw=16,experts=[4]; c15:bw=62,experts=[0,1,2,4,5,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[0,4,6]; c12:bw=16,experts=[4]; c14:bw=26,experts=[4,6]; c7:bw=55,experts=[0,1,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]; c9:bw=46,experts=[0,1,4,6]; c13:bw=54,experts=[0,1,4,5,6]; c10:bw=59,experts=[0,1,4,5,6]; c18:bw=24,experts=[4,6]; c8:bw=48,experts=[0,1,4,6]; c17:bw=51,experts=[0,1,4,5,6]; c11:bw=29,experts=[4,6]; c0:bw=36,experts=[0,4,6]; c1:bw=41,experts=[0,1,4,6]","3.4819,2.0344,2.8289,1.2450,3.1925,2.3499,3.7270,3.0593,1.4136,1.9270,2.5121,2.1266,3.9245,1.1753,2.9194,2.1713,2.1585,2.2813,1.4382,3.5438"
3,2026-09-23 19:47:00,Ours,0.006040000000000001,3.2678531394249513,5.27,5.27,3,51.4124,0:51.41,49.8371,0.3144,1.2547,157.221,2:37.22,20,"10,7,0,2,5,18,16,12,4,14,15,9,1,13,11,19,3,17,6,8",10:10;7:33;0:50;2:42;5:13;18:40;16:31;12:37;4:52;14:53;15:16;9:48;1:13;13:54;11:66;19:24;3:26;17:41;6:40;8:30,"10:[4];7:[0,4,6];0:[0,1,4,5,6];2:[0,4,5,6];5:[4];18:[0,4,5,6];16:[0,4,6];12:[0,4,6];4:[0,1,4,5,6];14:[0,1,4,5,6];15:[4];9:[0,4,5,6];1:[4];13:[0,1,4,5,6];11:[0,1,2,4,5,6];19:[4,6];3:[4,6];17:[0,4,5,6];6:[0,4,5,6];8:[0,4,6]","c10:bw=10,experts=[4]; c7:bw=33,experts=[0,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c2:bw=42,experts=[0,4,5,6]; c5:bw=13,experts=[4]; c18:bw=40,experts=[0,4,5,6]; c16:bw=31,experts=[0,4,6]; c12:bw=37,experts=[0,4,6]; c4:bw=52,experts=[0,1,4,5,6]; c14:bw=53,experts=[0,1,4,5,6]; c15:bw=16,experts=[4]; c9:bw=48,experts=[0,4,5,6]; c1:bw=13,experts=[4]; c13:bw=54,experts=[0,1,4,5,6]; c11:bw=66,experts=[0,1,2,4,5,6]; c19:bw=24,experts=[4,6]; c3:bw=26,experts=[4,6]; c17:bw=41,experts=[0,4,5,6]; c6:bw=40,experts=[0,4,5,6]; c8:bw=30,experts=[0,4,6]","1.2025,3.0941,1.4376,2.5018,1.2527,2.9450,2.0386,2.3856,3.1980,3.7222,2.8245,2.1553,3.5446,3.9358,2.2766,3.5213,1.4196,2.1597,1.9699,2.2517"
4,2026-09-23 19:47:59,Ours,0.00802,3.189682151745594,6.79,6.79,4,59.2144,0:59.21,57.4519,0.372,1.3842,216.4489,3:36.45,20,"0,18,6,8,17,11,4,9,12,10,5,19,15,7,1,3,16,13,2,14",0:59;18:43;6:53;8:31;17:39;11:49;4:56;9:22;12:63;10:64;5:73;19:47;15:24;7:45;1:40;3:34;16:45;13:49;2:60;14:32,"0:[0,1,4,5,6];18:[0,4,5,6];6:[0,1,4,5,6];8:[0,4,6];17:[0,4,6];11:[0,4,5,6];4:[0,1,4,5,6];9:[4,6];12:[0,1,2,4,5,6];10:[0,1,2,4,5,6];5:[0,1,2,4,5,6,7];19:[0,4,5,6];15:[4,6];7:[0,4,5,6];1:[0,4,5,6];3:[0,4,6];16:[0,4,5,6];13:[0,1,4,6];2:[0,1,2,4,5,6];14:[0,4,6]","c0:bw=59,experts=[0,1,4,5,6]; c18:bw=43,experts=[0,4,5,6]; c6:bw=53,experts=[0,1,4,5,6]; c8:bw=31,experts=[0,4,6]; c17:bw=39,experts=[0,4,6]; c11:bw=49,experts=[0,4,5,6]; c4:bw=56,experts=[0,1,4,5,6]; c9:bw=22,experts=[4,6]; c12:bw=63,experts=[0,1,2,4,5,6]; c10:bw=64,experts=[0,1,2,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c19:bw=47,experts=[0,4,5,6]; c15:bw=24,experts=[4,6]; c7:bw=45,experts=[0,4,5,6]; c1:bw=40,experts=[0,4,5,6]; c3:bw=34,experts=[0,4,6]; c16:bw=45,experts=[0,4,5,6]; c13:bw=49,experts=[0,1,4,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c14:bw=32,experts=[0,4,6]","1.4773,3.4894,2.2504,2.5267,2.4691,2.6040,3.7189,2.3874,2.7500,1.3528,1.4459,4.2507,3.3589,3.4456,4.0299,1.7286,2.4478,4.5868,2.7561,4.3754"
5,2026-09-23 19:48:59,Ours,0.01,3.1359531472271724,8.51,8.51,5,59.8862,0:59.89,58.2404,0.3278,1.3119,276.3516,4:36.35,20,"5,2,10,19,0,12,9,16,1,4,17,8,11,6,18,7,14,15,13,3",5:40;2:10;10:35;19:19;0:50;12:55;9:62;16:32;1:20;4:48;17:64;8:37;11:21;6:53;18:10;7:24;14:53;15:45;13:36;3:63,"5:[0,4,5,6];2:[4];10:[0,4,6];19:[4];0:[0,1,4,5,6];12:[0,1,4,5,6];9:[0,1,2,4,5,6];16:[0,4,6];1:[4,6];4:[0,4,5,6];17:[0,1,2,4,5,6];8:[0,4,6];11:[4,6];6:[0,1,4,5,6];18:[4];7:[4,6];14:[0,1,4,5,6];15:[0,1,4,6];13:[0,4,6];3:[0,1,2,4,5,6]","c5:bw=40,experts=[0,4,5,6]; c2:bw=10,experts=[4]; c10:bw=35,experts=[0,4,6]; c19:bw=19,experts=[4]; c0:bw=50,experts=[0,1,4,5,6]; c12:bw=55,experts=[0,1,4,5,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c16:bw=32,experts=[0,4,6]; c1:bw=20,experts=[4,6]; c4:bw=48,experts=[0,4,5,6]; c17:bw=64,experts=[0,1,2,4,5,6]; c8:bw=37,experts=[0,4,6]; c11:bw=21,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c18:bw=10,experts=[4]; c7:bw=24,experts=[4,6]; c14:bw=53,experts=[0,1,4,5,6]; c15:bw=45,experts=[0,1,4,6]; c13:bw=36,experts=[0,4,6]; c3:bw=63,experts=[0,1,2,4,5,6]","1.5227,3.0326,1.3553,4.0773,1.6575,2.7270,2.4922,2.3420,4.2676,3.9222,2.7074,2.4646,2.5676,2.0029,3.0672,3.7535,4.4999,3.3461,4.6938,1.7408"
6,2026-09-23 19:50:01,Ours,0.01,3.0827373806064142,9.93,9.93,6,61.6329,1:01.63,59.8676,0.3362,1.4265,337.9992,5:38.00,20,"3,1,4,5,15,16,9,10,13,2,18,19,11,17,7,8,6,0,12,14",3:36;1:32;4:17;5:27;15:33;16:54;9:48;10:10;13:15;2:42;18:40;19:37;11:31;17:27;7:58;8:67;6:20;0:31;12:62;14:40,"3:[0,4,6];1:[1,4,6];4:[4];5:[4,6];15:[0,4,6];16:[0,1,2,4,6];9:[0,1,4,6];10:[4];13:[4];2:[0,2,4,6];18:[0,4,5,6];19:[0,4,6];11:[0,4,6];17:[4,6];7:[0,1,2,4,6];8:[0,1,2,4,5,6];6:[4,6];0:[0,4,6];12:[0,1,2,4,5,6];14:[0,1,4,6]","c3:bw=36,experts=[0,4,6]; c1:bw=32,experts=[1,4,6]; c4:bw=17,experts=[4]; c5:bw=27,experts=[4,6]; c15:bw=33,experts=[0,4,6]; c16:bw=54,experts=[0,1,2,4,6]; c9:bw=48,experts=[0,1,4,6]; c10:bw=10,experts=[4]; c13:bw=15,experts=[4]; c2:bw=42,experts=[0,2,4,6]; c18:bw=40,experts=[0,4,5,6]; c19:bw=37,experts=[0,4,6]; c11:bw=31,experts=[0,4,6]; c17:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,2,4,6]; c8:bw=67,experts=[0,1,2,4,5,6]; c6:bw=20,experts=[4,6]; c0:bw=31,experts=[0,4,6]; c12:bw=62,experts=[0,1,2,4,5,6]; c14:bw=40,experts=[0,1,4,6]","1.7305,4.3596,3.8360,1.5079,3.4606,2.4142,2.5037,1.4049,4.7420,3.1146,3.5155,4.1065,2.8649,2.6496,3.6928,2.5391,2.3035,1.6900,2.9454,4.4861"
7,2026-09-23 19:50:57,Ours,0.01,3.02042654969053,12.24,12.24,7,55.995,0:56.00,54.5502,0.3021,1.1373,394.0139,6:34.01,20,"13,10,12,16,9,5,3,2,4,15,14,17,0,1,11,7,18,19,8,6",13:25;10:17;12:47;16:53;9:10;5:49;3:26;2:40;4:14;15:39;14:13;17:41;0:36;1:10;11:60;7:31;18:20;19:54;8:57;6:13,"13:[4,6];10:[4];12:[0,2,4,6];16:[0,1,2,4,6];9:[4];5:[0,1,4,6];3:[4,6];2:[0,1,4,6];4:[4];15:[0,4,6];14:[4];17:[0,2,4,6];0:[0,4,6];1:[4];11:[0,1,2,4,5,6];7:[0,4,6];18:[4,6];19:[0,1,2,4,6];8:[0,1,2,4,6];6:[4]","c13:bw=25,experts=[4,6]; c10:bw=17,experts=[4]; c12:bw=47,experts=[0,2,4,6]; c16:bw=53,experts=[0,1,2,4,6]; c9:bw=10,experts=[4]; c5:bw=49,experts=[0,1,4,6]; c3:bw=26,experts=[4,6]; c2:bw=40,experts=[0,1,4,6]; c4:bw=14,experts=[4]; c15:bw=39,experts=[0,4,6]; c14:bw=13,experts=[4]; c17:bw=41,experts=[0,2,4,6]; c0:bw=36,experts=[0,4,6]; c1:bw=10,experts=[4]; c11:bw=60,experts=[0,1,2,4,5,6]; c7:bw=31,experts=[0,4,6]; c18:bw=20,experts=[4,6]; c19:bw=54,experts=[0,1,2,4,6]; c8:bw=57,experts=[0,1,2,4,6]; c6:bw=13,experts=[4]","4.9969,1.3075,2.7212,2.0889,2.3336,1.3602,1.5397,2.7299,3.6924,3.1810,3.8229,2.5031,1.7078,4.1187,2.6326,3.1007,2.9520,3.5826,2.2252,1.9534"
8,2026-09-23 19:51:49,Ours,0.01,3.0507156090992975,13.89,13.89,8,52.0812,0:52.08,50.6372,0.2999,1.1418,446.1065,7:26.11,20,"17,18,1,5,3,15,7,11,16,8,10,12,6,9,19,0,2,13,14,4",17:56;18:39;1:58;5:28;3:37;15:66;7:15;11:45;16:45;8:37;10:51;12:51;6:41;9:59;19:31;0:32;2:54;13:35;14:59;4:10,"17:[0,3,4,6,7];18:[1,3,7];1:[0,3,4,6,7];5:[3,4];3:[3,4,7];15:[0,1,3,4,6,7];7:[3];11:[3,4,6,7];16:[3,4,6,7];8:[3,4,7];10:[1,3,4,6,7];12:[0,3,4,6,7];6:[3,4,6,7];9:[1,3,4,6,7];19:[3,4,7];0:[3,4,7];2:[0,3,4,6,7];13:[3,4,7];14:[0,3,4,6,7];4:[3]","c17:bw=56,experts=[0,3,4,6,7]; c18:bw=39,experts=[1,3,7]; c1:bw=58,experts=[0,3,4,6,7]; c5:bw=28,experts=[3,4]; c3:bw=37,experts=[3,4,7]; c15:bw=66,experts=[0,1,3,4,6,7]; c7:bw=15,experts=[3]; c11:bw=45,experts=[3,4,6,7]; c16:bw=45,experts=[3,4,6,7]; c8:bw=37,experts=[3,4,7]; c10:bw=51,experts=[1,3,4,6,7]; c12:bw=51,experts=[0,3,4,6,7]; c6:bw=41,experts=[3,4,6,7]; c9:bw=59,experts=[1,3,4,6,7]; c19:bw=31,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c2:bw=54,experts=[0,3,4,6,7]; c13:bw=35,experts=[3,4,7]; c14:bw=59,experts=[0,3,4,6,7]; c4:bw=10,experts=[3]","2.2077,3.0492,3.6096,1.2712,1.4303,2.8617,3.1534,2.3330,2.0850,2.1921,1.2295,2.4113,1.9732,2.1784,3.5784,1.4436,2.5272,4.0122,3.7925,3.2978"
9,2026-09-23 19:52:41,Ours,0.01,2.9679023244659652,14.62,14.62,9,52.5822,0:52.58,51.1174,0.302,1.1605,498.7031,8:18.70,20,"17,11,7,13,0,9,4,8,1,5,2,16,19,15,3,18,10,14,12,6",17:49;11:28;7:46;13:41;0:52;9:26;4:59;8:18;1:14;5:52;2:21;16:41;19:26;15:36;3:23;18:53;10:34;14:37;12:38;6:31,"17:[0,4,5,6];11:[4,6];7:[1,4,6,7];13:[0,2,4,6];0:[0,2,4,5,6];9:[4,6];4:[0,2,4,6,7];8:[4];1:[2];5:[0,1,4,5,6];2:[4,6];16:[0,4,5,6];19:[4,6];15:[0,4,6];3:[4,6];18:[0,2,4,5,6];10:[4,5,6];14:[2,4,6];12:[0,4,6];6:[2,4,6]","c17:bw=49,experts=[0,4,5,6]; c11:bw=28,experts=[4,6]; c7:bw=46,experts=[1,4,6,7]; c13:bw=41,experts=[0,2,4,6]; c0:bw=52,experts=[0,2,4,5,6]; c9:bw=26,experts=[4,6]; c4:bw=59,experts=[0,2,4,6,7]; c8:bw=18,experts=[4]; c1:bw=14,experts=[2]; c5:bw=52,experts=[0,1,4,5,6]; c2:bw=21,experts=[4,6]; c16:bw=41,experts=[0,4,5,6]; c19:bw=26,experts=[4,6]; c15:bw=36,experts=[0,4,6]; c3:bw=23,experts=[4,6]; c18:bw=53,experts=[0,2,4,5,6]; c10:bw=34,experts=[4,5,6]; c14:bw=37,experts=[2,4,6]; c12:bw=38,experts=[0,4,6]; c6:bw=31,experts=[2,4,6]","2.2176,2.3822,3.1972,4.0676,1.4621,2.2192,3.2876,2.2295,3.6677,1.2822,2.5973,2.0842,3.5995,2.9272,1.4632,2.9997,1.2065,3.7968,2.4368,1.9933"
10,2026-09-23 19:53:40,Ours,0.01,2.896056440828776,17.1,17.1,10,58.2581,0:58.26,56.7829,0.3018,1.167,556.975,9:16.98,20,"4,9,1,15,7,5,16,2,18,3,12,17,8,14,0,13,6,10,19,11",4:37;9:35;1:41;15:10;7:37;5:58;16:44;2:34;18:28;3:46;12:52;17:35;8:35;14:57;0:59;13:38;6:65;10:54;19:43;11:21,"4:[2,4,6];9:[0,4,6];1:[0,1,4,6];15:[2];7:[1,4,6];5:[1,2,4,5,6];16:[0,4,5,6];2:[4,5,6];18:[4,6];3:[0,1,4,6];12:[0,2,4,5,6];17:[4,5,6];8:[2,4,6];14:[0,1,2,4,6];0:[1,2,4,5,6];13:[4,5,6];6:[0,1,2,4,5,6];10:[0,1,2,4,6];19:[1,2,4,6];11:[4,6]","c4:bw=37,experts=[2,4,6]; c9:bw=35,experts=[0,4,6]; c1:bw=41,experts=[0,1,4,6]; c15:bw=10,experts=[2]; c7:bw=37,experts=[1,4,6]; c5:bw=58,experts=[1,2,4,5,6]; c16:bw=44,experts=[0,4,5,6]; c2:bw=34,experts=[4,5,6]; c18:bw=28,experts=[4,6]; c3:bw=46,experts=[0,1,4,6]; c12:bw=52,experts=[0,2,4,5,6]; c17:bw=35,experts=[4,5,6]; c8:bw=35,experts=[2,4,6]; c14:bw=57,experts=[0,1,2,4,6]; c0:bw=59,experts=[1,2,4,5,6]; c13:bw=38,experts=[4,5,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c10:bw=54,experts=[0,1,2,4,6]; c19:bw=43,experts=[1,2,4,6]; c11:bw=21,experts=[4,6]","3.4839,2.4714,4.2925,3.1507,3.6804,1.5537,2.5057,3.1268,3.6159,1.7954,2.8658,2.4810,2.5889,4.2047,1.4761,4.0873,2.0233,1.2259,3.6736,2.4799"
