Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 18:32:38,Ours,0.00208,4.0609832638291605,1.03,1.03,1,52.4422,0:52.44,51.0566,0.2614,1.1221,52.4423,0:52.44,20,"0,17,15,1,8,5,11,3,18,16,13,2,9,19,4,12,7,10,14,6",0:10;17:34;15:58;1:29;8:55;5:44;11:24;3:51;18:30;16:48;13:42;2:29;9:45;19:40;4:40;12:23;7:20;10:22;14:54;6:41,"0:[0];17:[1,2,3];15:[0,1,2,3,7];1:[1,2];8:[0,1,2,3,4];5:[0,5,6,7];11:[3,4];3:[3,4,5,6,7];18:[2,3,4];16:[0,1,2,3];13:[0,5,6,7];2:[2,3];9:[1,2,3,4];19:[3,4,5,6];4:[4,5,6,7];12:[4,5];7:[0,7];10:[2,3];14:[0,1,2,6,7];6:[0,1,6,7]","c0:bw=10,experts=[0]; c17:bw=34,experts=[1,2,3]; c15:bw=58,experts=[0,1,2,3,7]; c1:bw=29,experts=[1,2]; c8:bw=55,experts=[0,1,2,3,4]; c5:bw=44,experts=[0,5,6,7]; c11:bw=24,experts=[3,4]; c3:bw=51,experts=[3,4,5,6,7]; c18:bw=30,experts=[2,3,4]; c16:bw=48,experts=[0,1,2,3]; c13:bw=42,experts=[0,5,6,7]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[1,2,3,4]; c19:bw=40,experts=[3,4,5,6]; c4:bw=40,experts=[4,5,6,7]; c12:bw=23,experts=[4,5]; c7:bw=20,experts=[0,7]; c10:bw=22,experts=[2,3]; c14:bw=54,experts=[0,1,2,6,7]; c6:bw=41,experts=[0,1,6,7]","1.9549,2.2043,2.8166,3.6977,2.3166,1.2016,2.3511,1.4201,3.0918,2.0550,3.9347,2.5099,2.2993,3.6779,3.1402,2.4511,3.0589,1.1590,3.6868,2.0292"
2,2026-09-23 18:33:29,Ours,0.00406,3.8108442379879692,3.15,3.15,2,50.5193,0:50.52,49.1519,0.2587,1.1064,103.1422,1:43.14,20,"19,16,15,5,4,12,14,7,3,6,2,9,13,10,18,8,17,11,0,1",19:53;16:16;15:62;5:69;4:30;12:16;14:26;7:55;3:67;6:17;2:22;9:46;13:54;10:59;18:24;8:48;17:51;11:29;0:36;1:41,"19:[0,1,2,3,7];16:[4];15:[0,1,4,5,6,7];5:[1,2,3,4,5,6];4:[0,1,2];12:[6];14:[3,4];7:[1,2,3,4,5];3:[0,1,2,3,4,5];6:[2];2:[4,5];9:[0,5,6,7];13:[1,2,3,4,5];10:[0,4,5,6,7];18:[5,6];8:[0,5,6,7];17:[0,4,5,6,7];11:[5,6];0:[1,2,3];1:[3,4,5,6]","c19:bw=53,experts=[0,1,2,3,7]; c16:bw=16,experts=[4]; c15:bw=62,experts=[0,1,4,5,6,7]; c5:bw=69,experts=[1,2,3,4,5,6]; c4:bw=30,experts=[0,1,2]; c12:bw=16,experts=[6]; c14:bw=26,experts=[3,4]; c7:bw=55,experts=[1,2,3,4,5]; c3:bw=67,experts=[0,1,2,3,4,5]; c6:bw=17,experts=[2]; c2:bw=22,experts=[4,5]; c9:bw=46,experts=[0,5,6,7]; c13:bw=54,experts=[1,2,3,4,5]; c10:bw=59,experts=[0,4,5,6,7]; c18:bw=24,experts=[5,6]; c8:bw=48,experts=[0,5,6,7]; c17:bw=51,experts=[0,4,5,6,7]; c11:bw=29,experts=[5,6]; c0:bw=36,experts=[1,2,3]; c1:bw=41,experts=[3,4,5,6]","3.5295,1.9833,2.7424,1.1789,3.2548,2.3793,3.7245,3.1235,1.3811,1.9159,2.4727,2.1082,3.9773,1.1214,2.9110,2.1817,2.0613,2.1743,1.3617,3.5690"
3,2026-09-23 18:34:18,Ours,0.006040000000000001,3.6917702007762268,3.85,3.85,3,49.6936,0:49.69,48.3065,0.2604,1.1209,152.8498,2:32.85,20,"10,7,0,2,5,18,16,12,4,14,15,9,1,13,11,19,3,17,6,8",10:10;7:33;0:50;2:42;5:13;18:40;16:31;12:37;4:52;14:53;15:16;9:48;1:13;13:54;11:66;19:24;3:26;17:41;6:40;8:30,"10:[1];7:[0,6,7];0:[0,4,5,6,7];2:[0,1,6,7];5:[7];18:[0,1,2,7];16:[5,6,7];12:[0,1,7];4:[3,4,5,6,7];14:[0,1,5,6,7];15:[2];9:[1,2,3,4];1:[7];13:[0,1,2,6,7];11:[0,1,2,3,4,7];19:[4,5];3:[6,7];17:[1,2,3,4];6:[3,4,5,6];8:[1,2,3]","c10:bw=10,experts=[1]; c7:bw=33,experts=[0,6,7]; c0:bw=50,experts=[0,4,5,6,7]; c2:bw=42,experts=[0,1,6,7]; c5:bw=13,experts=[7]; c18:bw=40,experts=[0,1,2,7]; c16:bw=31,experts=[5,6,7]; c12:bw=37,experts=[0,1,7]; c4:bw=52,experts=[3,4,5,6,7]; c14:bw=53,experts=[0,1,5,6,7]; c15:bw=16,experts=[2]; c9:bw=48,experts=[1,2,3,4]; c1:bw=13,experts=[7]; c13:bw=54,experts=[0,1,2,6,7]; c11:bw=66,experts=[0,1,2,3,4,7]; c19:bw=24,experts=[4,5]; c3:bw=26,experts=[6,7]; c17:bw=41,experts=[1,2,3,4]; c6:bw=40,experts=[3,4,5,6]; c8:bw=30,experts=[1,2,3]","1.1201,2.9874,1.3467,2.4720,1.1613,2.8055,1.9465,2.3275,3.1376,3.7875,2.7123,2.0657,3.4613,4.0709,2.1805,3.3684,1.3360,2.0565,1.8621,2.1007"
4,2026-09-23 18:35:08,Ours,0.00802,3.46030127886255,5.63,5.63,4,49.7689,0:49.77,48.3542,0.2622,1.1502,202.6294,3:22.63,20,"0,18,6,8,17,11,4,9,12,10,5,19,15,7,1,3,16,13,2,14",0:59;18:43;6:53;8:31;17:39;11:49;4:56;9:22;12:63;10:64;5:73;19:47;15:24;7:45;1:40;3:34;16:45;13:49;2:60;14:32,"0:[1,2,3,4,5];18:[3,4,5,6];6:[0,1,2,3,7];8:[4,5,6];17:[5,6,7];11:[0,5,6,7];4:[0,1,2,3,4];9:[5,6];12:[2,3,4,5,6,7];10:[2,3,4,5,6,7];5:[0,1,2,3,4,5,6];19:[0,1,6,7];15:[3,4];7:[1,2,3,4];1:[0,1,2,3];3:[0,1,2];16:[0,1,2,3];13:[3,4,5,6];2:[2,3,4,5,6,7];14:[2,3,4]","c0:bw=59,experts=[1,2,3,4,5]; c18:bw=43,experts=[3,4,5,6]; c6:bw=53,experts=[0,1,2,3,7]; c8:bw=31,experts=[4,5,6]; c17:bw=39,experts=[5,6,7]; c11:bw=49,experts=[0,5,6,7]; c4:bw=56,experts=[0,1,2,3,4]; c9:bw=22,experts=[5,6]; c12:bw=63,experts=[2,3,4,5,6,7]; c10:bw=64,experts=[2,3,4,5,6,7]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c19:bw=47,experts=[0,1,6,7]; c15:bw=24,experts=[3,4]; c7:bw=45,experts=[1,2,3,4]; c1:bw=40,experts=[0,1,2,3]; c3:bw=34,experts=[0,1,2]; c16:bw=45,experts=[0,1,2,3]; c13:bw=49,experts=[3,4,5,6]; c2:bw=60,experts=[2,3,4,5,6,7]; c14:bw=32,experts=[2,3,4]","1.3510,2.8524,1.8719,2.1013,2.0840,2.1642,3.1479,2.0945,2.2950,1.1135,1.1705,3.4260,2.7343,2.9677,3.5145,1.3485,1.9491,3.8409,2.4335,3.8934"
5,2026-09-23 18:35:59,Ours,0.01,3.5431553021061917,5.0,5.63,4,50.4564,0:50.46,49.0505,0.2724,1.1312,253.0985,4:13.10,20,"5,2,10,19,0,12,9,16,1,4,17,8,11,6,18,7,14,15,13,3",5:40;2:10;10:35;19:19;0:50;12:55;9:62;16:32;1:20;4:48;17:64;8:37;11:21;6:53;18:10;7:24;14:53;15:45;13:36;3:63,"5:[0,1,2,7];2:[0];10:[0,1,2];19:[2];0:[0,1,2,6,7];12:[0,1,2,3,4];9:[0,1,2,3,4,7];16:[4,5,6];1:[4,5];4:[0,5,6,7];17:[0,1,2,3,4,5];8:[0,1,7];11:[1,2];6:[0,4,5,6,7];18:[7];7:[5,6];14:[0,1,5,6,7];15:[0,5,6,7];13:[0,1,7];3:[0,3,4,5,6,7]","c5:bw=40,experts=[0,1,2,7]; c2:bw=10,experts=[0]; c10:bw=35,experts=[0,1,2]; c19:bw=19,experts=[2]; c0:bw=50,experts=[0,1,2,6,7]; c12:bw=55,experts=[0,1,2,3,4]; c9:bw=62,experts=[0,1,2,3,4,7]; c16:bw=32,experts=[4,5,6]; c1:bw=20,experts=[4,5]; c4:bw=48,experts=[0,5,6,7]; c17:bw=64,experts=[0,1,2,3,4,5]; c8:bw=37,experts=[0,1,7]; c11:bw=21,experts=[1,2]; c6:bw=53,experts=[0,4,5,6,7]; c18:bw=10,experts=[7]; c7:bw=24,experts=[5,6]; c14:bw=53,experts=[0,1,5,6,7]; c15:bw=45,experts=[0,5,6,7]; c13:bw=36,experts=[0,1,7]; c3:bw=63,experts=[0,3,4,5,6,7]","1.1754,2.4389,1.1123,3.3823,1.3550,2.2781,2.0360,1.9610,3.5013,3.3361,2.2439,2.2782,2.3706,1.9915,2.9873,3.0271,3.6728,2.7589,3.8002,1.3434"
6,2026-09-23 18:36:49,Ours,0.01,3.530259092995869,7.07,7.07,6,50.1948,0:50.19,48.7262,0.2873,1.179,303.3053,5:03.31,20,"3,1,4,5,15,16,9,10,13,2,18,19,11,17,7,8,6,0,12,14",3:36;1:32;4:17;5:27;15:33;16:54;9:48;10:10;13:15;2:42;18:40;19:37;11:31;17:27;7:58;8:67;6:20;0:31;12:62;14:40,"3:[1,2,3];1:[0,6,7];4:[1];5:[3,4];15:[1,2,3];16:[0,1,2,3,7];9:[0,5,6,7];10:[3];13:[2];2:[1,2,3,4];18:[0,1,2,3];19:[3,4,5];11:[3,4,5];17:[6,7];7:[0,1,2,3,7];8:[2,3,4,5,6,7];6:[1,2];0:[3,4,5];12:[0,1,2,5,6,7];14:[2,3,4,5]","c3:bw=36,experts=[1,2,3]; c1:bw=32,experts=[0,6,7]; c4:bw=17,experts=[1]; c5:bw=27,experts=[3,4]; c15:bw=33,experts=[1,2,3]; c16:bw=54,experts=[0,1,2,3,7]; c9:bw=48,experts=[0,5,6,7]; c10:bw=10,experts=[3]; c13:bw=15,experts=[2]; c2:bw=42,experts=[1,2,3,4]; c18:bw=40,experts=[0,1,2,3]; c19:bw=37,experts=[3,4,5]; c11:bw=31,experts=[3,4,5]; c17:bw=27,experts=[6,7]; c7:bw=58,experts=[0,1,2,3,7]; c8:bw=67,experts=[2,3,4,5,6,7]; c6:bw=20,experts=[1,2]; c0:bw=31,experts=[3,4,5]; c12:bw=62,experts=[0,1,2,5,6,7]; c14:bw=40,experts=[2,3,4,5]","1.3399,3.4947,3.0915,1.1700,2.7382,1.9545,2.0559,1.1117,3.8607,2.4937,2.9668,3.4631,2.3465,2.1426,3.0389,2.1428,1.9125,1.3602,2.3197,3.7223"
7,2026-09-23 18:37:38,Ours,0.01,3.4093001025621197,8.87,8.87,7,49.3694,0:49.37,47.9945,0.2692,1.1035,352.6874,5:52.69,20,"13,10,12,16,9,5,3,2,4,15,14,17,0,1,11,7,18,19,8,6",13:25;10:17;12:47;16:53;9:10;5:49;3:26;2:40;4:14;15:39;14:13;17:41;0:36;1:10;11:60;7:31;18:20;19:54;8:57;6:13,"13:[3,4];10:[4];12:[3,4,5,6];16:[0,4,5,6,7];9:[1];5:[0,5,6,7];3:[4,5];2:[0,5,6,7];4:[2];15:[4,5,6];14:[6];17:[0,1,2,3];0:[0,6,7];1:[1];11:[0,1,2,3,6,7];7:[4,5,6];18:[4,5];19:[0,1,2,6,7];8:[0,1,2,3,4];6:[3]","c13:bw=25,experts=[3,4]; c10:bw=17,experts=[4]; c12:bw=47,experts=[3,4,5,6]; c16:bw=53,experts=[0,4,5,6,7]; c9:bw=10,experts=[1]; c5:bw=49,experts=[0,5,6,7]; c3:bw=26,experts=[4,5]; c2:bw=40,experts=[0,5,6,7]; c4:bw=14,experts=[2]; c15:bw=39,experts=[4,5,6]; c14:bw=13,experts=[6]; c17:bw=41,experts=[0,1,2,3]; c0:bw=36,experts=[0,6,7]; c1:bw=10,experts=[1]; c11:bw=60,experts=[0,1,2,3,6,7]; c7:bw=31,experts=[4,5,6]; c18:bw=20,experts=[4,5]; c19:bw=54,experts=[0,1,2,6,7]; c8:bw=57,experts=[0,1,2,3,4]; c6:bw=13,experts=[3]","3.9598,1.2013,2.2963,1.9586,2.0595,1.1547,1.3332,2.4165,3.0663,2.7490,3.6547,2.0652,1.3531,3.4520,2.1713,2.9757,2.8267,3.3685,2.0713,1.8608"
8,2026-09-23 18:38:27,Ours,0.01,3.39423162235653,9.72,9.72,8,49.2323,0:49.23,47.8559,0.2657,1.1085,401.9318,6:41.93,20,"17,18,1,5,3,15,7,11,16,8,10,12,6,9,19,0,2,13,14,4",17:56;18:39;1:58;5:28;3:37;15:66;7:15;11:45;16:45;8:37;10:51;12:51;6:41;9:59;19:31;0:32;2:54;13:35;14:59;4:10,"17:[0,4,5,6,7];18:[0,6,7];1:[2,3,4,5,6];5:[1,2];3:[0,6,7];15:[0,1,2,3,4,7];7:[7];11:[4,5,6,7];16:[1,2,3,4];8:[5,6,7];10:[0,1,5,6,7];12:[0,1,2,3,7];6:[4,5,6,7];9:[2,3,4,5,6];19:[3,4,5];0:[1,2,3];2:[1,2,3,4,5];13:[5,6,7];14:[0,1,2,3,7];4:[3]","c17:bw=56,experts=[0,4,5,6,7]; c18:bw=39,experts=[0,6,7]; c1:bw=58,experts=[2,3,4,5,6]; c5:bw=28,experts=[1,2]; c3:bw=37,experts=[0,6,7]; c15:bw=66,experts=[0,1,2,3,4,7]; c7:bw=15,experts=[7]; c11:bw=45,experts=[4,5,6,7]; c16:bw=45,experts=[1,2,3,4]; c8:bw=37,experts=[5,6,7]; c10:bw=51,experts=[0,1,5,6,7]; c12:bw=51,experts=[0,1,2,3,7]; c6:bw=41,experts=[4,5,6,7]; c9:bw=59,experts=[2,3,4,5,6]; c19:bw=31,experts=[3,4,5]; c0:bw=32,experts=[1,2,3]; c2:bw=54,experts=[1,2,3,4,5]; c13:bw=35,experts=[5,6,7]; c14:bw=59,experts=[0,1,2,3,7]; c4:bw=10,experts=[3]","2.0738,2.8196,3.4707,1.1588,1.3518,2.7270,2.9425,2.1808,1.9486,2.1205,1.1037,2.2838,1.8684,2.0553,3.3902,1.3592,2.4114,3.8369,3.6567,3.0961"
9,2026-09-23 18:39:17,Ours,0.01,3.348374584372774,9.06,9.72,8,49.3793,0:49.38,47.9854,0.2615,1.1302,451.3251,7:31.33,20,"17,11,7,13,0,9,4,8,1,5,2,16,19,15,3,18,10,14,12,6",17:49;11:28;7:46;13:41;0:52;9:26;4:59;8:18;1:14;5:52;2:21;16:41;19:26;15:36;3:23;18:53;10:34;14:37;12:38;6:31,"17:[1,2,3,4];11:[0,1];7:[0,1,2,3];13:[0,1,2,3];0:[0,4,5,6,7];9:[0,7];4:[0,4,5,6,7];8:[0];1:[7];5:[3,4,5,6,7];2:[6,7];16:[0,5,6,7];19:[6,7];15:[5,6,7];3:[1,2];18:[1,2,3,4,5];10:[2,3,4];14:[4,5,6];12:[4,5,6];6:[0,1,2]","c17:bw=49,experts=[1,2,3,4]; c11:bw=28,experts=[0,1]; c7:bw=46,experts=[0,1,2,3]; c13:bw=41,experts=[0,1,2,3]; c0:bw=52,experts=[0,4,5,6,7]; c9:bw=26,experts=[0,7]; c4:bw=59,experts=[0,4,5,6,7]; c8:bw=18,experts=[0]; c1:bw=14,experts=[7]; c5:bw=52,experts=[3,4,5,6,7]; c2:bw=21,experts=[6,7]; c16:bw=41,experts=[0,5,6,7]; c19:bw=26,experts=[6,7]; c15:bw=36,experts=[5,6,7]; c3:bw=23,experts=[1,2]; c18:bw=53,experts=[1,2,3,4,5]; c10:bw=34,experts=[2,3,4]; c14:bw=37,experts=[4,5,6]; c12:bw=38,experts=[4,5,6]; c6:bw=31,experts=[0,1,2]","2.0996,2.1987,2.9966,3.8569,1.3489,2.0841,3.0989,2.1102,3.4464,1.1672,2.4379,1.9457,3.3562,2.7235,1.3418,2.8270,1.1230,3.6708,2.2919,1.8601"
10,2026-09-23 18:40:13,Ours,0.01,3.35287482711576,10.21,10.21,10,56.0369,0:56.04,54.568,0.2783,1.1884,507.3751,8:27.38,20,"4,9,1,15,7,5,16,2,18,3,12,17,8,14,0,13,6,10,19,11",4:37;9:35;1:41;15:10;7:37;5:58;16:44;2:34;18:28;3:46;12:52;17:35;8:35;14:57;0:59;13:38;6:65;10:54;19:43;11:21,"4:[1,2,3];9:[1,2,3];1:[0,1,2,3];15:[0];7:[4,5,6];5:[0,1,2,3,4];16:[1,2,3,4];2:[0,1,2];18:[6,7];3:[3,4,5,6];12:[0,1,2,3,7];17:[5,6,7];8:[1,2,3];14:[0,1,2,3,7];0:[1,2,3,4,5];13:[4,5,6];6:[0,3,4,5,6,7];10:[0,1,5,6,7];19:[0,1,2,3];11:[2,3]","c4:bw=37,experts=[1,2,3]; c9:bw=35,experts=[1,2,3]; c1:bw=41,experts=[0,1,2,3]; c15:bw=10,experts=[0]; c7:bw=37,experts=[4,5,6]; c5:bw=58,experts=[0,1,2,3,4]; c16:bw=44,experts=[1,2,3,4]; c2:bw=34,experts=[0,1,2]; c18:bw=28,experts=[6,7]; c3:bw=46,experts=[3,4,5,6]; c12:bw=52,experts=[0,1,2,3,7]; c17:bw=35,experts=[5,6,7]; c8:bw=35,experts=[1,2,3]; c14:bw=57,experts=[0,1,2,3,7]; c0:bw=59,experts=[1,2,3,4,5]; c13:bw=38,experts=[4,5,6]; c6:bw=65,experts=[0,3,4,5,6,7]; c10:bw=54,experts=[0,1,5,6,7]; c19:bw=43,experts=[0,1,2,3]; c11:bw=21,experts=[2,3]","3.1003,2.0852,3.4836,3.0182,4.0181,1.6390,2.7740,2.9292,3.8052,1.7809,2.9646,2.2733,2.3199,3.9179,1.5007,4.0731,1.9282,1.1880,3.5214,2.2472"
