Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 18:12:48,Ours,0.00208,3.8769814150051354,1.42,1.42,1,54.4642,0:54.46,53.0437,0.2695,1.1452,54.4642,0:54.46,20,"0,17,15,1,8,5,11,3,18,16,13,2,9,19,4,12,7,10,14,6",0:10;17:34;15:58;1:29;8:55;5:44;11:24;3:51;18:30;16:48;13:42;2:29;9:45;19:40;4:40;12:23;7:20;10:22;14:54;6:41,"0:[2];17:[2,4,6];15:[1,2,4,5,6];1:[2,4];8:[1,2,4,5,6];5:[1,2,4,6];11:[2,4];3:[1,2,4,5,6];18:[2,4,6];16:[1,2,4,6];13:[1,2,4,6];2:[2,4];9:[1,2,4,6];19:[1,2,4,6];4:[1,2,4,6];12:[2,4];7:[2,6];10:[2,4];14:[1,2,4,5,6];6:[1,2,4,6]","c0:bw=10,experts=[2]; c17:bw=34,experts=[2,4,6]; c15:bw=58,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,4]; c8:bw=55,experts=[1,2,4,5,6]; c5:bw=44,experts=[1,2,4,6]; c11:bw=24,experts=[2,4]; c3:bw=51,experts=[1,2,4,5,6]; c18:bw=30,experts=[2,4,6]; c16:bw=48,experts=[1,2,4,6]; c13:bw=42,experts=[1,2,4,6]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c19:bw=40,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c12:bw=23,experts=[2,4]; c7:bw=20,experts=[2,6]; c10:bw=22,experts=[2,4]; c14:bw=54,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","2.0087,2.2064,2.9896,3.7877,2.2453,1.3060,2.4481,1.5087,3.1613,2.0893,4.2430,2.6882,2.4002,3.7946,3.2323,2.5556,3.3085,1.2440,3.7993,2.0267"
2,2026-09-23 18:13:39,Ours,0.00406,3.3810060208037767,3.5,3.5,2,50.9395,0:50.94,49.5023,0.2922,1.1428,105.5625,1:45.56,20,"19,16,15,5,4,12,14,7,3,6,2,9,13,10,18,8,17,11,0,1",19:53;16:16;15:62;5:69;4:30;12:16;14:26;7:55;3:67;6:17;2:22;9:46;13:54;10:59;18:24;8:48;17:51;11:29;0:36;1:41,"19:[0,1,4,5,6];16:[4];15:[0,1,2,4,5,6];5:[0,1,2,4,5,6];4:[0,4,6];12:[4];14:[4,6];7:[0,1,4,5,6];3:[0,1,2,4,5,6];6:[4];2:[4,6];9:[0,1,4,6];13:[0,1,4,5,6];10:[0,1,4,5,6];18:[4,6];8:[0,1,4,6];17:[0,1,4,5,6];11:[4,6];0:[0,4,6];1:[0,1,4,6]","c19:bw=53,experts=[0,1,4,5,6]; c16:bw=16,experts=[4]; c15:bw=62,experts=[0,1,2,4,5,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[0,4,6]; c12:bw=16,experts=[4]; c14:bw=26,experts=[4,6]; c7:bw=55,experts=[0,1,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]; c9:bw=46,experts=[0,1,4,6]; c13:bw=54,experts=[0,1,4,5,6]; c10:bw=59,experts=[0,1,4,5,6]; c18:bw=24,experts=[4,6]; c8:bw=48,experts=[0,1,4,6]; c17:bw=51,experts=[0,1,4,5,6]; c11:bw=29,experts=[4,6]; c0:bw=36,experts=[0,4,6]; c1:bw=41,experts=[0,1,4,6]","3.4785,2.0291,2.8177,1.2414,3.1847,2.3687,3.7142,3.0700,1.4138,1.9288,2.4980,2.1397,3.9379,1.1819,2.9299,2.1731,2.1528,2.2659,1.4405,3.5357"
3,2026-09-23 18:14:30,Ours,0.006040000000000001,3.255296562400465,5.55,5.55,3,51.031,0:51.03,49.6427,0.2686,1.113,156.6055,2:36.61,20,"10,7,0,2,5,18,16,12,4,14,15,9,1,13,11,19,3,17,6,8",10:10;7:33;0:50;2:42;5:13;18:40;16:31;12:37;4:52;14:53;15:16;9:48;1:13;13:54;11:66;19:24;3:26;17:41;6:40;8:30,"10:[4];7:[0,4,6];0:[0,1,4,5,6];2:[0,4,5,6];5:[4];18:[0,4,5,6];16:[0,4,6];12:[0,4,6];4:[0,1,4,5,6];14:[0,1,4,5,6];15:[4];9:[0,4,5,6];1:[4];13:[0,1,4,5,6];11:[0,1,2,4,5,6];19:[4,6];3:[4,6];17:[0,4,5,6];6:[0,4,5,6];8:[0,4,6]","c10:bw=10,experts=[4]; c7:bw=33,experts=[0,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c2:bw=42,experts=[0,4,5,6]; c5:bw=13,experts=[4]; c18:bw=40,experts=[0,4,5,6]; c16:bw=31,experts=[0,4,6]; c12:bw=37,experts=[0,4,6]; c4:bw=52,experts=[0,1,4,5,6]; c14:bw=53,experts=[0,1,4,5,6]; c15:bw=16,experts=[4]; c9:bw=48,experts=[0,4,5,6]; c1:bw=13,experts=[4]; c13:bw=54,experts=[0,1,4,5,6]; c11:bw=66,experts=[0,1,2,4,5,6]; c19:bw=24,experts=[4,6]; c3:bw=26,experts=[4,6]; c17:bw=41,experts=[0,4,5,6]; c6:bw=40,experts=[0,4,5,6]; c8:bw=30,experts=[0,4,6]","1.1906,3.0949,1.4419,2.5038,1.2469,2.9504,2.0409,2.3752,3.1941,3.7122,2.8130,2.1408,3.5234,3.9128,2.2656,3.5194,1.4203,2.1480,1.9608,2.1878"
4,2026-09-23 18:15:22,Ours,0.00802,3.1826584035775514,7.37,7.37,4,51.2816,0:51.28,49.8712,0.283,1.1251,207.8992,3:27.90,20,"0,18,6,8,17,11,4,9,12,10,5,19,15,7,1,3,16,13,2,14",0:59;18:43;6:53;8:31;17:39;11:49;4:56;9:22;12:63;10:64;5:73;19:47;15:24;7:45;1:40;3:34;16:45;13:49;2:60;14:32,"0:[0,1,4,5,6];18:[0,4,5,6];6:[0,1,4,5,6];8:[0,4,6];17:[0,4,6];11:[0,1,4,6];4:[0,1,4,5,6];9:[4,6];12:[0,1,2,4,5,6];10:[0,1,2,4,5,6];5:[0,1,2,4,5,6,7];19:[0,4,5,6];15:[4,6];7:[0,1,4,6];1:[0,4,5,6];3:[0,4,6];16:[0,4,5,6];13:[0,4,5,6];2:[0,1,2,4,5,6];14:[0,4,6]","c0:bw=59,experts=[0,1,4,5,6]; c18:bw=43,experts=[0,4,5,6]; c6:bw=53,experts=[0,1,4,5,6]; c8:bw=31,experts=[0,4,6]; c17:bw=39,experts=[0,4,6]; c11:bw=49,experts=[0,1,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c9:bw=22,experts=[4,6]; c12:bw=63,experts=[0,1,2,4,5,6]; c10:bw=64,experts=[0,1,2,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c19:bw=47,experts=[0,4,5,6]; c15:bw=24,experts=[4,6]; c7:bw=45,experts=[0,1,4,6]; c1:bw=40,experts=[0,4,5,6]; c3:bw=34,experts=[0,4,6]; c16:bw=45,experts=[0,4,5,6]; c13:bw=49,experts=[0,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c14:bw=32,experts=[0,4,6]","1.4481,2.9413,1.9514,2.2020,2.1607,2.2853,3.2122,2.1496,2.3880,1.1892,1.2446,3.5027,2.8450,3.0804,3.5721,1.4422,2.0374,3.9663,2.5074,3.7451"
5,2026-09-23 18:16:13,Ours,0.01,3.133989839480289,9.26,9.26,5,51.2185,0:51.22,49.8266,0.2722,1.1175,259.1299,4:19.13,20,"5,2,10,19,0,12,9,16,1,4,17,8,11,6,18,7,14,15,13,3",5:40;2:10;10:35;19:19;0:50;12:55;9:62;16:32;1:20;4:48;17:64;8:37;11:21;6:53;18:10;7:24;14:53;15:45;13:36;3:63,"5:[0,1,4,6];2:[4];10:[0,4,6];19:[4];0:[0,1,4,5,6];12:[0,1,4,5,6];9:[0,1,2,4,5,6];16:[0,4,6];1:[4,6];4:[0,1,4,6];17:[0,1,2,4,5,6];8:[0,4,6];11:[4,6];6:[0,1,4,5,6];18:[4];7:[4,6];14:[0,1,4,5,6];15:[0,1,4,6];13:[0,4,6];3:[0,1,2,4,5,6]","c5:bw=40,experts=[0,1,4,6]; c2:bw=10,experts=[4]; c10:bw=35,experts=[0,4,6]; c19:bw=19,experts=[4]; c0:bw=50,experts=[0,1,4,5,6]; c12:bw=55,experts=[0,1,4,5,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c16:bw=32,experts=[0,4,6]; c1:bw=20,experts=[4,6]; c4:bw=48,experts=[0,1,4,6]; c17:bw=64,experts=[0,1,2,4,5,6]; c8:bw=37,experts=[0,4,6]; c11:bw=21,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c18:bw=10,experts=[4]; c7:bw=24,experts=[4,6]; c14:bw=53,experts=[0,1,4,5,6]; c15:bw=45,experts=[0,1,4,6]; c13:bw=36,experts=[0,4,6]; c3:bw=63,experts=[0,1,2,4,5,6]","1.2513,2.5345,1.1949,3.5130,1.4336,2.3806,2.1515,2.0369,3.5785,3.2346,2.1609,2.1923,2.2730,1.9522,2.9136,3.0673,3.7559,2.8306,3.9566,1.4148"
6,2026-09-23 18:17:04,Ours,0.01,3.075133443105333,10.61,10.61,6,51.4137,0:51.41,50.0123,0.2692,1.13,310.5555,5:10.56,20,"3,1,4,5,15,16,9,10,13,2,18,19,11,17,7,8,6,0,12,14",3:36;1:32;4:17;5:27;15:33;16:54;9:48;10:10;13:15;2:42;18:40;19:37;11:31;17:27;7:58;8:67;6:20;0:31;12:62;14:40,"3:[0,4,6];1:[0,4,6];4:[4];5:[4,6];15:[0,4,6];16:[0,1,4,5,6];9:[0,1,4,6];10:[4];13:[4];2:[0,1,4,6];18:[0,1,4,6];19:[0,4,6];11:[0,4,6];17:[4,6];7:[0,1,4,5,6];8:[0,1,2,4,5,6];6:[4,6];0:[0,4,6];12:[0,1,2,4,5,6];14:[0,1,4,6]","c3:bw=36,experts=[0,4,6]; c1:bw=32,experts=[0,4,6]; c4:bw=17,experts=[4]; c5:bw=27,experts=[4,6]; c15:bw=33,experts=[0,4,6]; c16:bw=54,experts=[0,1,4,5,6]; c9:bw=48,experts=[0,1,4,6]; c10:bw=10,experts=[4]; c13:bw=15,experts=[4]; c2:bw=42,experts=[0,1,4,6]; c18:bw=40,experts=[0,1,4,6]; c19:bw=37,experts=[0,4,6]; c11:bw=31,experts=[0,4,6]; c17:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,4,5,6]; c8:bw=67,experts=[0,1,2,4,5,6]; c6:bw=20,experts=[4,6]; c0:bw=31,experts=[0,4,6]; c12:bw=62,experts=[0,1,2,4,5,6]; c14:bw=40,experts=[0,1,4,6]","1.4412,3.5892,3.2012,1.2517,2.8504,2.0356,2.1469,1.1928,3.9613,2.5327,2.9224,3.5168,2.3549,2.1699,3.0776,2.2028,1.9650,1.4562,2.3969,3.7468"
7,2026-09-23 18:17:56,Ours,0.01,3.0119310796253487,13.07,13.07,7,51.4476,0:51.45,50.0496,0.2718,1.1202,362.0153,6:02.02,20,"13,10,12,16,9,5,3,2,4,15,14,17,0,1,11,7,18,19,8,6",13:25;10:17;12:47;16:53;9:10;5:49;3:26;2:40;4:14;15:39;14:13;17:41;0:36;1:10;11:60;7:31;18:20;19:54;8:57;6:13,"13:[4,6];10:[4];12:[0,1,4,6];16:[0,1,2,4,6];9:[4];5:[0,1,4,6];3:[4,6];2:[0,1,4,6];4:[4];15:[0,4,6];14:[4];17:[0,1,4,6];0:[0,4,6];1:[4];11:[0,1,2,4,5,6];7:[0,4,6];18:[4,6];19:[0,1,2,4,6];8:[0,1,2,4,6];6:[4]","c13:bw=25,experts=[4,6]; c10:bw=17,experts=[4]; c12:bw=47,experts=[0,1,4,6]; c16:bw=53,experts=[0,1,2,4,6]; c9:bw=10,experts=[4]; c5:bw=49,experts=[0,1,4,6]; c3:bw=26,experts=[4,6]; c2:bw=40,experts=[0,1,4,6]; c4:bw=14,experts=[4]; c15:bw=39,experts=[0,4,6]; c14:bw=13,experts=[4]; c17:bw=41,experts=[0,1,4,6]; c0:bw=36,experts=[0,4,6]; c1:bw=10,experts=[4]; c11:bw=60,experts=[0,1,2,4,5,6]; c7:bw=31,experts=[0,4,6]; c18:bw=20,experts=[4,6]; c19:bw=54,experts=[0,1,2,4,6]; c8:bw=57,experts=[0,1,2,4,6]; c6:bw=13,experts=[4]","3.9903,1.1949,2.4051,2.0468,2.1650,1.2537,1.4250,2.5566,3.2348,2.8510,3.7230,2.1601,1.4378,3.5749,2.2834,3.0924,2.9474,3.5542,2.1982,1.9550"
8,2026-09-23 18:18:47,Ours,0.01,3.0018639209420903,15.2,15.2,8,51.6235,0:51.62,50.2064,0.2734,1.1415,413.6517,6:53.65,20,"17,18,1,5,3,15,7,11,16,8,10,12,6,9,19,0,2,13,14,4",17:56;18:39;1:58;5:28;3:37;15:66;7:15;11:45;16:45;8:37;10:51;12:51;6:41;9:59;19:31;0:32;2:54;13:35;14:59;4:10,"17:[0,3,4,6,7];18:[3,4,7];1:[1,3,4,6,7];5:[3,4];3:[3,4,7];15:[0,1,3,4,6,7];7:[3];11:[3,4,6,7];16:[3,4,6,7];8:[3,4,7];10:[1,3,4,6,7];12:[0,3,4,6,7];6:[3,4,6,7];9:[1,3,4,6,7];19:[3,4,7];0:[3,4,7];2:[0,3,4,6,7];13:[3,4,7];14:[0,3,4,6,7];4:[3]","c17:bw=56,experts=[0,3,4,6,7]; c18:bw=39,experts=[3,4,7]; c1:bw=58,experts=[1,3,4,6,7]; c5:bw=28,experts=[3,4]; c3:bw=37,experts=[3,4,7]; c15:bw=66,experts=[0,1,3,4,6,7]; c7:bw=15,experts=[3]; c11:bw=45,experts=[3,4,6,7]; c16:bw=45,experts=[3,4,6,7]; c8:bw=37,experts=[3,4,7]; c10:bw=51,experts=[1,3,4,6,7]; c12:bw=51,experts=[0,3,4,6,7]; c6:bw=41,experts=[3,4,6,7]; c9:bw=59,experts=[1,3,4,6,7]; c19:bw=31,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c2:bw=54,experts=[0,3,4,6,7]; c13:bw=35,experts=[3,4,7]; c14:bw=59,experts=[0,3,4,6,7]; c4:bw=10,experts=[3]","2.1988,2.9544,3.6163,1.2584,1.4282,2.8548,3.1079,2.2891,2.0653,2.1812,1.1993,2.4168,1.9625,2.1825,3.5427,1.4404,2.5333,3.9252,3.7436,3.3056"
9,2026-09-23 18:19:39,Ours,0.01,2.8938342348850443,15.97,15.97,9,51.9,0:51.90,50.476,0.2739,1.1478,465.5646,7:45.56,20,"17,11,7,13,0,9,4,8,1,5,2,16,19,15,3,18,10,14,12,6",17:49;11:28;7:46;13:41;0:52;9:26;4:59;8:18;1:14;5:52;2:21;16:41;19:26;15:36;3:23;18:53;10:34;14:37;12:38;6:31,"17:[0,1,4,6];11:[4,6];7:[2,4,6,7];13:[0,2,4,6];0:[0,1,2,4,6];9:[4,6];4:[0,2,4,6,7];8:[4];1:[2];5:[0,1,2,4,6];2:[4,6];16:[0,4,5,6];19:[4,6];15:[0,4,6];3:[4,6];18:[0,1,2,4,6];10:[0,4,6];14:[2,4,6];12:[0,4,6];6:[2,4,6]","c17:bw=49,experts=[0,1,4,6]; c11:bw=28,experts=[4,6]; c7:bw=46,experts=[2,4,6,7]; c13:bw=41,experts=[0,2,4,6]; c0:bw=52,experts=[0,1,2,4,6]; c9:bw=26,experts=[4,6]; c4:bw=59,experts=[0,2,4,6,7]; c8:bw=18,experts=[4]; c1:bw=14,experts=[2]; c5:bw=52,experts=[0,1,2,4,6]; c2:bw=21,experts=[4,6]; c16:bw=41,experts=[0,4,5,6]; c19:bw=26,experts=[4,6]; c15:bw=36,experts=[0,4,6]; c3:bw=23,experts=[4,6]; c18:bw=53,experts=[0,1,2,4,6]; c10:bw=34,experts=[0,4,6]; c14:bw=37,experts=[2,4,6]; c12:bw=38,experts=[0,4,6]; c6:bw=31,experts=[2,4,6]","2.2023,2.3194,3.1598,3.9889,1.4559,2.1728,3.2578,2.2065,3.7104,1.2562,2.5662,2.0466,3.5424,2.8754,1.4356,2.9494,1.2047,3.7439,2.4140,1.9674"
10,2026-09-23 18:20:31,Ours,0.01,2.8392587023738556,19.48,19.48,10,51.8876,0:51.89,50.4792,0.2681,1.138,517.4663,8:37.47,20,"4,9,1,15,7,5,16,2,18,3,12,17,8,14,0,13,6,10,19,11",4:37;9:35;1:41;15:10;7:37;5:58;16:44;2:34;18:28;3:46;12:52;17:35;8:35;14:57;0:59;13:38;6:65;10:54;19:43;11:21,"4:[2,4,6];9:[0,4,6];1:[0,1,4,6];15:[2];7:[1,4,6];5:[0,1,2,4,6];16:[0,1,4,6];2:[1,4,6];18:[4,6];3:[0,1,4,6];12:[0,2,4,5,6];17:[0,4,6];8:[0,4,6];14:[0,1,4,5,6];0:[0,1,4,5,6];13:[0,4,6];6:[0,1,2,4,5,6];10:[0,1,2,4,6];19:[0,1,4,6];11:[4,6]","c4:bw=37,experts=[2,4,6]; c9:bw=35,experts=[0,4,6]; c1:bw=41,experts=[0,1,4,6]; c15:bw=10,experts=[2]; c7:bw=37,experts=[1,4,6]; c5:bw=58,experts=[0,1,2,4,6]; c16:bw=44,experts=[0,1,4,6]; c2:bw=34,experts=[1,4,6]; c18:bw=28,experts=[4,6]; c3:bw=46,experts=[0,1,4,6]; c12:bw=52,experts=[0,2,4,5,6]; c17:bw=35,experts=[0,4,6]; c8:bw=35,experts=[0,4,6]; c14:bw=57,experts=[0,1,4,5,6]; c0:bw=59,experts=[0,1,4,5,6]; c13:bw=38,experts=[0,4,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c10:bw=54,experts=[0,1,2,4,6]; c19:bw=43,experts=[0,1,4,6]; c11:bw=21,experts=[4,6]","3.2873,2.2238,3.6457,2.9176,3.1230,1.2627,2.0364,2.5543,2.9545,1.4412,2.4120,2.1597,2.2199,3.7364,1.4467,3.9873,1.9734,1.2138,3.5796,2.3038"
