Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 18:57:33,Ours,0.00208,4.102214151994631,1.01,1.01,1,53.6335,0:53.63,52.129,0.3333,1.1691,53.6335,0:53.63,20,"0,17,15,1,8,5,11,3,18,16,13,2,9,19,4,12,7,10,14,6",0:10;17:34;15:58;1:29;8:55;5:44;11:24;3:51;18:30;16:48;13:42;2:29;9:45;19:40;4:40;12:23;7:20;10:22;14:54;6:41,"0:[7];17:[1,2,6];15:[2,3,5,6,7];1:[2,6];8:[0,2,3,6,7];5:[0,3,5,7];11:[3,5];3:[0,1,2,4,6];18:[0,2,4];16:[1,3,5,6];13:[1,2,6,7];2:[2,3];9:[0,1,6,7];19:[0,2,3,4];4:[0,5,6,7];12:[1,7];7:[4,5];10:[0,5];14:[1,2,3,4,6];6:[0,4,6,7]","c0:bw=10,experts=[7]; c17:bw=34,experts=[1,2,6]; c15:bw=58,experts=[2,3,5,6,7]; c1:bw=29,experts=[2,6]; c8:bw=55,experts=[0,2,3,6,7]; c5:bw=44,experts=[0,3,5,7]; c11:bw=24,experts=[3,5]; c3:bw=51,experts=[0,1,2,4,6]; c18:bw=30,experts=[0,2,4]; c16:bw=48,experts=[1,3,5,6]; c13:bw=42,experts=[1,2,6,7]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,1,6,7]; c19:bw=40,experts=[0,2,3,4]; c4:bw=40,experts=[0,5,6,7]; c12:bw=23,experts=[1,7]; c7:bw=20,experts=[4,5]; c10:bw=22,experts=[0,5]; c14:bw=54,experts=[1,2,3,4,6]; c6:bw=41,experts=[0,4,6,7]","2.0124,2.1740,3.0105,3.6960,2.3182,1.2664,2.3503,1.4574,3.1618,2.1415,4.0315,2.5773,2.2067,3.7662,3.3194,2.4059,3.2316,1.1869,3.8464,1.9684"
2,2026-09-23 18:58:26,Ours,0.00406,3.787029719711672,2.49,2.49,2,52.8576,0:52.86,51.4171,0.3168,1.1147,106.6414,1:46.64,20,"19,16,15,5,4,12,14,7,3,6,2,9,13,10,18,8,17,11,0,1",19:53;16:16;15:62;5:69;4:30;12:16;14:26;7:55;3:67;6:17;2:22;9:46;13:54;10:59;18:24;8:48;17:51;11:29;0:36;1:41,"19:[0,1,2,6,7];16:[0];15:[0,2,3,4,6,7];5:[1,2,4,5,6,7];4:[0,2,4];12:[3];14:[0,1];7:[0,1,2,3,7];3:[0,1,2,3,5,6];6:[3];2:[3,7];9:[2,3,4,7];13:[0,1,3,4,6];10:[0,2,3,4,6];18:[0,5];8:[0,2,3,4];17:[0,1,4,5,7];11:[3,6];0:[5,6,7];1:[2,3,4,5]","c19:bw=53,experts=[0,1,2,6,7]; c16:bw=16,experts=[0]; c15:bw=62,experts=[0,2,3,4,6,7]; c5:bw=69,experts=[1,2,4,5,6,7]; c4:bw=30,experts=[0,2,4]; c12:bw=16,experts=[3]; c14:bw=26,experts=[0,1]; c7:bw=55,experts=[0,1,2,3,7]; c3:bw=67,experts=[0,1,2,3,5,6]; c6:bw=17,experts=[3]; c2:bw=22,experts=[3,7]; c9:bw=46,experts=[2,3,4,7]; c13:bw=54,experts=[0,1,3,4,6]; c10:bw=59,experts=[0,2,3,4,6]; c18:bw=24,experts=[0,5]; c8:bw=48,experts=[0,2,3,4]; c17:bw=51,experts=[0,1,4,5,7]; c11:bw=29,experts=[3,6]; c0:bw=36,experts=[5,6,7]; c1:bw=41,experts=[2,3,4,5]","3.7338,2.0921,2.9970,1.2590,3.1607,2.3710,3.8814,3.2227,1.4199,1.9602,2.4892,2.1841,4.1949,1.2159,3.1624,2.2907,2.2731,2.3837,1.4450,3.6805"
3,2026-09-23 18:59:19,Ours,0.006040000000000001,3.6614712491011416,4.37,4.37,3,52.4328,0:52.43,50.9824,0.3144,1.1338,159.0869,2:39.09,20,"10,7,0,2,5,18,16,12,4,14,15,9,1,13,11,19,3,17,6,8",10:10;7:33;0:50;2:42;5:13;18:40;16:31;12:37;4:52;14:53;15:16;9:48;1:13;13:54;11:66;19:24;3:26;17:41;6:40;8:30,"10:[0];7:[1,2,5];0:[1,2,3,5,6];2:[0,2,4,6];5:[6];18:[0,2,3,6];16:[1,3,7];12:[0,4,7];4:[2,4,5,6,7];14:[1,3,5,6,7];15:[2];9:[2,3,5,7];1:[1];13:[0,2,3,5,6];11:[0,1,2,3,5,6];19:[6,7];3:[2,5];17:[0,2,3,7];6:[0,1,2,3];8:[0,2,3]","c10:bw=10,experts=[0]; c7:bw=33,experts=[1,2,5]; c0:bw=50,experts=[1,2,3,5,6]; c2:bw=42,experts=[0,2,4,6]; c5:bw=13,experts=[6]; c18:bw=40,experts=[0,2,3,6]; c16:bw=31,experts=[1,3,7]; c12:bw=37,experts=[0,4,7]; c4:bw=52,experts=[2,4,5,6,7]; c14:bw=53,experts=[1,3,5,6,7]; c15:bw=16,experts=[2]; c9:bw=48,experts=[2,3,5,7]; c1:bw=13,experts=[1]; c13:bw=54,experts=[0,2,3,5,6]; c11:bw=66,experts=[0,1,2,3,5,6]; c19:bw=24,experts=[6,7]; c3:bw=26,experts=[2,5]; c17:bw=41,experts=[0,2,3,7]; c6:bw=40,experts=[0,1,2,3]; c8:bw=30,experts=[0,2,3]","1.1720,3.2355,1.4383,2.5975,1.2349,3.1036,2.0483,2.4492,3.1916,3.9120,2.9424,2.2555,3.6217,4.1231,2.3401,3.7021,1.3680,2.1297,1.9323,2.1845"
4,2026-09-23 19:00:11,Ours,0.00802,3.333838102312305,5.4,5.4,4,52.6847,0:52.68,51.2309,0.3226,1.129,211.7834,3:31.78,20,"0,18,6,8,17,11,4,9,12,10,5,19,15,7,1,3,16,13,2,14",0:59;18:43;6:53;8:31;17:39;11:49;4:56;9:22;12:63;10:64;5:73;19:47;15:24;7:45;1:40;3:34;16:45;13:49;2:60;14:32,"0:[2,3,4,6,7];18:[2,3,4,6];6:[0,3,5,6,7];8:[1,3,6];17:[2,6,7];11:[0,5,6,7];4:[0,2,3,6,7];9:[0,6];12:[0,1,2,4,6,7];10:[0,1,2,3,5,6];5:[0,1,2,3,4,5,6];19:[2,3,5,7];15:[2,3];7:[1,3,4,5];1:[1,2,4,7];3:[0,4,5];16:[2,4,6,7];13:[0,1,3,4];2:[0,1,3,4,5,7];14:[0,6,7]","c0:bw=59,experts=[2,3,4,6,7]; c18:bw=43,experts=[2,3,4,6]; c6:bw=53,experts=[0,3,5,6,7]; c8:bw=31,experts=[1,3,6]; c17:bw=39,experts=[2,6,7]; c11:bw=49,experts=[0,5,6,7]; c4:bw=56,experts=[0,2,3,6,7]; c9:bw=22,experts=[0,6]; c12:bw=63,experts=[0,1,2,4,6,7]; c10:bw=64,experts=[0,1,2,3,5,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c19:bw=47,experts=[2,3,5,7]; c15:bw=24,experts=[2,3]; c7:bw=45,experts=[1,3,4,5]; c1:bw=40,experts=[1,2,4,7]; c3:bw=34,experts=[0,4,5]; c16:bw=45,experts=[2,4,6,7]; c13:bw=49,experts=[0,1,3,4]; c2:bw=60,experts=[0,1,3,4,5,7]; c14:bw=32,experts=[0,6,7]","1.4583,2.9358,2.0309,2.2634,2.2115,2.3504,3.4236,2.2562,2.5053,1.1940,1.2020,3.6611,2.8998,3.2008,3.5431,1.4135,2.1005,4.2011,2.4524,3.9271"
5,2026-09-23 19:01:04,Ours,0.01,3.4194989239244578,6.18,6.18,5,52.1711,0:52.17,50.7357,0.3133,1.1199,263.9682,4:23.97,20,"5,2,10,19,0,12,9,16,1,4,17,8,11,6,18,7,14,15,13,3",5:40;2:10;10:35;19:19;0:50;12:55;9:62;16:32;1:20;4:48;17:64;8:37;11:21;6:53;18:10;7:24;14:53;15:45;13:36;3:63,"5:[1,4,5,6];2:[1];10:[1,2,6];19:[0];0:[0,1,3,4,6];12:[0,1,3,5,7];9:[0,1,3,5,6,7];16:[0,2,7];1:[1,7];4:[1,2,5,7];17:[0,1,2,3,5,6];8:[1,2,6];11:[5,7];6:[1,2,4,6,7];18:[3];7:[1,6];14:[0,2,3,5,7];15:[1,2,3,5];13:[0,6,7];3:[0,1,4,5,6,7]","c5:bw=40,experts=[1,4,5,6]; c2:bw=10,experts=[1]; c10:bw=35,experts=[1,2,6]; c19:bw=19,experts=[0]; c0:bw=50,experts=[0,1,3,4,6]; c12:bw=55,experts=[0,1,3,5,7]; c9:bw=62,experts=[0,1,3,5,6,7]; c16:bw=32,experts=[0,2,7]; c1:bw=20,experts=[1,7]; c4:bw=48,experts=[1,2,5,7]; c17:bw=64,experts=[0,1,2,3,5,6]; c8:bw=37,experts=[1,2,6]; c11:bw=21,experts=[5,7]; c6:bw=53,experts=[1,2,4,6,7]; c18:bw=10,experts=[3]; c7:bw=24,experts=[1,6]; c14:bw=53,experts=[0,2,3,5,7]; c15:bw=45,experts=[1,2,3,5]; c13:bw=36,experts=[0,6,7]; c3:bw=63,experts=[0,1,4,5,6,7]","1.2270,2.6704,1.1608,3.5178,1.4496,2.4980,2.1831,1.9861,3.5344,3.3897,2.3117,2.2111,2.2356,2.0027,2.8899,3.2384,3.8606,2.8326,4.1493,1.3869"
6,2026-09-23 19:01:55,Ours,0.01,3.4128999407629976,7.22,7.22,6,51.392,0:51.39,49.9287,0.3188,1.1423,315.3724,5:15.37,20,"3,1,4,5,15,16,9,10,13,2,18,19,11,17,7,8,6,0,12,14",3:36;1:32;4:17;5:27;15:33;16:54;9:48;10:10;13:15;2:42;18:40;19:37;11:31;17:27;7:58;8:67;6:20;0:31;12:62;14:40,"3:[4,5,7];1:[1,2,4];4:[5];5:[3,4];15:[0,5,6];16:[1,2,3,6,7];9:[0,3,4,5];10:[1];13:[5];2:[2,4,6,7];18:[0,1,2,7];19:[4,5,6];11:[1,3,6];17:[1,7];7:[1,3,5,6,7];8:[0,1,4,5,6,7];6:[3,5];0:[4,5,7];12:[1,2,4,5,6,7];14:[1,2,4,5]","c3:bw=36,experts=[4,5,7]; c1:bw=32,experts=[1,2,4]; c4:bw=17,experts=[5]; c5:bw=27,experts=[3,4]; c15:bw=33,experts=[0,5,6]; c16:bw=54,experts=[1,2,3,6,7]; c9:bw=48,experts=[0,3,4,5]; c10:bw=10,experts=[1]; c13:bw=15,experts=[5]; c2:bw=42,experts=[2,4,6,7]; c18:bw=40,experts=[0,1,2,7]; c19:bw=37,experts=[4,5,6]; c11:bw=31,experts=[1,3,6]; c17:bw=27,experts=[1,7]; c7:bw=58,experts=[1,3,5,6,7]; c8:bw=67,experts=[0,1,4,5,6,7]; c6:bw=20,experts=[3,5]; c0:bw=31,experts=[4,5,7]; c12:bw=62,experts=[1,2,4,5,6,7]; c14:bw=40,experts=[1,2,4,5]","1.4028,3.7591,3.4456,1.2169,2.7973,1.9937,2.0928,1.2068,4.0376,2.4802,2.8878,3.4759,2.2463,2.1318,3.0799,2.1434,1.8920,1.4087,2.5079,3.7223"
7,2026-09-23 19:02:46,Ours,0.01,3.4443709962628866,8.78,8.78,7,51.1018,0:51.10,49.6731,0.2943,1.1266,366.4881,6:06.49,20,"13,10,12,16,9,5,3,2,4,15,14,17,0,1,11,7,18,19,8,6",13:25;10:17;12:47;16:53;9:10;5:49;3:26;2:40;4:14;15:39;14:13;17:41;0:36;1:10;11:60;7:31;18:20;19:54;8:57;6:13,"13:[2,4];10:[1];12:[1,2,4,7];16:[2,3,4,5,7];9:[6];5:[0,2,4,7];3:[4,5];2:[0,3,6,7];4:[1];15:[2,4,7];14:[3];17:[3,5,6,7];0:[0,4,7];1:[0];11:[0,2,3,4,5,7];7:[1,2,5];18:[3,6];19:[1,2,3,5,7];8:[0,3,4,5,7];6:[6]","c13:bw=25,experts=[2,4]; c10:bw=17,experts=[1]; c12:bw=47,experts=[1,2,4,7]; c16:bw=53,experts=[2,3,4,5,7]; c9:bw=10,experts=[6]; c5:bw=49,experts=[0,2,4,7]; c3:bw=26,experts=[4,5]; c2:bw=40,experts=[0,3,6,7]; c4:bw=14,experts=[1]; c15:bw=39,experts=[2,4,7]; c14:bw=13,experts=[3]; c17:bw=41,experts=[3,5,6,7]; c0:bw=36,experts=[0,4,7]; c1:bw=10,experts=[0]; c11:bw=60,experts=[0,2,3,4,5,7]; c7:bw=31,experts=[1,2,5]; c18:bw=20,experts=[3,6]; c19:bw=54,experts=[1,2,3,5,7]; c8:bw=57,experts=[0,3,4,5,7]; c6:bw=13,experts=[6]","4.1162,1.1338,2.5339,1.9917,2.1241,1.2299,1.4284,2.4519,3.2216,2.7916,3.6952,2.1487,1.3909,3.7464,2.2342,3.0288,2.8917,3.4730,2.1302,1.9110"
8,2026-09-23 19:03:38,Ours,0.01,3.3321818553823563,8.49,8.78,7,51.9883,0:51.99,50.5128,0.3154,1.1579,418.4892,6:58.49,20,"17,18,1,5,3,15,7,11,16,8,10,12,6,9,19,0,2,13,14,4",17:56;18:39;1:58;5:28;3:37;15:66;7:15;11:45;16:45;8:37;10:51;12:51;6:41;9:59;19:31;0:32;2:54;13:35;14:59;4:10,"17:[0,1,2,4,7];18:[0,2,4];1:[0,2,3,6,7];5:[2,7];3:[1,6,7];15:[0,1,2,3,4,7];7:[2];11:[0,2,6,7];16:[1,2,3,4];8:[0,1,7];10:[0,1,2,5,6];12:[0,1,2,5,6];6:[1,3,5,7];9:[0,1,2,4,6];19:[0,2,5];0:[4,5,6];2:[2,4,5,6,7];13:[2,3,5];14:[1,3,4,5,7];4:[7]","c17:bw=56,experts=[0,1,2,4,7]; c18:bw=39,experts=[0,2,4]; c1:bw=58,experts=[0,2,3,6,7]; c5:bw=28,experts=[2,7]; c3:bw=37,experts=[1,6,7]; c15:bw=66,experts=[0,1,2,3,4,7]; c7:bw=15,experts=[2]; c11:bw=45,experts=[0,2,6,7]; c16:bw=45,experts=[1,2,3,4]; c8:bw=37,experts=[0,1,7]; c10:bw=51,experts=[0,1,2,5,6]; c12:bw=51,experts=[0,1,2,5,6]; c6:bw=41,experts=[1,3,5,7]; c9:bw=59,experts=[0,1,2,4,6]; c19:bw=31,experts=[0,2,5]; c0:bw=32,experts=[4,5,6]; c2:bw=54,experts=[2,4,5,6,7]; c13:bw=35,experts=[2,3,5]; c14:bw=59,experts=[1,3,4,5,7]; c4:bw=10,experts=[7]","2.2276,2.9210,3.7417,1.1845,1.4658,2.7948,3.0219,2.4231,2.0396,2.1488,1.1759,2.5375,1.9055,2.2024,3.5113,1.4248,2.5788,4.0148,3.7757,3.4173"
9,2026-09-23 19:04:30,Ours,0.01,3.318218766778532,9.19,9.19,9,51.4698,0:51.47,50.0348,0.3154,1.1175,469.9727,7:49.97,20,"17,11,7,13,0,9,4,8,1,5,2,16,19,15,3,18,10,14,12,6",17:49;11:28;7:46;13:41;0:52;9:26;4:59;8:18;1:14;5:52;2:21;16:41;19:26;15:36;3:23;18:53;10:34;14:37;12:38;6:31,"17:[1,2,4,7];11:[3,4];7:[0,1,4,5];13:[1,3,4,5];0:[0,3,4,5,6];9:[4,5];4:[1,2,3,4,6];8:[1];1:[1];5:[2,3,4,5,6];2:[2,4];16:[0,2,5,7];19:[3,4];15:[2,4,7];3:[6,7];18:[0,1,3,4,5];10:[2,3,6];14:[2,5,6];12:[3,4,5];6:[2,5,7]","c17:bw=49,experts=[1,2,4,7]; c11:bw=28,experts=[3,4]; c7:bw=46,experts=[0,1,4,5]; c13:bw=41,experts=[1,3,4,5]; c0:bw=52,experts=[0,3,4,5,6]; c9:bw=26,experts=[4,5]; c4:bw=59,experts=[1,2,3,4,6]; c8:bw=18,experts=[1]; c1:bw=14,experts=[1]; c5:bw=52,experts=[2,3,4,5,6]; c2:bw=21,experts=[2,4]; c16:bw=41,experts=[0,2,5,7]; c19:bw=26,experts=[3,4]; c15:bw=36,experts=[2,4,7]; c3:bw=23,experts=[6,7]; c18:bw=53,experts=[0,1,3,4,5]; c10:bw=34,experts=[2,3,6]; c14:bw=37,experts=[2,5,6]; c12:bw=38,experts=[3,4,5]; c6:bw=31,experts=[2,5,7]","2.1334,2.2439,3.2659,3.9860,1.3785,2.1616,3.4354,2.1347,3.4946,1.2160,2.4715,1.9765,3.4312,2.8281,1.3616,2.8959,1.1345,4.0339,2.5518,1.8999"
10,2026-09-23 19:05:22,Ours,0.01,3.306417936667232,10.4,10.4,10,52.7424,0:52.74,51.304,0.3162,1.12,522.7286,8:42.73,20,"4,9,1,15,7,5,16,2,18,3,12,17,8,14,0,13,6,10,19,11",4:37;9:35;1:41;15:10;7:37;5:58;16:44;2:34;18:28;3:46;12:52;17:35;8:35;14:57;0:59;13:38;6:65;10:54;19:43;11:21,"4:[1,3,5];9:[2,4,7];1:[0,1,4,7];15:[4];7:[1,5,6];5:[0,3,5,6,7];16:[0,1,5,7];2:[1,3,4];18:[0,5];3:[1,3,4,5];12:[0,1,5,6,7];17:[0,4,7];8:[0,1,5];14:[0,2,3,4,7];0:[1,3,4,6,7];13:[0,1,3];6:[1,2,4,5,6,7];10:[0,1,2,3,6];19:[1,2,5,6];11:[1,7]","c4:bw=37,experts=[1,3,5]; c9:bw=35,experts=[2,4,7]; c1:bw=41,experts=[0,1,4,7]; c15:bw=10,experts=[4]; c7:bw=37,experts=[1,5,6]; c5:bw=58,experts=[0,3,5,6,7]; c16:bw=44,experts=[0,1,5,7]; c2:bw=34,experts=[1,3,4]; c18:bw=28,experts=[0,5]; c3:bw=46,experts=[1,3,4,5]; c12:bw=52,experts=[0,1,5,6,7]; c17:bw=35,experts=[0,4,7]; c8:bw=35,experts=[0,1,5]; c14:bw=57,experts=[0,2,3,4,7]; c0:bw=59,experts=[1,3,4,6,7]; c13:bw=38,experts=[0,1,3]; c6:bw=65,experts=[1,2,4,5,6,7]; c10:bw=54,experts=[0,1,2,3,6]; c19:bw=43,experts=[1,2,5,6]; c11:bw=21,experts=[1,7]","3.4480,2.1778,3.5719,3.0166,3.2327,1.2299,2.1047,2.5917,2.9293,1.3720,2.5384,2.2326,2.1520,3.9854,1.4813,4.1491,2.0144,1.1961,3.6520,2.2282"
