Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 21:49:33,Ours,0.00208,4.018101591959764,1.0,1.0,1,57.0524,0:57.05,55.3602,0.5367,1.1526,57.0524,0:57.05,30,"27,15,23,17,8,9,28,24,12,0,4,16,5,13,11,22,1,2,25,3,21,26,18,29,20,7,10,14,19,6",27:21;15:58;23:65;17:34;8:55;9:45;28:39;24:34;12:23;0:10;4:40;16:48;5:44;13:42;11:24;22:26;1:29;2:29;25:55;3:51;21:20;26:38;18:30;29:26;20:55;7:20;10:22;14:54;19:40;6:41,"27:[2,4];15:[1,2,4,5,6];23:[0,1,2,4,5,6];17:[2,4,6];8:[1,2,4,5,6];9:[1,2,4,6];28:[2,4,6];24:[2,4,6];12:[2,4];0:[2];4:[1,2,4,6];16:[1,2,4,6];5:[1,2,4,6];13:[1,2,4,6];11:[2,4];22:[2,4];1:[2,6];2:[2,4];25:[1,2,4,5,6];3:[1,2,4,5,6];21:[2,4];26:[2,4,6];18:[2,4,6];29:[2,4];20:[1,2,4,5,6];7:[2,4];10:[2,6];14:[1,2,4,5,6];19:[1,2,4,6];6:[1,2,4,6]","c27:bw=21,experts=[2,4]; c15:bw=58,experts=[1,2,4,5,6]; c23:bw=65,experts=[0,1,2,4,5,6]; c17:bw=34,experts=[2,4,6]; c8:bw=55,experts=[1,2,4,5,6]; c9:bw=45,experts=[1,2,4,6]; c28:bw=39,experts=[2,4,6]; c24:bw=34,experts=[2,4,6]; c12:bw=23,experts=[2,4]; c0:bw=10,experts=[2]; c4:bw=40,experts=[1,2,4,6]; c16:bw=48,experts=[1,2,4,6]; c5:bw=44,experts=[1,2,4,6]; c13:bw=42,experts=[1,2,4,6]; c11:bw=24,experts=[2,4]; c22:bw=26,experts=[2,4]; c1:bw=29,experts=[2,6]; c2:bw=29,experts=[2,4]; c25:bw=55,experts=[1,2,4,5,6]; c3:bw=51,experts=[1,2,4,5,6]; c21:bw=20,experts=[2,4]; c26:bw=38,experts=[2,4,6]; c18:bw=30,experts=[2,4,6]; c29:bw=26,experts=[2,4]; c20:bw=55,experts=[1,2,4,5,6]; c7:bw=20,experts=[2,4]; c10:bw=22,experts=[2,6]; c14:bw=54,experts=[1,2,4,5,6]; c19:bw=40,experts=[1,2,4,6]; c6:bw=41,experts=[1,2,4,6]","2.6364,1.2872,1.4421,2.0753,1.2754,1.4845,1.7113,1.3737,2.0634,1.1720,2.2145,2.0397,3.3050,1.8413,2.4817,1.8115,1.1799,1.4078,2.1809,1.7094,1.1476,1.1683,1.9442,3.5416,2.3168,1.4111,2.8248,1.4755,1.5728,1.2644"
2,2026-09-23 21:50:28,Ours,0.00406,3.684123752131777,1.0,1.0,1,55.2201,0:55.22,53.6115,0.4744,1.1311,112.414,1:52.41,30,"0,5,20,26,13,7,21,10,12,29,24,22,16,3,1,17,8,6,23,4,2,19,11,18,25,14,15,28,27,9",0:36;5:69;20:15;26:35;13:54;7:55;21:28;10:59;12:16;29:60;24:10;22:38;16:16;3:67;1:41;17:51;8:48;6:17;23:70;4:30;2:22;19:53;11:29;18:24;25:25;14:26;15:62;28:65;27:24;9:46,"0:[1,4,6];5:[0,1,2,4,5,6];20:[4];26:[1,4,6];13:[1,2,4,5,6];7:[1,2,4,5,6];21:[4,6];10:[1,2,4,5,6];12:[4];29:[0,1,2,4,5,6];24:[4];22:[1,4,6];16:[4];3:[0,1,2,4,5,6];1:[1,2,4,6];17:[1,2,4,5,6];8:[1,2,4,6];6:[4];23:[0,1,2,3,4,5,6];4:[1,4,6];2:[4,6];19:[1,2,4,5,6];11:[4,6];18:[4,6];25:[4,6];14:[4,6];15:[0,1,2,4,5,6];28:[0,1,2,4,5,6];27:[4,6];9:[1,2,4,6]","c0:bw=36,experts=[1,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c20:bw=15,experts=[4]; c26:bw=35,experts=[1,4,6]; c13:bw=54,experts=[1,2,4,5,6]; c7:bw=55,experts=[1,2,4,5,6]; c21:bw=28,experts=[4,6]; c10:bw=59,experts=[1,2,4,5,6]; c12:bw=16,experts=[4]; c29:bw=60,experts=[0,1,2,4,5,6]; c24:bw=10,experts=[4]; c22:bw=38,experts=[1,4,6]; c16:bw=16,experts=[4]; c3:bw=67,experts=[0,1,2,4,5,6]; c1:bw=41,experts=[1,2,4,6]; c17:bw=51,experts=[1,2,4,5,6]; c8:bw=48,experts=[1,2,4,6]; c6:bw=17,experts=[4]; c23:bw=70,experts=[0,1,2,3,4,5,6]; c4:bw=30,experts=[1,4,6]; c2:bw=22,experts=[4,6]; c19:bw=53,experts=[1,2,4,5,6]; c11:bw=29,experts=[4,6]; c18:bw=24,experts=[4,6]; c25:bw=25,experts=[4,6]; c14:bw=26,experts=[4,6]; c15:bw=62,experts=[0,1,2,4,5,6]; c28:bw=65,experts=[0,1,2,4,5,6]; c27:bw=24,experts=[4,6]; c9:bw=46,experts=[1,2,4,6]","1.1512,3.2753,2.2904,1.1589,1.8383,1.3656,1.0977,2.6087,1.9818,3.3473,1.3584,1.7853,1.9849,1.6496,1.1251,2.0608,1.2130,1.2378,1.4629,2.2248,1.3781,1.5227,2.4533,1.9071,2.1453,1.4494,1.2542,1.7693,2.0716,1.4425"
3,2026-09-23 21:51:25,Ours,0.006040000000000001,3.5076957666577346,1.0,1.0,1,56.5548,0:56.55,54.9118,0.5009,1.139,168.9817,2:48.98,30,"4,25,10,0,8,20,29,26,15,28,24,23,18,12,21,19,9,5,1,22,27,17,3,16,13,2,14,7,11,6",4:52;25:35;10:10;0:50;8:30;20:56;29:15;26:52;15:16;28:56;24:29;23:11;18:40;12:37;21:48;19:24;9:48;5:13;1:13;22:54;27:34;17:41;3:26;16:31;13:54;2:42;14:53;7:33;11:66;6:40,"4:[0,1,2,4,6];25:[1,4,6];10:[4];0:[0,1,2,4,6];8:[1,4,6];20:[0,1,4,5,6];29:[4];26:[0,1,4,5,6];15:[4];28:[1,2,4,5,6];24:[4,6];23:[4];18:[1,4,5,6];12:[1,4,6];21:[0,1,4,6];19:[4,6];9:[1,4,5,6];5:[4];1:[4];22:[0,1,4,5,6];27:[1,4,6];17:[0,1,4,6];3:[4,6];16:[1,4,6];13:[0,1,2,4,6];2:[0,1,4,6];14:[0,1,4,5,6];7:[1,4,6];11:[0,1,2,4,5,6];6:[0,1,4,6]","c4:bw=52,experts=[0,1,2,4,6]; c25:bw=35,experts=[1,4,6]; c10:bw=10,experts=[4]; c0:bw=50,experts=[0,1,2,4,6]; c8:bw=30,experts=[1,4,6]; c20:bw=56,experts=[0,1,4,5,6]; c29:bw=15,experts=[4]; c26:bw=52,experts=[0,1,4,5,6]; c15:bw=16,experts=[4]; c28:bw=56,experts=[1,2,4,5,6]; c24:bw=29,experts=[4,6]; c23:bw=11,experts=[4]; c18:bw=40,experts=[1,4,5,6]; c12:bw=37,experts=[1,4,6]; c21:bw=48,experts=[0,1,4,6]; c19:bw=24,experts=[4,6]; c9:bw=48,experts=[1,4,5,6]; c5:bw=13,experts=[4]; c1:bw=13,experts=[4]; c22:bw=54,experts=[0,1,4,5,6]; c27:bw=34,experts=[1,4,6]; c17:bw=41,experts=[0,1,4,6]; c3:bw=26,experts=[4,6]; c16:bw=31,experts=[1,4,6]; c13:bw=54,experts=[0,1,2,4,6]; c2:bw=42,experts=[0,1,4,6]; c14:bw=53,experts=[0,1,4,5,6]; c7:bw=33,experts=[1,4,6]; c11:bw=66,experts=[0,1,2,4,5,6]; c6:bw=40,experts=[0,1,4,6]","2.3443,2.2693,2.8500,1.1720,1.2884,2.3426,3.5901,1.1740,1.2740,1.7842,1.3546,1.4799,1.9235,1.9528,1.1215,1.5697,1.5103,3.4481,1.1598,1.8015,2.0845,2.0627,1.7085,2.0104,1.8322,1.3001,1.3885,1.3785,2.4955,1.2402"
4,2026-09-23 21:52:22,Ours,0.00802,3.4037601964226862,1.0,1.0,1,56.6265,0:56.63,54.961,0.5093,1.153,225.6203,3:45.62,30,"3,1,4,5,16,26,9,13,24,2,10,19,28,11,18,7,21,6,0,22,25,8,27,23,29,14,17,12,15,20",3:34;1:40;4:56;5:73;16:45;26:37;9:22;13:49;24:19;2:60;10:64;19:47;28:63;11:49;18:43;7:45;21:27;6:53;0:59;22:49;25:43;8:31;27:58;23:15;29:44;14:32;17:39;12:63;15:24;20:70,"3:[0,4,6];1:[0,1,4,6];4:[0,1,4,5,6];5:[0,1,2,4,5,6,7];16:[0,1,4,6];26:[0,4,6];9:[4,6];13:[0,1,4,6];24:[4];2:[0,1,2,4,5,6];10:[0,1,2,4,5,6];19:[0,1,4,6];28:[0,1,2,4,5,6];11:[0,1,4,6];18:[0,1,4,6];7:[0,1,4,6];21:[4,6];6:[0,1,4,5,6];0:[0,1,4,5,6];22:[0,1,4,6];25:[0,1,4,6];8:[0,4,6];27:[0,1,4,5,6];23:[4];29:[0,1,4,6];14:[0,4,6];17:[0,4,6];12:[0,1,2,4,5,6];15:[4,6];20:[0,1,2,4,5,6,7]","c3:bw=34,experts=[0,4,6]; c1:bw=40,experts=[0,1,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c16:bw=45,experts=[0,1,4,6]; c26:bw=37,experts=[0,4,6]; c9:bw=22,experts=[4,6]; c13:bw=49,experts=[0,1,4,6]; c24:bw=19,experts=[4]; c2:bw=60,experts=[0,1,2,4,5,6]; c10:bw=64,experts=[0,1,2,4,5,6]; c19:bw=47,experts=[0,1,4,6]; c28:bw=63,experts=[0,1,2,4,5,6]; c11:bw=49,experts=[0,1,4,6]; c18:bw=43,experts=[0,1,4,6]; c7:bw=45,experts=[0,1,4,6]; c21:bw=27,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c0:bw=59,experts=[0,1,4,5,6]; c22:bw=49,experts=[0,1,4,6]; c25:bw=43,experts=[0,1,4,6]; c8:bw=31,experts=[0,4,6]; c27:bw=58,experts=[0,1,4,5,6]; c23:bw=15,experts=[4]; c29:bw=44,experts=[0,1,4,6]; c14:bw=32,experts=[0,4,6]; c17:bw=39,experts=[0,4,6]; c12:bw=63,experts=[0,1,2,4,5,6]; c15:bw=24,experts=[4,6]; c20:bw=70,experts=[0,1,2,4,5,6,7]","1.6973,1.1806,2.3469,3.4684,2.0158,1.1564,1.5620,1.8285,1.3801,1.3248,2.7829,1.6075,1.7596,2.5030,1.9439,1.4025,1.1093,1.2404,1.1728,1.7984,2.2980,1.2622,2.0644,1.4648,3.4890,1.4348,2.1099,1.9790,1.2507,2.3272"
5,2026-09-23 21:53:16,Ours,0.01,3.358417281774499,1.04,1.04,5,54.6996,0:54.70,53.0813,0.4794,1.1355,280.3317,4:40.33,30,"26,3,16,28,9,20,22,14,12,17,19,13,21,18,10,5,24,23,2,4,15,0,1,11,7,27,29,8,25,6",26:19;3:63;16:32;28:45;9:62;20:50;22:49;14:53;12:55;17:64;19:19;13:36;21:35;18:10;10:35;5:40;24:12;23:29;2:10;4:48;15:45;0:50;1:20;11:21;7:24;27:30;29:55;8:37;25:34;6:53,"26:[4];3:[0,1,2,4,5,6];16:[0,4,6];28:[0,1,4,6];9:[0,1,2,4,5,6];20:[0,1,4,5,6];22:[0,1,4,6];14:[0,1,4,5,6];12:[0,1,4,5,6];17:[0,1,2,4,5,6];19:[4];13:[0,4,6];21:[0,4,6];18:[4];10:[0,4,6];5:[0,1,4,6];24:[4];23:[4,6];2:[4];4:[0,1,4,6];15:[0,1,4,6];0:[0,1,4,5,6];1:[4,6];11:[4,6];7:[4,6];27:[0,4,6];29:[0,1,4,5,6];8:[0,4,6];25:[0,4,6];6:[0,1,4,5,6]","c26:bw=19,experts=[4]; c3:bw=63,experts=[0,1,2,4,5,6]; c16:bw=32,experts=[0,4,6]; c28:bw=45,experts=[0,1,4,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c20:bw=50,experts=[0,1,4,5,6]; c22:bw=49,experts=[0,1,4,6]; c14:bw=53,experts=[0,1,4,5,6]; c12:bw=55,experts=[0,1,4,5,6]; c17:bw=64,experts=[0,1,2,4,5,6]; c19:bw=19,experts=[4]; c13:bw=36,experts=[0,4,6]; c21:bw=35,experts=[0,4,6]; c18:bw=10,experts=[4]; c10:bw=35,experts=[0,4,6]; c5:bw=40,experts=[0,1,4,6]; c24:bw=12,experts=[4]; c23:bw=29,experts=[4,6]; c2:bw=10,experts=[4]; c4:bw=48,experts=[0,1,4,6]; c15:bw=45,experts=[0,1,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c1:bw=20,experts=[4,6]; c11:bw=21,experts=[4,6]; c7:bw=24,experts=[4,6]; c27:bw=30,experts=[0,4,6]; c29:bw=55,experts=[0,1,4,5,6]; c8:bw=37,experts=[0,4,6]; c25:bw=34,experts=[0,4,6]; c6:bw=53,experts=[0,1,4,5,6]","1.1028,1.6532,1.9438,1.7205,1.4719,2.1981,1.7765,1.4096,1.9109,2.1248,1.5477,1.7623,1.0844,1.8687,2.7264,3.2626,1.3232,1.4016,1.2987,2.2326,1.2189,1.1418,1.1340,2.3678,1.3732,1.9943,3.3994,1.2421,2.1998,1.1898"
6,2026-09-23 21:54:11,Ours,0.01,3.32531385697079,1.49,1.49,6,54.3235,0:54.32,52.677,0.5039,1.1393,334.6673,5:34.67,30,"17,11,7,13,0,28,20,8,1,5,2,23,22,15,21,29,10,14,26,24,4,3,19,16,6,18,12,27,9,25",17:27;11:31;7:58;13:15;0:31;28:74;20:44;8:67;1:32;5:27;2:42;23:73;22:32;15:33;21:10;29:41;10:10;14:40;26:43;24:18;4:17;3:36;19:37;16:54;6:20;18:40;12:62;27:43;9:48;25:43,"17:[4,6];11:[0,4,6];7:[0,1,4,5,6];13:[4];0:[0,4,6];28:[0,1,2,4,5,6,7];20:[0,1,4,6];8:[0,1,2,4,5,6];1:[0,4,6];5:[4,6];2:[0,1,4,6];23:[0,1,2,4,5,6,7];22:[0,4,6];15:[0,4,6];21:[4];29:[0,1,4,6];10:[4];14:[0,1,4,6];26:[0,1,4,6];24:[4];4:[4];3:[0,4,6];19:[0,4,6];16:[0,1,4,5,6];6:[4,6];18:[0,1,4,6];12:[0,1,2,4,5,6];27:[0,1,4,6];9:[0,1,4,6];25:[0,1,4,6]","c17:bw=27,experts=[4,6]; c11:bw=31,experts=[0,4,6]; c7:bw=58,experts=[0,1,4,5,6]; c13:bw=15,experts=[4]; c0:bw=31,experts=[0,4,6]; c28:bw=74,experts=[0,1,2,4,5,6,7]; c20:bw=44,experts=[0,1,4,6]; c8:bw=67,experts=[0,1,2,4,5,6]; c1:bw=32,experts=[0,4,6]; c5:bw=27,experts=[4,6]; c2:bw=42,experts=[0,1,4,6]; c23:bw=73,experts=[0,1,2,4,5,6,7]; c22:bw=32,experts=[0,4,6]; c15:bw=33,experts=[0,4,6]; c21:bw=10,experts=[4]; c29:bw=41,experts=[0,1,4,6]; c10:bw=10,experts=[4]; c14:bw=40,experts=[0,1,4,6]; c26:bw=43,experts=[0,1,4,6]; c24:bw=18,experts=[4]; c4:bw=17,experts=[4]; c3:bw=36,experts=[0,4,6]; c19:bw=37,experts=[0,4,6]; c16:bw=54,experts=[0,1,4,5,6]; c6:bw=20,experts=[4,6]; c18:bw=40,experts=[0,1,4,6]; c12:bw=62,experts=[0,1,2,4,5,6]; c27:bw=43,experts=[0,1,4,6]; c9:bw=48,experts=[0,1,4,6]; c25:bw=43,experts=[0,1,4,6]","2.1047,2.4044,1.3829,1.7315,1.1609,1.7025,2.1782,1.2547,1.1374,3.2675,1.3404,1.4052,1.7336,1.2124,1.0739,3.4066,2.6609,1.3863,1.0983,1.2801,2.2013,1.6253,1.5320,1.9214,1.1903,1.8475,1.8836,1.9487,1.4331,2.1716"
7,2026-09-23 21:55:05,Ours,0.01,3.299979057205573,2.3,2.3,7,54.1758,0:54.18,52.5185,0.4916,1.156,388.8555,6:28.86,30,"20,1,29,3,13,15,9,16,14,17,21,4,18,25,7,5,23,2,8,12,26,24,0,6,22,10,19,28,11,27",20:16;1:10;29:57;3:26;13:25;15:39;9:10;16:53;14:13;17:41;21:60;4:14;18:20;25:50;7:31;5:49;23:41;2:40;8:57;12:47;26:49;24:31;0:36;6:13;22:55;10:17;19:54;28:10;11:60;27:26,"20:[4];1:[4];29:[0,1,4,5,6];3:[4,6];13:[4,6];15:[0,4,6];9:[4];16:[0,1,4,5,6];14:[4];17:[0,4,5,6];21:[0,1,2,4,5,6];4:[4];18:[4,6];25:[0,1,4,5,6];7:[0,4,6];5:[0,4,5,6];23:[0,4,5,6];2:[0,4,5,6];8:[0,1,4,5,6];12:[0,4,5,6];26:[0,4,5,6];24:[0,4,6];0:[0,4,6];6:[4];22:[0,1,4,5,6];10:[4];19:[0,1,4,5,6];28:[4];11:[0,1,2,4,5,6];27:[4,6]","c20:bw=16,experts=[4]; c1:bw=10,experts=[4]; c29:bw=57,experts=[0,1,4,5,6]; c3:bw=26,experts=[4,6]; c13:bw=25,experts=[4,6]; c15:bw=39,experts=[0,4,6]; c9:bw=10,experts=[4]; c16:bw=53,experts=[0,1,4,5,6]; c14:bw=13,experts=[4]; c17:bw=41,experts=[0,4,5,6]; c21:bw=60,experts=[0,1,2,4,5,6]; c4:bw=14,experts=[4]; c18:bw=20,experts=[4,6]; c25:bw=50,experts=[0,1,4,5,6]; c7:bw=31,experts=[0,4,6]; c5:bw=49,experts=[0,4,5,6]; c23:bw=41,experts=[0,4,5,6]; c2:bw=40,experts=[0,4,5,6]; c8:bw=57,experts=[0,1,4,5,6]; c12:bw=47,experts=[0,4,5,6]; c26:bw=49,experts=[0,4,5,6]; c24:bw=31,experts=[0,4,6]; c0:bw=36,experts=[0,4,6]; c6:bw=13,experts=[4]; c22:bw=55,experts=[0,1,4,5,6]; c10:bw=17,experts=[4]; c19:bw=54,experts=[0,1,4,5,6]; c28:bw=10,experts=[4]; c11:bw=60,experts=[0,1,2,4,5,6]; c27:bw=26,experts=[4,6]","2.1654,1.1343,3.4017,1.6362,1.7250,1.2209,1.4453,1.9048,1.3883,2.1092,1.0937,2.2009,1.8424,2.1900,1.3814,3.2178,1.4182,1.3208,1.2218,1.8986,1.0913,1.2886,1.1328,1.1709,1.7112,2.6465,1.5422,1.6696,2.3814,1.9672"
8,2026-09-23 21:55:59,Ours,0.01,3.3613099051394904,4.54,4.54,8,54.2233,0:54.22,52.5446,0.5115,1.1639,443.0923,7:23.09,30,"10,14,7,9,13,8,3,12,18,23,15,0,21,28,5,26,17,24,27,20,22,4,29,2,1,6,11,19,25,16",10:51;14:59;7:15;9:59;13:35;8:37;3:37;12:51;18:39;23:35;15:66;0:32;21:31;28:38;5:28;26:55;17:56;24:42;27:41;20:42;22:61;4:10;29:71;2:54;1:58;6:41;11:45;19:31;25:41;16:45,"10:[0,3,4,6,7];14:[0,3,4,6,7];7:[3];9:[0,3,4,6,7];13:[3,4,7];8:[3,4,7];3:[3,4,7];12:[0,3,4,6,7];18:[3,4,7];23:[0,4,6];15:[0,3,4,5,6,7];0:[3,4,7];21:[3,4,7];28:[3,4,6];5:[3,4];26:[0,3,4,6,7];17:[0,3,4,6,7];24:[1,3,5,7];27:[3,4,6,7];20:[0,3,4,6];22:[0,3,4,5,6,7];4:[3];29:[0,1,3,4,5,6,7];2:[0,3,4,6,7];1:[3,4,5,6,7];6:[3,4,6,7];11:[3,4,6,7];19:[3,4,7];25:[3,4,6,7];16:[3,4,6,7]","c10:bw=51,experts=[0,3,4,6,7]; c14:bw=59,experts=[0,3,4,6,7]; c7:bw=15,experts=[3]; c9:bw=59,experts=[0,3,4,6,7]; c13:bw=35,experts=[3,4,7]; c8:bw=37,experts=[3,4,7]; c3:bw=37,experts=[3,4,7]; c12:bw=51,experts=[0,3,4,6,7]; c18:bw=39,experts=[3,4,7]; c23:bw=35,experts=[0,4,6]; c15:bw=66,experts=[0,3,4,5,6,7]; c0:bw=32,experts=[3,4,7]; c21:bw=31,experts=[3,4,7]; c28:bw=38,experts=[3,4,6]; c5:bw=28,experts=[3,4]; c26:bw=55,experts=[0,3,4,6,7]; c17:bw=56,experts=[0,3,4,6,7]; c24:bw=42,experts=[1,3,5,7]; c27:bw=41,experts=[3,4,6,7]; c20:bw=42,experts=[0,3,4,6]; c22:bw=61,experts=[0,3,4,5,6,7]; c4:bw=10,experts=[3]; c29:bw=71,experts=[0,1,3,4,5,6,7]; c2:bw=54,experts=[0,3,4,6,7]; c1:bw=58,experts=[3,4,5,6,7]; c6:bw=41,experts=[3,4,6,7]; c11:bw=45,experts=[3,4,6,7]; c19:bw=31,experts=[3,4,7]; c25:bw=41,experts=[3,4,6,7]; c16:bw=45,experts=[3,4,6,7]","2.6988,1.4137,1.3834,1.4526,1.7047,1.2263,1.6323,1.8961,1.8496,1.4063,1.2158,1.1391,1.0734,1.6861,3.2492,1.0911,2.1586,1.3144,1.9626,2.1760,1.6878,2.1962,3.3722,1.3065,1.1110,1.1849,2.3747,1.5361,2.1569,1.8882"
9,2026-09-23 21:56:53,Ours,0.01,3.304870998615335,6.05,6.05,9,54.166,0:54.17,52.5212,0.5004,1.1412,497.2715,8:17.27,30,"17,7,13,25,9,6,28,29,18,14,3,2,12,22,20,11,8,0,24,15,10,21,27,1,19,4,23,5,16,26",17:49;7:46;13:41;25:67;9:26;6:31;28:58;29:46;18:53;14:37;3:23;2:21;12:38;22:39;20:58;11:28;8:18;0:52;24:25;15:36;10:34;21:66;27:27;1:14;19:26;4:59;23:68;5:52;16:41;26:19,"17:[0,4,5,6];7:[0,4,6,7];13:[0,4,5,6];25:[0,1,2,4,5,6];9:[4,6];6:[2,4,6];28:[0,1,4,5,6];29:[0,4,5,6];18:[0,2,4,5,6];14:[2,4,6];3:[4,6];2:[4,6];12:[0,4,6];22:[2,4,6];20:[0,1,4,5,6];11:[4,6];8:[4];0:[0,1,4,5,6];24:[2,4];15:[0,4,6];10:[0,4,6];21:[0,1,4,5,6,7];27:[2,4];1:[4];19:[4,6];4:[0,4,5,6,7];23:[0,1,4,5,6,7];5:[0,1,4,5,6];16:[0,2,4,6];26:[2]","c17:bw=49,experts=[0,4,5,6]; c7:bw=46,experts=[0,4,6,7]; c13:bw=41,experts=[0,4,5,6]; c25:bw=67,experts=[0,1,2,4,5,6]; c9:bw=26,experts=[4,6]; c6:bw=31,experts=[2,4,6]; c28:bw=58,experts=[0,1,4,5,6]; c29:bw=46,experts=[0,4,5,6]; c18:bw=53,experts=[0,2,4,5,6]; c14:bw=37,experts=[2,4,6]; c3:bw=23,experts=[4,6]; c2:bw=21,experts=[4,6]; c12:bw=38,experts=[0,4,6]; c22:bw=39,experts=[2,4,6]; c20:bw=58,experts=[0,1,4,5,6]; c11:bw=28,experts=[4,6]; c8:bw=18,experts=[4]; c0:bw=52,experts=[0,1,4,5,6]; c24:bw=25,experts=[2,4]; c15:bw=36,experts=[0,4,6]; c10:bw=34,experts=[0,4,6]; c21:bw=66,experts=[0,1,4,5,6,7]; c27:bw=27,experts=[2,4]; c1:bw=14,experts=[4]; c19:bw=26,experts=[4,6]; c4:bw=59,experts=[0,4,5,6,7]; c23:bw=68,experts=[0,1,4,5,6,7]; c5:bw=52,experts=[0,1,4,5,6]; c16:bw=41,experts=[0,2,4,6]; c26:bw=19,experts=[2]","2.1331,1.3988,1.7140,2.1821,1.4541,1.2028,1.6785,3.4144,1.8538,1.3936,1.6238,1.3297,1.9133,1.7066,2.1740,2.3717,1.2092,1.1517,1.2963,1.2103,2.6589,1.0698,1.9579,1.1023,1.5393,2.1790,1.3910,3.2309,1.8917,1.0884"
10,2026-09-23 21:57:47,Ours,0.01,3.302258020010757,6.27,6.27,10,54.2631,0:54.26,52.6268,0.5007,1.1324,551.548,9:11.55,30,"16,13,14,18,5,22,19,24,20,4,12,1,23,11,3,29,21,15,26,2,9,25,10,28,27,17,6,7,0,8",16:44;13:38;14:57;18:28;5:58;22:10;19:43;24:68;20:10;4:37;12:52;1:41;23:10;11:21;3:46;29:25;21:10;15:10;26:58;2:34;9:35;25:66;10:54;28:24;27:24;17:35;6:65;7:37;0:59;8:35,"16:[0,4,5,6];13:[4,5,6];14:[0,1,4,5,6];18:[4,6];5:[0,4,5,6,7];22:[4];19:[2,4,5,6];24:[0,1,4,5,6,7];20:[4];4:[0,4,6];12:[0,1,4,5,6];1:[2,4,5,6];23:[3];11:[4,6];3:[0,4,5,6];29:[2,4];21:[4];15:[2];26:[0,1,4,5,6];2:[4,5,6];9:[4,5,6];25:[0,1,4,5,6,7];10:[0,1,4,5,6];28:[4,6];27:[4,6];17:[0,4,6];6:[0,1,4,5,6,7];7:[2,4,6];0:[0,1,4,5,6];8:[4,5,6]","c16:bw=44,experts=[0,4,5,6]; c13:bw=38,experts=[4,5,6]; c14:bw=57,experts=[0,1,4,5,6]; c18:bw=28,experts=[4,6]; c5:bw=58,experts=[0,4,5,6,7]; c22:bw=10,experts=[4]; c19:bw=43,experts=[2,4,5,6]; c24:bw=68,experts=[0,1,4,5,6,7]; c20:bw=10,experts=[4]; c4:bw=37,experts=[0,4,6]; c12:bw=52,experts=[0,1,4,5,6]; c1:bw=41,experts=[2,4,5,6]; c23:bw=10,experts=[3]; c11:bw=21,experts=[4,6]; c3:bw=46,experts=[0,4,5,6]; c29:bw=25,experts=[2,4]; c21:bw=10,experts=[4]; c15:bw=10,experts=[2]; c26:bw=58,experts=[0,1,4,5,6]; c2:bw=34,experts=[4,5,6]; c9:bw=35,experts=[4,5,6]; c25:bw=66,experts=[0,1,4,5,6,7]; c10:bw=54,experts=[0,1,4,5,6]; c28:bw=24,experts=[4,6]; c27:bw=24,experts=[4,6]; c17:bw=35,experts=[0,4,6]; c6:bw=65,experts=[0,1,4,5,6,7]; c7:bw=37,experts=[2,4,6]; c0:bw=59,experts=[0,1,4,5,6]; c8:bw=35,experts=[4,5,6]","1.9157,1.7217,1.4154,1.8442,3.2838,1.7093,1.5636,1.3180,2.1702,2.2226,1.8932,1.1318,1.4101,2.3749,1.6334,3.4130,1.0660,1.2486,1.0919,1.3192,1.4465,2.1570,2.6688,1.6521,1.9527,2.0899,1.1900,1.3639,1.1525,1.2066"
