Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 20:23:26,Ours,0.00208,4.189798254583634,1.12,1.12,1,54.9273,0:54.93,53.3117,0.4859,1.1266,54.9273,0:54.93,30,"27,15,23,17,8,9,28,24,12,0,4,16,5,13,11,22,1,2,25,3,21,26,18,29,20,7,10,14,19,6",27:21;15:58;23:65;17:34;8:55;9:45;28:39;24:34;12:23;0:10;4:40;16:48;5:44;13:42;11:24;22:26;1:29;2:29;25:55;3:51;21:20;26:38;18:30;29:26;20:55;7:20;10:22;14:54;19:40;6:41,"27:[3,4];15:[0,1,2,3,7];23:[0,1,2,3,4,7];17:[1,2,3];8:[0,1,2,3,4];9:[1,2,3,4];28:[4,5,6];24:[0,1,2];12:[4,5];0:[0];4:[4,5,6,7];16:[0,1,2,3];5:[0,5,6,7];13:[0,5,6,7];11:[3,4];22:[6,7];1:[1,2];2:[2,3];25:[1,2,3,4,5];3:[3,4,5,6,7];21:[5,6];26:[2,3,4];18:[2,3,4];29:[5,6];20:[0,4,5,6,7];7:[0,7];10:[2,3];14:[0,1,2,6,7];19:[3,4,5,6];6:[0,1,6,7]","c27:bw=21,experts=[3,4]; c15:bw=58,experts=[0,1,2,3,7]; c23:bw=65,experts=[0,1,2,3,4,7]; c17:bw=34,experts=[1,2,3]; c8:bw=55,experts=[0,1,2,3,4]; c9:bw=45,experts=[1,2,3,4]; c28:bw=39,experts=[4,5,6]; c24:bw=34,experts=[0,1,2]; c12:bw=23,experts=[4,5]; c0:bw=10,experts=[0]; c4:bw=40,experts=[4,5,6,7]; c16:bw=48,experts=[0,1,2,3]; c5:bw=44,experts=[0,5,6,7]; c13:bw=42,experts=[0,5,6,7]; c11:bw=24,experts=[3,4]; c22:bw=26,experts=[6,7]; c1:bw=29,experts=[1,2]; c2:bw=29,experts=[2,3]; c25:bw=55,experts=[1,2,3,4,5]; c3:bw=51,experts=[3,4,5,6,7]; c21:bw=20,experts=[5,6]; c26:bw=38,experts=[2,3,4]; c18:bw=30,experts=[2,3,4]; c29:bw=26,experts=[5,6]; c20:bw=55,experts=[0,4,5,6,7]; c7:bw=20,experts=[0,7]; c10:bw=22,experts=[2,3]; c14:bw=54,experts=[0,1,2,6,7]; c19:bw=40,experts=[3,4,5,6]; c6:bw=41,experts=[0,1,6,7]","2.5012,1.1897,1.4253,1.9984,1.2198,1.4680,1.7010,1.3672,1.9893,1.1118,2.1548,1.8943,3.3460,1.7225,2.4211,1.7100,1.1165,1.3209,2.1983,1.5924,1.0832,1.1037,1.8741,3.4958,2.2131,1.3813,2.6661,1.4040,1.4867,1.1550"
2,2026-09-23 20:24:18,Ours,0.00406,3.919328629882078,2.22,2.22,2,52.1627,0:52.16,50.4979,0.5055,1.1515,107.2325,1:47.23,30,"0,5,20,26,13,7,21,10,12,29,24,22,16,3,1,17,8,6,23,4,2,19,11,18,25,14,15,28,27,9",0:36;5:69;20:15;26:35;13:54;7:55;21:28;10:59;12:16;29:60;24:10;22:38;16:16;3:67;1:41;17:51;8:48;6:17;23:70;4:30;2:22;19:53;11:29;18:24;25:25;14:26;15:62;28:65;27:24;9:46,"0:[1,2,3];5:[1,2,3,4,5,6];20:[1];26:[5,6,7];13:[1,2,3,4,5];7:[1,2,3,4,5];21:[0,7];10:[0,4,5,6,7];12:[6];29:[0,1,2,3,4,7];24:[3];22:[0,1,2];16:[4];3:[0,1,2,3,4,5];1:[3,4,5,6];17:[0,4,5,6,7];8:[0,5,6,7];6:[2];23:[0,1,2,3,5,6,7];4:[0,1,2];2:[4,5];19:[0,1,2,3,7];11:[5,6];18:[5,6];25:[6,7];14:[3,4];15:[0,1,4,5,6,7];28:[0,1,2,3,4,7];27:[5,6];9:[0,5,6,7]","c0:bw=36,experts=[1,2,3]; c5:bw=69,experts=[1,2,3,4,5,6]; c20:bw=15,experts=[1]; c26:bw=35,experts=[5,6,7]; c13:bw=54,experts=[1,2,3,4,5]; c7:bw=55,experts=[1,2,3,4,5]; c21:bw=28,experts=[0,7]; c10:bw=59,experts=[0,4,5,6,7]; c12:bw=16,experts=[6]; c29:bw=60,experts=[0,1,2,3,4,7]; c24:bw=10,experts=[3]; c22:bw=38,experts=[0,1,2]; c16:bw=16,experts=[4]; c3:bw=67,experts=[0,1,2,3,4,5]; c1:bw=41,experts=[3,4,5,6]; c17:bw=51,experts=[0,4,5,6,7]; c8:bw=48,experts=[0,5,6,7]; c6:bw=17,experts=[2]; c23:bw=70,experts=[0,1,2,3,5,6,7]; c4:bw=30,experts=[0,1,2]; c2:bw=22,experts=[4,5]; c19:bw=53,experts=[0,1,2,3,7]; c11:bw=29,experts=[5,6]; c18:bw=24,experts=[5,6]; c25:bw=25,experts=[6,7]; c14:bw=26,experts=[3,4]; c15:bw=62,experts=[0,1,4,5,6,7]; c28:bw=65,experts=[0,1,2,3,4,7]; c27:bw=24,experts=[5,6]; c9:bw=46,experts=[0,5,6,7]","1.0765,3.3560,2.1098,1.0367,1.6638,1.2916,1.0234,2.6280,1.8492,3.4723,1.2174,1.6495,1.8605,1.5426,1.0440,1.9864,1.1555,1.0920,1.3329,2.0745,1.2297,1.4306,2.2898,1.7036,2.0370,1.3592,1.1462,1.6409,1.8557,1.3424"
3,2026-09-23 20:25:10,Ours,0.006040000000000001,3.7254865145616187,3.28,3.28,3,51.5942,0:51.59,49.9481,0.4766,1.1664,158.8389,2:38.84,30,"4,25,10,0,8,20,29,26,15,28,24,23,18,12,21,19,9,5,1,22,27,17,3,16,13,2,14,7,11,6",4:52;25:35;10:10;0:50;8:30;20:56;29:15;26:52;15:16;28:56;24:29;23:11;18:40;12:37;21:48;19:24;9:48;5:13;1:13;22:54;27:34;17:41;3:26;16:31;13:54;2:42;14:53;7:33;11:66;6:40,"4:[3,4,5,6,7];25:[0,1,2];10:[1];0:[0,4,5,6,7];8:[1,2,3];20:[2,3,4,5,6];29:[5];26:[0,1,2,3,4];15:[2];28:[0,1,5,6,7];24:[4,5];23:[4];18:[0,1,2,7];12:[0,1,7];21:[1,2,3,4];19:[4,5];9:[1,2,3,4];5:[7];1:[7];22:[3,4,5,6,7];27:[0,1,7];17:[1,2,3,4];3:[6,7];16:[5,6,7];13:[0,1,2,6,7];2:[0,1,6,7];14:[0,1,5,6,7];7:[0,6,7];11:[0,1,2,3,4,7];6:[3,4,5,6]","c4:bw=52,experts=[3,4,5,6,7]; c25:bw=35,experts=[0,1,2]; c10:bw=10,experts=[1]; c0:bw=50,experts=[0,4,5,6,7]; c8:bw=30,experts=[1,2,3]; c20:bw=56,experts=[2,3,4,5,6]; c29:bw=15,experts=[5]; c26:bw=52,experts=[0,1,2,3,4]; c15:bw=16,experts=[2]; c28:bw=56,experts=[0,1,5,6,7]; c24:bw=29,experts=[4,5]; c23:bw=11,experts=[4]; c18:bw=40,experts=[0,1,2,7]; c12:bw=37,experts=[0,1,7]; c21:bw=48,experts=[1,2,3,4]; c19:bw=24,experts=[4,5]; c9:bw=48,experts=[1,2,3,4]; c5:bw=13,experts=[7]; c1:bw=13,experts=[7]; c22:bw=54,experts=[3,4,5,6,7]; c27:bw=34,experts=[0,1,7]; c17:bw=41,experts=[1,2,3,4]; c3:bw=26,experts=[6,7]; c16:bw=31,experts=[5,6,7]; c13:bw=54,experts=[0,1,2,6,7]; c2:bw=42,experts=[0,1,6,7]; c14:bw=53,experts=[0,1,5,6,7]; c7:bw=33,experts=[0,6,7]; c11:bw=66,experts=[0,1,2,3,4,7]; c6:bw=40,experts=[3,4,5,6]","2.1435,2.0659,2.6084,1.0819,1.1541,2.0699,3.2315,1.0080,1.1282,1.5937,1.2103,1.3125,1.6945,1.8891,0.9957,1.4474,1.3415,3.2422,1.0420,1.6238,1.8703,1.9662,1.5350,1.8080,1.6259,1.2389,1.3271,1.2996,2.2874,1.1058"
4,2026-09-23 20:26:02,Ours,0.00802,3.5622554478988793,4.88,4.88,4,52.3496,0:52.35,50.7156,0.4882,1.1426,211.1993,3:31.20,30,"3,1,4,5,16,26,9,13,24,2,10,19,28,11,18,7,21,6,0,22,25,8,27,23,29,14,17,12,15,20",3:34;1:40;4:56;5:73;16:45;26:37;9:22;13:49;24:19;2:60;10:64;19:47;28:63;11:49;18:43;7:45;21:27;6:53;0:59;22:49;25:43;8:31;27:58;23:15;29:44;14:32;17:39;12:63;15:24;20:70,"3:[0,1,2];1:[0,1,2,3];4:[0,1,2,3,4];5:[0,1,2,3,4,5,6];16:[0,1,2,3];26:[5,6,7];9:[5,6];13:[3,4,5,6];24:[6];2:[2,3,4,5,6,7];10:[2,3,4,5,6,7];19:[0,1,6,7];28:[2,3,4,5,6,7];11:[0,5,6,7];18:[3,4,5,6];7:[1,2,3,4];21:[5,6];6:[0,1,2,3,7];0:[1,2,3,4,5];22:[0,1,2,3];25:[3,4,5,6];8:[4,5,6];27:[2,3,4,5,6];23:[5];29:[0,1,6,7];14:[2,3,4];17:[5,6,7];12:[2,3,4,5,6,7];15:[3,4];20:[0,1,2,3,4,5,7]","c3:bw=34,experts=[0,1,2]; c1:bw=40,experts=[0,1,2,3]; c4:bw=56,experts=[0,1,2,3,4]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c16:bw=45,experts=[0,1,2,3]; c26:bw=37,experts=[5,6,7]; c9:bw=22,experts=[5,6]; c13:bw=49,experts=[3,4,5,6]; c24:bw=19,experts=[6]; c2:bw=60,experts=[2,3,4,5,6,7]; c10:bw=64,experts=[2,3,4,5,6,7]; c19:bw=47,experts=[0,1,6,7]; c28:bw=63,experts=[2,3,4,5,6,7]; c11:bw=49,experts=[0,5,6,7]; c18:bw=43,experts=[3,4,5,6]; c7:bw=45,experts=[1,2,3,4]; c21:bw=27,experts=[5,6]; c6:bw=53,experts=[0,1,2,3,7]; c0:bw=59,experts=[1,2,3,4,5]; c22:bw=49,experts=[0,1,2,3]; c25:bw=43,experts=[3,4,5,6]; c8:bw=31,experts=[4,5,6]; c27:bw=58,experts=[2,3,4,5,6]; c23:bw=15,experts=[5]; c29:bw=44,experts=[0,1,6,7]; c14:bw=32,experts=[2,3,4]; c17:bw=39,experts=[5,6,7]; c12:bw=63,experts=[2,3,4,5,6,7]; c15:bw=24,experts=[3,4]; c20:bw=70,experts=[0,1,2,3,4,5,7]","1.5508,1.0438,2.1481,3.3969,1.8097,1.0138,1.4595,1.6375,1.2309,1.2464,2.5826,1.4612,1.5922,2.3001,1.7212,1.3506,1.0307,1.1090,1.0613,1.6866,2.0869,1.1632,1.8885,1.3320,3.3591,1.3963,1.9637,1.8409,1.1355,2.1167"
5,2026-09-23 20:26:54,Ours,0.01,3.6614808338630285,4.36,4.88,4,51.5259,0:51.53,49.9125,0.4726,1.1377,262.7381,4:22.74,30,"26,3,16,28,9,20,22,14,12,17,19,13,21,18,10,5,24,23,2,4,15,0,1,11,7,27,29,8,25,6",26:19;3:63;16:32;28:45;9:62;20:50;22:49;14:53;12:55;17:64;19:19;13:36;21:35;18:10;10:35;5:40;24:12;23:29;2:10;4:48;15:45;0:50;1:20;11:21;7:24;27:30;29:55;8:37;25:34;6:53,"26:[0];3:[0,3,4,5,6,7];16:[4,5,6];28:[0,1,2,3];9:[0,1,2,3,4,7];20:[0,1,2,6,7];22:[4,5,6,7];14:[0,1,5,6,7];12:[0,1,2,3,4];17:[0,1,2,3,4,5];19:[2];13:[0,1,7];21:[0,1,7];18:[7];10:[0,1,2];5:[0,1,2,7];24:[7];23:[6,7];2:[0];4:[0,5,6,7];15:[0,5,6,7];0:[0,1,2,6,7];1:[4,5];11:[1,2];7:[5,6];27:[0,1,7];29:[2,3,4,5,6];8:[0,1,7];25:[0,1,7];6:[0,4,5,6,7]","c26:bw=19,experts=[0]; c3:bw=63,experts=[0,3,4,5,6,7]; c16:bw=32,experts=[4,5,6]; c28:bw=45,experts=[0,1,2,3]; c9:bw=62,experts=[0,1,2,3,4,7]; c20:bw=50,experts=[0,1,2,6,7]; c22:bw=49,experts=[4,5,6,7]; c14:bw=53,experts=[0,1,5,6,7]; c12:bw=55,experts=[0,1,2,3,4]; c17:bw=64,experts=[0,1,2,3,4,5]; c19:bw=19,experts=[2]; c13:bw=36,experts=[0,1,7]; c21:bw=35,experts=[0,1,7]; c18:bw=10,experts=[7]; c10:bw=35,experts=[0,1,2]; c5:bw=40,experts=[0,1,2,7]; c24:bw=12,experts=[7]; c23:bw=29,experts=[6,7]; c2:bw=10,experts=[0]; c4:bw=48,experts=[0,5,6,7]; c15:bw=45,experts=[0,5,6,7]; c0:bw=50,experts=[0,1,2,6,7]; c1:bw=20,experts=[4,5]; c11:bw=21,experts=[1,2]; c7:bw=24,experts=[5,6]; c27:bw=30,experts=[0,1,7]; c29:bw=55,experts=[2,3,4,5,6]; c8:bw=37,experts=[0,1,7]; c25:bw=34,experts=[0,1,7]; c6:bw=53,experts=[0,4,5,6,7]","1.0116,1.5472,1.8257,1.5908,1.3582,2.0791,1.6229,1.3841,1.7959,1.9867,1.4431,1.6134,0.9932,1.7261,2.5614,3.3456,1.2086,1.3167,1.2265,2.0688,1.1209,1.0594,1.0344,2.2655,1.3105,1.8383,3.2580,1.1226,2.0890,1.1083"
6,2026-09-23 20:27:45,Ours,0.01,3.546467925144087,4.94,4.94,6,51.3221,0:51.32,49.6821,0.4807,1.1563,314.0714,5:14.07,30,"17,11,7,13,0,28,20,8,1,5,2,23,22,15,21,29,10,14,26,24,4,3,19,16,6,18,12,27,9,25",17:27;11:31;7:58;13:15;0:31;28:74;20:44;8:67;1:32;5:27;2:42;23:73;22:32;15:33;21:10;29:41;10:10;14:40;26:43;24:18;4:17;3:36;19:37;16:54;6:20;18:40;12:62;27:43;9:48;25:43,"17:[6,7];11:[3,4,5];7:[0,1,2,3,7];13:[2];0:[3,4,5];28:[0,1,2,4,5,6,7];20:[3,4,5,6];8:[2,3,4,5,6,7];1:[0,6,7];5:[3,4];2:[1,2,3,4];23:[0,1,2,3,4,5,6];22:[0,1,2];15:[1,2,3];21:[2];29:[0,1,2,7];10:[3];14:[2,3,4,5];26:[1,2,3,4];24:[0];4:[1];3:[1,2,3];19:[3,4,5];16:[0,1,2,3,7];6:[1,2];18:[0,1,2,3];12:[0,1,2,5,6,7];27:[2,3,4,5];9:[0,5,6,7];25:[2,3,4,5]","c17:bw=27,experts=[6,7]; c11:bw=31,experts=[3,4,5]; c7:bw=58,experts=[0,1,2,3,7]; c13:bw=15,experts=[2]; c0:bw=31,experts=[3,4,5]; c28:bw=74,experts=[0,1,2,4,5,6,7]; c20:bw=44,experts=[3,4,5,6]; c8:bw=67,experts=[2,3,4,5,6,7]; c1:bw=32,experts=[0,6,7]; c5:bw=27,experts=[3,4]; c2:bw=42,experts=[1,2,3,4]; c23:bw=73,experts=[0,1,2,3,4,5,6]; c22:bw=32,experts=[0,1,2]; c15:bw=33,experts=[1,2,3]; c21:bw=10,experts=[2]; c29:bw=41,experts=[0,1,2,7]; c10:bw=10,experts=[3]; c14:bw=40,experts=[2,3,4,5]; c26:bw=43,experts=[1,2,3,4]; c24:bw=18,experts=[0]; c4:bw=17,experts=[1]; c3:bw=36,experts=[1,2,3]; c19:bw=37,experts=[3,4,5]; c16:bw=54,experts=[0,1,2,3,7]; c6:bw=20,experts=[1,2]; c18:bw=40,experts=[0,1,2,3]; c12:bw=62,experts=[0,1,2,5,6,7]; c27:bw=43,experts=[2,3,4,5]; c9:bw=48,experts=[0,5,6,7]; c25:bw=43,experts=[2,3,4,5]","1.9966,2.2596,1.3296,1.6341,1.0729,1.5725,2.0838,1.1354,1.0422,3.1738,1.2265,1.3196,1.6048,1.1281,0.9969,3.2128,2.5272,1.3057,1.0223,1.1998,2.0681,1.5407,1.4556,1.7869,1.1054,1.6942,1.9257,1.8663,1.3463,2.0487"
7,2026-09-23 20:28:36,Ours,0.01,3.545467134541423,7.66,7.66,7,51.2722,0:51.27,49.6542,0.4792,1.1357,365.3569,6:05.36,30,"20,1,29,3,13,15,9,16,14,17,21,4,18,25,7,5,23,2,8,12,26,24,0,6,22,10,19,28,11,27",20:16;1:10;29:57;3:26;13:25;15:39;9:10;16:53;14:13;17:41;21:60;4:14;18:20;25:50;7:31;5:49;23:41;2:40;8:57;12:47;26:49;24:31;0:36;6:13;22:55;10:17;19:54;28:10;11:60;27:26,"20:[7];1:[1];29:[3,4,5,6,7];3:[4,5];13:[3,4];15:[4,5,6];9:[1];16:[0,4,5,6,7];14:[6];17:[0,1,2,3];21:[0,3,4,5,6,7];4:[2];18:[4,5];25:[0,1,2,6,7];7:[4,5,6];5:[0,5,6,7];23:[0,1,2,7];2:[0,5,6,7];8:[0,1,2,3,4];12:[3,4,5,6];26:[0,5,6,7];24:[1,2,3];0:[0,6,7];6:[3];22:[3,4,5,6,7];10:[4];19:[0,1,2,6,7];28:[3];11:[0,1,2,3,6,7];27:[6,7]","c20:bw=16,experts=[7]; c1:bw=10,experts=[1]; c29:bw=57,experts=[3,4,5,6,7]; c3:bw=26,experts=[4,5]; c13:bw=25,experts=[3,4]; c15:bw=39,experts=[4,5,6]; c9:bw=10,experts=[1]; c16:bw=53,experts=[0,4,5,6,7]; c14:bw=13,experts=[6]; c17:bw=41,experts=[0,1,2,3]; c21:bw=60,experts=[0,3,4,5,6,7]; c4:bw=14,experts=[2]; c18:bw=20,experts=[4,5]; c25:bw=50,experts=[0,1,2,6,7]; c7:bw=31,experts=[4,5,6]; c5:bw=49,experts=[0,5,6,7]; c23:bw=41,experts=[0,1,2,7]; c2:bw=40,experts=[0,5,6,7]; c8:bw=57,experts=[0,1,2,3,4]; c12:bw=47,experts=[3,4,5,6]; c26:bw=49,experts=[0,5,6,7]; c24:bw=31,experts=[1,2,3]; c0:bw=36,experts=[0,6,7]; c6:bw=13,experts=[3]; c22:bw=55,experts=[3,4,5,6,7]; c10:bw=17,experts=[4]; c19:bw=54,experts=[0,1,2,6,7]; c28:bw=10,experts=[3]; c11:bw=60,experts=[0,1,2,3,6,7]; c27:bw=26,experts=[6,7]","2.0799,1.0496,3.2881,1.5523,1.6375,1.1474,1.3495,1.8164,1.3252,1.9650,0.9966,2.0611,1.7138,2.0467,1.3057,3.2195,1.3248,1.2225,1.1355,1.8071,1.0099,1.2045,1.0535,1.1049,1.6013,2.5338,1.4535,1.5540,2.2259,1.8685"
8,2026-09-23 20:29:28,Ours,0.01,3.4050026458962876,7.73,7.73,8,51.5275,0:51.53,49.8959,0.4751,1.1533,416.897,6:56.90,30,"10,14,7,9,13,8,3,12,18,23,15,0,21,28,5,26,17,24,27,20,22,4,29,2,1,6,11,19,25,16",10:51;14:59;7:15;9:59;13:35;8:37;3:37;12:51;18:39;23:35;15:66;0:32;21:31;28:38;5:28;26:55;17:56;24:42;27:41;20:42;22:61;4:10;29:71;2:54;1:58;6:41;11:45;19:31;25:41;16:45,"10:[0,1,5,6,7];14:[0,1,2,3,7];7:[7];9:[2,3,4,5,6];13:[5,6,7];8:[5,6,7];3:[0,6,7];12:[0,1,2,3,7];18:[0,6,7];23:[3,4,5];15:[0,1,2,3,4,7];0:[1,2,3];21:[1,2,3];28:[4,5,6];5:[1,2];26:[1,2,3,4,5];17:[0,4,5,6,7];24:[4,5,6,7];27:[0,1,2,3];20:[0,1,2,3];22:[0,1,2,3,4,5];4:[3];29:[0,1,2,3,4,5,6];2:[1,2,3,4,5];1:[2,3,4,5,6];6:[4,5,6,7];11:[4,5,6,7];19:[3,4,5];25:[3,4,5,6];16:[1,2,3,4]","c10:bw=51,experts=[0,1,5,6,7]; c14:bw=59,experts=[0,1,2,3,7]; c7:bw=15,experts=[7]; c9:bw=59,experts=[2,3,4,5,6]; c13:bw=35,experts=[5,6,7]; c8:bw=37,experts=[5,6,7]; c3:bw=37,experts=[0,6,7]; c12:bw=51,experts=[0,1,2,3,7]; c18:bw=39,experts=[0,6,7]; c23:bw=35,experts=[3,4,5]; c15:bw=66,experts=[0,1,2,3,4,7]; c0:bw=32,experts=[1,2,3]; c21:bw=31,experts=[1,2,3]; c28:bw=38,experts=[4,5,6]; c5:bw=28,experts=[1,2]; c26:bw=55,experts=[1,2,3,4,5]; c17:bw=56,experts=[0,4,5,6,7]; c24:bw=42,experts=[4,5,6,7]; c27:bw=41,experts=[0,1,2,3]; c20:bw=42,experts=[0,1,2,3]; c22:bw=61,experts=[0,1,2,3,4,5]; c4:bw=10,experts=[3]; c29:bw=71,experts=[0,1,2,3,4,5,6]; c2:bw=54,experts=[1,2,3,4,5]; c1:bw=58,experts=[2,3,4,5,6]; c6:bw=41,experts=[4,5,6,7]; c11:bw=45,experts=[4,5,6,7]; c19:bw=31,experts=[3,4,5]; c25:bw=41,experts=[3,4,5,6]; c16:bw=45,experts=[1,2,3,4]","2.5528,1.3518,1.2886,1.3663,1.6265,1.1401,1.5429,1.8012,1.7300,1.3246,1.1214,1.0704,0.9999,1.5713,3.3914,1.0066,1.9884,1.2040,1.8597,2.0530,1.6921,2.0604,3.2255,1.2344,1.0440,1.1007,2.2292,1.4453,2.0810,1.7924"
9,2026-09-23 20:30:19,Ours,0.01,3.4766645597322214,8.98,8.98,9,51.2514,0:51.25,49.5929,0.4862,1.1692,468.1627,7:48.16,30,"17,7,13,25,9,6,28,29,18,14,3,2,12,22,20,11,8,0,24,15,10,21,27,1,19,4,23,5,16,26",17:49;7:46;13:41;25:67;9:26;6:31;28:58;29:46;18:53;14:37;3:23;2:21;12:38;22:39;20:58;11:28;8:18;0:52;24:25;15:36;10:34;21:66;27:27;1:14;19:26;4:59;23:68;5:52;16:41;26:19,"17:[1,2,3,4];7:[0,1,2,3];13:[0,1,2,3];25:[0,1,2,3,4,7];9:[0,7];6:[0,1,2];28:[0,1,2,3,7];29:[0,1,2,7];18:[1,2,3,4,5];14:[4,5,6];3:[1,2];2:[6,7];12:[4,5,6];22:[0,6,7];20:[0,4,5,6,7];11:[0,1];8:[0];0:[0,4,5,6,7];24:[0,1];15:[5,6,7];10:[2,3,4];21:[0,1,4,5,6,7];27:[4,5];1:[7];19:[6,7];4:[0,4,5,6,7];23:[0,1,2,3,6,7];5:[3,4,5,6,7];16:[0,5,6,7];26:[6]","c17:bw=49,experts=[1,2,3,4]; c7:bw=46,experts=[0,1,2,3]; c13:bw=41,experts=[0,1,2,3]; c25:bw=67,experts=[0,1,2,3,4,7]; c9:bw=26,experts=[0,7]; c6:bw=31,experts=[0,1,2]; c28:bw=58,experts=[0,1,2,3,7]; c29:bw=46,experts=[0,1,2,7]; c18:bw=53,experts=[1,2,3,4,5]; c14:bw=37,experts=[4,5,6]; c3:bw=23,experts=[1,2]; c2:bw=21,experts=[6,7]; c12:bw=38,experts=[4,5,6]; c22:bw=39,experts=[0,6,7]; c20:bw=58,experts=[0,4,5,6,7]; c11:bw=28,experts=[0,1]; c8:bw=18,experts=[0]; c0:bw=52,experts=[0,4,5,6,7]; c24:bw=25,experts=[0,1]; c15:bw=36,experts=[5,6,7]; c10:bw=34,experts=[2,3,4]; c21:bw=66,experts=[0,1,4,5,6,7]; c27:bw=27,experts=[4,5]; c1:bw=14,experts=[7]; c19:bw=26,experts=[6,7]; c4:bw=59,experts=[0,4,5,6,7]; c23:bw=68,experts=[0,1,2,3,6,7]; c5:bw=52,experts=[3,4,5,6,7]; c16:bw=41,experts=[0,5,6,7]; c26:bw=19,experts=[6]","1.9899,1.2993,1.6334,2.0866,1.3486,1.1070,1.5673,3.2320,1.7316,1.3065,1.5483,1.2278,1.7951,1.6124,2.0741,2.2399,1.1283,1.0683,1.1913,1.1212,2.5197,1.0049,1.8516,1.0422,1.4451,2.0821,1.3095,3.2170,1.7971,1.0148"
10,2026-09-23 20:31:10,Ours,0.01,3.47378994170074,7.76,8.98,9,51.0591,0:51.06,49.4439,0.4788,1.1333,519.2346,8:39.23,30,"16,13,14,18,5,22,19,24,20,4,12,1,23,11,3,29,21,15,26,2,9,25,10,28,27,17,6,7,0,8",16:44;13:38;14:57;18:28;5:58;22:10;19:43;24:68;20:10;4:37;12:52;1:41;23:10;11:21;3:46;29:25;21:10;15:10;26:58;2:34;9:35;25:66;10:54;28:24;27:24;17:35;6:65;7:37;0:59;8:35,"16:[1,2,3,4];13:[4,5,6];14:[0,1,2,3,7];18:[6,7];5:[0,1,2,3,4];22:[1];19:[0,1,2,3];24:[2,3,4,5,6,7];20:[1];4:[1,2,3];12:[0,1,2,3,7];1:[0,1,2,3];23:[4];11:[2,3];3:[3,4,5,6];29:[3,4];21:[2];15:[0];26:[0,1,2,3,7];2:[0,1,2];9:[1,2,3];25:[0,1,2,5,6,7];10:[0,1,5,6,7];28:[4,5];27:[6,7];17:[5,6,7];6:[0,3,4,5,6,7];7:[4,5,6];0:[1,2,3,4,5];8:[1,2,3]","c16:bw=44,experts=[1,2,3,4]; c13:bw=38,experts=[4,5,6]; c14:bw=57,experts=[0,1,2,3,7]; c18:bw=28,experts=[6,7]; c5:bw=58,experts=[0,1,2,3,4]; c22:bw=10,experts=[1]; c19:bw=43,experts=[0,1,2,3]; c24:bw=68,experts=[2,3,4,5,6,7]; c20:bw=10,experts=[1]; c4:bw=37,experts=[1,2,3]; c12:bw=52,experts=[0,1,2,3,7]; c1:bw=41,experts=[0,1,2,3]; c23:bw=10,experts=[4]; c11:bw=21,experts=[2,3]; c3:bw=46,experts=[3,4,5,6]; c29:bw=25,experts=[3,4]; c21:bw=10,experts=[2]; c15:bw=10,experts=[0]; c26:bw=58,experts=[0,1,2,3,7]; c2:bw=34,experts=[0,1,2]; c9:bw=35,experts=[1,2,3]; c25:bw=66,experts=[0,1,2,5,6,7]; c10:bw=54,experts=[0,1,5,6,7]; c28:bw=24,experts=[4,5]; c27:bw=24,experts=[6,7]; c17:bw=35,experts=[5,6,7]; c6:bw=65,experts=[0,3,4,5,6,7]; c7:bw=37,experts=[4,5,6]; c0:bw=59,experts=[1,2,3,4,5]; c8:bw=35,experts=[1,2,3]","1.7971,1.6428,1.3181,1.7366,3.1216,1.6384,1.4450,1.2125,2.0631,2.0722,1.7998,1.0397,1.3205,2.2248,1.5370,3.2060,0.9887,1.1239,1.0120,1.2215,1.3560,2.0610,2.5226,1.5627,1.8574,1.9651,1.1050,1.2971,1.0615,1.1342"
