Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 03:55:51,Ours,0.00208,3.640926165245451,0.97,0.97,1,59.0351,0:59.04,57.5441,0.1973,1.2924,59.0351,0:59.04,10,"8,1,5,0,7,2,9,4,3,6",8:74;1:40;5:59;0:40;7:40;2:40;9:61;4:53;3:68;6:54,"8:[0,1,2,3,4,5,6];1:[1,2,4,6];5:[1,2,4,5,6];0:[1,2,4,6];7:[1,2,4,6];2:[1,2,4,6];9:[0,1,2,4,5,6];4:[1,2,4,5,6];3:[0,1,2,4,5,6];6:[1,2,4,5,6]","c8:bw=74,experts=[0,1,2,3,4,5,6]; c1:bw=40,experts=[1,2,4,6]; c5:bw=59,experts=[1,2,4,5,6]; c0:bw=40,experts=[1,2,4,6]; c7:bw=40,experts=[1,2,4,6]; c2:bw=40,experts=[1,2,4,6]; c9:bw=61,experts=[0,1,2,4,5,6]; c4:bw=53,experts=[1,2,4,5,6]; c3:bw=68,experts=[0,1,2,4,5,6]; c6:bw=54,experts=[1,2,4,5,6]","6.4670,4.9869,6.7310,5.1695,5.3515,4.0850,3.8980,7.7916,5.6044,7.4593"
2,2026-09-24 03:56:51,Ours,0.00406,3.4601512140373982,1.18,1.18,2,59.8369,0:59.84,58.3719,0.1875,1.2758,119.0864,1:59.09,10,"0,1,8,5,3,4,7,9,6,2",0:47;1:55;8:64;5:80;3:80;4:40;7:74;9:62;6:40;2:40,"0:[0,1,4,6];1:[0,1,4,5,6];8:[0,1,2,4,5,6];5:[0,1,2,3,4,5,6,7];3:[0,1,2,3,4,5,6,7];4:[0,1,4,6];7:[0,1,2,3,4,5,6];9:[0,1,2,4,5,6];6:[0,1,4,6];2:[0,1,4,6]","c0:bw=47,experts=[0,1,4,6]; c1:bw=55,experts=[0,1,4,5,6]; c8:bw=64,experts=[0,1,2,4,5,6]; c5:bw=80,experts=[0,1,2,3,4,5,6,7]; c3:bw=80,experts=[0,1,2,3,4,5,6,7]; c4:bw=40,experts=[0,1,4,6]; c7:bw=74,experts=[0,1,2,3,4,5,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c6:bw=40,experts=[0,1,4,6]; c2:bw=40,experts=[0,1,4,6]","5.0904,5.0164,5.9060,7.2972,5.5687,8.0664,5.6167,4.0449,7.6396,4.1257"
3,2026-09-24 03:57:52,Ours,0.006040000000000001,3.365971344463192,1.29,1.29,3,61.0542,1:01.05,59.7056,0.1832,1.1639,180.155,3:00.16,10,"9,2,0,6,8,5,3,7,1,4",9:63;2:55;0:66;6:53;8:40;5:40;3:40;7:44;1:40;4:69,"9:[0,1,2,4,5,6];2:[0,1,4,5,6];0:[0,1,2,4,5,6];6:[0,1,4,5,6];8:[0,1,4,6];5:[0,1,4,6];3:[0,1,4,6];7:[0,1,4,6];1:[0,1,4,6];4:[0,1,2,4,5,6]","c9:bw=63,experts=[0,1,2,4,5,6]; c2:bw=55,experts=[0,1,4,5,6]; c0:bw=66,experts=[0,1,2,4,5,6]; c6:bw=53,experts=[0,1,4,5,6]; c8:bw=40,experts=[0,1,4,6]; c5:bw=40,experts=[0,1,4,6]; c3:bw=40,experts=[0,1,4,6]; c7:bw=44,experts=[0,1,4,6]; c1:bw=40,experts=[0,1,4,6]; c4:bw=69,experts=[0,1,2,4,5,6]","4.1509,4.4148,5.6955,8.2032,6.2781,7.2220,6.0186,5.0853,5.3292,7.3080"
4,2026-09-24 03:58:53,Ours,0.00802,3.309871889544072,1.38,1.38,4,60.497,1:00.50,58.7816,0.1983,1.5156,240.6674,4:00.67,10,"1,7,6,2,8,0,3,4,5,9",1:53;7:60;6:70;2:80;8:42;0:78;3:45;4:74;5:80;9:40,"1:[0,1,4,5,6];7:[0,1,2,4,5,6];6:[0,1,2,4,5,6,7];2:[0,1,2,3,4,5,6,7];8:[0,4,5,6];0:[0,1,2,4,5,6,7];3:[0,4,5,6];4:[0,1,2,4,5,6,7];5:[0,1,2,3,4,5,6,7];9:[0,4,5,6]","c1:bw=53,experts=[0,1,4,5,6]; c7:bw=60,experts=[0,1,2,4,5,6]; c6:bw=70,experts=[0,1,2,4,5,6,7]; c2:bw=80,experts=[0,1,2,3,4,5,6,7]; c8:bw=42,experts=[0,4,5,6]; c0:bw=78,experts=[0,1,2,4,5,6,7]; c3:bw=45,experts=[0,4,5,6]; c4:bw=74,experts=[0,1,2,4,5,6,7]; c5:bw=80,experts=[0,1,2,3,4,5,6,7]; c9:bw=40,experts=[0,4,5,6]","5.3108,5.1507,8.1262,4.6515,6.3731,5.5304,5.4647,7.5492,6.8535,3.7714"
5,2026-09-24 03:59:53,Ours,0.01,3.27609923593696,1.25,1.38,4,59.6804,0:59.68,58.2107,0.1784,1.2898,300.3645,5:00.36,10,"1,5,4,8,0,7,6,3,2,9",1:40;5:53;4:65;8:49;0:66;7:40;6:71;3:80;2:40;9:80,"1:[0,4,5,6];5:[0,1,4,5,6];4:[0,1,2,4,5,6];8:[0,4,5,6];0:[0,1,2,4,5,6];7:[0,4,5,6];6:[0,1,2,4,5,6,7];3:[0,1,2,3,4,5,6,7];2:[0,4,5,6];9:[0,1,2,3,4,5,6,7]","c1:bw=40,experts=[0,4,5,6]; c5:bw=53,experts=[0,1,4,5,6]; c4:bw=65,experts=[0,1,2,4,5,6]; c8:bw=49,experts=[0,4,5,6]; c0:bw=66,experts=[0,1,2,4,5,6]; c7:bw=40,experts=[0,4,5,6]; c6:bw=71,experts=[0,1,2,4,5,6,7]; c3:bw=80,experts=[0,1,2,3,4,5,6,7]; c2:bw=40,experts=[0,4,5,6]; c9:bw=80,experts=[0,1,2,3,4,5,6,7]","4.8950,7.2481,7.9405,6.0208,5.2100,5.0794,7.6770,5.9360,4.2394,3.9644"
6,2026-09-24 04:00:50,Ours,0.01,3.2422119392266984,1.54,1.54,6,57.8283,0:57.83,56.3448,0.1978,1.284,358.2053,5:58.21,10,"8,2,5,7,3,1,9,0,4,6",8:80;2:55;5:40;7:77;3:48;1:43;9:64;0:41;4:40;6:40,"8:[0,1,2,3,4,5,6,7];2:[0,1,4,5,6];5:[0,1,4,6];7:[0,1,2,4,5,6,7];3:[0,1,4,6];1:[0,1,4,6];9:[0,1,2,4,5,6];0:[0,1,4,6];4:[0,1,4,6];6:[0,1,4,6]","c8:bw=80,experts=[0,1,2,3,4,5,6,7]; c2:bw=55,experts=[0,1,4,5,6]; c5:bw=40,experts=[0,1,4,6]; c7:bw=77,experts=[0,1,2,4,5,6,7]; c3:bw=48,experts=[0,1,4,6]; c1:bw=43,experts=[0,1,4,6]; c9:bw=64,experts=[0,1,2,4,5,6]; c0:bw=41,experts=[0,1,4,6]; c4:bw=40,experts=[0,1,4,6]; c6:bw=40,experts=[0,1,4,6]","5.8648,4.1521,6.7729,5.2047,5.6632,4.7294,3.9177,5.0865,7.4335,7.5201"
7,2026-09-24 04:01:48,Ours,0.01,3.2047741250214186,2.17,2.17,7,57.7804,0:57.78,56.3394,0.2093,1.2302,416.0002,6:56.00,10,"0,5,2,6,3,7,4,1,8,9",0:48;5:65;2:53;6:40;3:40;7:41;4:40;1:40;8:76;9:40,"0:[0,1,4,6];5:[0,1,2,4,5,6];2:[0,1,4,5,6];6:[0,1,4,6];3:[0,1,4,6];7:[0,1,4,6];4:[0,1,4,6];1:[0,1,4,6];8:[0,1,2,3,4,5,6];9:[0,1,4,6]","c0:bw=48,experts=[0,1,4,6]; c5:bw=65,experts=[0,1,2,4,5,6]; c2:bw=53,experts=[0,1,4,5,6]; c6:bw=40,experts=[0,1,4,6]; c3:bw=40,experts=[0,1,4,6]; c7:bw=41,experts=[0,1,4,6]; c4:bw=40,experts=[0,1,4,6]; c1:bw=40,experts=[0,1,4,6]; c8:bw=76,experts=[0,1,2,3,4,5,6]; c9:bw=40,experts=[0,1,4,6]","5.1365,6.8354,4.1607,7.5239,5.6995,5.0694,7.4247,4.6836,6.0032,3.8024"
8,2026-09-24 04:02:46,Ours,0.01,3.1663634942449854,4.67,4.67,8,57.7272,0:57.73,56.2904,0.1997,1.2355,473.7427,7:53.74,10,"4,8,1,3,0,5,2,9,7,6",4:40;8:49;1:77;3:49;0:43;5:40;2:72;9:78;7:40;6:55,"4:[0,3,4,6];8:[0,1,4,6];1:[0,1,3,4,5,6,7];3:[0,1,4,6];0:[0,3,4,6];5:[0,1,4,6];2:[0,1,2,4,5,6,7];9:[0,1,2,4,5,6,7];7:[0,1,4,6];6:[0,1,3,4,6]","c4:bw=40,experts=[0,3,4,6]; c8:bw=49,experts=[0,1,4,6]; c1:bw=77,experts=[0,1,3,4,5,6,7]; c3:bw=49,experts=[0,1,4,6]; c0:bw=43,experts=[0,3,4,6]; c5:bw=40,experts=[0,1,4,6]; c2:bw=72,experts=[0,1,2,4,5,6,7]; c9:bw=78,experts=[0,1,2,4,5,6,7]; c7:bw=40,experts=[0,1,4,6]; c6:bw=55,experts=[0,1,3,4,6]","7.4486,5.8234,4.7306,5.6888,5.1415,6.8647,4.1401,3.8574,5.0607,7.5347"
9,2026-09-24 04:03:44,Ours,0.01,3.1219036574608974,5.71,5.71,9,57.6891,0:57.69,56.1979,0.2111,1.2785,531.45,8:51.45,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:70;4:79;9:40;8:40;6:41;7:61;5:70;1:40;3:40,"2:[0,1,4,6];0:[0,1,2,4,5,6,7];4:[0,1,2,4,5,6,7];9:[1,2,4,6];8:[0,1,4,6];6:[0,1,4,6];7:[0,1,2,4,5,6];5:[0,1,2,4,5,6,7];1:[1,2,4,6];3:[0,1,4,6]","c2:bw=40,experts=[0,1,4,6]; c0:bw=70,experts=[0,1,2,4,5,6,7]; c4:bw=79,experts=[0,1,2,4,5,6,7]; c9:bw=40,experts=[1,2,4,6]; c8:bw=40,experts=[0,1,4,6]; c6:bw=41,experts=[0,1,4,6]; c7:bw=61,experts=[0,1,2,4,5,6]; c5:bw=70,experts=[0,1,2,4,5,6,7]; c1:bw=40,experts=[1,2,4,6]; c3:bw=40,experts=[0,1,4,6]","4.1718,5.1540,7.3937,3.8209,5.9691,7.3823,5.0834,6.7742,4.6918,5.7567"
10,2026-09-24 04:04:42,Ours,0.01,3.0851629465601436,5.83,5.83,10,58.0513,0:58.05,56.4977,0.2033,1.3488,589.5177,9:49.52,10,"4,2,7,0,6,3,5,8,9,1",4:49;2:45;7:50;0:78;6:80;3:61;5:77;8:47;9:47;1:54,"4:[1,2,4,6];2:[1,2,4,6];7:[1,3,4,6,7];0:[0,1,2,3,4,5,6];6:[0,1,2,3,4,5,6,7];3:[0,1,2,3,4,6];5:[0,1,2,3,4,6,7];8:[1,2,4,6];9:[1,3,4,6];1:[1,2,4,6,7]","c4:bw=49,experts=[1,2,4,6]; c2:bw=45,experts=[1,2,4,6]; c7:bw=50,experts=[1,3,4,6,7]; c0:bw=78,experts=[0,1,2,3,4,5,6]; c6:bw=80,experts=[0,1,2,3,4,5,6,7]; c3:bw=61,experts=[0,1,2,3,4,6]; c5:bw=77,experts=[0,1,2,3,4,6,7]; c8:bw=47,experts=[1,2,4,6]; c9:bw=47,experts=[1,3,4,6]; c1:bw=54,experts=[1,2,4,6,7]","7.4068,4.1477,5.0979,5.1195,7.6057,5.6056,6.8233,5.8985,3.9324,4.8602"
