Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 03:55:00,Ours,0.00208,3.640403475251393,1.41,1.41,1,52.0591,0:52.06,50.7706,0.1641,1.1191,52.0591,0:52.06,10,"8,1,5,0,7,2,9,4,3,6",8:74;1:40;5:59;0:40;7:40;2:40;9:61;4:53;3:68;6:54,"8:[0,1,2,3,4,5,6];1:[1,2,4,6];5:[1,2,4,5,6];0:[1,2,4,6];7:[1,2,4,6];2:[1,2,4,6];9:[0,1,2,4,5,6];4:[1,2,4,5,6];3:[0,1,2,4,5,6];6:[1,2,4,5,6]","c8:bw=74,experts=[0,1,2,3,4,5,6]; c1:bw=40,experts=[1,2,4,6]; c5:bw=59,experts=[1,2,4,5,6]; c0:bw=40,experts=[1,2,4,6]; c7:bw=40,experts=[1,2,4,6]; c2:bw=40,experts=[1,2,4,6]; c9:bw=61,experts=[0,1,2,4,5,6]; c4:bw=53,experts=[1,2,4,5,6]; c3:bw=68,experts=[0,1,2,4,5,6]; c6:bw=54,experts=[1,2,4,5,6]","5.7386,4.3757,5.9223,4.4773,4.7328,3.6290,3.4492,6.9063,4.9332,6.6062"
2,2026-09-24 03:55:50,Ours,0.00406,3.3006181532740073,3.9,3.9,2,49.6423,0:49.64,48.326,0.1621,1.1488,101.9174,1:41.92,10,"0,1,8,5,3,4,7,9,6,2",0:47;1:55;8:64;5:80;3:80;4:40;7:74;9:62;6:40;2:40,"0:[0,4,5,6];1:[0,1,4,5,6];8:[0,1,2,4,5,6];5:[0,1,2,3,4,5,6,7];3:[0,1,2,3,4,5,6,7];4:[0,4,5,6];7:[0,1,2,4,5,6,7];9:[0,1,2,4,5,6];6:[0,4,5,6];2:[0,4,5,6]","c0:bw=47,experts=[0,4,5,6]; c1:bw=55,experts=[0,1,4,5,6]; c8:bw=64,experts=[0,1,2,4,5,6]; c5:bw=80,experts=[0,1,2,3,4,5,6,7]; c3:bw=80,experts=[0,1,2,3,4,5,6,7]; c4:bw=40,experts=[0,4,5,6]; c7:bw=74,experts=[0,1,2,4,5,6,7]; c9:bw=62,experts=[0,1,2,4,5,6]; c6:bw=40,experts=[0,4,5,6]; c2:bw=40,experts=[0,4,5,6]","4.4312,4.1090,5.0447,5.9221,4.8217,6.4273,4.3480,3.3219,6.3474,3.5526"
3,2026-09-24 03:56:40,Ours,0.006040000000000001,3.18194702408776,6.45,6.45,3,49.8353,0:49.84,48.4381,0.1885,1.2073,151.7636,2:31.76,10,"9,2,0,6,8,5,3,7,1,4",9:63;2:55;0:66;6:53;8:40;5:40;3:40;7:44;1:40;4:69,"9:[0,1,2,4,5,6];2:[0,1,4,5,6];0:[0,1,2,4,5,6];6:[0,1,4,5,6];8:[0,1,4,6];5:[0,1,4,6];3:[0,4,5,6];7:[0,4,5,6];1:[0,4,5,6];4:[0,1,2,4,5,6]","c9:bw=63,experts=[0,1,2,4,5,6]; c2:bw=55,experts=[0,1,4,5,6]; c0:bw=66,experts=[0,1,2,4,5,6]; c6:bw=53,experts=[0,1,4,5,6]; c8:bw=40,experts=[0,1,4,6]; c5:bw=40,experts=[0,1,4,6]; c3:bw=40,experts=[0,4,5,6]; c7:bw=44,experts=[0,4,5,6]; c1:bw=40,experts=[0,4,5,6]; c4:bw=69,experts=[0,1,2,4,5,6]","3.3506,3.6087,4.4527,6.3773,5.0601,5.8925,4.8388,4.3661,4.0804,6.4110"
4,2026-09-24 03:57:31,Ours,0.00802,3.098213052316356,9.22,9.22,4,51.0782,0:51.08,49.8044,0.1559,1.1115,202.853,3:22.85,10,"1,7,6,2,8,0,3,4,5,9",1:53;7:60;6:70;2:80;8:42;0:78;3:45;4:74;5:80;9:40,"1:[0,1,4,5,6];7:[0,1,2,4,5,6];6:[0,1,2,4,5,6,7];2:[0,1,2,3,4,5,6,7];8:[0,4,5,6];0:[0,1,2,4,5,6,7];3:[0,4,5,6];4:[0,1,2,4,5,6,7];5:[0,1,2,3,4,5,6,7];9:[0,4,5,6]","c1:bw=53,experts=[0,1,4,5,6]; c7:bw=60,experts=[0,1,2,4,5,6]; c6:bw=70,experts=[0,1,2,4,5,6,7]; c2:bw=80,experts=[0,1,2,3,4,5,6,7]; c8:bw=42,experts=[0,4,5,6]; c0:bw=78,experts=[0,1,2,4,5,6,7]; c3:bw=45,experts=[0,4,5,6]; c4:bw=74,experts=[0,1,2,4,5,6,7]; c5:bw=80,experts=[0,1,2,3,4,5,6,7]; c9:bw=40,experts=[0,4,5,6]","4.6468,4.9938,6.3889,3.6016,5.0733,4.4424,4.8753,6.4876,5.9495,3.3453"
5,2026-09-24 03:58:21,Ours,0.01,3.011958890528586,11.54,11.54,5,49.8409,0:49.84,48.5592,0.1664,1.1102,252.7054,4:12.71,10,"1,5,4,8,0,7,6,3,2,9",1:40;5:53;4:65;8:49;0:66;7:40;6:71;3:80;2:40;9:80,"1:[0,4,5,6];5:[0,1,4,5,6];4:[0,1,2,4,5,6];8:[1,4,5,6];0:[0,1,2,4,5,6];7:[0,1,4,6];6:[0,1,2,4,5,6,7];3:[0,1,2,3,4,5,6,7];2:[1,4,5,6];9:[0,1,2,3,4,5,6,7]","c1:bw=40,experts=[0,4,5,6]; c5:bw=53,experts=[0,1,4,5,6]; c4:bw=65,experts=[0,1,2,4,5,6]; c8:bw=49,experts=[1,4,5,6]; c0:bw=66,experts=[0,1,2,4,5,6]; c7:bw=40,experts=[0,1,4,6]; c6:bw=71,experts=[0,1,2,4,5,6,7]; c3:bw=80,experts=[0,1,2,3,4,5,6,7]; c2:bw=40,experts=[1,4,5,6]; c9:bw=80,experts=[0,1,2,3,4,5,6,7]","4.1117,5.9182,6.4691,5.0412,4.4159,4.3800,6.3605,4.9117,3.6046,3.3464"
6,2026-09-24 03:59:11,Ours,0.01,2.891290258485083,15.54,15.54,6,49.9304,0:49.93,48.6565,0.1618,1.107,302.648,5:02.65,10,"8,2,5,7,3,1,9,0,4,6",8:80;2:55;5:40;7:77;3:48;1:43;9:64;0:41;4:40;6:40,"8:[0,1,2,3,4,5,6,7];2:[0,1,4,5,6];5:[0,4,5,6];7:[0,1,2,4,5,6,7];3:[1,4,5,6];1:[0,4,5,6];9:[0,1,2,4,5,6];0:[0,1,4,6];4:[0,1,4,6];6:[0,1,4,6]","c8:bw=80,experts=[0,1,2,3,4,5,6,7]; c2:bw=55,experts=[0,1,4,5,6]; c5:bw=40,experts=[0,4,5,6]; c7:bw=77,experts=[0,1,2,4,5,6,7]; c3:bw=48,experts=[1,4,5,6]; c1:bw=43,experts=[0,4,5,6]; c9:bw=64,experts=[0,1,2,4,5,6]; c0:bw=41,experts=[0,1,4,6]; c4:bw=40,experts=[0,1,4,6]; c6:bw=40,experts=[0,1,4,6]","5.1143,3.6037,5.9428,4.3931,4.8889,4.1159,3.3360,4.4183,6.4376,6.4058"
7,2026-09-24 04:00:01,Ours,0.01,2.7773300115773396,17.22,17.22,7,50.2511,0:50.25,48.949,0.1646,1.1363,352.9108,5:52.91,10,"0,5,2,6,3,7,4,1,8,9",0:48;5:65;2:53;6:40;3:40;7:41;4:40;1:40;8:76;9:40,"0:[0,4,5,6];5:[0,1,2,4,5,6];2:[0,1,4,5,6];6:[0,1,4,6];3:[0,4,5,6];7:[0,4,5,6];4:[1,4,5,6];1:[0,4,5,6];8:[0,1,2,3,4,5,6];9:[1,4,5,6]","c0:bw=48,experts=[0,4,5,6]; c5:bw=65,experts=[0,1,2,4,5,6]; c2:bw=53,experts=[0,1,4,5,6]; c6:bw=40,experts=[0,1,4,6]; c3:bw=40,experts=[0,4,5,6]; c7:bw=41,experts=[0,4,5,6]; c4:bw=40,experts=[1,4,5,6]; c1:bw=40,experts=[0,4,5,6]; c8:bw=76,experts=[0,1,2,3,4,5,6]; c9:bw=40,experts=[1,4,5,6]","4.4581,5.9394,3.6090,6.4646,4.9245,4.4100,6.5159,4.1241,5.1190,3.3845"
8,2026-09-24 04:00:52,Ours,0.01,2.6777005396522444,19.84,19.84,8,50.4766,0:50.48,49.1659,0.1605,1.1489,403.3992,6:43.40,10,"4,8,1,3,0,5,2,9,7,6",4:40;8:49;1:77;3:49;0:43;5:40;2:72;9:78;7:40;6:55,"4:[1,3,4,6];8:[1,4,5,6];1:[0,1,2,3,4,6,7];3:[1,4,5,6];0:[1,3,4,6];5:[0,1,4,6];2:[0,1,2,3,4,5,6];9:[0,1,2,3,4,5,6];7:[1,3,4,6];6:[0,1,3,4,6]","c4:bw=40,experts=[1,3,4,6]; c8:bw=49,experts=[1,4,5,6]; c1:bw=77,experts=[0,1,2,3,4,6,7]; c3:bw=49,experts=[1,4,5,6]; c0:bw=43,experts=[1,3,4,6]; c5:bw=40,experts=[0,1,4,6]; c2:bw=72,experts=[0,1,2,3,4,5,6]; c9:bw=78,experts=[0,1,2,3,4,5,6]; c7:bw=40,experts=[1,3,4,6]; c6:bw=55,experts=[0,1,3,4,6]","6.5956,5.1108,4.1349,4.9178,4.4533,5.9761,3.6206,3.4132,4.4277,6.5159"
9,2026-09-24 04:01:42,Ours,0.01,2.589608965653991,22.77,22.77,9,50.6781,0:50.68,49.3771,0.156,1.1437,454.0895,7:34.09,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:70;4:79;9:40;8:40;6:41;7:61;5:70;1:40;3:40,"2:[1,4,5,6];0:[0,1,2,3,4,5,6];4:[0,1,2,4,5,6,7];9:[1,2,4,6];8:[2,4,5,6];6:[1,2,4,6];7:[0,1,2,4,5,6];5:[0,1,2,4,5,6,7];1:[1,4,5,6];3:[1,4,5,6]","c2:bw=40,experts=[1,4,5,6]; c0:bw=70,experts=[0,1,2,3,4,5,6]; c4:bw=79,experts=[0,1,2,4,5,6,7]; c9:bw=40,experts=[1,2,4,6]; c8:bw=40,experts=[2,4,5,6]; c6:bw=41,experts=[1,2,4,6]; c7:bw=61,experts=[0,1,2,4,5,6]; c5:bw=70,experts=[0,1,2,4,5,6,7]; c1:bw=40,experts=[1,4,5,6]; c3:bw=40,experts=[1,4,5,6]","3.6016,4.4914,6.6167,3.4362,5.1587,6.5046,4.4254,6.0092,4.1438,4.9895"
10,2026-09-24 04:02:33,Ours,0.01,2.5047042768588983,25.35,25.35,10,50.7964,0:50.80,49.4959,0.1626,1.1366,504.8982,8:24.90,10,"4,2,7,0,6,3,5,8,9,1",4:49;2:45;7:50;0:78;6:80;3:61;5:77;8:47;9:47;1:54,"4:[1,4,5,6];2:[1,4,5,6];7:[1,2,4,5,6];0:[0,1,2,4,5,6,7];6:[0,1,2,3,4,5,6,7];3:[0,1,2,4,5,6];5:[0,1,2,4,5,6,7];8:[2,4,5,6];9:[0,2,4,6];1:[0,2,4,5,6]","c4:bw=49,experts=[1,4,5,6]; c2:bw=45,experts=[1,4,5,6]; c7:bw=50,experts=[1,2,4,5,6]; c0:bw=78,experts=[0,1,2,4,5,6,7]; c6:bw=80,experts=[0,1,2,3,4,5,6,7]; c3:bw=61,experts=[0,1,2,4,5,6]; c5:bw=77,experts=[0,1,2,4,5,6,7]; c8:bw=47,experts=[2,4,5,6]; c9:bw=47,experts=[0,2,4,6]; c1:bw=54,experts=[0,2,4,5,6]","6.6170,3.6451,4.4138,4.4734,6.5482,4.9414,6.0322,5.1783,3.4371,4.2095"
