Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 02:31:39,Ours,0.00208,3.765946267212621,1.73,1.73,1,52.6255,0:52.63,51.3299,0.1493,1.145,52.6255,0:52.63,10,"8,1,5,0,7,2,9,4,3,6",8:74;1:40;5:59;0:40;7:40;2:40;9:61;4:53;3:68;6:54,"8:[0,1,2,3,4,5,6];1:[1,2,3,4];5:[0,1,5,6,7];0:[0,1,2,3];7:[0,1,2,7];2:[2,3,4,5];9:[1,2,3,4,5,6];4:[0,4,5,6,7];3:[0,3,4,5,6,7];6:[0,1,2,6,7]","c8:bw=74,experts=[0,1,2,3,4,5,6]; c1:bw=40,experts=[1,2,3,4]; c5:bw=59,experts=[0,1,5,6,7]; c0:bw=40,experts=[0,1,2,3]; c7:bw=40,experts=[0,1,2,7]; c2:bw=40,experts=[2,3,4,5]; c9:bw=61,experts=[1,2,3,4,5,6]; c4:bw=53,experts=[0,4,5,6,7]; c3:bw=68,experts=[0,3,4,5,6,7]; c6:bw=54,experts=[0,1,2,6,7]","5.5936,4.3894,6.3694,4.6505,4.6765,3.7109,3.5284,6.9236,4.8931,6.5944"
2,2026-09-24 02:32:30,Ours,0.00406,3.408277117312168,3.69,3.69,2,51.274,0:51.27,49.9755,0.1458,1.1513,104.1076,1:44.11,10,"0,1,8,5,3,4,7,9,6,2",0:47;1:55;8:64;5:80;3:80;4:40;7:74;9:62;6:40;2:40,"0:[4,5,6,7];1:[0,1,5,6,7];8:[0,1,2,3,4,7];5:[0,1,2,3,4,5,6,7];3:[0,1,2,3,4,5,6,7];4:[1,2,3,4];7:[0,1,3,4,5,6,7];9:[0,1,2,3,4,7];6:[3,4,5,6];2:[0,1,6,7]","c0:bw=47,experts=[4,5,6,7]; c1:bw=55,experts=[0,1,5,6,7]; c8:bw=64,experts=[0,1,2,3,4,7]; c5:bw=80,experts=[0,1,2,3,4,5,6,7]; c3:bw=80,experts=[0,1,2,3,4,5,6,7]; c4:bw=40,experts=[1,2,3,4]; c7:bw=74,experts=[0,1,3,4,5,6,7]; c9:bw=62,experts=[0,1,2,3,4,7]; c6:bw=40,experts=[3,4,5,6]; c2:bw=40,experts=[0,1,6,7]","4.3987,4.1515,5.3470,6.2296,5.0001,6.8118,4.4105,3.4521,6.5382,3.6360"
3,2026-09-24 02:33:23,Ours,0.006040000000000001,3.4288066395013295,5.07,5.07,3,52.6036,0:52.60,51.3298,0.1487,1.1238,156.7238,2:36.72,10,"9,2,0,6,8,5,3,7,1,4",9:63;2:55;0:66;6:53;8:40;5:40;3:40;7:44;1:40;4:69,"9:[0,1,2,5,6,7];2:[2,3,4,5,6];0:[0,1,2,3,4,5];6:[0,1,2,3,7];8:[0,5,6,7];5:[2,3,4,5];3:[1,2,3,4];7:[2,3,4,5];1:[2,3,4,5];4:[0,1,2,5,6,7]","c9:bw=63,experts=[0,1,2,5,6,7]; c2:bw=55,experts=[2,3,4,5,6]; c0:bw=66,experts=[0,1,2,3,4,5]; c6:bw=53,experts=[0,1,2,3,7]; c8:bw=40,experts=[0,5,6,7]; c5:bw=40,experts=[2,3,4,5]; c3:bw=40,experts=[1,2,3,4]; c7:bw=44,experts=[2,3,4,5]; c1:bw=40,experts=[2,3,4,5]; c4:bw=69,experts=[0,1,2,5,6,7]","3.5189,3.5640,4.7061,6.8150,5.4341,6.2005,5.1972,4.5925,4.4339,6.8675"
4,2026-09-24 02:34:13,Ours,0.00802,3.263003208396513,6.7,6.7,4,49.9615,0:49.96,48.6929,0.1499,1.1174,206.6965,3:26.70,10,"1,7,6,2,8,0,3,4,5,9",1:53;7:60;6:70;2:80;8:42;0:78;3:45;4:74;5:80;9:40,"1:[0,1,2,6,7];7:[0,1,2,3,6,7];6:[0,1,2,4,5,6,7];2:[0,1,2,3,4,5,6,7];8:[1,2,3,4];0:[0,1,2,3,4,6,7];3:[0,5,6,7];4:[0,1,3,4,5,6,7];5:[0,1,2,3,4,5,6,7];9:[3,4,5,6]","c1:bw=53,experts=[0,1,2,6,7]; c7:bw=60,experts=[0,1,2,3,6,7]; c6:bw=70,experts=[0,1,2,4,5,6,7]; c2:bw=80,experts=[0,1,2,3,4,5,6,7]; c8:bw=42,experts=[1,2,3,4]; c0:bw=78,experts=[0,1,2,3,4,6,7]; c3:bw=45,experts=[0,5,6,7]; c4:bw=74,experts=[0,1,3,4,5,6,7]; c5:bw=80,experts=[0,1,2,3,4,5,6,7]; c9:bw=40,experts=[3,4,5,6]","4.1684,4.4749,6.4467,3.5537,5.0252,4.4241,4.9114,6.4395,5.9146,3.3344"
5,2026-09-24 02:35:03,Ours,0.01,3.2268440441872697,9.44,9.44,5,50.2008,0:50.20,48.9394,0.1462,1.1138,256.9102,4:16.91,10,"1,5,4,8,0,7,6,3,2,9",1:40;5:53;4:65;8:49;0:66;7:40;6:71;3:80;2:40;9:80,"1:[3,4,5,6];5:[0,1,2,6,7];4:[2,3,4,5,6,7];8:[0,5,6,7];0:[0,1,2,5,6,7];7:[4,5,6,7];6:[0,1,3,4,5,6,7];3:[0,1,2,3,4,5,6,7];2:[0,1,2,7];9:[0,1,2,3,4,5,6,7]","c1:bw=40,experts=[3,4,5,6]; c5:bw=53,experts=[0,1,2,6,7]; c4:bw=65,experts=[2,3,4,5,6,7]; c8:bw=49,experts=[0,5,6,7]; c0:bw=66,experts=[0,1,2,5,6,7]; c7:bw=40,experts=[4,5,6,7]; c6:bw=71,experts=[0,1,3,4,5,6,7]; c3:bw=80,experts=[0,1,2,3,4,5,6,7]; c2:bw=40,experts=[0,1,2,7]; c9:bw=80,experts=[0,1,2,3,4,5,6,7]","4.1070,5.9076,6.5095,5.2378,4.4339,4.4016,6.3340,4.8732,3.7924,3.3425"
6,2026-09-24 02:35:53,Ours,0.01,3.043190145582705,11.92,11.92,6,49.9604,0:49.96,48.6844,0.1521,1.1225,306.8826,5:06.88,10,"8,2,5,7,3,1,9,0,4,6",8:80;2:55;5:40;7:77;3:48;1:43;9:64;0:41;4:40;6:40,"8:[0,1,2,3,4,5,6,7];2:[3,4,5,6,7];5:[3,4,5,6];7:[0,1,2,3,4,5,6];3:[1,2,3,4];1:[0,1,2,7];9:[0,1,2,3,4,7];0:[3,4,5,6];4:[0,1,2,3];6:[2,3,4,5]","c8:bw=80,experts=[0,1,2,3,4,5,6,7]; c2:bw=55,experts=[3,4,5,6,7]; c5:bw=40,experts=[3,4,5,6]; c7:bw=77,experts=[0,1,2,3,4,5,6]; c3:bw=48,experts=[1,2,3,4]; c1:bw=43,experts=[0,1,2,7]; c9:bw=64,experts=[0,1,2,3,4,7]; c0:bw=41,experts=[3,4,5,6]; c4:bw=40,experts=[0,1,2,3]; c6:bw=40,experts=[2,3,4,5]","5.0651,3.8647,5.9101,4.3530,4.8521,4.0486,3.3078,4.4467,6.4964,6.3400"
7,2026-09-24 02:36:43,Ours,0.01,3.115419079237596,12.7,12.7,7,49.7527,0:49.75,48.4607,0.1422,1.1485,356.6491,5:56.65,10,"0,5,2,6,3,7,4,1,8,9",0:48;5:65;2:53;6:40;3:40;7:41;4:40;1:40;8:76;9:40,"0:[0,1,2,7];5:[0,1,2,3,4,7];2:[0,1,2,3,4];6:[0,1,6,7];3:[0,5,6,7];7:[0,1,2,7];4:[4,5,6,7];1:[3,4,5,6];8:[1,2,3,4,5,6,7];9:[0,5,6,7]","c0:bw=48,experts=[0,1,2,7]; c5:bw=65,experts=[0,1,2,3,4,7]; c2:bw=53,experts=[0,1,2,3,4]; c6:bw=40,experts=[0,1,6,7]; c3:bw=40,experts=[0,5,6,7]; c7:bw=41,experts=[0,1,2,7]; c4:bw=40,experts=[4,5,6,7]; c1:bw=40,experts=[3,4,5,6]; c8:bw=76,experts=[1,2,3,4,5,6,7]; c9:bw=40,experts=[0,5,6,7]","4.4390,5.8968,3.5328,6.4165,4.8890,4.3671,6.4531,4.0875,5.0565,3.3225"
8,2026-09-24 02:37:33,Ours,0.01,2.8826889950345533,17.34,17.34,8,49.9428,0:49.94,48.6661,0.1516,1.1238,406.6035,6:46.60,10,"4,8,1,3,0,5,2,9,7,6",4:40;8:49;1:77;3:49;0:43;5:40;2:72;9:78;7:40;6:55,"4:[0,1,2,3];8:[0,1,2,3];1:[0,1,2,3,4,5,7];3:[1,2,3,4];0:[3,4,5,6];5:[0,5,6,7];2:[0,1,2,3,5,6,7];9:[1,2,3,4,5,6,7];7:[3,4,5,6];6:[2,3,4,5,6]","c4:bw=40,experts=[0,1,2,3]; c8:bw=49,experts=[0,1,2,3]; c1:bw=77,experts=[0,1,2,3,4,5,7]; c3:bw=49,experts=[1,2,3,4]; c0:bw=43,experts=[3,4,5,6]; c5:bw=40,experts=[0,5,6,7]; c2:bw=72,experts=[0,1,2,3,5,6,7]; c9:bw=78,experts=[1,2,3,4,5,6,7]; c7:bw=40,experts=[3,4,5,6]; c6:bw=55,experts=[2,3,4,5,6]","6.4698,5.1194,4.0783,4.8446,4.4298,5.9061,3.7156,3.3327,4.3863,6.3834"
9,2026-09-24 02:38:23,Ours,0.01,2.834864016179057,19.44,19.44,9,49.8424,0:49.84,48.5758,0.1416,1.1238,456.4592,7:36.46,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:70;4:79;9:40;8:40;6:41;7:61;5:70;1:40;3:40,"2:[4,5,6,7];0:[0,1,2,3,4,5,7];4:[0,1,2,4,5,6,7];9:[0,1,2,3];8:[4,5,6,7];6:[0,1,2,7];7:[0,1,2,3,4,7];5:[1,2,3,4,5,6,7];1:[0,1,6,7];3:[0,5,6,7]","c2:bw=40,experts=[4,5,6,7]; c0:bw=70,experts=[0,1,2,3,4,5,7]; c4:bw=79,experts=[0,1,2,4,5,6,7]; c9:bw=40,experts=[0,1,2,3]; c8:bw=40,experts=[4,5,6,7]; c6:bw=41,experts=[0,1,2,7]; c7:bw=61,experts=[0,1,2,3,4,7]; c5:bw=70,experts=[1,2,3,4,5,6,7]; c1:bw=40,experts=[0,1,6,7]; c3:bw=40,experts=[0,5,6,7]","3.5944,4.4616,6.4673,3.3258,5.0755,6.4201,4.3401,5.9488,4.0806,4.8617"
10,2026-09-24 02:39:13,Ours,0.01,2.7205745585143797,20.04,20.04,10,50.0678,0:50.07,48.7732,0.1507,1.1426,506.5394,8:26.54,10,"4,2,7,0,6,3,5,8,9,1",4:49;2:45;7:50;0:78;6:80;3:61;5:77;8:47;9:47;1:54,"4:[3,4,5,6];2:[0,1,2,3];7:[0,1,5,6,7];0:[0,1,2,3,4,6,7];6:[0,1,2,3,4,5,6,7];3:[1,2,3,4,5,6];5:[0,1,2,3,4,5,6];8:[0,1,2,3];9:[4,5,6,7];1:[2,3,4,5,6]","c4:bw=49,experts=[3,4,5,6]; c2:bw=45,experts=[0,1,2,3]; c7:bw=50,experts=[0,1,5,6,7]; c0:bw=78,experts=[0,1,2,3,4,6,7]; c6:bw=80,experts=[0,1,2,3,4,5,6,7]; c3:bw=61,experts=[1,2,3,4,5,6]; c5:bw=77,experts=[0,1,2,3,4,5,6]; c8:bw=47,experts=[0,1,2,3]; c9:bw=47,experts=[4,5,6,7]; c1:bw=54,experts=[2,3,4,5,6]","6.5043,3.8351,4.3634,4.4229,6.3569,4.8587,5.9061,5.0919,3.3363,4.0978"
