Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 03:41:56,Ours,0.00208,3.7215071480747364,1.18,1.18,1,54.2686,0:54.27,52.875,0.1419,1.2504,54.2686,0:54.27,10,"8,1,5,0,7,2,9,4,3,6",8:74;1:40;5:59;0:40;7:40;2:40;9:61;4:53;3:68;6:54,"8:[0,2,3,4,5,6,7];1:[0,2,4,6];5:[0,3,4,5,7];0:[3,4,5,7];7:[2,4,5,6];2:[2,3,4,6];9:[0,1,3,5,6,7];4:[0,3,5,6,7];3:[0,1,2,4,5,6];6:[0,3,4,6,7]","c8:bw=74,experts=[0,2,3,4,5,6,7]; c1:bw=40,experts=[0,2,4,6]; c5:bw=59,experts=[0,3,4,5,7]; c0:bw=40,experts=[3,4,5,7]; c7:bw=40,experts=[2,4,5,6]; c2:bw=40,experts=[2,3,4,6]; c9:bw=61,experts=[0,1,3,5,6,7]; c4:bw=53,experts=[0,3,5,6,7]; c3:bw=68,experts=[0,1,2,4,5,6]; c6:bw=54,experts=[0,3,4,6,7]","5.5339,4.3797,6.4458,4.6812,4.7049,3.9650,3.7693,7.0649,5.1408,7.1895"
2,2026-09-24 03:42:46,Ours,0.00406,3.5548445892971094,3.37,3.37,2,50.4503,0:50.45,49.0854,0.1466,1.217,104.9639,1:44.96,10,"0,1,8,5,3,4,7,9,6,2",0:47;1:55;8:64;5:80;3:80;4:40;7:74;9:62;6:40;2:40,"0:[3,5,6,7];1:[2,3,4,5,7];8:[0,2,3,4,5,7];5:[0,1,2,3,4,5,6,7];3:[0,1,2,3,4,5,6,7];4:[0,2,4,5];7:[0,1,2,3,5,6,7];9:[1,2,3,4,5,7];6:[1,2,3,6];2:[0,3,6,7]","c0:bw=47,experts=[3,5,6,7]; c1:bw=55,experts=[2,3,4,5,7]; c8:bw=64,experts=[0,2,3,4,5,7]; c5:bw=80,experts=[0,1,2,3,4,5,6,7]; c3:bw=80,experts=[0,1,2,3,4,5,6,7]; c4:bw=40,experts=[0,2,4,5]; c7:bw=74,experts=[0,1,2,3,5,6,7]; c9:bw=62,experts=[1,2,3,4,5,7]; c6:bw=40,experts=[1,2,3,6]; c2:bw=40,experts=[0,3,6,7]","4.7733,4.3128,5.2118,5.8621,4.7817,6.3063,4.5803,3.2488,6.3682,3.6401"
3,2026-09-24 03:43:37,Ours,0.006040000000000001,3.5370203119903914,4.99,4.99,3,50.7886,0:50.79,49.5284,0.131,1.1279,155.7654,2:35.77,10,"9,2,0,6,8,5,3,7,1,4",9:63;2:55;0:66;6:53;8:40;5:40;3:40;7:44;1:40;4:69,"9:[0,2,3,5,6,7];2:[0,2,4,5,6];0:[0,1,2,3,5,6];6:[0,1,2,3,7];8:[0,2,3,6];5:[0,4,5,6];3:[0,2,5,7];7:[0,1,2,5];1:[1,2,4,5];4:[0,2,4,5,6,7]","c9:bw=63,experts=[0,2,3,5,6,7]; c2:bw=55,experts=[0,2,4,5,6]; c0:bw=66,experts=[0,1,2,3,5,6]; c6:bw=53,experts=[0,1,2,3,7]; c8:bw=40,experts=[0,2,3,6]; c5:bw=40,experts=[0,4,5,6]; c3:bw=40,experts=[0,2,5,7]; c7:bw=44,experts=[0,1,2,5]; c1:bw=40,experts=[1,2,4,5]; c4:bw=69,experts=[0,2,4,5,6,7]","3.5736,3.7758,4.7047,6.7678,5.0622,5.8596,4.8766,4.5646,3.9931,6.3504"
4,2026-09-24 03:44:26,Ours,0.00802,3.2089442002240416,8.45,8.45,4,49.3229,0:49.32,48.067,0.1342,1.1203,205.0998,3:25.10,10,"1,7,6,2,8,0,3,4,5,9",1:53;7:60;6:70;2:80;8:42;0:78;3:45;4:74;5:80;9:40,"1:[1,2,4,6,7];7:[1,2,3,4,5,6];6:[0,2,3,4,5,6,7];2:[0,1,2,3,4,5,6,7];8:[1,3,5,6];0:[0,2,3,4,5,6,7];3:[0,3,4,5];4:[0,1,2,3,5,6,7];5:[0,1,2,3,4,5,6,7];9:[0,1,2,6]","c1:bw=53,experts=[1,2,4,6,7]; c7:bw=60,experts=[1,2,3,4,5,6]; c6:bw=70,experts=[0,2,3,4,5,6,7]; c2:bw=80,experts=[0,1,2,3,4,5,6,7]; c8:bw=42,experts=[1,3,5,6]; c0:bw=78,experts=[0,2,3,4,5,6,7]; c3:bw=45,experts=[0,3,4,5]; c4:bw=74,experts=[0,1,2,3,5,6,7]; c5:bw=80,experts=[0,1,2,3,4,5,6,7]; c9:bw=40,experts=[0,1,2,6]","4.0657,4.4193,6.3983,3.5086,4.9830,4.3777,4.7727,6.4627,5.8290,3.2502"
5,2026-09-24 03:45:16,Ours,0.01,3.1826053471573577,10.3,10.3,5,49.5375,0:49.54,48.2779,0.1295,1.1288,254.6496,4:14.65,10,"1,5,4,8,0,7,6,3,2,9",1:40;5:53;4:65;8:49;0:66;7:40;6:71;3:80;2:40;9:80,"1:[1,3,5,7];5:[1,4,5,6,7];4:[0,1,2,3,5,7];8:[1,2,3,6];0:[0,1,2,3,4,6];7:[1,2,4,6];6:[0,1,2,3,4,6,7];3:[0,1,2,3,4,5,6,7];2:[1,4,5,7];9:[0,1,2,3,4,5,6,7]","c1:bw=40,experts=[1,3,5,7]; c5:bw=53,experts=[1,4,5,6,7]; c4:bw=65,experts=[0,1,2,3,5,7]; c8:bw=49,experts=[1,2,3,6]; c0:bw=66,experts=[0,1,2,3,4,6]; c7:bw=40,experts=[1,2,4,6]; c6:bw=71,experts=[0,1,2,3,4,6,7]; c3:bw=80,experts=[0,1,2,3,4,5,6,7]; c2:bw=40,experts=[1,4,5,7]; c9:bw=80,experts=[0,1,2,3,4,5,6,7]","4.0677,5.8617,6.4983,5.2115,4.3403,4.4468,6.2300,4.8218,3.5053,3.2944"
6,2026-09-24 03:46:05,Ours,0.01,2.994855318701581,13.42,13.42,6,48.9723,0:48.97,47.7119,0.1366,1.1225,303.635,5:03.64,10,"8,2,5,7,3,1,9,0,4,6",8:80;2:55;5:40;7:77;3:48;1:43;9:64;0:41;4:40;6:40,"8:[0,1,2,3,4,5,6,7];2:[0,2,4,6,7];5:[1,2,3,4];7:[0,1,3,4,5,6,7];3:[4,5,6,7];1:[1,2,4,6];9:[0,2,3,4,5,7];0:[3,4,5,7];4:[1,2,4,5];6:[3,5,6,7]","c8:bw=80,experts=[0,1,2,3,4,5,6,7]; c2:bw=55,experts=[0,2,4,6,7]; c5:bw=40,experts=[1,2,3,4]; c7:bw=77,experts=[0,1,3,4,5,6,7]; c3:bw=48,experts=[4,5,6,7]; c1:bw=43,experts=[1,2,4,6]; c9:bw=64,experts=[0,2,3,4,5,7]; c0:bw=41,experts=[3,4,5,7]; c4:bw=40,experts=[1,2,4,5]; c6:bw=40,experts=[3,5,6,7]","5.0013,3.5061,5.7984,4.3002,4.7887,4.0555,3.2871,4.3523,6.3378,6.2845"
7,2026-09-24 03:46:54,Ours,0.01,2.9913486480124596,14.83,14.83,7,49.1658,0:49.17,47.8969,0.1291,1.1386,352.8144,5:52.81,10,"0,5,2,6,3,7,4,1,8,9",0:48;5:65;2:53;6:40;3:40;7:41;4:40;1:40;8:76;9:40,"0:[0,2,4,7];5:[0,1,2,3,4,7];2:[0,1,3,6,7];6:[2,3,6,7];3:[2,4,5,6];7:[1,2,5,6];4:[1,4,5,7];1:[0,1,4,7];8:[0,1,2,3,4,5,7];9:[0,3,4,6]","c0:bw=48,experts=[0,2,4,7]; c5:bw=65,experts=[0,1,2,3,4,7]; c2:bw=53,experts=[0,1,3,6,7]; c6:bw=40,experts=[2,3,6,7]; c3:bw=40,experts=[2,4,5,6]; c7:bw=41,experts=[1,2,5,6]; c4:bw=40,experts=[1,4,5,7]; c1:bw=40,experts=[0,1,4,7]; c8:bw=76,experts=[0,1,2,3,4,5,7]; c9:bw=40,experts=[0,3,4,6]","4.4070,5.8522,3.4803,6.3344,4.7940,4.4485,6.3323,4.0347,4.9471,3.2663"
8,2026-09-24 03:47:43,Ours,0.01,2.9286586696457073,16.97,16.97,8,49.0613,0:49.06,47.7917,0.1365,1.1318,401.8875,6:41.89,10,"4,8,1,3,0,5,2,9,7,6",4:40;8:49;1:77;3:49;0:43;5:40;2:72;9:78;7:40;6:55,"4:[1,2,4,7];8:[0,1,5,7];1:[0,1,2,3,4,6,7];3:[0,1,6,7];0:[3,4,5,6];5:[1,2,3,7];2:[1,2,3,4,5,6,7];9:[0,1,2,3,4,5,6];7:[1,2,3,4];6:[0,1,3,5,7]","c4:bw=40,experts=[1,2,4,7]; c8:bw=49,experts=[0,1,5,7]; c1:bw=77,experts=[0,1,2,3,4,6,7]; c3:bw=49,experts=[0,1,6,7]; c0:bw=43,experts=[3,4,5,6]; c5:bw=40,experts=[1,2,3,7]; c2:bw=72,experts=[1,2,3,4,5,6,7]; c9:bw=78,experts=[0,1,2,3,4,5,6]; c7:bw=40,experts=[1,2,3,4]; c6:bw=55,experts=[0,1,3,5,7]","6.3544,4.9784,4.0329,4.8007,4.3677,5.8126,3.5090,3.2701,4.3375,6.3284"
9,2026-09-24 03:48:32,Ours,0.01,2.778635098417745,20.59,20.59,9,49.0332,0:49.03,47.7738,0.131,1.1239,450.9349,7:30.93,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:70;4:79;9:40;8:40;6:41;7:61;5:70;1:40;3:40,"2:[2,3,4,7];0:[0,2,3,4,5,6,7];4:[1,2,3,4,5,6,7];9:[1,3,4,5];8:[1,2,4,6];6:[2,3,5,7];7:[0,1,2,3,4,5];5:[0,1,2,3,4,5,6];1:[0,1,3,6];3:[0,4,6,7]","c2:bw=40,experts=[2,3,4,7]; c0:bw=70,experts=[0,2,3,4,5,6,7]; c4:bw=79,experts=[1,2,3,4,5,6,7]; c9:bw=40,experts=[1,3,4,5]; c8:bw=40,experts=[1,2,4,6]; c6:bw=41,experts=[2,3,5,7]; c7:bw=61,experts=[0,1,2,3,4,5]; c5:bw=70,experts=[0,1,2,3,4,5,6]; c1:bw=40,experts=[0,1,3,6]; c3:bw=40,experts=[0,4,6,7]","3.5616,4.4048,6.3694,3.2646,4.9842,6.2516,4.3028,5.8501,3.9938,4.7908"
10,2026-09-24 03:49:23,Ours,0.01,2.7345212609305745,19.2,20.59,9,50.6391,0:50.64,49.3572,0.1383,1.1423,501.5875,8:21.59,10,"4,2,7,0,6,3,5,8,9,1",4:49;2:45;7:50;0:78;6:80;3:61;5:77;8:47;9:47;1:54,"4:[1,3,5,6];2:[1,3,4,6];7:[1,3,5,6,7];0:[0,1,2,3,4,6,7];6:[0,1,2,3,4,5,6,7];3:[0,1,3,4,5,7];5:[0,1,2,3,5,6,7];8:[0,1,2,5];9:[2,3,4,7];1:[0,1,2,4,7]","c4:bw=49,experts=[1,3,5,6]; c2:bw=45,experts=[1,3,4,6]; c7:bw=50,experts=[1,3,5,6,7]; c0:bw=78,experts=[0,1,2,3,4,6,7]; c6:bw=80,experts=[0,1,2,3,4,5,6,7]; c3:bw=61,experts=[0,1,3,4,5,7]; c5:bw=77,experts=[0,1,2,3,5,6,7]; c8:bw=47,experts=[0,1,2,5]; c9:bw=47,experts=[2,3,4,7]; c1:bw=54,experts=[0,1,2,4,7]","6.4272,3.5071,4.4025,4.5583,6.7933,5.1139,6.2462,5.0341,3.2580,4.0165"
