Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 07:01:57,Ours,0.00208,4.037217962308089,1.26,1.26,1,58.7273,0:58.73,57.3729,0.15,1.2032,58.7273,0:58.73,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[2,4,6];1:[];5:[2,6];0:[2];7:[2];2:[];9:[2,4];4:[2,4];3:[2];6:[2]","c8:bw=31,experts=[2,4,6]; c1:bw=16,experts=[]; c5:bw=25,experts=[2,6]; c0:bw=10,experts=[2]; c7:bw=11,experts=[2]; c2:bw=16,experts=[]; c9:bw=25,experts=[2,4]; c4:bw=22,experts=[2,4]; c3:bw=28,experts=[2]; c6:bw=23,experts=[2]","6.4686,4.6805,7.0871,5.3747,5.2474,4.1415,3.9962,7.6438,5.8045,6.9285"
2,2026-09-24 07:02:56,Ours,0.00406,3.3414367926604718,3.86,3.86,2,58.9714,0:58.97,57.6372,0.1642,1.1687,117.9636,1:57.96,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:23;8:27;5:38;3:37;4:17;7:31;9:26;6:10;2:12,"0:[4];1:[4,6];8:[4,6];5:[0,4,6];3:[0,4,6];4:[4];7:[4,6];9:[4,6];6:[4];2:[4]","c0:bw=20,experts=[4]; c1:bw=23,experts=[4,6]; c8:bw=27,experts=[4,6]; c5:bw=38,experts=[0,4,6]; c3:bw=37,experts=[0,4,6]; c4:bw=17,experts=[4]; c7:bw=31,experts=[4,6]; c9:bw=26,experts=[4,6]; c6:bw=10,experts=[4]; c2:bw=12,experts=[4]","5.9321,5.5118,6.4283,7.1902,6.0875,7.1715,5.0032,3.4797,6.9377,3.8951"
3,2026-09-24 07:03:54,Ours,0.006040000000000001,3.419606701565589,5.45,5.45,3,57.8946,0:57.89,56.4859,0.1644,1.2431,176.0745,2:56.07,10,"9,2,0,6,8,5,3,7,1,4",9:26;2:23;0:28;6:22;8:17;5:10;3:14;7:18;1:10;4:29,"9:[4,6];2:[4,6];0:[4,6];6:[4,6];8:[4];5:[4];3:[];7:[];1:[];4:[4,6]","c9:bw=26,experts=[4,6]; c2:bw=23,experts=[4,6]; c0:bw=28,experts=[4,6]; c6:bw=22,experts=[4,6]; c8:bw=17,experts=[4]; c5:bw=10,experts=[4]; c3:bw=14,experts=[]; c7:bw=18,experts=[]; c1:bw=10,experts=[]; c4:bw=29,experts=[4,6]","4.0471,4.1370,5.1502,7.3611,5.9284,6.8121,5.7267,5.2346,4.6442,7.4444"
4,2026-09-24 07:04:53,Ours,0.00802,3.191264568183255,8.25,8.25,4,58.0413,0:58.04,56.6349,0.174,1.231,234.1295,3:54.13,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:29;2:33;8:17;0:33;3:19;4:31;5:40;9:12,"1:[4,6];7:[4,6];6:[4,6];2:[0,4,6];8:[4];0:[0,4,6];3:[];4:[0,4,6];5:[0,2,4,6];9:[4]","c1:bw=22,experts=[4,6]; c7:bw=25,experts=[4,6]; c6:bw=29,experts=[4,6]; c2:bw=33,experts=[0,4,6]; c8:bw=17,experts=[4]; c0:bw=33,experts=[0,4,6]; c3:bw=19,experts=[]; c4:bw=31,experts=[0,4,6]; c5:bw=40,experts=[0,2,4,6]; c9:bw=12,experts=[4]","4.6475,5.0425,7.4463,4.1906,6.0390,5.2722,5.8675,7.6384,6.6220,3.8689"
5,2026-09-24 07:05:50,Ours,0.01,3.177235763841302,9.68,9.68,5,57.8338,0:57.83,56.3646,0.1993,1.2686,291.9793,4:51.98,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:20;0:28;7:14;6:29;3:35;2:10;9:35,"1:[4];5:[4];4:[4,6];8:[4,6];0:[4,6];7:[];6:[4,6];3:[0,4,6];2:[];9:[2,4,6]","c1:bw=11,experts=[4]; c5:bw=22,experts=[4]; c4:bw=27,experts=[4,6]; c8:bw=20,experts=[4,6]; c0:bw=28,experts=[4,6]; c7:bw=14,experts=[]; c6:bw=29,experts=[4,6]; c3:bw=35,experts=[0,4,6]; c2:bw=10,experts=[]; c9:bw=35,experts=[2,4,6]","4.6478,6.6963,7.4161,5.8686,5.2212,5.2182,7.2718,5.6532,4.2414,4.1299"
6,2026-09-24 07:06:49,Ours,0.01,3.0242298147225957,14.63,14.63,6,58.275,0:58.27,56.7574,0.169,1.3472,350.2662,5:50.27,10,"8,2,5,7,3,1,9,0,4,6",8:37;2:23;5:15;7:32;3:20;1:18;9:27;0:17;4:10;6:11,"8:[2,4,6];2:[4,6];5:[4];7:[0,4,6];3:[4,6];1:[4];9:[4,6];0:[];4:[];6:[4]","c8:bw=37,experts=[2,4,6]; c2:bw=23,experts=[4,6]; c5:bw=15,experts=[4]; c7:bw=32,experts=[0,4,6]; c3:bw=20,experts=[4,6]; c1:bw=18,experts=[4]; c9:bw=27,experts=[4,6]; c0:bw=17,experts=[]; c4:bw=10,experts=[]; c6:bw=11,experts=[4]","6.0627,4.2343,6.6554,5.1767,5.7618,4.8164,3.8433,5.2202,7.6438,7.3428"
7,2026-09-24 07:07:47,Ours,0.01,2.9116361579207406,16.34,16.34,7,58.2089,0:58.21,56.7626,0.1739,1.271,408.4899,6:48.49,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:27;2:22;6:10;3:15;7:17;4:10;1:10;8:32;9:10,"0:[4,6];5:[4];2:[4];6:[4];3:[4];7:[4];4:[4];1:[];8:[2,4,6];9:[]","c0:bw=20,experts=[4,6]; c5:bw=27,experts=[4]; c2:bw=22,experts=[4]; c6:bw=10,experts=[4]; c3:bw=15,experts=[4]; c7:bw=17,experts=[4]; c4:bw=10,experts=[4]; c1:bw=10,experts=[]; c8:bw=32,experts=[2,4,6]; c9:bw=10,experts=[]","5.1930,6.8102,4.2267,7.4219,5.7261,5.1649,7.5407,4.7856,5.9639,3.9296"
8,2026-09-24 07:08:46,Ours,0.01,3.218470537973156,17.41,17.41,8,59.274,0:59.27,57.8455,0.1571,1.2701,467.7795,7:47.78,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:20;1:32;3:21;0:18;5:16;2:30;9:33;7:10;6:23,"4:[];8:[0,1];1:[0,1,2];3:[1,3];0:[1];5:[1];2:[1,2,3];9:[0,1];7:[1];6:[0,1]","c4:bw=10,experts=[]; c8:bw=20,experts=[0,1]; c1:bw=32,experts=[0,1,2]; c3:bw=21,experts=[1,3]; c0:bw=18,experts=[1]; c5:bw=16,experts=[1]; c2:bw=30,experts=[1,2,3]; c9:bw=33,experts=[0,1]; c7:bw=10,experts=[1]; c6:bw=23,experts=[0,1]","7.8303,5.9617,4.8770,5.8517,5.2750,6.8613,4.2521,3.9713,5.3065,7.6585"
9,2026-09-24 07:09:45,Ours,0.01,3.092089527566457,18.76,18.76,9,58.6846,0:58.68,56.9872,0.1549,1.5414,526.4767,8:46.48,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:29;4:33;9:15;8:10;6:17;7:25;5:29;1:10;3:13,"2:[5];0:[3];4:[1,3];9:[];8:[3];6:[3];7:[3,5];5:[3,5];1:[];3:[]","c2:bw=12,experts=[5]; c0:bw=29,experts=[3]; c4:bw=33,experts=[1,3]; c9:bw=15,experts=[]; c8:bw=10,experts=[3]; c6:bw=17,experts=[3]; c7:bw=25,experts=[3,5]; c5:bw=29,experts=[3,5]; c1:bw=10,experts=[]; c3:bw=13,experts=[]","4.3408,5.2962,7.7079,3.9398,5.8837,7.6608,5.3492,6.8122,4.6304,5.3660"
10,2026-09-24 07:10:43,Ours,0.01,2.9592081808997936,9.83,18.76,9,58.3592,0:58.36,56.9531,0.1555,1.2492,584.8556,9:44.86,10,"4,2,7,0,6,3,5,8,9,1",4:20;2:19;7:21;0:33;6:36;3:26;5:32;8:20;9:20;1:23,"4:[5,7];2:[7];7:[2,7];0:[2,5,7];6:[2,5,7];3:[5,7];5:[4,6,7];8:[5,7];9:[3,5];1:[3,5]","c4:bw=20,experts=[5,7]; c2:bw=19,experts=[7]; c7:bw=21,experts=[2,7]; c0:bw=33,experts=[2,5,7]; c6:bw=36,experts=[2,5,7]; c3:bw=26,experts=[5,7]; c5:bw=32,experts=[4,6,7]; c8:bw=20,experts=[5,7]; c9:bw=20,experts=[3,5]; c1:bw=23,experts=[3,5]","8.2449,4.3024,5.3989,5.4283,7.8956,5.4933,6.5646,5.4986,3.7225,4.4039"
11,2026-09-24 07:11:42,Ours,0.01,2.8741301597774567,20.16,20.16,11,59.1035,0:59.10,57.6668,0.1688,1.2666,643.9758,10:43.98,10,"5,2,7,3,0,8,9,6,1,4",5:15;2:15;7:24;3:28;0:16;8:22;9:18;6:31;1:22;4:10,"5:[];2:[];7:[4,6];3:[2,4];0:[4];8:[4];9:[7];6:[4,5,6];1:[4,7];4:[2]","c5:bw=15,experts=[]; c2:bw=15,experts=[]; c7:bw=24,experts=[4,6]; c3:bw=28,experts=[2,4]; c0:bw=16,experts=[4]; c8:bw=22,experts=[4]; c9:bw=18,experts=[7]; c6:bw=31,experts=[4,5,6]; c1:bw=22,experts=[4,7]; c4:bw=10,experts=[2]","7.3801,4.1590,5.2142,5.7612,5.1652,5.8816,4.1011,7.5922,4.7833,7.6289"
12,2026-09-24 07:12:42,Ours,0.01,2.5761617433039374,22.28,22.28,12,59.8199,0:59.82,58.3426,0.1692,1.307,703.8099,11:43.81,10,"1,5,2,4,3,7,9,6,8,0",1:24;5:31;2:32;4:16;3:19;7:16;9:23;6:16;8:31;0:27,"1:[4,6];5:[0,2,4];2:[0,4,6];4:[0];3:[4];7:[4];9:[4,6];6:[4];8:[4,5,6];0:[0,4]","c1:bw=24,experts=[4,6]; c5:bw=31,experts=[0,2,4]; c2:bw=32,experts=[0,4,6]; c4:bw=16,experts=[0]; c3:bw=19,experts=[4]; c7:bw=16,experts=[4]; c9:bw=23,experts=[4,6]; c6:bw=16,experts=[4]; c8:bw=31,experts=[4,5,6]; c0:bw=27,experts=[0,4]","4.8928,7.1850,4.2871,7.5874,5.9827,5.2400,4.1265,7.5983,6.1055,5.3373"
13,2026-09-24 07:13:42,Ours,0.01,2.5976944718642287,24.67,24.67,13,59.7012,0:59.70,58.2337,0.1573,1.3088,763.527,12:43.53,10,"3,1,4,5,8,6,9,7,0,2",3:17;1:26;4:10;5:16;8:10;6:20;9:10;7:32;0:14;2:10,"3:[0];1:[4,6];4:[];5:[4];8:[4];6:[4,6];9:[2];7:[0,4,6];0:[];2:[4]","c3:bw=17,experts=[0]; c1:bw=26,experts=[4,6]; c4:bw=10,experts=[]; c5:bw=16,experts=[4]; c8:bw=10,experts=[4]; c6:bw=20,experts=[4,6]; c9:bw=10,experts=[2]; c7:bw=32,experts=[0,4,6]; c0:bw=14,experts=[]; c2:bw=10,experts=[4]","5.9325,4.9529,7.7085,7.1011,5.9462,7.8264,3.9959,5.2442,5.2627,4.2633"
14,2026-09-24 07:14:42,Ours,0.01,2.517515948713388,26.98,26.98,14,59.6483,0:59.65,58.1536,0.1792,1.3088,823.1893,13:43.19,10,"2,4,5,1,7,0,9,3,8,6",2:25;4:10;5:36;1:21;7:14;0:14;9:18;3:25;8:12;6:37,"2:[4,6];4:[6];5:[0,4,6];1:[4,6];7:[];0:[4];9:[];3:[4,6];8:[4];6:[0,4,6]","c2:bw=25,experts=[4,6]; c4:bw=10,experts=[6]; c5:bw=36,experts=[0,4,6]; c1:bw=21,experts=[4,6]; c7:bw=14,experts=[]; c0:bw=14,experts=[4]; c9:bw=18,experts=[]; c3:bw=25,experts=[4,6]; c8:bw=12,experts=[4]; c6:bw=37,experts=[0,4,6]","4.2928,7.8044,7.1211,4.9006,5.2198,5.3135,4.0679,5.8459,5.9161,7.6714"
