Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 11:46:09,Ours,0.00208,3.865455484527635,1.51,1.51,1,73.3393,1:13.34,67.1777,4.8089,1.3511,73.3393,1:13.34,10,"8,1,5,0,7,2,9,4,3,6",8:202;1:107;5:163;0:10;7:75;2:106;9:166;4:146;3:187;6:150,"8:[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30];1:[0,1,2,4,5,6,13,23,24];5:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];0:[13];7:[1,2,4,6,13,23,24];2:[0,1,2,4,5,6,13,23,24];9:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];4:[0,1,2,4,5,6,13,15,18,21,23,24,26,30];3:[0,1,2,4,5,6,10,11,13,15,18,21,22,23,24,26,30];6:[0,1,2,4,5,6,11,13,18,21,23,24,26,30]","c8:bw=202,experts=[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30]; c1:bw=107,experts=[0,1,2,4,5,6,13,23,24]; c5:bw=163,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c0:bw=10,experts=[13]; c7:bw=75,experts=[1,2,4,6,13,23,24]; c2:bw=106,experts=[0,1,2,4,5,6,13,23,24]; c9:bw=166,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c4:bw=146,experts=[0,1,2,4,5,6,13,15,18,21,23,24,26,30]; c3:bw=187,experts=[0,1,2,4,5,6,10,11,13,15,18,21,22,23,24,26,30]; c6:bw=150,experts=[0,1,2,4,5,6,11,13,18,21,23,24,26,30]","7.3717,5.8145,8.1242,6.1798,6.1008,5.3731,4.7009,8.4920,6.6608,8.3598"
2,2026-09-24 11:47:21,Ours,0.00406,3.3283971196224265,4.34,4.34,2,71.8324,1:11.83,65.085,5.4032,1.3425,145.3159,2:25.32,10,"0,1,8,5,3,4,7,9,6,2",0:130;1:152;8:177;5:251;3:246;4:109;7:202;9:170;6:62;2:79,"0:[0,2,4,6,8,10,11,13,18,21,24,26];1:[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26];8:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29];3:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,23,24,25,26,27,28,29];4:[0,2,4,6,10,11,13,18,24,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28];9:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28];6:[2,4,6,10,13,26];2:[0,2,4,6,10,13,26]","c0:bw=130,experts=[0,2,4,6,8,10,11,13,18,21,24,26]; c1:bw=152,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26]; c8:bw=177,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28]; c5:bw=251,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29]; c3:bw=246,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,23,24,25,26,27,28,29]; c4:bw=109,experts=[0,2,4,6,10,11,13,18,24,26]; c7:bw=202,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28]; c9:bw=170,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28]; c6:bw=62,experts=[2,4,6,10,13,26]; c2:bw=79,experts=[0,2,4,6,10,13,26]","6.0325,5.6500,6.7532,7.8910,6.5680,8.6488,5.7806,4.6749,8.1303,4.9555"
3,2026-09-24 11:48:32,Ours,0.006040000000000001,3.200845391572058,6.27,6.27,3,70.6084,1:10.61,64.5217,4.7459,1.3392,215.9381,3:35.94,10,"9,2,0,6,8,5,3,7,1,4",9:174;2:152;0:182;6:146;8:110;5:49;3:94;7:120;1:49;4:190,"9:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26];2:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28];6:[0,1,2,4,5,6,8,10,11,12,13,18,24,26];8:[0,1,2,4,5,6,10,11,13,18,26];5:[4,6,13,26];3:[0,2,4,6,11,13,18,26];7:[0,1,2,4,5,6,10,11,13,18,26];1:[4,6,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28]","c9:bw=174,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26]; c2:bw=152,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,26]; c0:bw=182,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28]; c6:bw=146,experts=[0,1,2,4,5,6,8,10,11,12,13,18,24,26]; c8:bw=110,experts=[0,1,2,4,5,6,10,11,13,18,26]; c5:bw=49,experts=[4,6,13,26]; c3:bw=94,experts=[0,2,4,6,11,13,18,26]; c7:bw=120,experts=[0,1,2,4,5,6,10,11,13,18,26]; c1:bw=49,experts=[4,6,26]; c4:bw=190,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28]","4.6784,4.8785,5.9841,8.3132,6.7319,7.6869,6.5313,5.8428,5.5493,8.3252"
4,2026-09-24 11:49:44,Ours,0.00802,3.11281467964887,9.13,9.13,4,71.8679,1:11.87,64.8717,5.6255,1.3689,287.8186,4:47.82,10,"1,7,6,2,8,0,3,4,5,9",1:145;7:164;6:194;2:219;8:115;0:215;3:124;4:204;5:268;9:79,"1:[0,1,2,4,5,6,10,11,12,13,18,21,24,26];7:[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26,28];6:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];2:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,27,28];8:[0,1,2,4,5,6,10,12,13,18,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28];3:[0,1,2,4,5,6,11,12,13,18,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28];5:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29];9:[2,4,6,12,13,18,26]","c1:bw=145,experts=[0,1,2,4,5,6,10,11,12,13,18,21,24,26]; c7:bw=164,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26,28]; c6:bw=194,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c2:bw=219,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,27,28]; c8:bw=115,experts=[0,1,2,4,5,6,10,12,13,18,26]; c0:bw=215,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28]; c3:bw=124,experts=[0,1,2,4,5,6,11,12,13,18,26]; c4:bw=204,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28]; c5:bw=268,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29]; c9:bw=79,experts=[2,4,6,12,13,18,26]","5.5699,5.9409,8.3053,4.9586,6.7084,6.0213,6.5404,8.3761,7.7741,4.6766"
5,2026-09-24 11:50:55,Ours,0.01,3.0259882761686905,12.2,12.2,5,71.7762,1:11.78,65.3336,5.1109,1.33,359.6105,5:59.61,10,"1,5,4,8,0,7,6,3,2,9",1:72;5:145;4:178;8:135;0:182;7:89;6:195;3:232;2:26;9:229,"1:[2,4,6,10,12,13,26];5:[0,1,2,4,5,6,9,10,12,13,18,24,26];4:[0,1,2,4,5,6,9,10,11,12,13,18,23,24,25,26,28];8:[0,1,2,4,5,6,10,12,13,18,24,25,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28];7:[2,4,6,10,12,13,26];6:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];3:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,27,28];2:[4];9:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,27,28]","c1:bw=72,experts=[2,4,6,10,12,13,26]; c5:bw=145,experts=[0,1,2,4,5,6,9,10,12,13,18,24,26]; c4:bw=178,experts=[0,1,2,4,5,6,9,10,11,12,13,18,23,24,25,26,28]; c8:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,24,25,26]; c0:bw=182,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28]; c7:bw=89,experts=[2,4,6,10,12,13,26]; c6:bw=195,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c3:bw=232,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,27,28]; c2:bw=26,experts=[4]; c9:bw=229,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,27,28]","5.5584,7.9015,8.4637,6.7211,6.0234,6.0171,8.3577,6.5158,5.0286,4.7463"
6,2026-09-24 11:52:07,Ours,0.01,2.901938013347473,14.88,14.88,6,71.8798,1:11.88,65.3986,5.1031,1.3762,431.5079,7:11.51,10,"8,2,5,7,3,1,9,0,4,6",8:245;2:152;5:100;7:213;3:133;1:118;9:176;0:114;4:64;6:74,"8:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,22,23,24,25,26,28,30];2:[0,1,2,4,5,6,8,10,11,12,13,18,24,26,28];5:[0,1,2,4,6,10,12,13,18,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28];3:[0,1,2,4,5,6,10,12,13,18,24,26,28];1:[0,1,2,4,5,6,10,12,13,18,26];9:[0,1,2,4,5,6,8,9,10,12,13,18,21,24,25,26,28];0:[0,1,2,4,6,10,12,13,18,26];4:[2,4,6,13,26];6:[2,4,6,10,12,13,26]","c8:bw=245,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,22,23,24,25,26,28,30]; c2:bw=152,experts=[0,1,2,4,5,6,8,10,11,12,13,18,24,26,28]; c5:bw=100,experts=[0,1,2,4,6,10,12,13,18,26]; c7:bw=213,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28]; c3:bw=133,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c1:bw=118,experts=[0,1,2,4,5,6,10,12,13,18,26]; c9:bw=176,experts=[0,1,2,4,5,6,8,9,10,12,13,18,21,24,25,26,28]; c0:bw=114,experts=[0,1,2,4,6,10,12,13,18,26]; c4:bw=64,experts=[2,4,6,13,26]; c6:bw=74,experts=[2,4,6,10,12,13,26]","6.8147,5.0196,7.8958,5.9945,6.5118,5.5146,4.7284,6.0697,8.4877,8.3617"
7,2026-09-24 11:53:19,Ours,0.01,2.842409130800326,17.3,17.3,7,71.6453,1:11.65,65.8628,4.419,1.3619,503.1674,8:23.17,10,"0,5,2,6,3,7,4,1,8,9",0:132;5:178;2:146;6:48;3:97;7:113;4:50;1:35;8:210;9:10,"0:[0,1,2,4,5,6,10,12,13,18,24,26,28];5:[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26,28];2:[0,1,2,4,5,6,10,12,13,18,24,26,28];6:[4,6,13,26];3:[0,1,2,4,6,12,13,18,26];7:[0,1,2,4,5,6,10,12,13,18,26];4:[0,4,6,13,26];1:[4,6];8:[0,1,2,4,5,6,8,10,11,12,13,14,15,16,18,21,23,24,25,26,28];9:[]","c0:bw=132,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c5:bw=178,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26,28]; c2:bw=146,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c6:bw=48,experts=[4,6,13,26]; c3:bw=97,experts=[0,1,2,4,6,12,13,18,26]; c7:bw=113,experts=[0,1,2,4,5,6,10,12,13,18,26]; c4:bw=50,experts=[0,4,6,13,26]; c1:bw=35,experts=[4,6]; c8:bw=210,experts=[0,1,2,4,5,6,8,10,11,12,13,14,15,16,18,21,23,24,25,26,28]; c9:bw=10,experts=[]","6.1859,7.8494,5.0171,8.4481,6.6403,6.0668,8.5744,5.5694,6.8050,4.7064"
8,2026-09-24 11:54:31,Ours,0.01,2.725522951228332,19.37,19.37,8,72.1006,1:12.10,65.8662,4.8663,1.3663,575.283,9:35.28,10,"4,8,1,3,0,5,2,9,7,6",4:16;8:135;1:213;3:136;0:119;5:103;2:197;9:215;7:55;6:151,"4:[];8:[0,1,2,4,5,6,10,12,13,18,24,26,28];1:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28];3:[0,1,2,4,5,6,10,12,13,18,24,26,28];0:[0,1,2,4,5,6,10,12,13,26,28];5:[0,1,2,4,5,6,10,13,24,26];2:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28];9:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28,30];7:[0,4,6,13,26];6:[0,1,2,4,5,6,8,10,12,13,18,21,24,26,28]","c4:bw=16,experts=[]; c8:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c1:bw=213,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28]; c3:bw=136,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c0:bw=119,experts=[0,1,2,4,5,6,10,12,13,26,28]; c5:bw=103,experts=[0,1,2,4,5,6,10,13,24,26]; c2:bw=197,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28]; c9:bw=215,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28,30]; c7:bw=55,experts=[0,4,6,13,26]; c6:bw=151,experts=[0,1,2,4,5,6,8,10,12,13,18,21,24,26,28]","8.6770,6.8172,5.5568,6.5959,6.0880,7.9008,4.9615,4.7581,6.0107,8.5002"
9,2026-09-24 11:55:43,Ours,0.01,2.596309828440693,23.42,23.42,9,72.36,1:12.36,66.3037,4.6801,1.3744,647.6568,10:47.66,10,"2,0,4,9,8,6,7,5,1,3",2:78;0:192;4:218;9:96;8:66;6:114;7:168;5:192;1:53;3:84,"2:[0,1,2,4,6,13,26];0:[0,1,2,4,5,6,8,10,11,12,13,14,18,21,23,24,26,28];4:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,26,28];9:[0,1,2,4,6,13,24,26];8:[0,4,6,13,26,28];6:[0,1,2,4,5,6,12,13,24,26,28];7:[0,1,2,4,5,6,8,10,11,12,13,18,23,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,26,28];1:[0,4,6,26];3:[0,1,4,6,13,26,28]","c2:bw=78,experts=[0,1,2,4,6,13,26]; c0:bw=192,experts=[0,1,2,4,5,6,8,10,11,12,13,14,18,21,23,24,26,28]; c4:bw=218,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,26,28]; c9:bw=96,experts=[0,1,2,4,6,13,24,26]; c8:bw=66,experts=[0,4,6,13,26,28]; c6:bw=114,experts=[0,1,2,4,5,6,12,13,24,26,28]; c7:bw=168,experts=[0,1,2,4,5,6,8,10,11,12,13,18,23,24,26,28]; c5:bw=192,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,26,28]; c1:bw=53,experts=[0,4,6,26]; c3:bw=84,experts=[0,1,4,6,13,26,28]","5.0520,6.0958,8.6361,4.7861,6.8949,8.5758,6.0443,7.9455,5.6133,6.6597"
10,2026-09-24 11:56:56,Ours,0.01,2.5215341632473605,24.57,24.57,10,73.1058,1:13.11,66.3585,5.376,1.3694,720.7766,12:00.78,10,"4,2,7,0,6,3,5,8,9,1",4:135;2:124;7:137;0:216;6:238;3:168;5:212;8:129;9:129;1:149,"4:[0,1,2,4,5,6,10,12,13,18,24,26,28];2:[0,1,2,4,5,6,10,12,13,24,26,28];7:[0,1,2,4,5,6,8,10,12,13,24,26,28];0:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28];6:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,18,21,22,23,24,25,26,28,30];3:[0,1,2,4,5,6,8,10,12,13,18,21,23,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28];8:[0,1,2,4,5,6,10,12,13,24,26,28];9:[0,1,2,4,5,6,10,12,13,24,26,28];1:[0,1,2,4,5,6,8,10,12,13,18,24,26,28]","c4:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c2:bw=124,experts=[0,1,2,4,5,6,10,12,13,24,26,28]; c7:bw=137,experts=[0,1,2,4,5,6,8,10,12,13,24,26,28]; c0:bw=216,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28]; c6:bw=238,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,18,21,22,23,24,25,26,28,30]; c3:bw=168,experts=[0,1,2,4,5,6,8,10,12,13,18,21,23,24,26,28]; c5:bw=212,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28]; c8:bw=129,experts=[0,1,2,4,5,6,10,12,13,24,26,28]; c9:bw=129,experts=[0,1,2,4,5,6,10,12,13,24,26,28]; c1:bw=149,experts=[0,1,2,4,5,6,8,10,12,13,18,24,26,28]","8.6306,4.9850,6.0205,6.2231,8.5398,6.6856,7.9200,6.8650,4.8217,5.6673"
