Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 10:00:31,Ours,0.00208,3.627381259307191,1.29,1.29,1,62.3886,1:02.39,58.9783,2.0918,1.3174,62.3887,1:02.39,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[0,1,2];1:[2];5:[1,2];0:[2];7:[2];2:[2];9:[1,2];4:[1,2];3:[1,2];6:[1,2]","c8:bw=31,experts=[0,1,2]; c1:bw=16,experts=[2]; c5:bw=25,experts=[1,2]; c0:bw=10,experts=[2]; c7:bw=11,experts=[2]; c2:bw=16,experts=[2]; c9:bw=25,experts=[1,2]; c4:bw=22,experts=[1,2]; c3:bw=28,experts=[1,2]; c6:bw=23,experts=[1,2]","6.7946,4.9558,7.1054,5.3985,5.2688,4.3852,4.0882,7.6883,5.7407,7.5527"
2,2026-09-24 10:01:32,Ours,0.00406,3.3162984610478774,4.55,4.55,2,60.7718,1:00.77,57.188,2.3059,1.2766,123.4001,2:03.40,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:23;8:27;5:38;3:37;4:17;7:31;9:26;6:10;2:12,"0:[1,2];1:[1,2];8:[1,2];5:[0,1,2];3:[0,1,2];4:[2];7:[0,1,2];9:[1,2];6:[2];2:[2]","c0:bw=20,experts=[1,2]; c1:bw=23,experts=[1,2]; c8:bw=27,experts=[1,2]; c5:bw=38,experts=[0,1,2]; c3:bw=37,experts=[0,1,2]; c4:bw=17,experts=[2]; c7:bw=31,experts=[0,1,2]; c9:bw=26,experts=[1,2]; c6:bw=10,experts=[2]; c2:bw=12,experts=[2]","5.2798,4.8456,6.0005,6.9022,5.7300,7.5351,5.2499,3.9834,7.4099,4.2515"
3,2026-09-24 10:02:33,Ours,0.006040000000000001,3.1973786722950326,7.1,7.1,3,61.0079,1:01.01,57.4861,2.1952,1.3222,184.4245,3:04.42,10,"9,2,0,6,8,5,3,7,1,4",9:26;2:23;0:28;6:22;8:17;5:10;3:14;7:18;1:10;4:29,"9:[1,2];2:[1,2];0:[1,2];6:[1,2];8:[2];5:[2];3:[2];7:[2];1:[2];4:[1,2]","c9:bw=26,experts=[1,2]; c2:bw=23,experts=[1,2]; c0:bw=28,experts=[1,2]; c6:bw=22,experts=[1,2]; c8:bw=17,experts=[2]; c5:bw=10,experts=[2]; c3:bw=14,experts=[2]; c7:bw=18,experts=[2]; c1:bw=10,experts=[2]; c4:bw=29,experts=[1,2]","4.0407,4.2825,5.2737,7.4073,5.9394,6.9938,5.7726,5.2880,4.8955,7.5926"
4,2026-09-24 10:03:34,Ours,0.00802,3.385869177153926,6.89,7.1,3,61.7873,1:01.79,58.1289,2.3557,1.3015,246.2252,4:06.23,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:29;2:33;8:17;0:33;3:19;4:31;5:40;9:12,"1:[0,3];7:[2,3];6:[0,3];2:[0,2,3];8:[3];0:[0,2,3];3:[3];4:[0,2,3];5:[0,1,2,3];9:[0]","c1:bw=22,experts=[0,3]; c7:bw=25,experts=[2,3]; c6:bw=29,experts=[0,3]; c2:bw=33,experts=[0,2,3]; c8:bw=17,experts=[3]; c0:bw=33,experts=[0,2,3]; c3:bw=19,experts=[3]; c4:bw=31,experts=[0,2,3]; c5:bw=40,experts=[0,1,2,3]; c9:bw=12,experts=[0]","4.9713,5.2974,7.5927,4.3256,6.0668,5.3331,5.8050,7.6421,7.0339,4.0610"
5,2026-09-24 10:04:37,Ours,0.01,3.034870515845519,12.19,12.19,5,62.3433,1:02.34,58.6937,2.333,1.3153,308.5847,5:08.58,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:20;0:28;7:14;6:29;3:35;2:10;9:35,"1:[2];5:[1,2];4:[1,2];8:[0,2];0:[1,2];7:[2];6:[1,2];3:[0,1,2];2:[2];9:[1,2,3]","c1:bw=11,experts=[2]; c5:bw=22,experts=[1,2]; c4:bw=27,experts=[1,2]; c8:bw=20,experts=[0,2]; c0:bw=28,experts=[1,2]; c7:bw=14,experts=[2]; c6:bw=29,experts=[1,2]; c3:bw=35,experts=[0,1,2]; c2:bw=10,experts=[2]; c9:bw=35,experts=[1,2,3]","4.9743,7.1164,7.6073,6.0636,5.4545,5.3642,7.6430,5.9425,4.3695,4.1584"
6,2026-09-24 10:05:39,Ours,0.01,2.9739628913661957,14.27,14.27,6,61.9898,1:01.99,58.4739,2.2299,1.2847,370.5871,6:10.59,10,"8,2,5,7,3,1,9,0,4,6",8:37;2:23;5:15;7:32;3:20;1:18;9:27;0:17;4:10;6:11,"8:[0,1,2];2:[1,2];5:[2];7:[0,1,2];3:[1,2];1:[1];9:[1,2];0:[2];4:[2];6:[2]","c8:bw=37,experts=[0,1,2]; c2:bw=23,experts=[1,2]; c5:bw=15,experts=[2]; c7:bw=32,experts=[0,1,2]; c3:bw=20,experts=[1,2]; c1:bw=18,experts=[1]; c9:bw=27,experts=[1,2]; c0:bw=17,experts=[2]; c4:bw=10,experts=[2]; c6:bw=11,experts=[2]","6.1961,4.3511,7.1219,5.3175,5.8957,4.9929,4.0960,5.3241,7.6371,7.5415"
7,2026-09-24 10:06:40,Ours,0.01,2.806169075487632,17.48,17.48,7,61.6694,1:01.67,58.2176,2.1414,1.3093,432.2694,7:12.27,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:27;2:22;6:10;3:15;7:17;4:10;1:10;8:32;9:10,"0:[1,2];5:[1,2];2:[1,2];6:[2];3:[2];7:[2];4:[2];1:[2];8:[0,1,2];9:[2]","c0:bw=20,experts=[1,2]; c5:bw=27,experts=[1,2]; c2:bw=22,experts=[1,2]; c6:bw=10,experts=[2]; c3:bw=15,experts=[2]; c7:bw=17,experts=[2]; c4:bw=10,experts=[2]; c1:bw=10,experts=[2]; c8:bw=32,experts=[0,1,2]; c9:bw=10,experts=[2]","5.4161,7.0462,4.3421,7.5587,5.8053,5.2764,7.6704,4.9430,6.0694,4.0900"
8,2026-09-24 10:07:43,Ours,0.01,2.9267125846764843,18.13,18.13,8,62.9503,1:02.95,59.0811,2.4671,1.4008,495.2323,8:15.23,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:20;1:32;3:21;0:18;5:16;2:30;9:33;7:10;6:23,"4:[0];8:[2,3];1:[0,2,3];3:[2,3];0:[0];5:[0];2:[0,2,3];9:[0,1,2];7:[3];6:[0,3]","c4:bw=10,experts=[0]; c8:bw=20,experts=[2,3]; c1:bw=32,experts=[0,2,3]; c3:bw=21,experts=[2,3]; c0:bw=18,experts=[0]; c5:bw=16,experts=[0]; c2:bw=30,experts=[0,2,3]; c9:bw=33,experts=[0,1,2]; c7:bw=10,experts=[3]; c6:bw=23,experts=[0,3]","7.7452,6.0578,4.9941,5.8686,5.3395,7.1187,4.3573,4.1946,5.5616,7.8437"
9,2026-09-24 10:08:48,Ours,0.01,2.738780400019055,20.17,20.17,9,64.8221,1:04.82,61.051,2.3889,1.3764,560.0695,9:20.07,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:29;4:33;9:15;8:10;6:17;7:25;5:29;1:10;3:13,"2:[2];0:[2,3];4:[1,2,3];9:[3];8:[2];6:[1];7:[1,2];5:[2,3];1:[2];3:[0]","c2:bw=12,experts=[2]; c0:bw=29,experts=[2,3]; c4:bw=33,experts=[1,2,3]; c9:bw=15,experts=[3]; c8:bw=10,experts=[2]; c6:bw=17,experts=[1]; c7:bw=25,experts=[1,2]; c5:bw=29,experts=[2,3]; c1:bw=10,experts=[2]; c3:bw=13,experts=[0]","4.5995,5.6749,8.0738,4.2285,6.3664,7.9242,5.5465,7.3807,5.1373,6.1193"
10,2026-09-24 10:09:53,Ours,0.01,2.5490711133728507,24.34,24.34,10,64.638,1:04.64,60.8601,2.4215,1.3551,624.7229,10:24.72,10,"4,2,7,0,6,3,5,8,9,1",4:20;2:19;7:21;0:33;6:36;3:26;5:32;8:20;9:20;1:23,"4:[1,2];2:[2];7:[0,2];0:[0,1,2];6:[0,1,2];3:[1,2];5:[0,1,2];8:[1,2];9:[1,2];1:[1,2]","c4:bw=20,experts=[1,2]; c2:bw=19,experts=[2]; c7:bw=21,experts=[0,2]; c0:bw=33,experts=[0,1,2]; c6:bw=36,experts=[0,1,2]; c3:bw=26,experts=[1,2]; c5:bw=32,experts=[0,1,2]; c8:bw=20,experts=[1,2]; c9:bw=20,experts=[1,2]; c1:bw=23,experts=[1,2]","8.0278,4.5228,5.5139,5.5750,7.9405,6.1250,7.4064,6.2937,4.2924,5.1625"
11,2026-09-24 10:10:57,Ours,0.01,2.5195434090854225,26.51,26.51,11,64.1354,1:04.14,60.4604,2.3158,1.3579,688.8735,11:28.87,10,"5,2,7,3,0,8,9,6,1,4",5:15;2:15;7:24;3:28;0:16;8:22;9:18;6:31;1:22;4:10,"5:[2];2:[1];7:[1,2];3:[1,2];0:[2];8:[0,2];9:[2];6:[0,1,2];1:[1,2];4:[2]","c5:bw=15,experts=[2]; c2:bw=15,experts=[1]; c7:bw=24,experts=[1,2]; c3:bw=28,experts=[1,2]; c0:bw=16,experts=[2]; c8:bw=22,experts=[0,2]; c9:bw=18,experts=[2]; c6:bw=31,experts=[0,1,2]; c1:bw=22,experts=[1,2]; c4:bw=10,experts=[2]","7.3136,4.5340,5.5309,6.1436,5.5940,6.3438,4.2297,7.6824,5.1527,7.9358"
