Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 12:30:35,Ours,0.00208,3.965606621795221,1.4,1.4,1,69.3771,1:09.38,63.6864,4.3804,1.3054,69.3771,1:09.38,20,"0,17,15,1,8,5,11,3,18,16,13,2,9,19,4,12,7,10,14,6",0:10;17:34;15:58;1:29;8:55;5:44;11:24;3:51;18:30;16:48;13:42;2:29;9:45;19:40;4:40;12:23;7:20;10:22;14:54;6:41,"0:[2];17:[2,4,6];15:[1,2,4,5,6];1:[2];8:[1,2,4,5,6];5:[1,2,4,6];11:[2,4];3:[1,2,4,6];18:[2,4,6];16:[1,2,4,6];13:[1,2,4,6];2:[2];9:[1,2,4,6];19:[1,2,4,6];4:[1,2,4,6];12:[2];7:[2,6];10:[2,4];14:[1,2,4,6];6:[2,4,6]","c0:bw=10,experts=[2]; c17:bw=34,experts=[2,4,6]; c15:bw=58,experts=[1,2,4,5,6]; c1:bw=29,experts=[2]; c8:bw=55,experts=[1,2,4,5,6]; c5:bw=44,experts=[1,2,4,6]; c11:bw=24,experts=[2,4]; c3:bw=51,experts=[1,2,4,6]; c18:bw=30,experts=[2,4,6]; c16:bw=48,experts=[1,2,4,6]; c13:bw=42,experts=[1,2,4,6]; c2:bw=29,experts=[2]; c9:bw=45,experts=[1,2,4,6]; c19:bw=40,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c12:bw=23,experts=[2]; c7:bw=20,experts=[2,6]; c10:bw=22,experts=[2,4]; c14:bw=54,experts=[1,2,4,6]; c6:bw=41,experts=[2,4,6]","2.4598,2.7020,3.5829,4.4524,2.7480,1.6854,2.9632,1.9160,3.7580,2.5703,4.9699,3.1687,2.8980,4.4417,3.8617,2.9626,3.9118,1.6240,4.5276,2.4824"
2,2026-09-24 12:31:41,Ours,0.00406,3.3880113589616156,3.45,3.45,2,66.4918,1:06.49,60.6323,4.5666,1.2905,136.0087,2:16.01,20,"19,16,15,5,4,12,14,7,3,6,2,9,13,10,18,8,17,11,0,1",19:53;16:16;15:62;5:69;4:30;12:16;14:26;7:55;3:67;6:17;2:22;9:46;13:54;10:59;18:24;8:48;17:51;11:29;0:36;1:41,"19:[0,1,2,4,6];16:[4];15:[0,1,2,4,5,6];5:[0,1,2,4,5,6];4:[2,4,6];12:[4];14:[4,6];7:[0,2,4,6];3:[0,1,2,4,5,6];6:[4];2:[4,6];9:[0,2,4,6];13:[0,1,2,4,6];10:[0,2,4,6];18:[4,6];8:[0,2,4,6];17:[0,1,2,4,6];11:[4,6];0:[4,6];1:[1,2,4,6]","c19:bw=53,experts=[0,1,2,4,6]; c16:bw=16,experts=[4]; c15:bw=62,experts=[0,1,2,4,5,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[2,4,6]; c12:bw=16,experts=[4]; c14:bw=26,experts=[4,6]; c7:bw=55,experts=[0,2,4,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]; c9:bw=46,experts=[0,2,4,6]; c13:bw=54,experts=[0,1,2,4,6]; c10:bw=59,experts=[0,2,4,6]; c18:bw=24,experts=[4,6]; c8:bw=48,experts=[0,2,4,6]; c17:bw=51,experts=[0,1,2,4,6]; c11:bw=29,experts=[4,6]; c0:bw=36,experts=[4,6]; c1:bw=41,experts=[1,2,4,6]","4.2460,2.5104,3.4070,1.6324,3.8749,2.9011,4.4134,3.7024,1.8249,2.4030,3.0551,2.6413,4.6957,1.5565,3.5480,2.6858,2.6542,2.7892,1.8566,4.2343"
3,2026-09-24 12:32:48,Ours,0.006040000000000001,3.290355092689331,4.97,4.97,3,66.767,1:06.77,61.0478,4.4238,1.2931,202.7871,3:22.79,20,"10,7,0,2,5,18,16,12,4,14,15,9,1,13,11,19,3,17,6,8",10:10;7:33;0:50;2:42;5:13;18:40;16:31;12:37;4:52;14:53;15:16;9:48;1:13;13:54;11:66;19:24;3:26;17:41;6:40;8:30,"10:[4];7:[4,6];0:[0,1,2,4,6];2:[0,2,4,6];5:[4];18:[0,2,4,6];16:[2,4,6];12:[2,4,6];4:[0,1,2,4,6];14:[0,1,2,4,6];15:[4];9:[0,2,4,6];1:[];13:[0,1,2,4,6];11:[0,1,2,4,5,6];19:[4,6];3:[4];17:[2,4,6];6:[0,2,4,6];8:[2,4,6]","c10:bw=10,experts=[4]; c7:bw=33,experts=[4,6]; c0:bw=50,experts=[0,1,2,4,6]; c2:bw=42,experts=[0,2,4,6]; c5:bw=13,experts=[4]; c18:bw=40,experts=[0,2,4,6]; c16:bw=31,experts=[2,4,6]; c12:bw=37,experts=[2,4,6]; c4:bw=52,experts=[0,1,2,4,6]; c14:bw=53,experts=[0,1,2,4,6]; c15:bw=16,experts=[4]; c9:bw=48,experts=[0,2,4,6]; c1:bw=13,experts=[]; c13:bw=54,experts=[0,1,2,4,6]; c11:bw=66,experts=[0,1,2,4,5,6]; c19:bw=24,experts=[4,6]; c3:bw=26,experts=[4]; c17:bw=41,experts=[2,4,6]; c6:bw=40,experts=[0,2,4,6]; c8:bw=30,experts=[2,4,6]","1.5757,3.7253,1.8634,3.0776,1.6376,3.5527,2.5043,2.9068,3.8817,4.4755,3.4185,2.6376,4.2594,4.7296,2.8119,4.2543,1.8574,2.6711,2.4649,2.7425"
4,2026-09-24 12:33:56,Ours,0.00802,3.1866272588697617,7.27,7.27,4,67.7235,1:07.72,61.665,4.7567,1.2957,270.5219,4:30.52,20,"0,18,6,8,17,11,4,9,12,10,5,19,15,7,1,3,16,13,2,14",0:59;18:43;6:53;8:31;17:39;11:49;4:56;9:22;12:63;10:64;5:73;19:47;15:24;7:45;1:40;3:34;16:45;13:49;2:60;14:32,"0:[0,1,2,4,6];18:[0,2,4,6];6:[0,1,2,4,6];8:[2,4,6];17:[2,4,6];11:[0,2,4,6];4:[0,1,2,4,6];9:[4,6];12:[0,1,2,4,5,6];10:[0,1,2,4,5,6];5:[0,1,2,4,5,6,7];19:[0,2,4,6];15:[4,6];7:[0,2,4,6];1:[0,2,4,6];3:[4,6];16:[0,2,4,6];13:[0,2,4,6];2:[0,1,2,4,5,6];14:[2,4,6]","c0:bw=59,experts=[0,1,2,4,6]; c18:bw=43,experts=[0,2,4,6]; c6:bw=53,experts=[0,1,2,4,6]; c8:bw=31,experts=[2,4,6]; c17:bw=39,experts=[2,4,6]; c11:bw=49,experts=[0,2,4,6]; c4:bw=56,experts=[0,1,2,4,6]; c9:bw=22,experts=[4,6]; c12:bw=63,experts=[0,1,2,4,5,6]; c10:bw=64,experts=[0,1,2,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c19:bw=47,experts=[0,2,4,6]; c15:bw=24,experts=[4,6]; c7:bw=45,experts=[0,2,4,6]; c1:bw=40,experts=[0,2,4,6]; c3:bw=34,experts=[4,6]; c16:bw=45,experts=[0,2,4,6]; c13:bw=49,experts=[0,2,4,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c14:bw=32,experts=[2,4,6]","1.8981,3.5740,2.4694,2.7481,2.6967,2.8320,3.9541,2.6811,2.9481,1.5727,1.6611,4.2948,3.4621,3.7262,4.2966,1.8829,2.5868,4.7713,3.0852,4.5236"
5,2026-09-24 12:35:03,Ours,0.01,3.1701547359850855,8.15,8.15,5,67.5573,1:07.56,61.8579,4.392,1.3004,338.0914,5:38.09,20,"5,2,10,19,0,12,9,16,1,4,17,8,11,6,18,7,14,15,13,3",5:40;2:10;10:35;19:19;0:50;12:55;9:62;16:32;1:20;4:48;17:64;8:37;11:21;6:53;18:10;7:24;14:53;15:45;13:36;3:63,"5:[2,4,6];2:[];10:[2,4,6];19:[4];0:[0,1,2,4,6];12:[0,1,2,4,6];9:[0,1,2,4,5,6];16:[2,4,6];1:[4,6];4:[1,2,4,6];17:[0,1,2,4,5,6];8:[2,4,6];11:[4];6:[0,1,2,4,6];18:[4];7:[4];14:[0,1,2,4,6];15:[2,4,6];13:[4,6];3:[0,1,2,4,5,6]","c5:bw=40,experts=[2,4,6]; c2:bw=10,experts=[]; c10:bw=35,experts=[2,4,6]; c19:bw=19,experts=[4]; c0:bw=50,experts=[0,1,2,4,6]; c12:bw=55,experts=[0,1,2,4,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c16:bw=32,experts=[2,4,6]; c1:bw=20,experts=[4,6]; c4:bw=48,experts=[1,2,4,6]; c17:bw=64,experts=[0,1,2,4,5,6]; c8:bw=37,experts=[2,4,6]; c11:bw=21,experts=[4]; c6:bw=53,experts=[0,1,2,4,6]; c18:bw=10,experts=[4]; c7:bw=24,experts=[4]; c14:bw=53,experts=[0,1,2,4,6]; c15:bw=45,experts=[2,4,6]; c13:bw=36,experts=[4,6]; c3:bw=63,experts=[0,1,2,4,5,6]","1.6658,3.2190,1.5924,4.2738,1.8740,2.9800,2.7217,2.5807,4.3052,3.9496,2.7358,2.7199,2.8482,2.4657,3.5384,3.7615,4.5547,3.4930,4.7132,1.8651"
6,2026-09-24 12:36:11,Ours,0.01,3.104820639671671,9.71,9.71,6,68.0207,1:08.02,62.31,4.3901,1.316,406.1246,6:46.12,20,"3,1,4,5,15,16,9,10,13,2,18,19,11,17,7,8,6,0,12,14",3:36;1:32;4:17;5:27;15:33;16:54;9:48;10:10;13:15;2:42;18:40;19:37;11:31;17:27;7:58;8:67;6:20;0:31;12:62;14:40,"3:[2,4,6];1:[2,4,6];4:[];5:[4,6];15:[2,4,6];16:[0,1,2,4,6];9:[1,2,4,6];10:[4];13:[4];2:[0,2,4,6];18:[0,2,4,6];19:[2,4,6];11:[2,4,6];17:[4];7:[0,1,2,4,6];8:[0,1,2,4,5,6];6:[4,6];0:[4,6];12:[0,1,2,4,5,6];14:[0,2,4,6]","c3:bw=36,experts=[2,4,6]; c1:bw=32,experts=[2,4,6]; c4:bw=17,experts=[]; c5:bw=27,experts=[4,6]; c15:bw=33,experts=[2,4,6]; c16:bw=54,experts=[0,1,2,4,6]; c9:bw=48,experts=[1,2,4,6]; c10:bw=10,experts=[4]; c13:bw=15,experts=[4]; c2:bw=42,experts=[0,2,4,6]; c18:bw=40,experts=[0,2,4,6]; c19:bw=37,experts=[2,4,6]; c11:bw=31,experts=[2,4,6]; c17:bw=27,experts=[4]; c7:bw=58,experts=[0,1,2,4,6]; c8:bw=67,experts=[0,1,2,4,5,6]; c6:bw=20,experts=[4,6]; c0:bw=31,experts=[4,6]; c12:bw=62,experts=[0,1,2,4,5,6]; c14:bw=40,experts=[0,2,4,6]","1.8820,4.3884,3.9552,1.6673,3.5235,2.5899,2.6969,1.6034,4.8063,3.1583,3.5995,4.3095,2.9263,2.7341,3.8115,2.7506,2.4792,1.8829,3.0071,4.5382"
7,2026-09-24 12:37:19,Ours,0.01,3.1038189705933057,11.84,11.84,7,68.039,1:08.04,62.4339,4.298,1.301,474.179,7:54.18,20,"13,10,12,16,9,5,3,2,4,15,14,17,0,1,11,7,18,19,8,6",13:25;10:17;12:47;16:53;9:10;5:49;3:26;2:40;4:14;15:39;14:13;17:41;0:36;1:10;11:60;7:31;18:20;19:54;8:57;6:13,"13:[4,6];10:[4];12:[0,2,4,6];16:[0,1,2,4,6];9:[];5:[2,4,6];3:[4,6];2:[2,4,6];4:[4];15:[2,4,6];14:[];17:[1,2,4,6];0:[2,4,6];1:[];11:[0,1,2,4,5,6];7:[2,4,6];18:[4,6];19:[0,1,2,4,6];8:[0,1,2,4,6];6:[4]","c13:bw=25,experts=[4,6]; c10:bw=17,experts=[4]; c12:bw=47,experts=[0,2,4,6]; c16:bw=53,experts=[0,1,2,4,6]; c9:bw=10,experts=[]; c5:bw=49,experts=[2,4,6]; c3:bw=26,experts=[4,6]; c2:bw=40,experts=[2,4,6]; c4:bw=14,experts=[4]; c15:bw=39,experts=[2,4,6]; c14:bw=13,experts=[]; c17:bw=41,experts=[1,2,4,6]; c0:bw=36,experts=[2,4,6]; c1:bw=10,experts=[]; c11:bw=60,experts=[0,1,2,4,5,6]; c7:bw=31,experts=[2,4,6]; c18:bw=20,experts=[4,6]; c19:bw=54,experts=[0,1,2,4,6]; c8:bw=57,experts=[0,1,2,4,6]; c6:bw=13,experts=[4]","4.8436,1.5880,3.0098,2.6037,2.7284,1.6923,1.8875,3.1560,3.9292,3.5334,4.5813,2.7347,1.8808,4.3503,2.8840,3.8262,3.6063,4.3509,2.7572,2.4901"
8,2026-09-24 12:38:28,Ours,0.01,3.107023858514247,13.2,13.2,8,68.7802,1:08.78,62.877,4.6219,1.2791,542.9727,9:02.97,20,"17,18,1,5,3,15,7,11,16,8,10,12,6,9,19,0,2,13,14,4",17:56;18:39;1:58;5:28;3:37;15:66;7:15;11:45;16:45;8:37;10:51;12:51;6:41;9:59;19:31;0:32;2:54;13:35;14:59;4:10,"17:[2,3,4,6,7];18:[1,3,5];1:[3,4,5,6,7];5:[3,4];3:[3,4,7];15:[1,2,3,4,6,7];7:[3];11:[3,4,6,7];16:[3,4,5,7];8:[3,4,7];10:[2,3,4,6,7];12:[2,3,4,6,7];6:[3,4,5,7];9:[3,4,6,7];19:[3,5,7];0:[3,5,7];2:[2,3,4,6,7];13:[3,5,7];14:[3,4,5,6,7];4:[]","c17:bw=56,experts=[2,3,4,6,7]; c18:bw=39,experts=[1,3,5]; c1:bw=58,experts=[3,4,5,6,7]; c5:bw=28,experts=[3,4]; c3:bw=37,experts=[3,4,7]; c15:bw=66,experts=[1,2,3,4,6,7]; c7:bw=15,experts=[3]; c11:bw=45,experts=[3,4,6,7]; c16:bw=45,experts=[3,4,5,7]; c8:bw=37,experts=[3,4,7]; c10:bw=51,experts=[2,3,4,6,7]; c12:bw=51,experts=[2,3,4,6,7]; c6:bw=41,experts=[3,4,5,7]; c9:bw=59,experts=[3,4,6,7]; c19:bw=31,experts=[3,5,7]; c0:bw=32,experts=[3,5,7]; c2:bw=54,experts=[2,3,4,6,7]; c13:bw=35,experts=[3,5,7]; c14:bw=59,experts=[3,4,5,6,7]; c4:bw=10,experts=[]","2.7678,3.7223,4.3615,1.7094,1.8977,3.5147,3.8316,2.9081,2.6097,2.7526,1.6258,3.0255,2.4981,2.7439,4.3261,1.9093,3.1652,4.8935,4.5876,4.0266"
9,2026-09-24 12:39:37,Ours,0.01,2.908205502635039,15.91,15.91,9,68.6488,1:08.65,63.0334,4.3212,1.292,611.6364,10:11.64,20,"17,11,7,13,0,9,4,8,1,5,2,16,19,15,3,18,10,14,12,6",17:49;11:28;7:46;13:41;0:52;9:26;4:59;8:18;1:14;5:52;2:21;16:41;19:26;15:36;3:23;18:53;10:34;14:37;12:38;6:31,"17:[2,4,6];11:[4,6];7:[4,5,6,7];13:[0,2,4,6];0:[0,2,4,6];9:[4];4:[3,4,5,7];8:[4];1:[];5:[0,1,2,4,6];2:[4,6];16:[0,2,4,6];19:[4];15:[2,4,6];3:[4];18:[0,2,4,6,7];10:[4,6];14:[2,4,6];12:[4,6];6:[2,4,6]","c17:bw=49,experts=[2,4,6]; c11:bw=28,experts=[4,6]; c7:bw=46,experts=[4,5,6,7]; c13:bw=41,experts=[0,2,4,6]; c0:bw=52,experts=[0,2,4,6]; c9:bw=26,experts=[4]; c4:bw=59,experts=[3,4,5,7]; c8:bw=18,experts=[4]; c1:bw=14,experts=[]; c5:bw=52,experts=[0,1,2,4,6]; c2:bw=21,experts=[4,6]; c16:bw=41,experts=[0,2,4,6]; c19:bw=26,experts=[4]; c15:bw=36,experts=[2,4,6]; c3:bw=23,experts=[4]; c18:bw=53,experts=[0,2,4,6,7]; c10:bw=34,experts=[4,6]; c14:bw=37,experts=[2,4,6]; c12:bw=38,experts=[4,6]; c6:bw=31,experts=[2,4,6]","2.8021,2.9118,3.8732,4.9111,1.9204,2.7646,3.9877,2.7699,4.3619,1.6987,3.1980,2.6015,4.3225,3.5710,1.8853,3.6788,1.6388,4.6070,3.0338,2.4950"
10,2026-09-24 12:40:46,Ours,0.01,2.8556350194751134,18.48,18.48,10,69.3095,1:09.31,63.457,4.5583,1.292,680.9621,11:20.96,20,"4,9,1,15,7,5,16,2,18,3,12,17,8,14,0,13,6,10,19,11",4:37;9:35;1:41;15:10;7:37;5:58;16:44;2:34;18:28;3:46;12:52;17:35;8:35;14:57;0:59;13:38;6:65;10:54;19:43;11:21,"4:[2,4,6];9:[2,4,6];1:[1,2,4,6];15:[0];7:[2,4,6];5:[1,2,4,5,6];16:[0,2,4,6];2:[2,4,6];18:[4,6];3:[1,2,4,6];12:[0,1,2,4,6];17:[2,4,6];8:[2,4,6];14:[0,1,2,4,6];0:[0,1,2,4,6];13:[2,4,6];6:[0,1,2,4,5,6];10:[1,2,4,6];19:[1,2,4,6];11:[4,6]","c4:bw=37,experts=[2,4,6]; c9:bw=35,experts=[2,4,6]; c1:bw=41,experts=[1,2,4,6]; c15:bw=10,experts=[0]; c7:bw=37,experts=[2,4,6]; c5:bw=58,experts=[1,2,4,5,6]; c16:bw=44,experts=[0,2,4,6]; c2:bw=34,experts=[2,4,6]; c18:bw=28,experts=[4,6]; c3:bw=46,experts=[1,2,4,6]; c12:bw=52,experts=[0,1,2,4,6]; c17:bw=35,experts=[2,4,6]; c8:bw=35,experts=[2,4,6]; c14:bw=57,experts=[0,1,2,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c13:bw=38,experts=[2,4,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c10:bw=54,experts=[1,2,4,6]; c19:bw=43,experts=[1,2,4,6]; c11:bw=21,experts=[4,6]","4.0348,2.7782,4.4614,3.6076,3.8900,1.7254,2.6487,3.2027,3.6580,1.9089,3.0756,2.7592,2.7975,4.6092,1.9297,4.8829,2.5348,1.6571,4.3743,2.9209"
