Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 12:09:03,Ours,0.00208,3.8769308384308183,1.41,1.41,1,54.6359,0:54.64,53.1926,0.3094,1.127,54.6359,0:54.64,20,"0,17,15,1,8,5,11,3,18,16,13,2,9,19,4,12,7,10,14,6",0:10;17:34;15:58;1:29;8:55;5:44;11:24;3:51;18:30;16:48;13:42;2:29;9:45;19:40;4:40;12:23;7:20;10:22;14:54;6:41,"0:[2];17:[2,4,6];15:[1,2,4,5,6];1:[2,4];8:[1,2,4,5,6];5:[1,2,4,6];11:[2,4];3:[1,2,4,5,6];18:[2,4,6];16:[1,2,4,6];13:[1,2,4,6];2:[2,4];9:[1,2,4,6];19:[1,2,4,6];4:[1,2,4,6];12:[2,4];7:[2,6];10:[2,4];14:[1,2,4,5,6];6:[1,2,4,6]","c0:bw=10,experts=[2]; c17:bw=34,experts=[2,4,6]; c15:bw=58,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,4]; c8:bw=55,experts=[1,2,4,5,6]; c5:bw=44,experts=[1,2,4,6]; c11:bw=24,experts=[2,4]; c3:bw=51,experts=[1,2,4,5,6]; c18:bw=30,experts=[2,4,6]; c16:bw=48,experts=[1,2,4,6]; c13:bw=42,experts=[1,2,4,6]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c19:bw=40,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c12:bw=23,experts=[2,4]; c7:bw=20,experts=[2,6]; c10:bw=22,experts=[2,4]; c14:bw=54,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","2.0509,2.2047,2.9740,3.7752,2.2500,1.3045,2.4989,1.5703,3.1703,2.1037,4.2593,2.6910,2.4046,3.7927,3.2484,2.5390,3.3028,1.2507,3.7980,2.0035"
2,2026-09-24 12:09:54,Ours,0.00406,3.381799365830451,3.43,3.43,2,50.9767,0:50.98,49.5153,0.3274,1.1318,105.7554,1:45.76,20,"19,16,15,5,4,12,14,7,3,6,2,9,13,10,18,8,17,11,0,1",19:53;16:16;15:62;5:69;4:30;12:16;14:26;7:55;3:67;6:17;2:22;9:46;13:54;10:59;18:24;8:48;17:51;11:29;0:36;1:41,"19:[0,1,2,4,6];16:[4];15:[0,1,2,4,5,6];5:[0,1,2,4,5,6];4:[0,4,6];12:[4];14:[4,6];7:[0,1,4,5,6];3:[0,1,2,4,5,6];6:[4];2:[4,6];9:[0,1,4,6];13:[0,1,4,5,6];10:[0,1,4,5,6];18:[4,6];8:[0,1,4,6];17:[0,1,4,5,6];11:[4,6];0:[0,4,6];1:[0,1,4,6]","c19:bw=53,experts=[0,1,2,4,6]; c16:bw=16,experts=[4]; c15:bw=62,experts=[0,1,2,4,5,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[0,4,6]; c12:bw=16,experts=[4]; c14:bw=26,experts=[4,6]; c7:bw=55,experts=[0,1,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]; c9:bw=46,experts=[0,1,4,6]; c13:bw=54,experts=[0,1,4,5,6]; c10:bw=59,experts=[0,1,4,5,6]; c18:bw=24,experts=[4,6]; c8:bw=48,experts=[0,1,4,6]; c17:bw=51,experts=[0,1,4,5,6]; c11:bw=29,experts=[4,6]; c0:bw=36,experts=[0,4,6]; c1:bw=41,experts=[0,1,4,6]","3.4757,2.0310,2.8266,1.2422,3.1867,2.3705,3.7112,3.0661,1.4152,1.9287,2.4934,2.1280,3.9235,1.1786,2.9459,2.1866,2.1502,2.2693,1.4339,3.5519"
3,2026-09-24 12:10:51,Ours,0.006040000000000001,3.2559834405186914,5.41,5.41,3,57.0481,0:57.05,55.3912,0.3771,1.2771,162.8162,2:42.82,20,"10,7,0,2,5,18,16,12,4,14,15,9,1,13,11,19,3,17,6,8",10:10;7:33;0:50;2:42;5:13;18:40;16:31;12:37;4:52;14:53;15:16;9:48;1:13;13:54;11:66;19:24;3:26;17:41;6:40;8:30,"10:[4];7:[0,4,6];0:[0,1,4,5,6];2:[0,1,4,6];5:[4];18:[0,1,4,6];16:[0,4,6];12:[0,4,6];4:[0,1,4,5,6];14:[0,1,4,5,6];15:[4];9:[0,1,4,6];1:[4];13:[0,1,4,5,6];11:[0,1,2,4,5,6];19:[4,6];3:[4,6];17:[0,4,5,6];6:[0,4,5,6];8:[0,4,6]","c10:bw=10,experts=[4]; c7:bw=33,experts=[0,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c2:bw=42,experts=[0,1,4,6]; c5:bw=13,experts=[4]; c18:bw=40,experts=[0,1,4,6]; c16:bw=31,experts=[0,4,6]; c12:bw=37,experts=[0,4,6]; c4:bw=52,experts=[0,1,4,5,6]; c14:bw=53,experts=[0,1,4,5,6]; c15:bw=16,experts=[4]; c9:bw=48,experts=[0,1,4,6]; c1:bw=13,experts=[4]; c13:bw=54,experts=[0,1,4,5,6]; c11:bw=66,experts=[0,1,2,4,5,6]; c19:bw=24,experts=[4,6]; c3:bw=26,experts=[4,6]; c17:bw=41,experts=[0,4,5,6]; c6:bw=40,experts=[0,4,5,6]; c8:bw=30,experts=[0,4,6]","1.1804,3.0874,1.4311,2.5027,1.2471,2.9324,2.0368,2.4661,3.4904,4.2573,3.3991,2.5651,4.1530,4.6541,2.8011,4.2387,1.6872,2.3947,2.2987,2.5679"
4,2026-09-24 12:11:50,Ours,0.00802,3.18553232022111,7.32,7.32,4,59.5228,0:59.52,57.8413,0.3699,1.3092,222.3527,3:42.35,20,"0,18,6,8,17,11,4,9,12,10,5,19,15,7,1,3,16,13,2,14",0:59;18:43;6:53;8:31;17:39;11:49;4:56;9:22;12:63;10:64;5:73;19:47;15:24;7:45;1:40;3:34;16:45;13:49;2:60;14:32,"0:[0,1,4,5,6];18:[0,1,4,6];6:[0,1,4,5,6];8:[0,4,6];17:[0,4,6];11:[0,1,4,6];4:[0,1,4,5,6];9:[4,6];12:[0,1,2,4,5,6];10:[0,1,2,4,5,6];5:[0,1,2,4,5,6,7];19:[0,1,4,6];15:[4,6];7:[0,1,4,6];1:[0,1,4,6];3:[0,4,6];16:[0,1,4,6];13:[0,1,4,6];2:[0,1,2,4,5,6];14:[0,4,6]","c0:bw=59,experts=[0,1,4,5,6]; c18:bw=43,experts=[0,1,4,6]; c6:bw=53,experts=[0,1,4,5,6]; c8:bw=31,experts=[0,4,6]; c17:bw=39,experts=[0,4,6]; c11:bw=49,experts=[0,1,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c9:bw=22,experts=[4,6]; c12:bw=63,experts=[0,1,2,4,5,6]; c10:bw=64,experts=[0,1,2,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c19:bw=47,experts=[0,1,4,6]; c15:bw=24,experts=[4,6]; c7:bw=45,experts=[0,1,4,6]; c1:bw=40,experts=[0,1,4,6]; c3:bw=34,experts=[0,4,6]; c16:bw=45,experts=[0,1,4,6]; c13:bw=49,experts=[0,1,4,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c14:bw=32,experts=[0,4,6]","1.7184,3.4559,2.3240,2.5655,2.5438,2.6344,3.7503,2.4119,2.7742,1.3787,1.4181,4.0835,3.2812,3.5478,4.0958,1.7042,2.3520,4.5861,2.8684,4.3470"
5,2026-09-24 12:12:50,Ours,0.01,3.1336123617826734,8.65,8.65,5,59.3178,0:59.32,57.6693,0.3693,1.2718,281.6852,4:41.69,20,"5,2,10,19,0,12,9,16,1,4,17,8,11,6,18,7,14,15,13,3",5:40;2:10;10:35;19:19;0:50;12:55;9:62;16:32;1:20;4:48;17:64;8:37;11:21;6:53;18:10;7:24;14:53;15:45;13:36;3:63,"5:[0,1,4,6];2:[4];10:[0,4,6];19:[4];0:[0,1,2,4,6];12:[0,1,2,4,6];9:[0,1,2,4,5,6];16:[0,4,6];1:[4,6];4:[0,1,4,6];17:[0,1,2,4,5,6];8:[0,4,6];11:[4,6];6:[0,1,4,5,6];18:[4];7:[4,6];14:[0,1,2,4,6];15:[0,1,4,6];13:[0,4,6];3:[0,1,2,4,5,6]","c5:bw=40,experts=[0,1,4,6]; c2:bw=10,experts=[4]; c10:bw=35,experts=[0,4,6]; c19:bw=19,experts=[4]; c0:bw=50,experts=[0,1,2,4,6]; c12:bw=55,experts=[0,1,2,4,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c16:bw=32,experts=[0,4,6]; c1:bw=20,experts=[4,6]; c4:bw=48,experts=[0,1,4,6]; c17:bw=64,experts=[0,1,2,4,5,6]; c8:bw=37,experts=[0,4,6]; c11:bw=21,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c18:bw=10,experts=[4]; c7:bw=24,experts=[4,6]; c14:bw=53,experts=[0,1,2,4,6]; c15:bw=45,experts=[0,1,4,6]; c13:bw=36,experts=[0,4,6]; c3:bw=63,experts=[0,1,2,4,5,6]","1.4750,2.9371,1.4196,4.0965,1.6641,2.7335,2.5014,2.3870,4.0434,3.7082,2.5327,2.5312,2.6299,2.2701,3.3626,3.5953,4.3417,3.2952,4.5284,1.6163"
6,2026-09-24 12:13:51,Ours,0.01,3.075564554114397,10.49,10.49,6,61.7231,1:01.72,60.16,0.3589,1.2018,343.4218,5:43.42,20,"3,1,4,5,15,16,9,10,13,2,18,19,11,17,7,8,6,0,12,14",3:36;1:32;4:17;5:27;15:33;16:54;9:48;10:10;13:15;2:42;18:40;19:37;11:31;17:27;7:58;8:67;6:20;0:31;12:62;14:40,"3:[0,4,6];1:[0,4,6];4:[4];5:[4,6];15:[0,4,6];16:[0,1,2,4,6];9:[0,1,4,6];10:[4];13:[4];2:[0,1,4,6];18:[0,1,4,6];19:[0,4,6];11:[0,4,6];17:[4,6];7:[0,1,2,4,6];8:[0,1,2,4,5,6];6:[4,6];0:[0,4,6];12:[0,1,2,4,5,6];14:[0,1,4,6]","c3:bw=36,experts=[0,4,6]; c1:bw=32,experts=[0,4,6]; c4:bw=17,experts=[4]; c5:bw=27,experts=[4,6]; c15:bw=33,experts=[0,4,6]; c16:bw=54,experts=[0,1,2,4,6]; c9:bw=48,experts=[0,1,4,6]; c10:bw=10,experts=[4]; c13:bw=15,experts=[4]; c2:bw=42,experts=[0,1,4,6]; c18:bw=40,experts=[0,1,4,6]; c19:bw=37,experts=[0,4,6]; c11:bw=31,experts=[0,4,6]; c17:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,2,4,6]; c8:bw=67,experts=[0,1,2,4,5,6]; c6:bw=20,experts=[4,6]; c0:bw=31,experts=[0,4,6]; c12:bw=62,experts=[0,1,2,4,5,6]; c14:bw=40,experts=[0,1,4,6]","1.6765,4.1408,3.6715,1.4416,3.3690,2.4033,2.5488,1.4117,4.6143,2.9660,3.5345,4.0782,2.6802,2.4926,3.6708,3.0801,2.9535,2.2197,2.9299,4.2770"
7,2026-09-24 12:14:51,Ours,0.01,3.009517351681801,12.82,12.82,7,59.6093,0:59.61,57.9254,0.3771,1.3044,403.0439,6:43.04,20,"13,10,12,16,9,5,3,2,4,15,14,17,0,1,11,7,18,19,8,6",13:25;10:17;12:47;16:53;9:10;5:49;3:26;2:40;4:14;15:39;14:13;17:41;0:36;1:10;11:60;7:31;18:20;19:54;8:57;6:13,"13:[4,6];10:[4];12:[0,1,4,6];16:[0,1,2,4,6];9:[4];5:[0,1,4,6];3:[4,6];2:[0,1,4,6];4:[4];15:[0,4,6];14:[4];17:[0,1,4,6];0:[0,4,6];1:[4];11:[0,1,2,4,5,6];7:[0,4,6];18:[4,6];19:[0,1,2,4,6];8:[0,1,2,4,6];6:[4]","c13:bw=25,experts=[4,6]; c10:bw=17,experts=[4]; c12:bw=47,experts=[0,1,4,6]; c16:bw=53,experts=[0,1,2,4,6]; c9:bw=10,experts=[4]; c5:bw=49,experts=[0,1,4,6]; c3:bw=26,experts=[4,6]; c2:bw=40,experts=[0,1,4,6]; c4:bw=14,experts=[4]; c15:bw=39,experts=[0,4,6]; c14:bw=13,experts=[4]; c17:bw=41,experts=[0,1,4,6]; c0:bw=36,experts=[0,4,6]; c1:bw=10,experts=[4]; c11:bw=60,experts=[0,1,2,4,5,6]; c7:bw=31,experts=[0,4,6]; c18:bw=20,experts=[4,6]; c19:bw=54,experts=[0,1,2,4,6]; c8:bw=57,experts=[0,1,2,4,6]; c6:bw=13,experts=[4]","4.1628,1.2019,2.9167,2.3881,2.5047,1.4537,1.6341,2.9749,3.8776,3.3746,4.4255,2.5493,1.6248,4.1506,2.6828,3.5889,3.4050,4.1444,2.5820,2.2831"
8,2026-09-24 12:15:51,Ours,0.01,3.0448550852245027,15.08,15.08,8,60.2401,1:00.24,58.5714,0.3617,1.3045,463.2981,7:43.30,20,"17,18,1,5,3,15,7,11,16,8,10,12,6,9,19,0,2,13,14,4",17:56;18:39;1:58;5:28;3:37;15:66;7:15;11:45;16:45;8:37;10:51;12:51;6:41;9:59;19:31;0:32;2:54;13:35;14:59;4:10,"17:[0,3,4,6,7];18:[3,5,7];1:[3,4,5,6,7];5:[3,4];3:[3,4,7];15:[0,1,3,4,6,7];7:[3];11:[3,4,6,7];16:[3,4,5,7];8:[3,4,7];10:[1,3,4,6,7];12:[0,3,4,6,7];6:[3,4,6,7];9:[1,3,4,6,7];19:[3,5,7];0:[3,4,7];2:[0,3,4,6,7];13:[3,4,7];14:[0,3,4,6,7];4:[3]","c17:bw=56,experts=[0,3,4,6,7]; c18:bw=39,experts=[3,5,7]; c1:bw=58,experts=[3,4,5,6,7]; c5:bw=28,experts=[3,4]; c3:bw=37,experts=[3,4,7]; c15:bw=66,experts=[0,1,3,4,6,7]; c7:bw=15,experts=[3]; c11:bw=45,experts=[3,4,6,7]; c16:bw=45,experts=[3,4,5,7]; c8:bw=37,experts=[3,4,7]; c10:bw=51,experts=[1,3,4,6,7]; c12:bw=51,experts=[0,3,4,6,7]; c6:bw=41,experts=[3,4,6,7]; c9:bw=59,experts=[1,3,4,6,7]; c19:bw=31,experts=[3,5,7]; c0:bw=32,experts=[3,4,7]; c2:bw=54,experts=[0,3,4,6,7]; c13:bw=35,experts=[3,4,7]; c14:bw=59,experts=[0,3,4,6,7]; c4:bw=10,experts=[3]","2.5949,3.5731,4.1557,1.4847,1.6463,3.2825,3.6575,2.7203,2.4463,2.5654,1.3819,2.6552,2.2073,2.5105,4.2003,1.6442,2.9180,4.6367,4.4343,3.8563"
9,2026-09-24 12:16:52,Ours,0.01,2.8912794045452106,16.21,16.21,9,60.5541,1:00.55,58.8708,0.358,1.3172,523.8696,8:43.87,20,"17,11,7,13,0,9,4,8,1,5,2,16,19,15,3,18,10,14,12,6",17:49;11:28;7:46;13:41;0:52;9:26;4:59;8:18;1:14;5:52;2:21;16:41;19:26;15:36;3:23;18:53;10:34;14:37;12:38;6:31,"17:[0,1,4,6];11:[4,6];7:[0,4,6,7];13:[0,2,4,6];0:[0,1,2,4,6];9:[4,6];4:[0,2,4,6,7];8:[4];1:[2];5:[0,1,2,4,6];2:[4,6];16:[0,2,4,6];19:[4,6];15:[0,4,6];3:[4,6];18:[0,1,2,4,6];10:[0,4,6];14:[0,4,6];12:[0,4,6];6:[2,4,6]","c17:bw=49,experts=[0,1,4,6]; c11:bw=28,experts=[4,6]; c7:bw=46,experts=[0,4,6,7]; c13:bw=41,experts=[0,2,4,6]; c0:bw=52,experts=[0,1,2,4,6]; c9:bw=26,experts=[4,6]; c4:bw=59,experts=[0,2,4,6,7]; c8:bw=18,experts=[4]; c1:bw=14,experts=[2]; c5:bw=52,experts=[0,1,2,4,6]; c2:bw=21,experts=[4,6]; c16:bw=41,experts=[0,2,4,6]; c19:bw=26,experts=[4,6]; c15:bw=36,experts=[0,4,6]; c3:bw=23,experts=[4,6]; c18:bw=53,experts=[0,1,2,4,6]; c10:bw=34,experts=[0,4,6]; c14:bw=37,experts=[0,4,6]; c12:bw=38,experts=[0,4,6]; c6:bw=31,experts=[2,4,6]","2.5399,2.7230,3.6282,4.6501,1.6981,2.5618,3.8433,2.6117,4.3315,1.4236,2.9490,2.3593,4.1191,3.3439,1.6813,3.4203,1.4200,4.4718,2.8351,2.2596"
10,2026-09-24 12:17:53,Ours,0.01,2.838182858500273,19.34,19.34,10,60.9736,1:00.97,59.1542,0.3995,1.4174,584.8596,9:44.86,20,"4,9,1,15,7,5,16,2,18,3,12,17,8,14,0,13,6,10,19,11",4:37;9:35;1:41;15:10;7:37;5:58;16:44;2:34;18:28;3:46;12:52;17:35;8:35;14:57;0:59;13:38;6:65;10:54;19:43;11:21,"4:[0,4,6];9:[0,4,6];1:[0,1,4,6];15:[2];7:[4,5,6];5:[0,1,2,4,6];16:[0,1,4,6];2:[0,4,6];18:[4,6];3:[0,1,4,6];12:[0,2,4,5,6];17:[0,4,6];8:[0,4,6];14:[0,1,2,4,6];0:[0,1,4,5,6];13:[0,4,6];6:[0,1,2,4,5,6];10:[0,1,2,4,6];19:[0,1,4,6];11:[4,6]","c4:bw=37,experts=[0,4,6]; c9:bw=35,experts=[0,4,6]; c1:bw=41,experts=[0,1,4,6]; c15:bw=10,experts=[2]; c7:bw=37,experts=[4,5,6]; c5:bw=58,experts=[0,1,2,4,6]; c16:bw=44,experts=[0,1,4,6]; c2:bw=34,experts=[0,4,6]; c18:bw=28,experts=[4,6]; c3:bw=46,experts=[0,1,4,6]; c12:bw=52,experts=[0,2,4,5,6]; c17:bw=35,experts=[0,4,6]; c8:bw=35,experts=[0,4,6]; c14:bw=57,experts=[0,1,2,4,6]; c0:bw=59,experts=[0,1,4,5,6]; c13:bw=38,experts=[0,4,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c10:bw=54,experts=[0,1,2,4,6]; c19:bw=43,experts=[0,1,4,6]; c11:bw=21,experts=[4,6]","3.8133,2.5569,4.1572,3.3929,3.6654,1.4784,2.4334,3.0678,3.4405,1.6424,2.7382,2.5026,2.5422,4.3329,1.6754,4.6329,2.3642,1.5472,4.2660,2.9046"
11,2026-09-24 12:18:53,Ours,0.01,2.7768657292920005,19.42,19.42,11,59.7417,0:59.74,58.1052,0.3645,1.2694,644.6231,10:44.62,20,"2,6,16,4,17,1,13,12,19,3,8,15,5,10,14,7,11,9,18,0",2:27;6:55;16:43;4:16;17:44;1:40;13:40;12:20;19:25;3:50;8:39;15:44;5:28;10:35;14:15;7:44;11:34;9:33;18:47;0:28,"2:[4,6];6:[0,1,2,4,6];16:[0,2,4,6];4:[4];17:[1,2,4,6];1:[0,1,4,6];13:[0,4,5,6];12:[4,6];19:[4,6];3:[0,1,2,4,6];8:[0,4,6];15:[0,4,5,6];5:[4,6];10:[1,4,6];14:[5];7:[0,1,4,6];11:[0,4,6];9:[0,4,6];18:[0,1,4,6];0:[4,6]","c2:bw=27,experts=[4,6]; c6:bw=55,experts=[0,1,2,4,6]; c16:bw=43,experts=[0,2,4,6]; c4:bw=16,experts=[4]; c17:bw=44,experts=[1,2,4,6]; c1:bw=40,experts=[0,1,4,6]; c13:bw=40,experts=[0,4,5,6]; c12:bw=20,experts=[4,6]; c19:bw=25,experts=[4,6]; c3:bw=50,experts=[0,1,2,4,6]; c8:bw=39,experts=[0,4,6]; c15:bw=44,experts=[0,4,5,6]; c5:bw=28,experts=[4,6]; c10:bw=35,experts=[1,4,6]; c14:bw=15,experts=[5]; c7:bw=44,experts=[0,1,4,6]; c11:bw=34,experts=[0,4,6]; c9:bw=33,experts=[0,4,6]; c18:bw=47,experts=[0,1,4,6]; c0:bw=28,experts=[4,6]","3.1859,2.2320,2.4189,3.3767,2.3540,4.3830,4.6744,2.8192,4.1946,1.6479,2.5228,3.3165,1.4350,1.3887,4.4215,3.6053,2.6709,2.4947,3.3297,1.6335"
