Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 13:47:21,Ours,0.00208,4.040958880845578,1.24,1.24,1,68.8608,1:08.86,67.0839,0.5151,1.2525,68.8608,1:08.86,30,"27,15,23,17,8,9,28,24,12,0,4,16,5,13,11,22,1,2,25,3,21,26,18,29,20,7,10,14,19,6",27:21;15:58;23:65;17:34;8:55;9:45;28:39;24:34;12:23;0:10;4:40;16:48;5:44;13:42;11:24;22:26;1:29;2:29;25:55;3:51;21:20;26:38;18:30;29:26;20:55;7:20;10:22;14:54;19:40;6:41,"27:[2,4];15:[1,2,4,5,6];23:[0,1,2,4,5,6];17:[2,4,6];8:[1,2,4,5,6];9:[1,2,4,6];28:[2,4,6];24:[2,4,6];12:[2];0:[2];4:[1,2,4,6];16:[1,2,4,6];5:[1,2,4,6];13:[1,2,4,6];11:[2,4];22:[2,4];1:[2];2:[2];25:[1,2,4,5,6];3:[1,2,4,6];21:[2,4];26:[2,4,6];18:[2,4,6];29:[2,4];20:[1,2,4,5,6];7:[2,4];10:[2,6];14:[1,2,4,6];19:[1,2,4,6];6:[2,4,6]","c27:bw=21,experts=[2,4]; c15:bw=58,experts=[1,2,4,5,6]; c23:bw=65,experts=[0,1,2,4,5,6]; c17:bw=34,experts=[2,4,6]; c8:bw=55,experts=[1,2,4,5,6]; c9:bw=45,experts=[1,2,4,6]; c28:bw=39,experts=[2,4,6]; c24:bw=34,experts=[2,4,6]; c12:bw=23,experts=[2]; c0:bw=10,experts=[2]; c4:bw=40,experts=[1,2,4,6]; c16:bw=48,experts=[1,2,4,6]; c5:bw=44,experts=[1,2,4,6]; c13:bw=42,experts=[1,2,4,6]; c11:bw=24,experts=[2,4]; c22:bw=26,experts=[2,4]; c1:bw=29,experts=[2]; c2:bw=29,experts=[2]; c25:bw=55,experts=[1,2,4,5,6]; c3:bw=51,experts=[1,2,4,6]; c21:bw=20,experts=[2,4]; c26:bw=38,experts=[2,4,6]; c18:bw=30,experts=[2,4,6]; c29:bw=26,experts=[2,4]; c20:bw=55,experts=[1,2,4,5,6]; c7:bw=20,experts=[2,4]; c10:bw=22,experts=[2,6]; c14:bw=54,experts=[1,2,4,6]; c19:bw=40,experts=[1,2,4,6]; c6:bw=41,experts=[2,4,6]","3.1323,1.5753,1.7950,2.5781,1.5785,1.7832,2.0680,1.6652,2.4930,1.5321,2.6864,2.4697,4.0845,2.2771,3.0179,2.2222,1.4297,1.6996,2.6555,2.0354,1.3741,1.4007,2.3563,4.2691,2.7923,1.6545,3.4171,1.7616,1.8479,1.4318"
2,2026-09-24 13:48:27,Ours,0.00406,3.5230139668311296,3.13,3.13,2,65.6055,1:05.61,63.6341,0.5205,1.4475,134.6303,2:14.63,30,"0,5,20,26,13,7,21,10,12,29,24,22,16,3,1,17,8,6,23,4,2,19,11,18,25,14,15,28,27,9",0:36;5:69;20:15;26:35;13:54;7:55;21:28;10:59;12:16;29:60;24:10;22:38;16:16;3:67;1:41;17:51;8:48;6:17;23:70;4:30;2:22;19:53;11:29;18:24;25:25;14:26;15:62;28:65;27:24;9:46,"0:[4,6];5:[0,1,2,4,5,6];20:[];26:[0,4,6];13:[0,1,2,4,6];7:[0,1,4,6];21:[4,6];10:[0,1,4,6];12:[4];29:[0,1,4,5,6];24:[];22:[4,6];16:[4];3:[0,1,2,4,5,6];1:[0,1,4,6];17:[0,1,2,4,6];8:[0,1,4,6];6:[4];23:[0,1,2,3,4,5,6];4:[0,4,6];2:[4,6];19:[0,1,2,4,6];11:[4,6];18:[4,6];25:[4,6];14:[4,6];15:[0,1,2,4,5,6];28:[0,1,2,4,5,6];27:[4,6];9:[0,1,4,6]","c0:bw=36,experts=[4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c20:bw=15,experts=[]; c26:bw=35,experts=[0,4,6]; c13:bw=54,experts=[0,1,2,4,6]; c7:bw=55,experts=[0,1,4,6]; c21:bw=28,experts=[4,6]; c10:bw=59,experts=[0,1,4,6]; c12:bw=16,experts=[4]; c29:bw=60,experts=[0,1,4,5,6]; c24:bw=10,experts=[]; c22:bw=38,experts=[4,6]; c16:bw=16,experts=[4]; c3:bw=67,experts=[0,1,2,4,5,6]; c1:bw=41,experts=[0,1,4,6]; c17:bw=51,experts=[0,1,2,4,6]; c8:bw=48,experts=[0,1,4,6]; c6:bw=17,experts=[4]; c23:bw=70,experts=[0,1,2,3,4,5,6]; c4:bw=30,experts=[0,4,6]; c2:bw=22,experts=[4,6]; c19:bw=53,experts=[0,1,2,4,6]; c11:bw=29,experts=[4,6]; c18:bw=24,experts=[4,6]; c25:bw=25,experts=[4,6]; c14:bw=26,experts=[4,6]; c15:bw=62,experts=[0,1,2,4,5,6]; c28:bw=65,experts=[0,1,2,4,5,6]; c27:bw=24,experts=[4,6]; c9:bw=46,experts=[0,1,4,6]","1.2626,3.8670,2.4908,1.3537,2.0972,1.6155,1.3050,3.1493,2.2586,4.0126,1.6004,2.0523,2.2920,2.0497,1.4342,2.5316,1.5182,1.4832,1.6958,2.6715,1.6430,1.9345,2.8967,2.2859,2.5981,1.6977,1.4752,2.0689,2.4506,1.8421"
3,2026-09-24 13:49:31,Ours,0.006040000000000001,3.3459514091134865,5.39,5.39,3,63.5045,1:03.50,61.6743,0.4971,1.3298,198.1511,3:18.15,30,"4,25,10,0,8,20,29,26,15,28,24,23,18,12,21,19,9,5,1,22,27,17,3,16,13,2,14,7,11,6",4:52;25:35;10:10;0:50;8:30;20:56;29:15;26:52;15:16;28:56;24:29;23:11;18:40;12:37;21:48;19:24;9:48;5:13;1:13;22:54;27:34;17:41;3:26;16:31;13:54;2:42;14:53;7:33;11:66;6:40,"4:[0,1,4,5,6];25:[0,4,6];10:[4];0:[0,1,4,5,6];8:[0,4,6];20:[0,1,4,5,6];29:[4];26:[0,1,4,6];15:[4];28:[0,1,4,5,6];24:[4,6];23:[4];18:[0,1,4,6];12:[0,4,6];21:[0,4,6];19:[4,6];9:[0,1,4,6];5:[4];1:[];22:[0,1,4,5,6];27:[0,4,6];17:[0,4,6];3:[4];16:[0,4,6];13:[0,1,4,5,6];2:[0,1,4,6];14:[0,1,4,5,6];7:[4,6];11:[0,1,2,4,5,6];6:[0,1,4,6]","c4:bw=52,experts=[0,1,4,5,6]; c25:bw=35,experts=[0,4,6]; c10:bw=10,experts=[4]; c0:bw=50,experts=[0,1,4,5,6]; c8:bw=30,experts=[0,4,6]; c20:bw=56,experts=[0,1,4,5,6]; c29:bw=15,experts=[4]; c26:bw=52,experts=[0,1,4,6]; c15:bw=16,experts=[4]; c28:bw=56,experts=[0,1,4,5,6]; c24:bw=29,experts=[4,6]; c23:bw=11,experts=[4]; c18:bw=40,experts=[0,1,4,6]; c12:bw=37,experts=[0,4,6]; c21:bw=48,experts=[0,4,6]; c19:bw=24,experts=[4,6]; c9:bw=48,experts=[0,1,4,6]; c5:bw=13,experts=[4]; c1:bw=13,experts=[]; c22:bw=54,experts=[0,1,4,5,6]; c27:bw=34,experts=[0,4,6]; c17:bw=41,experts=[0,4,6]; c3:bw=26,experts=[4]; c16:bw=31,experts=[0,4,6]; c13:bw=54,experts=[0,1,4,5,6]; c2:bw=42,experts=[0,1,4,6]; c14:bw=53,experts=[0,1,4,5,6]; c7:bw=33,experts=[4,6]; c11:bw=66,experts=[0,1,2,4,5,6]; c6:bw=40,experts=[0,1,4,6]","2.8128,2.7220,3.2428,1.4420,1.5230,2.7913,3.8555,1.2620,1.3898,1.9010,1.4743,1.6060,2.0724,2.1673,1.2719,1.7964,1.6972,3.7920,1.3396,1.9804,2.2833,2.4365,1.8644,2.1719,1.9624,1.5091,1.6098,1.5816,2.7405,1.3754"
4,2026-09-24 13:50:36,Ours,0.00802,3.2818022173352137,6.88,6.88,4,65.2697,1:05.27,63.3643,0.5042,1.3978,263.4355,4:23.44,30,"3,1,4,5,16,26,9,13,24,2,10,19,28,11,18,7,21,6,0,22,25,8,27,23,29,14,17,12,15,20",3:34;1:40;4:56;5:73;16:45;26:37;9:22;13:49;24:19;2:60;10:64;19:47;28:63;11:49;18:43;7:45;21:27;6:53;0:59;22:49;25:43;8:31;27:58;23:15;29:44;14:32;17:39;12:63;15:24;20:70,"3:[4,6];1:[0,1,4,6];4:[0,1,4,5,6];5:[0,1,2,4,5,6,7];16:[0,1,4,6];26:[0,4,6];9:[4,6];13:[0,1,4,6];24:[4];2:[0,1,2,4,5,6];10:[0,1,2,4,5,6];19:[0,1,4,6];28:[0,1,2,4,5,6];11:[0,1,4,6];18:[0,1,4,6];7:[0,1,4,6];21:[4];6:[0,1,4,5,6];0:[0,1,4,5,6];22:[0,1,4,6];25:[0,1,4,6];8:[0,4,6];27:[0,1,4,5,6];23:[];29:[0,1,4,6];14:[0,4,6];17:[0,4,6];12:[0,1,2,4,5,6];15:[4,6];20:[0,1,2,4,5,6,7]","c3:bw=34,experts=[4,6]; c1:bw=40,experts=[0,1,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c16:bw=45,experts=[0,1,4,6]; c26:bw=37,experts=[0,4,6]; c9:bw=22,experts=[4,6]; c13:bw=49,experts=[0,1,4,6]; c24:bw=19,experts=[4]; c2:bw=60,experts=[0,1,2,4,5,6]; c10:bw=64,experts=[0,1,2,4,5,6]; c19:bw=47,experts=[0,1,4,6]; c28:bw=63,experts=[0,1,2,4,5,6]; c11:bw=49,experts=[0,1,4,6]; c18:bw=43,experts=[0,1,4,6]; c7:bw=45,experts=[0,1,4,6]; c21:bw=27,experts=[4]; c6:bw=53,experts=[0,1,4,5,6]; c0:bw=59,experts=[0,1,4,5,6]; c22:bw=49,experts=[0,1,4,6]; c25:bw=43,experts=[0,1,4,6]; c8:bw=31,experts=[0,4,6]; c27:bw=58,experts=[0,1,4,5,6]; c23:bw=15,experts=[]; c29:bw=44,experts=[0,1,4,6]; c14:bw=32,experts=[0,4,6]; c17:bw=39,experts=[0,4,6]; c12:bw=63,experts=[0,1,2,4,5,6]; c15:bw=24,experts=[4,6]; c20:bw=70,experts=[0,1,2,4,5,6,7]","1.8978,1.3290,2.6458,3.8854,2.2608,1.3215,1.7587,2.0515,1.5522,1.5851,3.2823,1.8675,2.0100,2.8543,2.2404,1.6677,1.3009,1.4354,1.4207,2.1105,2.6408,1.4868,2.4017,1.7387,4.0496,1.6790,2.5093,2.3022,1.4645,2.6141"
5,2026-09-24 13:51:40,Ours,0.01,3.2642898129017026,7.46,7.46,5,64.229,1:04.23,62.3993,0.4994,1.3268,327.6807,5:27.68,30,"26,3,16,28,9,20,22,14,12,17,19,13,21,18,10,5,24,23,2,4,15,0,1,11,7,27,29,8,25,6",26:19;3:63;16:32;28:45;9:62;20:50;22:49;14:53;12:55;17:64;19:19;13:36;21:35;18:10;10:35;5:40;24:12;23:29;2:10;4:48;15:45;0:50;1:20;11:21;7:24;27:30;29:55;8:37;25:34;6:53,"26:[4];3:[0,1,2,4,5,6];16:[0,4,6];28:[0,1,4,6];9:[0,1,2,4,5,6];20:[0,1,4,6];22:[0,1,4,6];14:[0,1,4,5,6];12:[0,1,4,5,6];17:[0,1,2,4,5,6];19:[4];13:[4,6];21:[0,4,6];18:[4];10:[0,4,6];5:[0,4,6];24:[];23:[4,6];2:[];4:[0,1,4,6];15:[0,4,6];0:[0,1,4,5,6];1:[4,6];11:[4];7:[4];27:[4,6];29:[0,1,4,5,6];8:[0,4,6];25:[0,4,6];6:[0,1,4,5,6]","c26:bw=19,experts=[4]; c3:bw=63,experts=[0,1,2,4,5,6]; c16:bw=32,experts=[0,4,6]; c28:bw=45,experts=[0,1,4,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c20:bw=50,experts=[0,1,4,6]; c22:bw=49,experts=[0,1,4,6]; c14:bw=53,experts=[0,1,4,5,6]; c12:bw=55,experts=[0,1,4,5,6]; c17:bw=64,experts=[0,1,2,4,5,6]; c19:bw=19,experts=[4]; c13:bw=36,experts=[4,6]; c21:bw=35,experts=[0,4,6]; c18:bw=10,experts=[4]; c10:bw=35,experts=[0,4,6]; c5:bw=40,experts=[0,4,6]; c24:bw=12,experts=[]; c23:bw=29,experts=[4,6]; c2:bw=10,experts=[]; c4:bw=48,experts=[0,1,4,6]; c15:bw=45,experts=[0,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c1:bw=20,experts=[4,6]; c11:bw=21,experts=[4]; c7:bw=24,experts=[4]; c27:bw=30,experts=[4,6]; c29:bw=55,experts=[0,1,4,5,6]; c8:bw=37,experts=[0,4,6]; c25:bw=34,experts=[0,4,6]; c6:bw=53,experts=[0,1,4,5,6]","1.3100,1.9085,2.2396,2.0072,1.7712,2.6583,2.1157,1.7085,2.2896,2.5314,1.7936,2.0028,1.2508,2.1665,3.1202,3.7604,1.5218,1.6491,1.6036,2.6768,1.4578,1.3734,1.3370,2.8123,1.6324,2.3478,3.9658,1.4433,2.5530,1.3907"
6,2026-09-24 13:52:46,Ours,0.01,3.1923098592041894,8.13,8.13,6,65.4993,1:05.50,63.5836,0.5191,1.3931,393.1955,6:33.20,30,"17,11,7,13,0,28,20,8,1,5,2,23,22,15,21,29,10,14,26,24,4,3,19,16,6,18,12,27,9,25",17:27;11:31;7:58;13:15;0:31;28:74;20:44;8:67;1:32;5:27;2:42;23:73;22:32;15:33;21:10;29:41;10:10;14:40;26:43;24:18;4:17;3:36;19:37;16:54;6:20;18:40;12:62;27:43;9:48;25:43,"17:[4];11:[0,4,6];7:[0,1,4,5,6];13:[4];0:[4,6];28:[0,1,2,4,5,6,7];20:[0,1,4,6];8:[0,1,2,4,5,6];1:[0,4,6];5:[4,6];2:[0,4,5,6];23:[0,1,2,4,5,6,7];22:[1,4,6];15:[0,4,6];21:[4];29:[0,1,4,6];10:[4];14:[0,1,4,6];26:[0,4,6];24:[4];4:[];3:[0,4,6];19:[0,4,6];16:[0,1,4,5,6];6:[4,6];18:[0,1,4,6];12:[0,1,2,4,5,6];27:[0,4,6];9:[0,1,4,6];25:[0,1,4,6]","c17:bw=27,experts=[4]; c11:bw=31,experts=[0,4,6]; c7:bw=58,experts=[0,1,4,5,6]; c13:bw=15,experts=[4]; c0:bw=31,experts=[4,6]; c28:bw=74,experts=[0,1,2,4,5,6,7]; c20:bw=44,experts=[0,1,4,6]; c8:bw=67,experts=[0,1,2,4,5,6]; c1:bw=32,experts=[0,4,6]; c5:bw=27,experts=[4,6]; c2:bw=42,experts=[0,4,5,6]; c23:bw=73,experts=[0,1,2,4,5,6,7]; c22:bw=32,experts=[1,4,6]; c15:bw=33,experts=[0,4,6]; c21:bw=10,experts=[4]; c29:bw=41,experts=[0,1,4,6]; c10:bw=10,experts=[4]; c14:bw=40,experts=[0,1,4,6]; c26:bw=43,experts=[0,4,6]; c24:bw=18,experts=[4]; c4:bw=17,experts=[]; c3:bw=36,experts=[0,4,6]; c19:bw=37,experts=[0,4,6]; c16:bw=54,experts=[0,1,4,5,6]; c6:bw=20,experts=[4,6]; c18:bw=40,experts=[0,1,4,6]; c12:bw=62,experts=[0,1,2,4,5,6]; c27:bw=43,experts=[0,4,6]; c9:bw=48,experts=[0,1,4,6]; c25:bw=43,experts=[0,1,4,6]","2.5017,2.8939,1.6423,2.1020,1.4037,2.0781,2.6011,1.4938,1.3898,3.8919,1.5918,1.6791,2.0709,1.4660,1.2845,4.0370,3.1358,1.6743,1.3347,1.5914,2.7399,2.0007,1.8776,2.3001,1.4631,2.2241,2.3000,2.3879,1.7638,2.6625"
7,2026-09-24 13:53:51,Ours,0.01,3.2140127212504037,9.45,9.45,7,64.9857,1:04.99,63.1261,0.5001,1.3562,458.1984,7:38.20,30,"20,1,29,3,13,15,9,16,14,17,21,4,18,25,7,5,23,2,8,12,26,24,0,6,22,10,19,28,11,27",20:16;1:10;29:57;3:26;13:25;15:39;9:10;16:53;14:13;17:41;21:60;4:14;18:20;25:50;7:31;5:49;23:41;2:40;8:57;12:47;26:49;24:31;0:36;6:13;22:55;10:17;19:54;28:10;11:60;27:26,"20:[];1:[];29:[0,1,4,5,6];3:[4,6];13:[4,6];15:[0,4,6];9:[];16:[0,1,4,5,6];14:[];17:[0,4,5,6];21:[0,1,2,4,5,6];4:[4];18:[4,6];25:[0,1,4,5,6];7:[0,4,6];5:[0,4,6];23:[0,1,4,6];2:[0,4,6];8:[0,1,4,5,6];12:[0,1,4,6];26:[0,1,4,6];24:[0,4,6];0:[0,4,6];6:[4];22:[0,1,4,5,6];10:[4];19:[0,1,4,5,6];28:[4];11:[0,1,2,4,5,6];27:[4]","c20:bw=16,experts=[]; c1:bw=10,experts=[]; c29:bw=57,experts=[0,1,4,5,6]; c3:bw=26,experts=[4,6]; c13:bw=25,experts=[4,6]; c15:bw=39,experts=[0,4,6]; c9:bw=10,experts=[]; c16:bw=53,experts=[0,1,4,5,6]; c14:bw=13,experts=[]; c17:bw=41,experts=[0,4,5,6]; c21:bw=60,experts=[0,1,2,4,5,6]; c4:bw=14,experts=[4]; c18:bw=20,experts=[4,6]; c25:bw=50,experts=[0,1,4,5,6]; c7:bw=31,experts=[0,4,6]; c5:bw=49,experts=[0,4,6]; c23:bw=41,experts=[0,1,4,6]; c2:bw=40,experts=[0,4,6]; c8:bw=57,experts=[0,1,4,5,6]; c12:bw=47,experts=[0,1,4,6]; c26:bw=49,experts=[0,1,4,6]; c24:bw=31,experts=[0,4,6]; c0:bw=36,experts=[0,4,6]; c6:bw=13,experts=[4]; c22:bw=55,experts=[0,1,4,5,6]; c10:bw=17,experts=[4]; c19:bw=54,experts=[0,1,4,5,6]; c28:bw=10,experts=[4]; c11:bw=60,experts=[0,1,2,4,5,6]; c27:bw=26,experts=[4]","2.6169,1.3403,4.0294,2.0103,2.1487,1.4676,1.7583,2.2838,1.6966,2.4720,1.2640,2.5945,2.1775,2.6321,1.6633,3.8287,1.6775,1.5323,1.4218,2.3023,1.3823,1.6041,1.3952,1.4858,2.1131,3.2281,1.8533,1.9556,2.8647,2.3259"
8,2026-09-24 13:54:56,Ours,0.01,3.180188288368351,10.38,10.38,8,64.9041,1:04.90,63.0616,0.4922,1.3468,523.118,8:43.12,30,"10,14,7,9,13,8,3,12,18,23,15,0,21,28,5,26,17,24,27,20,22,4,29,2,1,6,11,19,25,16",10:51;14:59;7:15;9:59;13:35;8:37;3:37;12:51;18:39;23:35;15:66;0:32;21:31;28:38;5:28;26:55;17:56;24:42;27:41;20:42;22:61;4:10;29:71;2:54;1:58;6:41;11:45;19:31;25:41;16:45,"10:[0,3,4,6,7];14:[0,3,4,6,7];7:[3];9:[3,4,6,7];13:[3,4,7];8:[3,4,7];3:[3,4,7];12:[0,3,4,6,7];18:[3,5,7];23:[4,6];15:[0,1,3,4,6,7];0:[3,4,7];21:[3,4,7];28:[3,4,6];5:[3,4];26:[3,4,5,6,7];17:[0,3,4,6,7];24:[1,3,5,7];27:[3,4,7];20:[0,3,4,6];22:[0,1,3,4,6,7];4:[];29:[0,1,3,4,5,6,7];2:[0,3,4,6,7];1:[3,4,5,6,7];6:[3,4,6,7];11:[3,4,6,7];19:[3,4,7];25:[3,4,6,7];16:[3,4,6,7]","c10:bw=51,experts=[0,3,4,6,7]; c14:bw=59,experts=[0,3,4,6,7]; c7:bw=15,experts=[3]; c9:bw=59,experts=[3,4,6,7]; c13:bw=35,experts=[3,4,7]; c8:bw=37,experts=[3,4,7]; c3:bw=37,experts=[3,4,7]; c12:bw=51,experts=[0,3,4,6,7]; c18:bw=39,experts=[3,5,7]; c23:bw=35,experts=[4,6]; c15:bw=66,experts=[0,1,3,4,6,7]; c0:bw=32,experts=[3,4,7]; c21:bw=31,experts=[3,4,7]; c28:bw=38,experts=[3,4,6]; c5:bw=28,experts=[3,4]; c26:bw=55,experts=[3,4,5,6,7]; c17:bw=56,experts=[0,3,4,6,7]; c24:bw=42,experts=[1,3,5,7]; c27:bw=41,experts=[3,4,7]; c20:bw=42,experts=[0,3,4,6]; c22:bw=61,experts=[0,1,3,4,6,7]; c4:bw=10,experts=[]; c29:bw=71,experts=[0,1,3,4,5,6,7]; c2:bw=54,experts=[0,3,4,6,7]; c1:bw=58,experts=[3,4,5,6,7]; c6:bw=41,experts=[3,4,6,7]; c11:bw=45,experts=[3,4,6,7]; c19:bw=31,experts=[3,4,7]; c25:bw=41,experts=[3,4,6,7]; c16:bw=45,experts=[3,4,6,7]","3.2325,1.6625,1.6272,1.7212,2.0664,1.4773,1.9702,2.2571,2.2133,1.6937,1.4835,1.3964,1.3076,2.0422,3.8534,1.3524,2.5194,1.5641,2.3400,2.5534,2.1091,2.6716,4.0429,1.5770,1.4369,1.4417,2.8163,1.8462,2.5648,2.2210"
9,2026-09-24 13:56:01,Ours,0.01,3.100377904642457,12.33,12.33,9,65.2335,1:05.23,63.3204,0.507,1.4027,588.3687,9:48.37,30,"17,7,13,25,9,6,28,29,18,14,3,2,12,22,20,11,8,0,24,15,10,21,27,1,19,4,23,5,16,26",17:49;7:46;13:41;25:67;9:26;6:31;28:58;29:46;18:53;14:37;3:23;2:21;12:38;22:39;20:58;11:28;8:18;0:52;24:25;15:36;10:34;21:66;27:27;1:14;19:26;4:59;23:68;5:52;16:41;26:19,"17:[0,4,6];7:[2,4,6,7];13:[0,1,4,6];25:[0,1,2,4,5,6];9:[4];6:[2,4,6];28:[0,1,4,6];29:[0,2,4,6];18:[0,1,2,4,6];14:[2,4,6];3:[4];2:[4,6];12:[4,6];22:[2,4,6];20:[0,1,4,5,6];11:[4,6];8:[4];0:[0,2,4,6];24:[2,4];15:[0,4,6];10:[4,6];21:[0,1,2,4,5,6];27:[2,4];1:[];19:[4];4:[2,3,4,7];23:[0,1,2,4,5,6];5:[0,1,4,5,6];16:[0,2,4,6];26:[2]","c17:bw=49,experts=[0,4,6]; c7:bw=46,experts=[2,4,6,7]; c13:bw=41,experts=[0,1,4,6]; c25:bw=67,experts=[0,1,2,4,5,6]; c9:bw=26,experts=[4]; c6:bw=31,experts=[2,4,6]; c28:bw=58,experts=[0,1,4,6]; c29:bw=46,experts=[0,2,4,6]; c18:bw=53,experts=[0,1,2,4,6]; c14:bw=37,experts=[2,4,6]; c3:bw=23,experts=[4]; c2:bw=21,experts=[4,6]; c12:bw=38,experts=[4,6]; c22:bw=39,experts=[2,4,6]; c20:bw=58,experts=[0,1,4,5,6]; c11:bw=28,experts=[4,6]; c8:bw=18,experts=[4]; c0:bw=52,experts=[0,2,4,6]; c24:bw=25,experts=[2,4]; c15:bw=36,experts=[0,4,6]; c10:bw=34,experts=[4,6]; c21:bw=66,experts=[0,1,2,4,5,6]; c27:bw=27,experts=[2,4]; c1:bw=14,experts=[]; c19:bw=26,experts=[4]; c4:bw=59,experts=[2,3,4,7]; c23:bw=68,experts=[0,1,2,4,5,6]; c5:bw=52,experts=[0,1,4,5,6]; c16:bw=41,experts=[0,2,4,6]; c26:bw=19,experts=[2]","2.5052,1.6577,2.0628,2.5933,1.7770,1.5044,2.0708,4.0779,2.2580,1.7110,1.9852,1.6055,2.2564,2.1132,2.5955,2.8031,1.4407,1.3561,1.5355,1.4657,3.1845,1.3135,2.3599,1.3550,1.8477,2.7051,1.7073,3.8253,2.2884,1.3585"
10,2026-09-24 13:57:06,Ours,0.01,3.0962839369633937,15.07,15.07,10,65.4532,1:05.45,63.5923,0.5063,1.3512,653.8402,10:53.84,30,"16,13,14,18,5,22,19,24,20,4,12,1,23,11,3,29,21,15,26,2,9,25,10,28,27,17,6,7,0,8",16:44;13:38;14:57;18:28;5:58;22:10;19:43;24:68;20:10;4:37;12:52;1:41;23:10;11:21;3:46;29:25;21:10;15:10;26:58;2:34;9:35;25:66;10:54;28:24;27:24;17:35;6:65;7:37;0:59;8:35,"16:[0,1,4,6];13:[2,4,6];14:[0,1,2,4,6];18:[4,6];5:[0,1,4,5,6];22:[4];19:[0,2,4,6];24:[0,1,2,4,5,6];20:[];4:[0,4,6];12:[0,1,2,4,6];1:[0,2,4,6];23:[3];11:[4,6];3:[0,4,5,6];29:[4,6];21:[];15:[2];26:[0,1,2,4,6];2:[0,4,6];9:[0,4,6];25:[0,1,2,4,6];10:[0,1,4,6];28:[4];27:[4];17:[0,4,6];6:[0,1,2,4,5,6];7:[1,4,6];0:[0,1,2,4,6];8:[0,4,6]","c16:bw=44,experts=[0,1,4,6]; c13:bw=38,experts=[2,4,6]; c14:bw=57,experts=[0,1,2,4,6]; c18:bw=28,experts=[4,6]; c5:bw=58,experts=[0,1,4,5,6]; c22:bw=10,experts=[4]; c19:bw=43,experts=[0,2,4,6]; c24:bw=68,experts=[0,1,2,4,5,6]; c20:bw=10,experts=[]; c4:bw=37,experts=[0,4,6]; c12:bw=52,experts=[0,1,2,4,6]; c1:bw=41,experts=[0,2,4,6]; c23:bw=10,experts=[3]; c11:bw=21,experts=[4,6]; c3:bw=46,experts=[0,4,5,6]; c29:bw=25,experts=[4,6]; c21:bw=10,experts=[]; c15:bw=10,experts=[2]; c26:bw=58,experts=[0,1,2,4,6]; c2:bw=34,experts=[0,4,6]; c9:bw=35,experts=[0,4,6]; c25:bw=66,experts=[0,1,2,4,6]; c10:bw=54,experts=[0,1,4,6]; c28:bw=24,experts=[4]; c27:bw=24,experts=[4]; c17:bw=35,experts=[0,4,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c7:bw=37,experts=[1,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c8:bw=35,experts=[0,4,6]","2.3681,2.0976,1.7232,2.2409,3.9613,2.1408,1.8710,1.5718,2.6492,2.7309,2.2521,1.3605,1.7049,2.8418,1.9703,3.9710,1.2693,1.4774,1.3389,1.5721,1.8119,2.6880,3.2619,2.0227,2.3564,2.4625,1.4307,1.6377,1.3649,1.4427"
