Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 17:12:56,Ours,0.00208,3.641769245116483,1.43,1.43,1,72.8291,1:12.83,68.3192,3.0417,1.4669,72.8292,1:12.83,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,4,5,6];1:[1,4];5:[0,1,4,6];0:[6];7:[1,6];2:[4,6];9:[0,1,4,6];4:[0,1,4,6];3:[0,2,4,5,6];6:[0,1,4,6]","c8:bw=55,experts=[0,1,4,5,6]; c1:bw=29,experts=[1,4]; c5:bw=44,experts=[0,1,4,6]; c0:bw=10,experts=[6]; c7:bw=20,experts=[1,6]; c2:bw=29,experts=[4,6]; c9:bw=45,experts=[0,1,4,6]; c4:bw=40,experts=[0,1,4,6]; c3:bw=51,experts=[0,2,4,5,6]; c6:bw=41,experts=[0,1,4,6]","7.5588,5.8856,8.2705,6.0352,6.2991,4.9377,4.8083,9.0997,6.6047,8.8195"
2,2026-09-24 17:14:06,Ours,0.00406,3.3070340092371495,3.82,3.82,2,70.3021,1:10.30,65.7064,3.1638,1.4305,143.3767,2:23.38,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[1,4,6];1:[0,1,4,6];8:[0,1,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[1,4,6];7:[0,1,4,5,6];9:[0,1,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[1,4,6]; c1:bw=41,experts=[0,1,4,6]; c8:bw=48,experts=[0,1,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[1,4,6]; c7:bw=55,experts=[0,1,4,5,6]; c9:bw=46,experts=[0,1,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","5.9674,5.5038,6.7420,7.8711,6.5396,8.6931,6.1197,4.6480,8.6373,4.9843"
3,2026-09-24 17:15:16,Ours,0.006040000000000001,3.190302928695744,7.0,7.0,3,69.8451,1:09.85,65.4084,2.9826,1.4527,213.2344,3:33.23,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,1,4,6];2:[1,4,5,6];0:[0,1,2,4,6];6:[0,1,4,6];8:[0,4,6];5:[4];3:[4,6];7:[1,4,6];1:[4];4:[1,2,4,5,6]","c9:bw=48,experts=[0,1,4,6]; c2:bw=42,experts=[1,4,5,6]; c0:bw=50,experts=[0,1,2,4,6]; c6:bw=40,experts=[0,1,4,6]; c8:bw=30,experts=[0,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[1,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[1,2,4,5,6]","4.6018,4.8769,5.9645,8.4570,6.7978,7.9210,6.6417,5.9978,5.5777,8.5721"
4,2026-09-24 17:16:26,Ours,0.00802,3.0975112562104306,8.93,8.93,4,70.0912,1:10.09,65.3909,3.2705,1.4281,283.3408,4:43.34,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,4,6];7:[0,1,4,6];6:[1,2,4,5,6];2:[0,1,2,4,5,6];8:[1,4,6];0:[0,1,3,4,6];3:[0,4,6];4:[1,2,4,5,6];5:[0,1,2,3,4,5,6];9:[4,6]","c1:bw=40,experts=[0,1,4,6]; c7:bw=45,experts=[0,1,4,6]; c6:bw=53,experts=[1,2,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[1,4,6]; c0:bw=59,experts=[0,1,3,4,6]; c3:bw=34,experts=[0,4,6]; c4:bw=56,experts=[1,2,4,5,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[4,6]","5.5932,5.9170,8.4795,4.8509,6.7739,6.0478,6.5294,8.6318,7.9369,4.6306"
5,2026-09-24 17:17:37,Ours,0.01,3.000923525344177,12.41,12.41,5,70.2282,1:10.23,65.5878,3.1724,1.4665,353.5844,5:53.58,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[0,1,4,6];4:[1,2,4,6];8:[3,4,6];0:[1,2,4,5,6];7:[4,6];6:[0,1,2,4,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,3,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[0,1,4,6]; c4:bw=48,experts=[1,2,4,6]; c8:bw=37,experts=[3,4,6]; c0:bw=50,experts=[1,2,4,5,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,1,2,4,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,3,4,5,6]","5.6220,7.9576,8.5470,6.8553,6.0686,5.9114,8.4673,6.5404,4.9559,4.6621"
6,2026-09-24 17:18:47,Ours,0.01,2.877439761001667,14.59,14.59,6,70.3366,1:10.34,65.8059,3.0609,1.4649,423.9374,7:03.94,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[1,2,4,6];5:[4,6];7:[1,2,4,5,6];3:[1,4,6];1:[1,4,6];9:[1,4,5,6];0:[1,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[1,2,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[1,2,4,5,6]; c3:bw=36,experts=[1,4,6]; c1:bw=32,experts=[1,4,6]; c9:bw=48,experts=[1,4,5,6]; c0:bw=31,experts=[1,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","6.8873,4.8657,7.9047,5.9258,6.6747,5.6133,4.5989,6.0513,8.6797,8.6045"
7,2026-09-24 17:19:57,Ours,0.01,2.7658583630882427,18.21,18.21,7,70.0094,1:10.01,65.7185,2.8516,1.433,493.9619,8:13.96,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[1,4,6];5:[2,4,5,6];2:[1,2,4,6];6:[4];3:[4,6];7:[1,4,6];4:[4];1:[4];8:[1,2,4,5,6];9:[4]","c0:bw=36,experts=[1,4,6]; c5:bw=49,experts=[2,4,5,6]; c2:bw=40,experts=[1,2,4,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[1,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[1,2,4,5,6]; c9:bw=10,experts=[4]","6.0102,7.9562,4.9074,8.6363,6.6541,5.9060,8.5791,5.5964,6.8388,4.6340"
8,2026-09-24 17:21:08,Ours,0.01,2.6701121836066433,18.68,18.68,8,70.6419,1:10.64,66.1938,2.9797,1.467,564.6188,9:24.62,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[4,6,7];1:[2,3,4,5,7];3:[3,4,7];0:[4,6,7];5:[4,7];2:[1,3,4,6,7];9:[1,2,4,6,7];7:[3];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[4,6,7]; c1:bw=58,experts=[2,3,4,5,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[4,6,7]; c5:bw=28,experts=[4,7]; c2:bw=54,experts=[1,3,4,6,7]; c9:bw=59,experts=[1,2,4,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,6,7]","8.7239,6.8603,5.6273,6.6774,6.0308,8.0975,4.8773,4.7166,6.0529,8.5298"
9,2026-09-24 17:22:18,Ours,0.01,2.575359595834905,22.45,22.45,9,70.0369,1:10.04,65.5696,3.0317,1.43,634.6704,10:34.67,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[1,2,4,5,6];4:[0,1,4,6,7];9:[4,6];8:[4];6:[1,4,6];7:[4,5,6,7];5:[0,1,4,5,6];1:[4];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[1,2,4,5,6]; c4:bw=59,experts=[0,1,4,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[1,4,6]; c7:bw=46,experts=[4,5,6,7]; c5:bw=52,experts=[0,1,4,5,6]; c1:bw=14,experts=[4]; c3:bw=23,experts=[4,6]","4.8585,6.0780,8.5543,4.6502,6.7785,8.5462,5.8910,7.9954,5.5886,6.6290"
10,2026-09-24 17:23:28,Ours,0.01,2.4962033637034238,24.0,24.0,10,70.1648,1:10.16,65.6167,3.0801,1.4666,704.8537,11:44.85,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,4,6];2:[1,4,6];7:[4,5,6];0:[0,1,4,5,6];6:[0,1,2,4,5,6];3:[1,4,5,6];5:[0,1,4,5,6];8:[1,4,6];9:[1,4,6];1:[1,2,4,6]","c4:bw=37,experts=[1,4,6]; c2:bw=34,experts=[1,4,6]; c7:bw=37,experts=[4,5,6]; c0:bw=59,experts=[0,1,4,5,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c3:bw=46,experts=[1,4,5,6]; c5:bw=58,experts=[0,1,4,5,6]; c8:bw=35,experts=[1,4,6]; c9:bw=35,experts=[1,4,6]; c1:bw=41,experts=[1,2,4,6]","8.6681,4.8082,5.9992,5.9411,8.5638,6.6052,7.9266,6.8073,4.7177,5.5796"
