Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 17:46:46,Ours,0.00208,3.8898720791913464,1.64,1.64,1,63.47,1:03.47,61.9894,0.161,1.3151,63.4701,1:03.47,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:17;5:25;0:2;7:12;2:16;9:26;4:23;3:29;6:23,"8:[2,4,6];1:[2];5:[2,6];0:[];7:[2];2:[2];9:[2,4];4:[2,4];3:[2,4];6:[2,4]","c8:bw=31,experts=[2,4,6]; c1:bw=17,experts=[2]; c5:bw=25,experts=[2,6]; c0:bw=2,experts=[]; c7:bw=12,experts=[2]; c2:bw=16,experts=[2]; c9:bw=26,experts=[2,4]; c4:bw=23,experts=[2,4]; c3:bw=29,experts=[2,4]; c6:bw=23,experts=[2,4]","6.7401,5.0909,7.5943,5.4758,5.6318,4.4119,4.3225,8.1985,6.2987,8.2249"
2,2026-09-24 17:47:49,Ours,0.00406,3.319240540076648,4.11,4.11,2,62.6801,1:02.68,61.2284,0.1617,1.2887,126.4059,2:06.41,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:24;8:27;5:39;3:38;4:17;7:31;9:26;6:10;2:12,"0:[4,6];1:[4,6];8:[4,6];5:[2,4,6];3:[2,4,6];4:[4];7:[2,4,6];9:[4,6];6:[4];2:[4]","c0:bw=20,experts=[4,6]; c1:bw=24,experts=[4,6]; c8:bw=27,experts=[4,6]; c5:bw=39,experts=[2,4,6]; c3:bw=38,experts=[2,4,6]; c4:bw=17,experts=[4]; c7:bw=31,experts=[2,4,6]; c9:bw=26,experts=[4,6]; c6:bw=10,experts=[4]; c2:bw=12,experts=[4]","5.6019,4.9064,6.2487,7.5037,6.0508,7.9521,5.6972,4.2737,8.6489,4.3448"
3,2026-09-24 17:48:50,Ours,0.006040000000000001,3.258614130917958,6.55,6.55,3,60.5738,1:00.57,59.0756,0.1567,1.3401,186.9966,3:07.00,10,"9,2,0,6,8,5,3,7,1,4",9:27;2:24;0:28;6:23;8:17;5:8;3:14;7:18;1:8;4:29,"9:[4,6];2:[4,6];0:[4,6];6:[4,6];8:[4];5:[];3:[4];7:[4];1:[];4:[4,6]","c9:bw=27,experts=[4,6]; c2:bw=24,experts=[4,6]; c0:bw=28,experts=[4,6]; c6:bw=23,experts=[4,6]; c8:bw=17,experts=[4]; c5:bw=8,experts=[]; c3:bw=14,experts=[4]; c7:bw=18,experts=[4]; c1:bw=8,experts=[]; c4:bw=29,experts=[4,6]","3.9949,4.3301,5.2662,7.8588,6.2247,7.5363,5.8029,5.3336,4.9612,7.7670"
4,2026-09-24 17:49:53,Ours,0.00802,3.1167511514901043,7.62,7.62,4,62.8172,1:02.82,61.3515,0.1525,1.3118,249.8304,4:09.83,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:30;2:34;8:18;0:33;3:19;4:32;5:41;9:12,"1:[4,6];7:[4,6];6:[1,4,6];2:[2,4,6];8:[4];0:[1,4,6];3:[4];4:[1,4,6];5:[1,2,4,6];9:[4]","c1:bw=22,experts=[4,6]; c7:bw=25,experts=[4,6]; c6:bw=30,experts=[1,4,6]; c2:bw=34,experts=[2,4,6]; c8:bw=18,experts=[4]; c0:bw=33,experts=[1,4,6]; c3:bw=19,experts=[4]; c4:bw=32,experts=[1,4,6]; c5:bw=41,experts=[1,2,4,6]; c9:bw=12,experts=[4]","4.9338,5.6712,8.3346,4.5030,6.5657,5.3572,6.0489,8.0722,7.6277,4.2370"
5,2026-09-24 17:50:55,Ours,0.01,3.0901308317436706,10.45,10.45,5,62.0349,1:02.03,60.4738,0.1612,1.3985,311.8809,5:11.88,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:21;0:28;7:14;6:30;3:36;2:4;9:35,"1:[4];5:[4,6];4:[4,6];8:[4,6];0:[4,6];7:[4];6:[1,4,6];3:[2,4,6];2:[];9:[1,4,6]","c1:bw=11,experts=[4]; c5:bw=22,experts=[4,6]; c4:bw=27,experts=[4,6]; c8:bw=21,experts=[4,6]; c0:bw=28,experts=[4,6]; c7:bw=14,experts=[4]; c6:bw=30,experts=[1,4,6]; c3:bw=36,experts=[2,4,6]; c2:bw=4,experts=[]; c9:bw=35,experts=[1,4,6]","4.8870,7.5656,8.0160,6.5010,5.2862,5.4664,7.7594,5.9548,4.8098,4.2276"
6,2026-09-24 17:51:59,Ours,0.01,2.9172511233873335,14.1,14.1,6,64.6368,1:04.64,63.0584,0.2061,1.3709,376.5347,6:16.53,10,"8,2,5,7,3,1,9,0,4,6",8:38;2:24;5:15;7:33;3:21;1:18;9:27;0:18;4:10;6:12,"8:[2,4,6];2:[4,6];5:[4];7:[2,4,6];3:[4,6];1:[4];9:[4,6];0:[4];4:[4];6:[4]","c8:bw=38,experts=[2,4,6]; c2:bw=24,experts=[4,6]; c5:bw=15,experts=[4]; c7:bw=33,experts=[2,4,6]; c3:bw=21,experts=[4,6]; c1:bw=18,experts=[4]; c9:bw=27,experts=[4,6]; c0:bw=18,experts=[4]; c4:bw=10,experts=[4]; c6:bw=12,experts=[4]","6.6005,4.3643,7.5297,5.5606,6.0660,5.3410,4.2485,5.7913,8.7898,8.7668"
7,2026-09-24 17:53:01,Ours,0.01,3.0187752693584224,12.54,14.1,6,61.3533,1:01.35,59.8252,0.1633,1.3634,437.9051,7:17.91,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:28;2:22;6:7;3:15;7:17;4:8;1:5;8:32;9:1,"0:[4,6];5:[4,6];2:[4,6];6:[];3:[4];7:[4];4:[];1:[];8:[2,4,6];9:[]","c0:bw=20,experts=[4,6]; c5:bw=28,experts=[4,6]; c2:bw=22,experts=[4,6]; c6:bw=7,experts=[]; c3:bw=15,experts=[4]; c7:bw=17,experts=[4]; c4:bw=8,experts=[]; c1:bw=5,experts=[]; c8:bw=32,experts=[2,4,6]; c9:bw=1,experts=[]","5.3907,7.3511,4.4490,8.1043,5.8753,5.2537,8.1374,5.1579,6.1305,3.9754"
8,2026-09-24 17:54:01,Ours,0.01,3.228407100535759,15.2,15.2,8,59.9324,0:59.93,58.4852,0.1566,1.2892,497.8577,8:17.86,10,"4,8,1,3,0,5,2,9,7,6",4:3;8:21;1:33;3:21;0:18;5:16;2:30;9:33;7:9;6:23,"4:[];8:[0,1];1:[0,1,3];3:[0,1];0:[0];5:[0];2:[0,1,3];9:[0,3,5];7:[];6:[0,3]","c4:bw=3,experts=[]; c8:bw=21,experts=[0,1]; c1:bw=33,experts=[0,1,3]; c3:bw=21,experts=[0,1]; c0:bw=18,experts=[0]; c5:bw=16,experts=[0]; c2:bw=30,experts=[0,1,3]; c9:bw=33,experts=[0,3,5]; c7:bw=9,experts=[]; c6:bw=23,experts=[0,3]","7.9076,6.0717,4.8628,5.8638,5.3268,7.0673,4.2293,3.9584,5.4105,7.7870"
9,2026-09-24 17:55:00,Ours,0.01,3.1117315939934147,18.87,18.87,9,59.815,0:59.81,58.3573,0.1359,1.3205,557.687,9:17.69,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:30;4:34;9:15;8:10;6:18;7:26;5:30;1:8;3:13,"2:[5];0:[2,3,5];4:[0,3,5];9:[7];8:[3];6:[5];7:[0,1];5:[3,5,7];1:[];3:[3]","c2:bw=12,experts=[5]; c0:bw=30,experts=[2,3,5]; c4:bw=34,experts=[0,3,5]; c9:bw=15,experts=[7]; c8:bw=10,experts=[3]; c6:bw=18,experts=[5]; c7:bw=26,experts=[0,1]; c5:bw=30,experts=[3,5,7]; c1:bw=8,experts=[]; c3:bw=13,experts=[3]","4.1847,5.4841,8.0883,3.9302,5.9847,7.6389,5.3518,7.0367,4.7743,5.8835"
10,2026-09-24 17:56:00,Ours,0.01,2.844910548098893,16.17,18.87,9,60.0663,1:00.07,58.5944,0.1587,1.3117,617.774,10:17.77,10,"4,2,7,0,6,3,5,8,9,1",4:21;2:19;7:21;0:33;6:37;3:26;5:33;8:20;9:20;1:23,"4:[2,7];2:[7];7:[3,5];0:[4,6,7];6:[2,4,7];3:[5,7];5:[4,5,6];8:[5,7];9:[2,4];1:[5,7]","c4:bw=21,experts=[2,7]; c2:bw=19,experts=[7]; c7:bw=21,experts=[3,5]; c0:bw=33,experts=[4,6,7]; c6:bw=37,experts=[2,4,7]; c3:bw=26,experts=[5,7]; c5:bw=33,experts=[4,5,6]; c8:bw=20,experts=[5,7]; c9:bw=20,experts=[2,4]; c1:bw=23,experts=[5,7]","7.7572,4.2254,5.6685,5.7138,7.5839,5.6529,7.2169,5.9722,3.9557,4.8480"
