Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 19:19:13,Ours,0.00208,3.7998244319083456,2.7,2.7,1,56.5415,0:56.54,55.172,0.158,1.2101,56.5415,0:56.54,10,"8,1,5,0,7,2,9,4,3,6",8:104;1:55;5:84;0:10;7:38;2:55;9:86;4:75;3:96;6:77,"8:[0,1,2,4,5,6,10,11,13,15];1:[1,2,4,6,13];5:[0,1,2,4,5,6,13,15];0:[13];7:[2,4,13];2:[1,2,4,6,13];9:[0,1,2,4,5,6,11,13];4:[0,1,2,4,5,6,13];3:[0,1,2,4,5,6,11,13,15];6:[0,1,2,4,5,6,13]","c8:bw=104,experts=[0,1,2,4,5,6,10,11,13,15]; c1:bw=55,experts=[1,2,4,6,13]; c5:bw=84,experts=[0,1,2,4,5,6,13,15]; c0:bw=10,experts=[13]; c7:bw=38,experts=[2,4,13]; c2:bw=55,experts=[1,2,4,6,13]; c9:bw=86,experts=[0,1,2,4,5,6,11,13]; c4:bw=75,experts=[0,1,2,4,5,6,13]; c3:bw=96,experts=[0,1,2,4,5,6,11,13,15]; c6:bw=77,experts=[0,1,2,4,5,6,13]","5.9529,4.8868,6.2990,4.8769,4.8732,3.9998,3.7791,6.9139,5.8433,7.7470"
2,2026-09-24 19:20:06,Ours,0.00406,3.3072235677177417,4.24,4.24,2,53.2303,0:53.23,51.9039,0.1551,1.1698,109.9201,1:49.92,10,"0,1,8,5,3,4,7,9,6,2",0:67;1:78;8:91;5:130;3:127;4:56;7:104;9:88;6:32;2:41,"0:[0,4,6,10,12,13];1:[0,4,6,10,11,12,13];8:[0,1,4,5,6,10,11,12,13];5:[0,1,2,4,5,6,8,9,10,11,12,13,15];3:[0,1,2,4,5,6,8,9,10,11,12,13];4:[0,4,6,10,13];7:[0,1,4,5,6,9,10,11,12,13];9:[0,1,4,6,10,11,12,13];6:[4,6,13];2:[4,6,10,13]","c0:bw=67,experts=[0,4,6,10,12,13]; c1:bw=78,experts=[0,4,6,10,11,12,13]; c8:bw=91,experts=[0,1,4,5,6,10,11,12,13]; c5:bw=130,experts=[0,1,2,4,5,6,8,9,10,11,12,13,15]; c3:bw=127,experts=[0,1,2,4,5,6,8,9,10,11,12,13]; c4:bw=56,experts=[0,4,6,10,13]; c7:bw=104,experts=[0,1,4,5,6,9,10,11,12,13]; c9:bw=88,experts=[0,1,4,6,10,11,12,13]; c6:bw=32,experts=[4,6,13]; c2:bw=41,experts=[4,6,10,13]","4.7388,4.3731,5.4138,6.3871,5.1790,6.8979,4.6661,3.5694,6.7900,3.8888"
3,2026-09-24 19:21:00,Ours,0.006040000000000001,3.1979716011970103,6.08,6.08,3,53.8323,0:53.83,52.4831,0.1556,1.1923,163.7649,2:43.76,10,"9,2,0,6,8,5,3,7,1,4",9:90;2:78;0:94;6:75;8:56;5:25;3:48;7:62;1:25;4:98,"9:[0,1,4,6,9,10,11,12,13];2:[1,4,6,9,10,11,12];0:[0,1,4,6,9,10,11,12,13];6:[1,4,6,9,10,11,12];8:[1,4,6,10,13];5:[4,6];3:[4,6,10,11];7:[1,4,6,10,11,12];1:[4,6];4:[0,1,4,6,9,10,11,12,13]","c9:bw=90,experts=[0,1,4,6,9,10,11,12,13]; c2:bw=78,experts=[1,4,6,9,10,11,12]; c0:bw=94,experts=[0,1,4,6,9,10,11,12,13]; c6:bw=75,experts=[1,4,6,9,10,11,12]; c8:bw=56,experts=[1,4,6,10,13]; c5:bw=25,experts=[4,6]; c3:bw=48,experts=[4,6,10,11]; c7:bw=62,experts=[1,4,6,10,11,12]; c1:bw=25,experts=[4,6]; c4:bw=98,experts=[0,1,4,6,9,10,11,12,13]","3.6611,3.8920,4.8081,6.7808,5.4545,6.4199,5.3066,4.7459,4.4621,6.9522"
4,2026-09-24 19:21:54,Ours,0.00802,3.105325653725795,8.44,8.44,4,53.7719,0:53.77,52.3995,0.1585,1.2124,217.5482,3:37.55,10,"1,7,6,2,8,0,3,4,5,9",1:75;7:84;6:100;2:113;8:59;0:111;3:64;4:105;5:138;9:41,"1:[1,4,6,9,10,11,13];7:[0,1,4,6,9,10,11,13];6:[0,1,4,5,6,9,10,11,12,13];2:[0,1,4,5,6,9,10,11,12,13,14];8:[4,6,10,11,13];0:[0,1,4,5,6,9,10,11,12,13,14];3:[1,4,6,10,11,13];4:[0,1,4,5,6,9,10,11,12,13];5:[0,1,4,5,6,8,9,10,11,12,13,14,15];9:[1,4,6,10]","c1:bw=75,experts=[1,4,6,9,10,11,13]; c7:bw=84,experts=[0,1,4,6,9,10,11,13]; c6:bw=100,experts=[0,1,4,5,6,9,10,11,12,13]; c2:bw=113,experts=[0,1,4,5,6,9,10,11,12,13,14]; c8:bw=59,experts=[4,6,10,11,13]; c0:bw=111,experts=[0,1,4,5,6,9,10,11,12,13,14]; c3:bw=64,experts=[1,4,6,10,11,13]; c4:bw=105,experts=[0,1,4,5,6,9,10,11,12,13]; c5:bw=138,experts=[0,1,4,5,6,8,9,10,11,12,13,14,15]; c9:bw=41,experts=[1,4,6,10]","4.4833,4.6985,6.8338,3.9094,5.4713,4.8582,5.2763,6.8457,6.3902,3.6329"
5,2026-09-24 19:22:48,Ours,0.01,3.0194841162359123,11.48,11.48,5,53.9191,0:53.92,52.574,0.1516,1.192,271.4787,4:31.48,10,"1,5,4,8,0,7,6,3,2,9",1:37;5:75;4:91;8:69;0:94;7:46;6:100;3:119;2:13;9:118,"1:[4,6,10];5:[1,4,6,9,10,11,13];4:[0,1,4,6,9,10,11,12,13];8:[1,4,6,9,10,13];0:[0,1,4,6,9,10,11,12,13];7:[1,4,6,10];6:[0,1,4,5,6,9,10,11,12,13];3:[0,1,4,5,6,9,10,11,12,13,14];2:[4];9:[0,1,4,5,6,9,10,11,12,13,14]","c1:bw=37,experts=[4,6,10]; c5:bw=75,experts=[1,4,6,9,10,11,13]; c4:bw=91,experts=[0,1,4,6,9,10,11,12,13]; c8:bw=69,experts=[1,4,6,9,10,13]; c0:bw=94,experts=[0,1,4,6,9,10,11,12,13]; c7:bw=46,experts=[1,4,6,10]; c6:bw=100,experts=[0,1,4,5,6,9,10,11,12,13]; c3:bw=119,experts=[0,1,4,5,6,9,10,11,12,13,14]; c2:bw=13,experts=[4]; c9:bw=118,experts=[0,1,4,5,6,9,10,11,12,13,14]","4.5219,6.4477,6.9469,5.4668,4.8462,4.7199,6.7709,5.2994,3.9064,3.6480"
6,2026-09-24 19:23:41,Ours,0.01,2.8927852801569025,15.17,15.17,6,52.8722,0:52.87,51.5781,0.1495,1.1433,324.3631,5:24.36,10,"8,2,5,7,3,1,9,0,4,6",8:126;2:79;5:51;7:110;3:68;1:61;9:91;0:59;4:33;6:38,"8:[0,1,2,4,5,6,8,9,10,11,12,13];2:[0,1,4,6,10,11,13];5:[1,4,6,10,13];7:[0,1,2,4,5,6,9,10,11,12,13];3:[0,1,4,6,10,13];1:[0,1,4,6,10,13];9:[0,1,2,4,6,10,11,13,14];0:[0,4,6,10,13];4:[4,6,13];6:[4,6,10]","c8:bw=126,experts=[0,1,2,4,5,6,8,9,10,11,12,13]; c2:bw=79,experts=[0,1,4,6,10,11,13]; c5:bw=51,experts=[1,4,6,10,13]; c7:bw=110,experts=[0,1,2,4,5,6,9,10,11,12,13]; c3:bw=68,experts=[0,1,4,6,10,13]; c1:bw=61,experts=[0,1,4,6,10,13]; c9:bw=91,experts=[0,1,2,4,6,10,11,13,14]; c0:bw=59,experts=[0,4,6,10,13]; c4:bw=33,experts=[4,6,13]; c6:bw=38,experts=[4,6,10]","5.4928,3.9688,6.4628,4.7452,5.2192,4.3498,3.4909,4.6608,6.5906,6.5970"
7,2026-09-24 19:24:34,Ours,0.01,2.785635293932836,15.29,15.29,7,53.1515,0:53.15,51.8115,0.1618,1.1768,377.5301,6:17.53,10,"0,5,2,6,3,7,4,1,8,9",0:68;5:92;2:75;6:25;3:50;7:58;4:26;1:18;8:108;9:10,"0:[0,4,6,10,13,14];5:[0,1,2,4,5,6,10,13,14];2:[0,1,4,5,6,10,13];6:[4,6];3:[0,4,6,10,13];7:[0,4,6,10,13];4:[4,6];1:[4];8:[0,1,2,4,5,6,10,12,13,14];9:[4]","c0:bw=68,experts=[0,4,6,10,13,14]; c5:bw=92,experts=[0,1,2,4,5,6,10,13,14]; c2:bw=75,experts=[0,1,4,5,6,10,13]; c6:bw=25,experts=[4,6]; c3:bw=50,experts=[0,4,6,10,13]; c7:bw=58,experts=[0,4,6,10,13]; c4:bw=26,experts=[4,6]; c1:bw=18,experts=[4]; c8:bw=108,experts=[0,1,2,4,5,6,10,12,13,14]; c9:bw=10,experts=[4]","4.7028,6.2536,3.7870,6.6546,5.1654,4.7193,6.9767,4.5002,5.4826,3.5691"
8,2026-09-24 19:25:34,Ours,0.01,2.682189243262184,18.42,18.42,8,60.5903,1:00.59,59.0767,0.1752,1.3369,438.1339,7:18.13,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:70;1:110;3:70;0:61;5:53;2:102;9:111;7:28;6:78,"4:[4];8:[0,1,4,6,10,13,14];1:[0,1,2,4,5,6,8,10,11,13,14];3:[0,1,4,6,10,13,14];0:[0,4,6,10,13,14];5:[0,4,6,10,13];2:[0,1,2,4,6,8,10,13,14,15];9:[0,1,2,4,5,6,8,10,11,13,14];7:[4,6];6:[0,1,4,6,10,13,14]","c4:bw=10,experts=[4]; c8:bw=70,experts=[0,1,4,6,10,13,14]; c1:bw=110,experts=[0,1,2,4,5,6,8,10,11,13,14]; c3:bw=70,experts=[0,1,4,6,10,13,14]; c0:bw=61,experts=[0,4,6,10,13,14]; c5:bw=53,experts=[0,4,6,10,13]; c2:bw=102,experts=[0,1,2,4,6,8,10,13,14,15]; c9:bw=111,experts=[0,1,2,4,5,6,8,10,11,13,14]; c7:bw=28,experts=[4,6]; c6:bw=78,experts=[0,1,4,6,10,13,14]","6.9991,5.6991,4.7022,6.4279,5.6211,7.4879,4.4716,4.3259,4.8791,8.4628"
9,2026-09-24 19:26:35,Ours,0.01,2.596464511984083,21.93,21.93,9,60.2474,1:00.25,58.8525,0.1591,1.2344,498.3998,8:18.40,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:99;4:112;9:49;8:34;6:59;7:87;5:99;1:27;3:43,"2:[0,4,6,13];0:[0,1,2,4,6,8,10,13,14];4:[0,1,2,4,5,6,8,10,12,13,14];9:[0,4,6,13];8:[4,6,13];6:[0,4,6,13,14];7:[0,1,2,4,6,10,13,14];5:[0,1,4,5,6,10,11,13,14];1:[4,6];3:[0,4,6,13]","c2:bw=40,experts=[0,4,6,13]; c0:bw=99,experts=[0,1,2,4,6,8,10,13,14]; c4:bw=112,experts=[0,1,2,4,5,6,8,10,12,13,14]; c9:bw=49,experts=[0,4,6,13]; c8:bw=34,experts=[4,6,13]; c6:bw=59,experts=[0,4,6,13,14]; c7:bw=87,experts=[0,1,2,4,6,10,13,14]; c5:bw=99,experts=[0,1,4,5,6,10,11,13,14]; c1:bw=27,experts=[4,6]; c3:bw=43,experts=[0,4,6,13]","4.2492,5.0393,8.3351,4.1283,6.2808,7.8630,5.2376,7.2487,4.9730,5.4975"
10,2026-09-24 19:27:35,Ours,0.01,2.521945011622989,24.69,24.69,10,60.8085,1:00.81,59.4468,0.1612,1.1991,559.2229,9:19.22,10,"4,2,7,0,6,3,5,8,9,1",4:69;2:64;7:71;0:111;6:123;3:87;5:109;8:67;9:66;1:77,"4:[0,4,6,10,13,14];2:[0,4,6,10,13,14];7:[0,2,4,6,10,13,14];0:[0,1,2,4,5,6,8,10,12,13,14];6:[0,1,2,4,5,6,8,10,12,13,14,15];3:[0,1,2,4,6,10,13,14];5:[0,1,2,4,5,6,8,10,13,14];8:[0,4,6,10,13,14];9:[2,4,6,10,13,14];1:[0,2,4,6,10,13,14]","c4:bw=69,experts=[0,4,6,10,13,14]; c2:bw=64,experts=[0,4,6,10,13,14]; c7:bw=71,experts=[0,2,4,6,10,13,14]; c0:bw=111,experts=[0,1,2,4,5,6,8,10,12,13,14]; c6:bw=123,experts=[0,1,2,4,5,6,8,10,12,13,14,15]; c3:bw=87,experts=[0,1,2,4,6,10,13,14]; c5:bw=109,experts=[0,1,2,4,5,6,8,10,13,14]; c8:bw=67,experts=[0,4,6,10,13,14]; c9:bw=66,experts=[2,4,6,10,13,14]; c1:bw=77,experts=[0,2,4,6,10,13,14]","7.8966,4.0809,5.5179,5.6919,8.3032,6.4248,7.1573,5.9584,3.7196,4.6961"
