Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 19:27:32,Ours,0.00208,3.876995031716602,1.19,1.19,1,65.7034,1:05.70,64.0154,0.3246,1.361,65.7034,1:05.70,20,"0,17,15,1,8,5,11,3,18,16,13,2,9,19,4,12,7,10,14,6",0:10;17:34;15:58;1:29;8:55;5:44;11:24;3:51;18:30;16:48;13:42;2:29;9:45;19:40;4:40;12:23;7:20;10:22;14:54;6:41,"0:[2];17:[2,4,6];15:[1,2,4,5,6];1:[2,4];8:[1,2,4,5,6];5:[1,2,4,6];11:[2,4];3:[1,2,4,5,6];18:[2,4,6];16:[1,2,4,6];13:[1,2,4,6];2:[2,4];9:[1,2,4,6];19:[1,2,4,6];4:[1,2,4,6];12:[2,4];7:[2,6];10:[2,4];14:[1,2,4,5,6];6:[1,2,4,6]","c0:bw=10,experts=[2]; c17:bw=34,experts=[2,4,6]; c15:bw=58,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,4]; c8:bw=55,experts=[1,2,4,5,6]; c5:bw=44,experts=[1,2,4,6]; c11:bw=24,experts=[2,4]; c3:bw=51,experts=[1,2,4,5,6]; c18:bw=30,experts=[2,4,6]; c16:bw=48,experts=[1,2,4,6]; c13:bw=42,experts=[1,2,4,6]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c19:bw=40,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c12:bw=23,experts=[2,4]; c7:bw=20,experts=[2,6]; c10:bw=22,experts=[2,4]; c14:bw=54,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","2.3955,2.6648,3.5649,4.5908,2.6854,1.5638,2.9141,1.7858,3.8343,2.5271,5.0581,3.2575,2.8732,4.8343,3.9008,3.0636,3.9947,1.5432,4.5507,2.4128"
2,2026-09-24 19:28:34,Ours,0.00406,3.383284317560438,3.3,3.3,2,62.1192,1:02.12,60.4117,0.3304,1.3745,127.9839,2:07.98,20,"19,16,15,5,4,12,14,7,3,6,2,9,13,10,18,8,17,11,0,1",19:53;16:16;15:62;5:69;4:30;12:16;14:26;7:55;3:67;6:17;2:22;9:46;13:54;10:59;18:24;8:48;17:51;11:29;0:36;1:41,"19:[0,1,4,5,6];16:[4];15:[0,1,2,4,5,6];5:[0,1,2,4,5,6];4:[0,4,6];12:[4];14:[4,6];7:[0,1,4,5,6];3:[0,1,2,4,5,6];6:[4];2:[4,6];9:[0,1,4,6];13:[0,1,4,5,6];10:[0,1,4,5,6];18:[4,6];8:[0,1,4,6];17:[0,1,4,5,6];11:[4,6];0:[0,4,6];1:[0,1,4,6]","c19:bw=53,experts=[0,1,4,5,6]; c16:bw=16,experts=[4]; c15:bw=62,experts=[0,1,2,4,5,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[0,4,6]; c12:bw=16,experts=[4]; c14:bw=26,experts=[4,6]; c7:bw=55,experts=[0,1,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]; c9:bw=46,experts=[0,1,4,6]; c13:bw=54,experts=[0,1,4,5,6]; c10:bw=59,experts=[0,1,4,5,6]; c18:bw=24,experts=[4,6]; c8:bw=48,experts=[0,1,4,6]; c17:bw=51,experts=[0,1,4,5,6]; c11:bw=29,experts=[4,6]; c0:bw=36,experts=[0,4,6]; c1:bw=41,experts=[0,1,4,6]","4.2234,2.6125,3.5743,1.5063,3.8869,2.8597,4.5142,3.7478,1.7119,2.3271,3.1289,2.5759,4.7483,1.4147,3.5347,2.6385,2.6111,2.7600,1.7452,4.2901"
3,2026-09-24 19:29:36,Ours,0.006040000000000001,3.2617456425264186,5.51,5.51,3,62.2004,1:02.20,60.5166,0.3326,1.3486,190.1977,3:10.20,20,"10,7,0,2,5,18,16,12,4,14,15,9,1,13,11,19,3,17,6,8",10:10;7:33;0:50;2:42;5:13;18:40;16:31;12:37;4:52;14:53;15:16;9:48;1:13;13:54;11:66;19:24;3:26;17:41;6:40;8:30,"10:[4];7:[0,4,6];0:[0,1,4,5,6];2:[0,4,5,6];5:[4];18:[0,4,5,6];16:[0,4,6];12:[0,4,6];4:[0,1,4,5,6];14:[0,1,4,5,6];15:[4];9:[0,4,5,6];1:[4];13:[0,1,4,5,6];11:[0,1,2,4,5,6];19:[4,6];3:[4,6];17:[0,4,5,6];6:[0,4,5,6];8:[0,4,6]","c10:bw=10,experts=[4]; c7:bw=33,experts=[0,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c2:bw=42,experts=[0,4,5,6]; c5:bw=13,experts=[4]; c18:bw=40,experts=[0,4,5,6]; c16:bw=31,experts=[0,4,6]; c12:bw=37,experts=[0,4,6]; c4:bw=52,experts=[0,1,4,5,6]; c14:bw=53,experts=[0,1,4,5,6]; c15:bw=16,experts=[4]; c9:bw=48,experts=[0,4,5,6]; c1:bw=13,experts=[4]; c13:bw=54,experts=[0,1,4,5,6]; c11:bw=66,experts=[0,1,2,4,5,6]; c19:bw=24,experts=[4,6]; c3:bw=26,experts=[4,6]; c17:bw=41,experts=[0,4,5,6]; c6:bw=40,experts=[0,4,5,6]; c8:bw=30,experts=[0,4,6]","1.4267,3.8007,1.7350,3.0256,1.5283,3.6417,2.5461,2.8939,3.7446,4.4554,3.4241,2.6665,4.3255,4.7833,2.7947,4.2892,1.7364,2.6243,2.3899,2.6848"
4,2026-09-24 19:30:38,Ours,0.00802,3.190542651255615,6.39,6.39,4,61.9973,1:02.00,60.2915,0.3335,1.3695,252.2089,4:12.21,20,"0,18,6,8,17,11,4,9,12,10,5,19,15,7,1,3,16,13,2,14",0:59;18:43;6:53;8:31;17:39;11:49;4:56;9:22;12:63;10:64;5:73;19:47;15:24;7:45;1:40;3:34;16:45;13:49;2:60;14:32,"0:[0,1,4,5,6];18:[0,4,5,6];6:[0,1,4,5,6];8:[0,4,6];17:[0,4,6];11:[0,4,5,6];4:[0,1,4,5,6];9:[4,6];12:[0,1,2,4,5,6];10:[0,1,2,4,5,6];5:[0,1,2,4,5,6,7];19:[0,4,5,6];15:[4,6];7:[0,4,5,6];1:[0,4,5,6];3:[0,4,6];16:[0,4,5,6];13:[0,4,5,6];2:[0,1,2,4,5,6];14:[0,4,6]","c0:bw=59,experts=[0,1,4,5,6]; c18:bw=43,experts=[0,4,5,6]; c6:bw=53,experts=[0,1,4,5,6]; c8:bw=31,experts=[0,4,6]; c17:bw=39,experts=[0,4,6]; c11:bw=49,experts=[0,4,5,6]; c4:bw=56,experts=[0,1,4,5,6]; c9:bw=22,experts=[4,6]; c12:bw=63,experts=[0,1,2,4,5,6]; c10:bw=64,experts=[0,1,2,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c19:bw=47,experts=[0,4,5,6]; c15:bw=24,experts=[4,6]; c7:bw=45,experts=[0,4,5,6]; c1:bw=40,experts=[0,4,5,6]; c3:bw=34,experts=[0,4,6]; c16:bw=45,experts=[0,4,5,6]; c13:bw=49,experts=[0,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c14:bw=32,experts=[0,4,6]","1.7921,3.4486,2.3717,2.6693,2.6058,2.8541,4.0123,2.7763,2.9207,1.4336,1.5183,4.2393,3.4141,3.6506,4.2329,1.7148,2.4528,4.6229,3.0654,4.4960"
5,2026-09-24 19:31:40,Ours,0.01,3.1387795271843917,8.53,8.53,5,61.5076,1:01.51,59.818,0.3302,1.3568,313.7311,5:13.73,20,"5,2,10,19,0,12,9,16,1,4,17,8,11,6,18,7,14,15,13,3",5:40;2:10;10:35;19:19;0:50;12:55;9:62;16:32;1:20;4:48;17:64;8:37;11:21;6:53;18:10;7:24;14:53;15:45;13:36;3:63,"5:[0,1,4,6];2:[4];10:[0,4,6];19:[4];0:[0,1,4,5,6];12:[0,1,4,5,6];9:[0,1,2,4,5,6];16:[0,4,6];1:[4,6];4:[0,1,4,6];17:[0,1,2,4,5,6];8:[0,4,6];11:[4,6];6:[0,1,4,5,6];18:[4];7:[4,6];14:[0,1,4,5,6];15:[0,1,4,6];13:[0,4,6];3:[0,1,2,4,5,6]","c5:bw=40,experts=[0,1,4,6]; c2:bw=10,experts=[4]; c10:bw=35,experts=[0,4,6]; c19:bw=19,experts=[4]; c0:bw=50,experts=[0,1,4,5,6]; c12:bw=55,experts=[0,1,4,5,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c16:bw=32,experts=[0,4,6]; c1:bw=20,experts=[4,6]; c4:bw=48,experts=[0,1,4,6]; c17:bw=64,experts=[0,1,2,4,5,6]; c8:bw=37,experts=[0,4,6]; c11:bw=21,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c18:bw=10,experts=[4]; c7:bw=24,experts=[4,6]; c14:bw=53,experts=[0,1,4,5,6]; c15:bw=45,experts=[0,1,4,6]; c13:bw=36,experts=[0,4,6]; c3:bw=63,experts=[0,1,2,4,5,6]","1.4888,3.0330,1.4250,4.2988,1.7125,2.8459,2.5705,2.4379,4.2482,3.9114,2.6288,2.5050,2.7452,2.3432,3.6047,3.6886,4.4844,3.3788,4.6918,1.7755"
6,2026-09-24 19:32:41,Ours,0.01,3.0789231210612202,10.27,10.27,6,61.8028,1:01.80,60.1387,0.3246,1.3368,375.55,6:15.55,20,"3,1,4,5,15,16,9,10,13,2,18,19,11,17,7,8,6,0,12,14",3:36;1:32;4:17;5:27;15:33;16:54;9:48;10:10;13:15;2:42;18:40;19:37;11:31;17:27;7:58;8:67;6:20;0:31;12:62;14:40,"3:[0,4,6];1:[0,4,6];4:[4];5:[4,6];15:[0,4,6];16:[0,1,4,5,6];9:[0,1,4,6];10:[4];13:[4];2:[0,1,4,6];18:[0,1,4,6];19:[0,4,6];11:[0,4,6];17:[4,6];7:[0,1,4,5,6];8:[0,1,2,4,5,6];6:[4,6];0:[0,4,6];12:[0,1,2,4,5,6];14:[0,1,4,6]","c3:bw=36,experts=[0,4,6]; c1:bw=32,experts=[0,4,6]; c4:bw=17,experts=[4]; c5:bw=27,experts=[4,6]; c15:bw=33,experts=[0,4,6]; c16:bw=54,experts=[0,1,4,5,6]; c9:bw=48,experts=[0,1,4,6]; c10:bw=10,experts=[4]; c13:bw=15,experts=[4]; c2:bw=42,experts=[0,1,4,6]; c18:bw=40,experts=[0,1,4,6]; c19:bw=37,experts=[0,4,6]; c11:bw=31,experts=[0,4,6]; c17:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,4,5,6]; c8:bw=67,experts=[0,1,2,4,5,6]; c6:bw=20,experts=[4,6]; c0:bw=31,experts=[0,4,6]; c12:bw=62,experts=[0,1,2,4,5,6]; c14:bw=40,experts=[0,1,4,6]","1.7378,4.3088,3.8279,1.5123,3.4081,2.4576,2.5912,1.4383,4.7418,3.1020,3.5104,4.2214,2.8526,2.6024,3.6918,2.6320,2.3565,1.7399,2.8734,4.5328"
7,2026-09-24 19:33:43,Ours,0.01,3.016693349952001,12.18,12.18,7,61.4275,1:01.43,59.7583,0.3282,1.3328,436.9929,7:16.99,20,"13,10,12,16,9,5,3,2,4,15,14,17,0,1,11,7,18,19,8,6",13:25;10:17;12:47;16:53;9:10;5:49;3:26;2:40;4:14;15:39;14:13;17:41;0:36;1:10;11:60;7:31;18:20;19:54;8:57;6:13,"13:[4,6];10:[4];12:[0,1,4,6];16:[0,1,4,5,6];9:[4];5:[0,1,4,6];3:[4,6];2:[0,1,4,6];4:[4];15:[0,4,6];14:[4];17:[0,1,4,6];0:[0,4,6];1:[4];11:[0,1,2,4,5,6];7:[0,4,6];18:[4,6];19:[0,1,2,4,6];8:[0,1,2,4,6];6:[4]","c13:bw=25,experts=[4,6]; c10:bw=17,experts=[4]; c12:bw=47,experts=[0,1,4,6]; c16:bw=53,experts=[0,1,4,5,6]; c9:bw=10,experts=[4]; c5:bw=49,experts=[0,1,4,6]; c3:bw=26,experts=[4,6]; c2:bw=40,experts=[0,1,4,6]; c4:bw=14,experts=[4]; c15:bw=39,experts=[0,4,6]; c14:bw=13,experts=[4]; c17:bw=41,experts=[0,1,4,6]; c0:bw=36,experts=[0,4,6]; c1:bw=10,experts=[4]; c11:bw=60,experts=[0,1,2,4,5,6]; c7:bw=31,experts=[0,4,6]; c18:bw=20,experts=[4,6]; c19:bw=54,experts=[0,1,2,4,6]; c8:bw=57,experts=[0,1,2,4,6]; c6:bw=13,experts=[4]","4.7700,1.4256,2.9198,2.4736,2.5768,1.5103,1.7037,3.1895,3.9925,3.4229,4.5906,2.7993,1.8590,4.4080,2.5419,3.2931,3.1807,3.9530,2.8003,2.3476"
8,2026-09-24 19:34:45,Ours,0.01,3.0129908241718093,14.09,14.09,8,62.489,1:02.49,60.7779,0.3281,1.3804,499.4976,8:19.50,20,"17,18,1,5,3,15,7,11,16,8,10,12,6,9,19,0,2,13,14,4",17:56;18:39;1:58;5:28;3:37;15:66;7:15;11:45;16:45;8:37;10:51;12:51;6:41;9:59;19:31;0:32;2:54;13:35;14:59;4:10,"17:[0,3,4,6,7];18:[3,4,7];1:[0,3,4,6,7];5:[3,4];3:[3,4,7];15:[0,1,3,4,6,7];7:[3];11:[3,4,6,7];16:[3,4,6,7];8:[3,4,7];10:[1,3,4,6,7];12:[0,3,4,6,7];6:[3,4,6,7];9:[1,3,4,6,7];19:[3,4,7];0:[3,4,7];2:[0,3,4,6,7];13:[3,4,7];14:[0,3,4,6,7];4:[3]","c17:bw=56,experts=[0,3,4,6,7]; c18:bw=39,experts=[3,4,7]; c1:bw=58,experts=[0,3,4,6,7]; c5:bw=28,experts=[3,4]; c3:bw=37,experts=[3,4,7]; c15:bw=66,experts=[0,1,3,4,6,7]; c7:bw=15,experts=[3]; c11:bw=45,experts=[3,4,6,7]; c16:bw=45,experts=[3,4,6,7]; c8:bw=37,experts=[3,4,7]; c10:bw=51,experts=[1,3,4,6,7]; c12:bw=51,experts=[0,3,4,6,7]; c6:bw=41,experts=[3,4,6,7]; c9:bw=59,experts=[1,3,4,6,7]; c19:bw=31,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c2:bw=54,experts=[0,3,4,6,7]; c13:bw=35,experts=[3,4,7]; c14:bw=59,experts=[0,3,4,6,7]; c4:bw=10,experts=[3]","2.6316,3.5341,4.3532,1.5324,1.7145,3.4736,3.9428,2.9130,2.4859,2.6177,1.4343,2.8555,2.3509,2.6441,4.2409,1.7317,3.0304,4.7973,4.5627,3.9312"
9,2026-09-24 19:35:49,Ours,0.01,2.901917262437307,14.79,14.79,9,63.7404,1:03.74,62.0725,0.3231,1.3383,563.2529,9:23.25,20,"17,11,7,13,0,9,4,8,1,5,2,16,19,15,3,18,10,14,12,6",17:49;11:28;7:46;13:41;0:52;9:26;4:59;8:18;1:14;5:52;2:21;16:41;19:26;15:36;3:23;18:53;10:34;14:37;12:38;6:31,"17:[0,1,4,6];11:[4,6];7:[2,4,6,7];13:[0,2,4,6];0:[0,1,2,4,6];9:[4,6];4:[0,2,4,6,7];8:[4];1:[2];5:[0,1,4,5,6];2:[4,6];16:[0,2,4,6];19:[4,6];15:[0,4,6];3:[4,6];18:[0,1,2,4,6];10:[0,4,6];14:[2,4,6];12:[0,4,6];6:[2,4,6]","c17:bw=49,experts=[0,1,4,6]; c11:bw=28,experts=[4,6]; c7:bw=46,experts=[2,4,6,7]; c13:bw=41,experts=[0,2,4,6]; c0:bw=52,experts=[0,1,2,4,6]; c9:bw=26,experts=[4,6]; c4:bw=59,experts=[0,2,4,6,7]; c8:bw=18,experts=[4]; c1:bw=14,experts=[2]; c5:bw=52,experts=[0,1,4,5,6]; c2:bw=21,experts=[4,6]; c16:bw=41,experts=[0,2,4,6]; c19:bw=26,experts=[4,6]; c15:bw=36,experts=[0,4,6]; c3:bw=23,experts=[4,6]; c18:bw=53,experts=[0,1,2,4,6]; c10:bw=34,experts=[0,4,6]; c14:bw=37,experts=[2,4,6]; c12:bw=38,experts=[0,4,6]; c6:bw=31,experts=[2,4,6]","2.6308,2.7906,3.7790,4.8810,1.7704,2.6032,3.9963,2.6571,4.4790,1.5298,3.0976,2.4738,4.3061,3.4861,1.7523,3.8406,1.5602,4.9350,3.0919,2.4114"
10,2026-09-24 19:36:55,Ours,0.01,2.8455067406465218,17.66,17.66,10,65.3522,1:05.35,63.4842,0.3392,1.5256,628.6228,10:28.62,20,"4,9,1,15,7,5,16,2,18,3,12,17,8,14,0,13,6,10,19,11",4:37;9:35;1:41;15:10;7:37;5:58;16:44;2:34;18:28;3:46;12:52;17:35;8:35;14:57;0:59;13:38;6:65;10:54;19:43;11:21,"4:[1,4,6];9:[0,4,6];1:[0,1,4,6];15:[2];7:[1,4,6];5:[0,1,2,4,6];16:[0,1,4,6];2:[1,4,6];18:[4,6];3:[0,1,4,6];12:[0,1,4,5,6];17:[0,4,6];8:[0,4,6];14:[0,1,4,5,6];0:[0,1,2,4,6];13:[0,4,6];6:[0,1,2,4,5,6];10:[0,1,2,4,6];19:[0,1,4,6];11:[4,6]","c4:bw=37,experts=[1,4,6]; c9:bw=35,experts=[0,4,6]; c1:bw=41,experts=[0,1,4,6]; c15:bw=10,experts=[2]; c7:bw=37,experts=[1,4,6]; c5:bw=58,experts=[0,1,2,4,6]; c16:bw=44,experts=[0,1,4,6]; c2:bw=34,experts=[1,4,6]; c18:bw=28,experts=[4,6]; c3:bw=46,experts=[0,1,4,6]; c12:bw=52,experts=[0,1,4,5,6]; c17:bw=35,experts=[0,4,6]; c8:bw=35,experts=[0,4,6]; c14:bw=57,experts=[0,1,4,5,6]; c0:bw=59,experts=[0,1,2,4,6]; c13:bw=38,experts=[0,4,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c10:bw=54,experts=[0,1,2,4,6]; c19:bw=43,experts=[0,1,4,6]; c11:bw=21,experts=[4,6]","4.0079,2.6456,4.3675,3.5319,3.7915,1.5535,2.4763,3.1103,3.8010,1.8767,3.1289,2.6921,2.6975,4.8258,1.8776,5.2120,2.6024,1.5858,4.6659,3.0340"
