Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 19:48:07,Ours,0.00208,4.017844949246716,1.15,1.15,1,77.0208,1:17.02,69.2203,6.4928,1.3006,77.0208,1:17.02,30,"27,15,23,17,8,9,28,24,12,0,4,16,5,13,11,22,1,2,25,3,21,26,18,29,20,7,10,14,19,6",27:21;15:58;23:65;17:34;8:55;9:45;28:39;24:34;12:23;0:10;4:40;16:48;5:44;13:42;11:24;22:26;1:29;2:29;25:55;3:51;21:20;26:38;18:30;29:26;20:55;7:20;10:22;14:54;19:40;6:41,"27:[2,4];15:[1,2,4,5,6];23:[0,1,2,4,5,6];17:[2,4,6];8:[1,2,4,5,6];9:[1,2,4,6];28:[2,4,6];24:[2,4,6];12:[2,4];0:[2];4:[1,2,4,6];16:[1,2,4,6];5:[1,2,4,6];13:[1,2,4,6];11:[2,4];22:[2,4];1:[2,6];2:[2,4];25:[1,2,4,5,6];3:[1,2,4,5,6];21:[2,4];26:[2,4,6];18:[2,4,6];29:[2,4];20:[1,2,4,5,6];7:[2,4];10:[2,6];14:[1,2,4,5,6];19:[1,2,4,6];6:[1,2,4,6]","c27:bw=21,experts=[2,4]; c15:bw=58,experts=[1,2,4,5,6]; c23:bw=65,experts=[0,1,2,4,5,6]; c17:bw=34,experts=[2,4,6]; c8:bw=55,experts=[1,2,4,5,6]; c9:bw=45,experts=[1,2,4,6]; c28:bw=39,experts=[2,4,6]; c24:bw=34,experts=[2,4,6]; c12:bw=23,experts=[2,4]; c0:bw=10,experts=[2]; c4:bw=40,experts=[1,2,4,6]; c16:bw=48,experts=[1,2,4,6]; c5:bw=44,experts=[1,2,4,6]; c13:bw=42,experts=[1,2,4,6]; c11:bw=24,experts=[2,4]; c22:bw=26,experts=[2,4]; c1:bw=29,experts=[2,6]; c2:bw=29,experts=[2,4]; c25:bw=55,experts=[1,2,4,5,6]; c3:bw=51,experts=[1,2,4,5,6]; c21:bw=20,experts=[2,4]; c26:bw=38,experts=[2,4,6]; c18:bw=30,experts=[2,4,6]; c29:bw=26,experts=[2,4]; c20:bw=55,experts=[1,2,4,5,6]; c7:bw=20,experts=[2,4]; c10:bw=22,experts=[2,6]; c14:bw=54,experts=[1,2,4,5,6]; c19:bw=40,experts=[1,2,4,6]; c6:bw=41,experts=[1,2,4,6]","3.0642,1.6368,1.8490,2.5664,1.6685,1.8722,2.1365,1.7708,2.5142,1.5538,2.7259,2.5265,3.9470,2.3796,3.1119,2.3246,1.5747,1.8742,2.7747,2.1964,1.5367,1.5819,2.4561,4.2034,2.7695,1.7824,3.3323,1.8523,2.0093,1.6285"
2,2026-09-24 19:49:20,Ours,0.00406,3.462359775021355,3.2,3.2,2,73.3149,1:13.31,65.3903,6.62,1.2971,150.4852,2:30.49,30,"0,5,20,26,13,7,21,10,12,29,24,22,16,3,1,17,8,6,23,4,2,19,11,18,25,14,15,28,27,9",0:36;5:69;20:15;26:35;13:54;7:55;21:28;10:59;12:16;29:60;24:10;22:38;16:16;3:67;1:41;17:51;8:48;6:17;23:70;4:30;2:22;19:53;11:29;18:24;25:25;14:26;15:62;28:65;27:24;9:46,"0:[0,4,6];5:[0,1,2,4,5,6];20:[4];26:[0,4,6];13:[0,1,2,4,6];7:[0,1,2,4,6];21:[4,6];10:[0,1,2,4,6];12:[4];29:[0,1,2,4,5,6];24:[4];22:[0,4,6];16:[4];3:[0,1,2,4,5,6];1:[0,1,4,6];17:[0,1,2,4,6];8:[0,1,4,6];6:[4];23:[0,1,2,3,4,5,6];4:[0,4,6];2:[4,6];19:[0,1,4,5,6];11:[4,6];18:[4,6];25:[4,6];14:[4,6];15:[0,1,2,4,5,6];28:[0,1,2,4,5,6];27:[4,6];9:[0,1,4,6]","c0:bw=36,experts=[0,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c20:bw=15,experts=[4]; c26:bw=35,experts=[0,4,6]; c13:bw=54,experts=[0,1,2,4,6]; c7:bw=55,experts=[0,1,2,4,6]; c21:bw=28,experts=[4,6]; c10:bw=59,experts=[0,1,2,4,6]; c12:bw=16,experts=[4]; c29:bw=60,experts=[0,1,2,4,5,6]; c24:bw=10,experts=[4]; c22:bw=38,experts=[0,4,6]; c16:bw=16,experts=[4]; c3:bw=67,experts=[0,1,2,4,5,6]; c1:bw=41,experts=[0,1,4,6]; c17:bw=51,experts=[0,1,2,4,6]; c8:bw=48,experts=[0,1,4,6]; c6:bw=17,experts=[4]; c23:bw=70,experts=[0,1,2,3,4,5,6]; c4:bw=30,experts=[0,4,6]; c2:bw=22,experts=[4,6]; c19:bw=53,experts=[0,1,4,5,6]; c11:bw=29,experts=[4,6]; c18:bw=24,experts=[4,6]; c25:bw=25,experts=[4,6]; c14:bw=26,experts=[4,6]; c15:bw=62,experts=[0,1,2,4,5,6]; c28:bw=65,experts=[0,1,2,4,5,6]; c27:bw=24,experts=[4,6]; c9:bw=46,experts=[0,1,4,6]","1.5209,3.8494,2.6988,1.4622,2.1484,1.7678,1.4234,3.1624,2.3357,4.0040,1.6827,2.1414,2.3620,2.0292,1.5026,2.5584,1.5968,1.5491,1.7998,2.6574,1.6871,1.9530,2.8660,2.2492,2.6355,1.7957,1.5984,2.0906,2.4243,1.8382"
3,2026-09-24 19:50:34,Ours,0.006040000000000001,3.3232401183853293,4.93,4.93,3,73.8659,1:13.87,66.0012,6.4888,1.3689,224.3642,3:44.36,30,"4,25,10,0,8,20,29,26,15,28,24,23,18,12,21,19,9,5,1,22,27,17,3,16,13,2,14,7,11,6",4:52;25:35;10:10;0:50;8:30;20:56;29:15;26:52;15:16;28:56;24:29;23:11;18:40;12:37;21:48;19:24;9:48;5:13;1:13;22:54;27:34;17:41;3:26;16:31;13:54;2:42;14:53;7:33;11:66;6:40,"4:[0,1,4,5,6];25:[0,4,6];10:[4];0:[0,1,4,5,6];8:[0,4,6];20:[0,1,4,5,6];29:[4];26:[0,1,4,5,6];15:[4];28:[0,1,4,5,6];24:[4,6];23:[4];18:[0,1,4,6];12:[0,4,6];21:[0,4,5,6];19:[4,6];9:[0,1,4,6];5:[4];1:[4];22:[0,1,4,5,6];27:[0,4,6];17:[0,1,4,6];3:[4,6];16:[0,4,6];13:[0,1,4,5,6];2:[0,4,5,6];14:[0,1,4,5,6];7:[0,4,6];11:[0,1,2,4,5,6];6:[0,1,4,6]","c4:bw=52,experts=[0,1,4,5,6]; c25:bw=35,experts=[0,4,6]; c10:bw=10,experts=[4]; c0:bw=50,experts=[0,1,4,5,6]; c8:bw=30,experts=[0,4,6]; c20:bw=56,experts=[0,1,4,5,6]; c29:bw=15,experts=[4]; c26:bw=52,experts=[0,1,4,5,6]; c15:bw=16,experts=[4]; c28:bw=56,experts=[0,1,4,5,6]; c24:bw=29,experts=[4,6]; c23:bw=11,experts=[4]; c18:bw=40,experts=[0,1,4,6]; c12:bw=37,experts=[0,4,6]; c21:bw=48,experts=[0,4,5,6]; c19:bw=24,experts=[4,6]; c9:bw=48,experts=[0,1,4,6]; c5:bw=13,experts=[4]; c1:bw=13,experts=[4]; c22:bw=54,experts=[0,1,4,5,6]; c27:bw=34,experts=[0,4,6]; c17:bw=41,experts=[0,1,4,6]; c3:bw=26,experts=[4,6]; c16:bw=31,experts=[0,4,6]; c13:bw=54,experts=[0,1,4,5,6]; c2:bw=42,experts=[0,4,5,6]; c14:bw=53,experts=[0,1,4,5,6]; c7:bw=33,experts=[0,4,6]; c11:bw=66,experts=[0,1,2,4,5,6]; c6:bw=40,experts=[0,1,4,6]","2.6826,2.7124,3.2125,1.5471,1.6237,2.6576,4.0001,1.4556,1.6138,2.0933,1.6709,1.7998,2.2771,2.3620,1.4795,1.9728,1.8137,3.7949,1.4787,2.1503,2.4071,2.5562,2.0306,2.3370,2.1966,1.7863,1.8533,1.8456,2.9778,1.6120"
4,2026-09-24 19:51:48,Ours,0.00802,3.2509363468017485,6.14,6.14,4,74.3205,1:14.32,66.0439,6.9562,1.317,298.6982,4:58.70,30,"3,1,4,5,16,26,9,13,24,2,10,19,28,11,18,7,21,6,0,22,25,8,27,23,29,14,17,12,15,20",3:34;1:40;4:56;5:73;16:45;26:37;9:22;13:49;24:19;2:60;10:64;19:47;28:63;11:49;18:43;7:45;21:27;6:53;0:59;22:49;25:43;8:31;27:58;23:15;29:44;14:32;17:39;12:63;15:24;20:70,"3:[0,4,6];1:[0,1,4,6];4:[0,1,4,5,6];5:[0,1,2,4,5,6,7];16:[0,4,5,6];26:[0,4,6];9:[4,6];13:[0,4,5,6];24:[4];2:[0,1,2,4,5,6];10:[0,1,2,4,5,6];19:[0,1,4,6];28:[0,1,2,4,5,6];11:[0,1,4,6];18:[0,1,4,6];7:[0,1,4,6];21:[4,6];6:[0,1,4,5,6];0:[0,1,4,5,6];22:[0,1,4,6];25:[0,1,4,6];8:[0,4,6];27:[0,1,4,5,6];23:[4];29:[0,4,5,6];14:[0,4,6];17:[0,4,6];12:[0,1,2,4,5,6];15:[4,6];20:[0,1,2,3,4,5,6]","c3:bw=34,experts=[0,4,6]; c1:bw=40,experts=[0,1,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c16:bw=45,experts=[0,4,5,6]; c26:bw=37,experts=[0,4,6]; c9:bw=22,experts=[4,6]; c13:bw=49,experts=[0,4,5,6]; c24:bw=19,experts=[4]; c2:bw=60,experts=[0,1,2,4,5,6]; c10:bw=64,experts=[0,1,2,4,5,6]; c19:bw=47,experts=[0,1,4,6]; c28:bw=63,experts=[0,1,2,4,5,6]; c11:bw=49,experts=[0,1,4,6]; c18:bw=43,experts=[0,1,4,6]; c7:bw=45,experts=[0,1,4,6]; c21:bw=27,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c0:bw=59,experts=[0,1,4,5,6]; c22:bw=49,experts=[0,1,4,6]; c25:bw=43,experts=[0,1,4,6]; c8:bw=31,experts=[0,4,6]; c27:bw=58,experts=[0,1,4,5,6]; c23:bw=15,experts=[4]; c29:bw=44,experts=[0,4,5,6]; c14:bw=32,experts=[0,4,6]; c17:bw=39,experts=[0,4,6]; c12:bw=63,experts=[0,1,2,4,5,6]; c15:bw=24,experts=[4,6]; c20:bw=70,experts=[0,1,2,3,4,5,6]","2.1434,1.5277,2.7259,3.8997,2.3738,1.4971,1.8611,2.1505,1.6772,1.7005,3.3053,1.9577,2.0759,2.8759,2.2744,1.7488,1.4389,1.5661,1.5118,2.1638,2.6483,1.6061,2.4292,1.8255,3.9917,1.8159,2.5941,2.3625,1.6198,2.6756"
5,2026-09-24 19:53:02,Ours,0.01,3.217200743483909,7.02,7.02,5,73.6228,1:13.62,65.8376,6.4778,1.3043,372.3367,6:12.34,30,"26,3,16,28,9,20,22,14,12,17,19,13,21,18,10,5,24,23,2,4,15,0,1,11,7,27,29,8,25,6",26:19;3:63;16:32;28:45;9:62;20:50;22:49;14:53;12:55;17:64;19:19;13:36;21:35;18:10;10:35;5:40;24:12;23:29;2:10;4:48;15:45;0:50;1:20;11:21;7:24;27:30;29:55;8:37;25:34;6:53,"26:[4];3:[0,1,2,4,5,6];16:[0,4,6];28:[0,1,4,6];9:[0,1,2,4,5,6];20:[0,1,4,5,6];22:[0,1,4,6];14:[0,1,4,5,6];12:[0,1,4,5,6];17:[0,1,2,4,5,6];19:[4];13:[0,4,6];21:[0,4,6];18:[4];10:[0,4,6];5:[0,4,5,6];24:[4];23:[4,6];2:[4];4:[0,4,5,6];15:[0,4,5,6];0:[0,1,4,5,6];1:[4,6];11:[4,6];7:[4,6];27:[0,4,6];29:[0,1,4,5,6];8:[0,4,6];25:[0,4,6];6:[0,1,4,5,6]","c26:bw=19,experts=[4]; c3:bw=63,experts=[0,1,2,4,5,6]; c16:bw=32,experts=[0,4,6]; c28:bw=45,experts=[0,1,4,6]; c9:bw=62,experts=[0,1,2,4,5,6]; c20:bw=50,experts=[0,1,4,5,6]; c22:bw=49,experts=[0,1,4,6]; c14:bw=53,experts=[0,1,4,5,6]; c12:bw=55,experts=[0,1,4,5,6]; c17:bw=64,experts=[0,1,2,4,5,6]; c19:bw=19,experts=[4]; c13:bw=36,experts=[0,4,6]; c21:bw=35,experts=[0,4,6]; c18:bw=10,experts=[4]; c10:bw=35,experts=[0,4,6]; c5:bw=40,experts=[0,4,5,6]; c24:bw=12,experts=[4]; c23:bw=29,experts=[4,6]; c2:bw=10,experts=[4]; c4:bw=48,experts=[0,4,5,6]; c15:bw=45,experts=[0,4,5,6]; c0:bw=50,experts=[0,1,4,5,6]; c1:bw=20,experts=[4,6]; c11:bw=21,experts=[4,6]; c7:bw=24,experts=[4,6]; c27:bw=30,experts=[0,4,6]; c29:bw=55,experts=[0,1,4,5,6]; c8:bw=37,experts=[0,4,6]; c25:bw=34,experts=[0,4,6]; c6:bw=53,experts=[0,1,4,5,6]","1.4784,2.0554,2.4005,2.1427,1.8722,2.6583,2.1688,1.8031,2.3594,2.6113,1.9337,2.1598,1.4557,2.2789,3.1933,3.8849,1.6797,1.8005,1.7095,2.6735,1.5905,1.5309,1.4979,2.8637,1.7707,2.4423,4.0200,1.6068,2.6427,1.5525"
6,2026-09-24 19:54:17,Ours,0.01,3.1768053724270042,7.47,7.47,6,74.5102,1:14.51,66.5973,6.5863,1.3197,446.8619,7:26.86,30,"17,11,7,13,0,28,20,8,1,5,2,23,22,15,21,29,10,14,26,24,4,3,19,16,6,18,12,27,9,25",17:27;11:31;7:58;13:15;0:31;28:74;20:44;8:67;1:32;5:27;2:42;23:73;22:32;15:33;21:10;29:41;10:10;14:40;26:43;24:18;4:17;3:36;19:37;16:54;6:20;18:40;12:62;27:43;9:48;25:43,"17:[4,6];11:[0,4,6];7:[0,1,4,5,6];13:[4];0:[0,4,6];28:[0,1,2,4,5,6,7];20:[0,1,4,6];8:[0,1,2,4,5,6];1:[0,4,6];5:[4,6];2:[0,1,4,6];23:[0,1,2,4,5,6,7];22:[1,4,6];15:[0,4,6];21:[4];29:[0,1,4,6];10:[4];14:[0,1,4,6];26:[0,1,4,6];24:[4];4:[4];3:[0,4,6];19:[0,4,6];16:[0,1,4,5,6];6:[4,6];18:[0,1,4,6];12:[0,1,2,4,5,6];27:[0,1,4,6];9:[0,1,4,6];25:[0,1,4,6]","c17:bw=27,experts=[4,6]; c11:bw=31,experts=[0,4,6]; c7:bw=58,experts=[0,1,4,5,6]; c13:bw=15,experts=[4]; c0:bw=31,experts=[0,4,6]; c28:bw=74,experts=[0,1,2,4,5,6,7]; c20:bw=44,experts=[0,1,4,6]; c8:bw=67,experts=[0,1,2,4,5,6]; c1:bw=32,experts=[0,4,6]; c5:bw=27,experts=[4,6]; c2:bw=42,experts=[0,1,4,6]; c23:bw=73,experts=[0,1,2,4,5,6,7]; c22:bw=32,experts=[1,4,6]; c15:bw=33,experts=[0,4,6]; c21:bw=10,experts=[4]; c29:bw=41,experts=[0,1,4,6]; c10:bw=10,experts=[4]; c14:bw=40,experts=[0,1,4,6]; c26:bw=43,experts=[0,1,4,6]; c24:bw=18,experts=[4]; c4:bw=17,experts=[4]; c3:bw=36,experts=[0,4,6]; c19:bw=37,experts=[0,4,6]; c16:bw=54,experts=[0,1,4,5,6]; c6:bw=20,experts=[4,6]; c18:bw=40,experts=[0,1,4,6]; c12:bw=62,experts=[0,1,2,4,5,6]; c27:bw=43,experts=[0,1,4,6]; c9:bw=48,experts=[0,1,4,6]; c25:bw=43,experts=[0,1,4,6]","2.5847,2.9184,1.8016,2.2674,1.5784,2.1673,2.7989,1.6830,1.5363,3.9665,1.7684,1.8689,2.2302,1.6396,1.4363,4.0138,3.1855,1.8217,1.4702,1.6714,2.6805,2.0454,1.9479,2.3468,1.5758,2.2883,2.3579,2.4152,1.8630,2.6680"
7,2026-09-24 19:55:30,Ours,0.01,3.125102019759125,9.62,9.62,7,73.7647,1:13.76,66.0464,6.3918,1.3197,520.6423,8:40.64,30,"20,1,29,3,13,15,9,16,14,17,21,4,18,25,7,5,23,2,8,12,26,24,0,6,22,10,19,28,11,27",20:16;1:10;29:57;3:26;13:25;15:39;9:10;16:53;14:13;17:41;21:60;4:14;18:20;25:50;7:31;5:49;23:41;2:40;8:57;12:47;26:49;24:31;0:36;6:13;22:55;10:17;19:54;28:10;11:60;27:26,"20:[4];1:[4];29:[0,1,4,5,6];3:[4,6];13:[4,6];15:[0,4,6];9:[4];16:[0,1,4,5,6];14:[4];17:[0,1,4,6];21:[0,1,2,4,5,6];4:[4];18:[4,6];25:[0,1,4,5,6];7:[0,4,6];5:[0,1,4,6];23:[0,1,4,6];2:[0,1,4,6];8:[0,1,4,5,6];12:[0,1,4,6];26:[0,1,4,6];24:[0,4,6];0:[0,4,6];6:[4];22:[0,1,4,5,6];10:[4];19:[0,1,4,5,6];28:[4];11:[0,1,2,4,5,6];27:[4,6]","c20:bw=16,experts=[4]; c1:bw=10,experts=[4]; c29:bw=57,experts=[0,1,4,5,6]; c3:bw=26,experts=[4,6]; c13:bw=25,experts=[4,6]; c15:bw=39,experts=[0,4,6]; c9:bw=10,experts=[4]; c16:bw=53,experts=[0,1,4,5,6]; c14:bw=13,experts=[4]; c17:bw=41,experts=[0,1,4,6]; c21:bw=60,experts=[0,1,2,4,5,6]; c4:bw=14,experts=[4]; c18:bw=20,experts=[4,6]; c25:bw=50,experts=[0,1,4,5,6]; c7:bw=31,experts=[0,4,6]; c5:bw=49,experts=[0,1,4,6]; c23:bw=41,experts=[0,1,4,6]; c2:bw=40,experts=[0,1,4,6]; c8:bw=57,experts=[0,1,4,5,6]; c12:bw=47,experts=[0,1,4,6]; c26:bw=49,experts=[0,1,4,6]; c24:bw=31,experts=[0,4,6]; c0:bw=36,experts=[0,4,6]; c6:bw=13,experts=[4]; c22:bw=55,experts=[0,1,4,5,6]; c10:bw=17,experts=[4]; c19:bw=54,experts=[0,1,4,5,6]; c28:bw=10,experts=[4]; c11:bw=60,experts=[0,1,2,4,5,6]; c27:bw=26,experts=[4,6]","2.6698,1.4888,4.0312,2.0670,2.1952,1.6181,1.8789,2.3678,1.8020,2.6012,1.4530,2.7027,2.3093,2.6717,1.7773,3.8482,1.8168,1.7134,1.5939,2.3622,1.4889,1.6937,1.5252,1.5684,2.1560,3.1693,2.0034,2.1026,2.9379,2.4328"
8,2026-09-24 19:56:45,Ours,0.01,3.1840338534653605,9.98,9.98,8,75.1238,1:15.12,67.0004,6.7913,1.3288,595.7793,9:55.78,30,"10,14,7,9,13,8,3,12,18,23,15,0,21,28,5,26,17,24,27,20,22,4,29,2,1,6,11,19,25,16",10:51;14:59;7:15;9:59;13:35;8:37;3:37;12:51;18:39;23:35;15:66;0:32;21:31;28:38;5:28;26:55;17:56;24:42;27:41;20:42;22:61;4:10;29:71;2:54;1:58;6:41;11:45;19:31;25:41;16:45,"10:[1,3,4,6,7];14:[0,3,4,6,7];7:[3];9:[0,3,4,6,7];13:[3,4,7];8:[3,4,7];3:[3,4,7];12:[0,3,4,6,7];18:[3,5,7];23:[0,4,6];15:[0,1,3,4,6,7];0:[3,4,7];21:[3,4,7];28:[3,4,6];5:[3,4];26:[1,3,4,6,7];17:[0,3,4,6,7];24:[1,3,5,7];27:[3,4,6,7];20:[0,4,6,7];22:[0,1,3,4,6,7];4:[3];29:[0,1,3,4,5,6,7];2:[1,3,4,6,7];1:[3,4,5,6,7];6:[3,4,6,7];11:[3,4,6,7];19:[3,4,7];25:[3,4,6,7];16:[3,4,6,7]","c10:bw=51,experts=[1,3,4,6,7]; c14:bw=59,experts=[0,3,4,6,7]; c7:bw=15,experts=[3]; c9:bw=59,experts=[0,3,4,6,7]; c13:bw=35,experts=[3,4,7]; c8:bw=37,experts=[3,4,7]; c3:bw=37,experts=[3,4,7]; c12:bw=51,experts=[0,3,4,6,7]; c18:bw=39,experts=[3,5,7]; c23:bw=35,experts=[0,4,6]; c15:bw=66,experts=[0,1,3,4,6,7]; c0:bw=32,experts=[3,4,7]; c21:bw=31,experts=[3,4,7]; c28:bw=38,experts=[3,4,6]; c5:bw=28,experts=[3,4]; c26:bw=55,experts=[1,3,4,6,7]; c17:bw=56,experts=[0,3,4,6,7]; c24:bw=42,experts=[1,3,5,7]; c27:bw=41,experts=[3,4,6,7]; c20:bw=42,experts=[0,4,6,7]; c22:bw=61,experts=[0,1,3,4,6,7]; c4:bw=10,experts=[3]; c29:bw=71,experts=[0,1,3,4,5,6,7]; c2:bw=54,experts=[1,3,4,6,7]; c1:bw=58,experts=[3,4,5,6,7]; c6:bw=41,experts=[3,4,6,7]; c11:bw=45,experts=[3,4,6,7]; c19:bw=31,experts=[3,4,7]; c25:bw=41,experts=[3,4,6,7]; c16:bw=45,experts=[3,4,6,7]","3.2263,1.8113,1.8000,1.8997,2.1652,1.6034,2.0586,2.3602,2.3249,1.8362,1.6299,1.5251,1.4486,2.1237,3.8458,1.4665,2.6512,1.7302,2.5270,2.7461,2.2008,2.8062,4.1798,1.7872,1.6130,1.6252,2.9793,1.9744,2.6962,2.3581"
9,2026-09-24 19:58:01,Ours,0.01,3.0945206593967725,12.21,12.21,9,75.2042,1:15.20,67.355,6.5274,1.3155,670.9992,11:11.00,30,"17,7,13,25,9,6,28,29,18,14,3,2,12,22,20,11,8,0,24,15,10,21,27,1,19,4,23,5,16,26",17:49;7:46;13:41;25:67;9:26;6:31;28:58;29:46;18:53;14:37;3:23;2:21;12:38;22:39;20:58;11:28;8:18;0:52;24:25;15:36;10:34;21:66;27:27;1:14;19:26;4:59;23:68;5:52;16:41;26:19,"17:[0,1,4,6];7:[1,4,6,7];13:[0,1,4,6];25:[0,1,2,4,5,6];9:[4,6];6:[2,4,6];28:[0,1,4,5,6];29:[0,1,4,6];18:[0,1,2,4,6];14:[2,4,6];3:[4,6];2:[4,6];12:[0,4,6];22:[2,4,6];20:[0,1,4,5,6];11:[4,6];8:[4];0:[0,1,2,4,6];24:[2,4];15:[0,4,6];10:[0,4,6];21:[0,1,2,4,5,6];27:[2,4];1:[2];19:[2,4];4:[0,2,4,6,7];23:[0,1,2,4,5,6];5:[0,1,4,5,6];16:[0,2,4,6];26:[2]","c17:bw=49,experts=[0,1,4,6]; c7:bw=46,experts=[1,4,6,7]; c13:bw=41,experts=[0,1,4,6]; c25:bw=67,experts=[0,1,2,4,5,6]; c9:bw=26,experts=[4,6]; c6:bw=31,experts=[2,4,6]; c28:bw=58,experts=[0,1,4,5,6]; c29:bw=46,experts=[0,1,4,6]; c18:bw=53,experts=[0,1,2,4,6]; c14:bw=37,experts=[2,4,6]; c3:bw=23,experts=[4,6]; c2:bw=21,experts=[4,6]; c12:bw=38,experts=[0,4,6]; c22:bw=39,experts=[2,4,6]; c20:bw=58,experts=[0,1,4,5,6]; c11:bw=28,experts=[4,6]; c8:bw=18,experts=[4]; c0:bw=52,experts=[0,1,2,4,6]; c24:bw=25,experts=[2,4]; c15:bw=36,experts=[0,4,6]; c10:bw=34,experts=[0,4,6]; c21:bw=66,experts=[0,1,2,4,5,6]; c27:bw=27,experts=[2,4]; c1:bw=14,experts=[2]; c19:bw=26,experts=[2,4]; c4:bw=59,experts=[0,2,4,6,7]; c23:bw=68,experts=[0,1,2,4,5,6]; c5:bw=52,experts=[0,1,4,5,6]; c16:bw=41,experts=[0,2,4,6]; c26:bw=19,experts=[2]","2.6339,1.8286,2.2067,2.7102,1.8818,1.5962,2.1144,4.0519,2.3130,1.8072,2.0985,1.7440,2.3880,2.1778,2.6599,2.8958,1.5998,1.5187,1.6968,1.6297,3.2893,1.5191,2.5885,1.5601,1.9872,2.9731,1.9101,4.1141,2.3641,1.4966"
10,2026-09-24 19:59:15,Ours,0.01,3.050521314462847,14.52,14.52,10,74.5231,1:14.52,66.656,6.5063,1.3531,745.5361,12:25.54,30,"16,13,14,18,5,22,19,24,20,4,12,1,23,11,3,29,21,15,26,2,9,25,10,28,27,17,6,7,0,8",16:44;13:38;14:57;18:28;5:58;22:10;19:43;24:68;20:10;4:37;12:52;1:41;23:10;11:21;3:46;29:25;21:10;15:10;26:58;2:34;9:35;25:66;10:54;28:24;27:24;17:35;6:65;7:37;0:59;8:35,"16:[0,1,4,6];13:[2,4,6];14:[0,1,4,5,6];18:[4,6];5:[0,1,4,5,6];22:[4];19:[0,1,4,6];24:[0,1,2,4,5,6];20:[4];4:[0,4,6];12:[0,1,2,4,6];1:[0,1,4,6];23:[3];11:[4,6];3:[0,4,5,6];29:[2,4];21:[4];15:[2];26:[0,1,2,4,6];2:[0,4,6];9:[0,4,6];25:[0,1,2,4,5,6];10:[0,1,2,4,6];28:[4,6];27:[4,6];17:[0,4,6];6:[0,1,2,4,5,6];7:[2,4,6];0:[0,1,2,4,6];8:[0,4,6]","c16:bw=44,experts=[0,1,4,6]; c13:bw=38,experts=[2,4,6]; c14:bw=57,experts=[0,1,4,5,6]; c18:bw=28,experts=[4,6]; c5:bw=58,experts=[0,1,4,5,6]; c22:bw=10,experts=[4]; c19:bw=43,experts=[0,1,4,6]; c24:bw=68,experts=[0,1,2,4,5,6]; c20:bw=10,experts=[4]; c4:bw=37,experts=[0,4,6]; c12:bw=52,experts=[0,1,2,4,6]; c1:bw=41,experts=[0,1,4,6]; c23:bw=10,experts=[3]; c11:bw=21,experts=[4,6]; c3:bw=46,experts=[0,4,5,6]; c29:bw=25,experts=[2,4]; c21:bw=10,experts=[4]; c15:bw=10,experts=[2]; c26:bw=58,experts=[0,1,2,4,6]; c2:bw=34,experts=[0,4,6]; c9:bw=35,experts=[0,4,6]; c25:bw=66,experts=[0,1,2,4,5,6]; c10:bw=54,experts=[0,1,2,4,6]; c28:bw=24,experts=[4,6]; c27:bw=24,experts=[4,6]; c17:bw=35,experts=[0,4,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c7:bw=37,experts=[2,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c8:bw=35,experts=[0,4,6]","2.4122,2.1932,1.8310,2.3315,3.8848,2.2049,1.9884,1.7098,2.6791,2.7194,2.3642,1.5124,1.8221,2.9289,2.0612,3.9992,1.4499,1.6252,1.5129,1.7127,1.8796,2.6944,3.2498,2.1315,2.4477,2.5873,1.6517,1.8274,1.5768,1.6669"
