Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-24 21:18:16,Ours,0.00208,3.4674509256893407,3.2,3.2,1,52.8104,0:52.81,51.4707,0.139,1.1996,52.8104,0:52.81,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,6,7];1:[0,7];5:[0,2,3,6];0:[2];7:[0,2];2:[0,3];9:[0,2,5,7];4:[0,2,3,5];3:[0,1,2,3,4];6:[0,1,2,7]","c8:bw=55,experts=[0,2,3,6,7]; c1:bw=29,experts=[0,7]; c5:bw=44,experts=[0,2,3,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[0,2]; c2:bw=29,experts=[0,3]; c9:bw=45,experts=[0,2,5,7]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,1,2,3,4]; c6:bw=41,experts=[0,1,2,7]","5.8062,4.4904,6.3257,4.7576,4.6276,3.8531,3.4987,6.5250,5.0379,6.5485"
2,2026-09-24 21:19:09,Ours,0.00406,3.1809283424905734,4.53,4.53,2,53.0181,0:53.02,51.7519,0.1488,1.1162,106.0965,1:46.10,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,3,6];1:[0,1,3,6];8:[0,1,3,6];5:[0,1,2,3,6,7];3:[0,1,2,3,6,7];4:[2,3,6];7:[0,1,2,3,6];9:[0,2,3,7];6:[2];2:[0,3]","c0:bw=36,experts=[2,3,6]; c1:bw=41,experts=[0,1,3,6]; c8:bw=48,experts=[0,1,3,6]; c5:bw=69,experts=[0,1,2,3,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[2,3,6]; c7:bw=55,experts=[0,1,2,3,6]; c9:bw=46,experts=[0,2,3,7]; c6:bw=17,experts=[2]; c2:bw=22,experts=[0,3]","4.6331,4.2284,5.1519,6.7796,5.2696,6.4916,4.9351,3.5017,6.8217,3.9391"
3,2026-09-24 21:20:05,Ours,0.006040000000000001,3.0762266372358487,7.24,7.24,3,55.7312,0:55.73,54.4649,0.1406,1.1247,161.8428,2:41.84,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,1,3,7];2:[0,4,6,7];0:[1,2,5,6,7];6:[1,2,6,7];8:[0,3,5];5:[3];3:[0,3];7:[0,1,6];1:[0];4:[1,2,3,5,6]","c9:bw=48,experts=[0,1,3,7]; c2:bw=42,experts=[0,4,6,7]; c0:bw=50,experts=[1,2,5,6,7]; c6:bw=40,experts=[1,2,6,7]; c8:bw=30,experts=[0,3,5]; c5:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=33,experts=[0,1,6]; c1:bw=13,experts=[0]; c4:bw=52,experts=[1,2,3,5,6]","3.6776,4.0838,4.9769,7.3713,5.6994,6.9847,5.6805,4.9109,4.4669,6.6129"
4,2026-09-24 21:21:00,Ours,0.00802,2.9944812610790055,9.16,9.16,4,54.9402,0:54.94,53.6941,0.145,1.1001,216.799,3:36.80,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,3,6];7:[0,1,6,7];6:[1,2,4,6,7];2:[0,1,4,5,6,7];8:[0,3,6];0:[1,2,3,5,7];3:[0,1,3];4:[1,2,3,5,6];5:[0,1,3,4,5,6,7];9:[0,3]","c1:bw=40,experts=[0,1,3,6]; c7:bw=45,experts=[0,1,6,7]; c6:bw=53,experts=[1,2,4,6,7]; c2:bw=60,experts=[0,1,4,5,6,7]; c8:bw=31,experts=[0,3,6]; c0:bw=59,experts=[1,2,3,5,7]; c3:bw=34,experts=[0,1,3]; c4:bw=56,experts=[1,2,3,5,6]; c5:bw=73,experts=[0,1,3,4,5,6,7]; c9:bw=22,experts=[0,3]","4.4928,4.8247,7.0296,4.0363,5.6188,5.0199,5.2884,7.2457,6.5851,3.5527"
5,2026-09-24 21:21:56,Ours,0.01,2.914283616699216,10.3,10.3,5,56.3137,0:56.31,55.104,0.1427,1.066,273.129,4:33.13,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,6];5:[3,5,6,7];4:[1,2,4,6];8:[0,1,7];0:[2,4,5,6,7];7:[0,1];6:[1,2,5,6,7];3:[0,3,4,5,6,7];2:[0];9:[0,1,2,4,5,7]","c1:bw=20,experts=[0,6]; c5:bw=40,experts=[3,5,6,7]; c4:bw=48,experts=[1,2,4,6]; c8:bw=37,experts=[0,1,7]; c0:bw=50,experts=[2,4,5,6,7]; c7:bw=24,experts=[0,1]; c6:bw=53,experts=[1,2,5,6,7]; c3:bw=63,experts=[0,3,4,5,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,4,5,7]","4.9356,6.9753,7.5209,5.7041,4.9394,4.9391,7.0963,5.3026,4.0027,3.6880"
6,2026-09-24 21:22:50,Ours,0.01,2.8255704922850877,12.86,12.86,6,53.6556,0:53.66,52.4029,0.1477,1.1009,326.8008,5:26.80,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,3,4,5,6,7];2:[0,1,3,6];5:[2,3];7:[0,1,3,6,7];3:[0,1,3];1:[0,3,6];9:[0,3,6,7];0:[0,2,3];4:[2];6:[2,3]","c8:bw=67,experts=[0,3,4,5,6,7]; c2:bw=42,experts=[0,1,3,6]; c5:bw=27,experts=[2,3]; c7:bw=58,experts=[0,1,3,6,7]; c3:bw=36,experts=[0,1,3]; c1:bw=32,experts=[0,3,6]; c9:bw=48,experts=[0,3,6,7]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[2]; c6:bw=20,experts=[2,3]","5.3110,3.7713,6.7307,4.7006,5.1570,4.2272,3.4909,5.0042,7.0787,6.9314"
7,2026-09-24 21:23:42,Ours,0.01,2.7336383926231194,19.11,19.11,7,52.4689,0:52.47,51.2211,0.1406,1.1062,379.2878,6:19.29,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[2,3,4,5];2:[0,1,2,3];6:[0];3:[0,3];7:[0,2,3];4:[0];1:[0];8:[0,1,2,3,6];9:[0]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[2,3,4,5]; c2:bw=40,experts=[0,1,2,3]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,1,2,3,6]; c9:bw=10,experts=[0]","4.6929,6.7039,3.7981,6.8795,4.9117,4.5767,6.6091,4.2442,5.4078,3.3971"
8,2026-09-24 21:24:38,Ours,0.01,2.6587330519689205,21.23,21.23,8,55.3191,0:55.32,54.0128,0.143,1.1622,434.6243,7:14.62,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[7];8:[0,2,6];1:[0,2,3,4,5];3:[0,2,3];0:[0,2,3];5:[2,3];2:[0,1,2,3,4];9:[0,1,2,3,6];7:[4];6:[0,2,6,7]","c4:bw=10,experts=[7]; c8:bw=37,experts=[0,2,6]; c1:bw=58,experts=[0,2,3,4,5]; c3:bw=37,experts=[0,2,3]; c0:bw=32,experts=[0,2,3]; c5:bw=28,experts=[2,3]; c2:bw=54,experts=[0,1,2,3,4]; c9:bw=59,experts=[0,1,2,3,6]; c7:bw=15,experts=[4]; c6:bw=41,experts=[0,2,6,7]","7.3149,5.7313,4.5663,5.1142,5.0384,6.5828,4.0069,3.6074,5.0026,7.0480"
9,2026-09-24 21:25:28,Ours,0.01,2.5765747895382303,23.83,23.83,9,50.7478,0:50.75,49.5279,0.1393,1.0797,485.3889,8:05.39,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,3];0:[0,2,3,5,6];4:[0,2,3,6,7];9:[0,3];8:[0];6:[0,2,3];7:[0,2,3,5];5:[0,2,3,4,6];1:[7];3:[0,3]","c2:bw=21,experts=[0,3]; c0:bw=52,experts=[0,2,3,5,6]; c4:bw=59,experts=[0,2,3,6,7]; c9:bw=26,experts=[0,3]; c8:bw=18,experts=[0]; c6:bw=31,experts=[0,2,3]; c7:bw=46,experts=[0,2,3,5]; c5:bw=52,experts=[0,2,3,4,6]; c1:bw=14,experts=[7]; c3:bw=23,experts=[0,3]","3.6827,4.5098,6.5646,3.5304,5.2068,6.4685,4.4679,5.9811,4.2285,4.8876"
10,2026-09-24 21:26:20,Ours,0.01,2.5223712712628825,26.8,26.8,10,51.8651,0:51.87,50.6963,0.1456,1.0221,537.2703,8:57.27,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,3];2:[0,2,3];7:[0,2,3];0:[0,1,2,3,7];6:[0,1,2,3,6,7];3:[0,1,2,3];5:[2,3,4,5,6];8:[0,2,3];9:[0,2,3];1:[0,2,3,5]","c4:bw=37,experts=[0,2,3]; c2:bw=34,experts=[0,2,3]; c7:bw=37,experts=[0,2,3]; c0:bw=59,experts=[0,1,2,3,7]; c6:bw=65,experts=[0,1,2,3,6,7]; c3:bw=46,experts=[0,1,2,3]; c5:bw=58,experts=[2,3,4,5,6]; c8:bw=35,experts=[0,2,3]; c9:bw=35,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,5]","6.8489,3.6397,4.4684,4.5181,6.4471,4.9444,6.7612,5.5488,3.3909,4.1288"
