Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-25 04:37:32,Ours,0.00208,3.6344153407121063,2.23,2.23,1,56.482,0:56.48,55.2505,0.1531,1.0767,56.4821,0:56.48,10,"8,1,5,0,7,2,9,4,3,6",8:18;1:10;5:15;0:10;7:10;2:10;9:15;4:13;3:17;6:14,8:[10];1:[17];5:[17];0:[20];7:[11];2:[15];9:[0];4:[15];3:[20];6:[20],"c8:bw=18,experts=[10]; c1:bw=10,experts=[17]; c5:bw=15,experts=[17]; c0:bw=10,experts=[20]; c7:bw=10,experts=[11]; c2:bw=10,experts=[15]; c9:bw=15,experts=[0]; c4:bw=13,experts=[15]; c3:bw=17,experts=[20]; c6:bw=14,experts=[20]","7.8334,4.5062,6.3551,4.8441,4.7586,4.0817,3.6667,6.9481,5.3017,6.9549"
2,2026-09-25 04:38:26,Ours,0.00406,3.1906312791317086,4.05,4.05,2,53.6878,0:53.69,52.5251,0.1381,1.0237,110.4374,1:50.44,10,"0,1,8,5,3,4,7,9,6,2",0:12;1:14;8:16;5:20;3:20;4:10;7:18;9:15;6:10;2:10,"0:[20];1:[17];8:[10];5:[11,17];3:[0,20];4:[15];7:[11];9:[20];6:[20];2:[15]","c0:bw=12,experts=[20]; c1:bw=14,experts=[17]; c8:bw=16,experts=[10]; c5:bw=20,experts=[11,17]; c3:bw=20,experts=[0,20]; c4:bw=10,experts=[15]; c7:bw=18,experts=[11]; c9:bw=15,experts=[20]; c6:bw=10,experts=[20]; c2:bw=10,experts=[15]","4.9109,4.5180,5.4343,6.3427,5.2152,7.0049,4.7950,3.5999,6.8122,3.8918"
3,2026-09-25 04:39:19,Ours,0.006040000000000001,3.068165075281186,8.02,8.02,3,53.0304,0:53.03,51.9163,0.1309,0.9824,163.482,2:43.48,10,"9,2,0,6,8,5,3,7,1,4",9:16;2:14;0:17;6:13;8:10;5:10;3:10;7:11;1:10;4:17,9:[20];2:[20];0:[20];6:[20];8:[10];5:[17];3:[20];7:[11];1:[17];4:[15],"c9:bw=16,experts=[20]; c2:bw=14,experts=[20]; c0:bw=17,experts=[20]; c6:bw=13,experts=[20]; c8:bw=10,experts=[10]; c5:bw=10,experts=[17]; c3:bw=10,experts=[20]; c7:bw=11,experts=[11]; c1:bw=10,experts=[17]; c4:bw=17,experts=[15]","3.6526,3.8853,4.8017,6.7377,5.3698,6.3099,5.1845,4.6817,4.3890,6.9041"
4,2026-09-25 04:40:12,Ours,0.00802,2.9878020745971066,9.06,9.06,4,53.5635,0:53.56,52.4664,0.1331,0.9599,217.0586,3:37.06,10,"1,7,6,2,8,0,3,4,5,9",1:13;7:15;6:18;2:20;8:10;0:20;3:11;4:19;5:20;9:10,"1:[17];7:[11];6:[20];2:[10,20];8:[10];0:[17,20];3:[20];4:[15];5:[11,17];9:[20]","c1:bw=13,experts=[17]; c7:bw=15,experts=[11]; c6:bw=18,experts=[20]; c2:bw=20,experts=[10,20]; c8:bw=10,experts=[10]; c0:bw=20,experts=[17,20]; c3:bw=11,experts=[20]; c4:bw=19,experts=[15]; c5:bw=20,experts=[11,17]; c9:bw=10,experts=[20]","4.4511,4.7463,6.9961,3.9806,5.4528,4.7692,5.2248,6.9148,6.3353,3.5955"
5,2026-09-25 04:41:06,Ours,0.01,2.9084523085457246,12.1,12.1,5,53.6459,0:53.65,52.552,0.1353,0.9577,270.7188,4:30.72,10,"1,5,4,8,0,7,6,3,2,9",1:10;5:13;4:16;8:12;0:17;7:10;6:18;3:20;2:10;9:20,"1:[17];5:[17];4:[20];8:[10];0:[20];7:[20];6:[20];3:[15,20];2:[20];9:[15,20]","c1:bw=10,experts=[17]; c5:bw=13,experts=[17]; c4:bw=16,experts=[20]; c8:bw=12,experts=[10]; c0:bw=17,experts=[20]; c7:bw=10,experts=[20]; c6:bw=18,experts=[20]; c3:bw=20,experts=[15,20]; c2:bw=10,experts=[20]; c9:bw=20,experts=[15,20]","4.5437,6.4920,6.9557,5.4552,4.7721,4.6806,6.8387,5.2374,3.8618,3.7146"
6,2026-09-25 04:42:02,Ours,0.01,2.8299799175958924,16.29,16.29,6,56.626,0:56.63,55.4391,0.1418,1.0443,327.3579,5:27.36,10,"8,2,5,7,3,1,9,0,4,6",8:20;2:14;5:10;7:19;3:12;1:11;9:16;0:10;4:10;6:10,"8:[10,17];2:[20];5:[17];7:[20];3:[20];1:[20];9:[20];0:[20];4:[20];6:[20]","c8:bw=20,experts=[10,17]; c2:bw=14,experts=[20]; c5:bw=10,experts=[17]; c7:bw=19,experts=[20]; c3:bw=12,experts=[20]; c1:bw=11,experts=[20]; c9:bw=16,experts=[20]; c0:bw=10,experts=[20]; c4:bw=10,experts=[20]; c6:bw=10,experts=[20]","5.8263,4.1065,6.7825,4.9868,5.5493,4.6708,3.8541,5.0563,7.3536,7.2529"
7,2026-09-25 04:43:00,Ours,0.01,2.719171433640192,19.5,19.5,7,57.405,0:57.40,56.2683,0.1481,0.9878,384.7766,6:24.78,10,"0,5,2,6,3,7,4,1,8,9",0:12;5:16;2:13;6:10;3:10;7:10;4:10;1:10;8:19;9:10,0:[20];5:[17];2:[20];6:[20];3:[20];7:[20];4:[20];1:[20];8:[10];9:[20],"c0:bw=12,experts=[20]; c5:bw=16,experts=[17]; c2:bw=13,experts=[20]; c6:bw=10,experts=[20]; c3:bw=10,experts=[20]; c7:bw=10,experts=[20]; c4:bw=10,experts=[20]; c1:bw=10,experts=[20]; c8:bw=19,experts=[10]; c9:bw=10,experts=[20]","5.1601,7.0815,4.2578,7.3500,5.6309,5.0488,7.4099,4.6991,5.7789,3.8513"
8,2026-09-25 04:43:57,Ours,0.01,2.644800434164529,22.07,22.07,8,57.0582,0:57.06,55.8355,0.1592,1.0626,442.0546,7:22.05,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:12;1:19;3:12;0:11;5:10;2:18;9:20;7:10;6:14,"4:[20];8:[20];1:[20];3:[20];0:[20];5:[17];2:[20];9:[17,20];7:[20];6:[20]","c4:bw=10,experts=[20]; c8:bw=12,experts=[20]; c1:bw=19,experts=[20]; c3:bw=12,experts=[20]; c0:bw=11,experts=[20]; c5:bw=10,experts=[17]; c2:bw=18,experts=[20]; c9:bw=20,experts=[17,20]; c7:bw=10,experts=[20]; c6:bw=14,experts=[20]","7.6105,5.9490,4.6666,5.5031,5.0551,6.7506,4.1908,3.8214,5.0046,7.2837"
9,2026-09-25 04:44:55,Ours,0.01,2.573833861752928,24.01,24.01,9,57.5022,0:57.50,56.2892,0.1498,1.0623,499.5722,8:19.57,10,"2,0,4,9,8,6,7,5,1,3",2:10;0:17;4:20;9:10;8:10;6:10;7:15;5:17;1:10;3:10,"2:[20];0:[20];4:[10,20];9:[20];8:[20];6:[20];7:[20];5:[17];1:[20];3:[20]","c2:bw=10,experts=[20]; c0:bw=17,experts=[20]; c4:bw=20,experts=[10,20]; c9:bw=10,experts=[20]; c8:bw=10,experts=[20]; c6:bw=10,experts=[20]; c7:bw=15,experts=[20]; c5:bw=17,experts=[17]; c1:bw=10,experts=[20]; c3:bw=10,experts=[20]","4.3254,5.2847,7.4746,3.8864,5.8273,7.2947,4.9862,6.7497,4.6951,5.7650"
10,2026-09-25 04:45:52,Ours,0.01,2.5155049526619293,25.4,25.4,10,57.289,0:57.29,56.0837,0.136,1.0685,556.8768,9:16.88,10,"4,2,7,0,6,3,5,8,9,1",4:12;2:11;7:12;0:20;6:20;3:15;5:19;8:12;9:12;1:14,"4:[20];2:[20];7:[20];0:[17,20];6:[17,20];3:[20];5:[17];8:[20];9:[20];1:[20]","c4:bw=12,experts=[20]; c2:bw=11,experts=[20]; c7:bw=12,experts=[20]; c0:bw=20,experts=[17,20]; c6:bw=20,experts=[17,20]; c3:bw=15,experts=[20]; c5:bw=19,experts=[17]; c8:bw=12,experts=[20]; c9:bw=12,experts=[20]; c1:bw=14,experts=[20]","7.6565,4.2335,4.9955,5.0704,7.2368,5.5345,6.7296,5.8559,3.9574,4.8135"
