Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-25 19:37:27,Ours,0.00208,3.7976910450278405,2.41,2.41,1,76.4786,1:16.48,74.8506,0.191,1.435,76.4786,1:16.48,10,"8,1,5,0,7,2,9,4,3,6",8:50;1:26;5:40;0:2;7:18;2:26;9:41;4:36;3:46;6:37,"8:[1,4,6,13,26];1:[4,26];5:[4,6,13,26];0:[];7:[6];2:[4,26];9:[4,6,13,26];4:[4,6,26];3:[4,6,13,26];6:[4,6,26]","c8:bw=50,experts=[1,4,6,13,26]; c1:bw=26,experts=[4,26]; c5:bw=40,experts=[4,6,13,26]; c0:bw=2,experts=[]; c7:bw=18,experts=[6]; c2:bw=26,experts=[4,26]; c9:bw=41,experts=[4,6,13,26]; c4:bw=36,experts=[4,6,26]; c3:bw=46,experts=[4,6,13,26]; c6:bw=37,experts=[4,6,26]","8.8017,6.3312,8.9194,6.8687,6.9058,5.5610,4.9771,9.5943,7.3633,9.5281"
2,2026-09-25 19:38:42,Ours,0.00406,3.313697670987731,4.39,4.39,2,75.1659,1:15.17,73.5192,0.2059,1.4389,151.7603,2:31.76,10,"0,1,8,5,3,4,7,9,6,2",0:32;1:37;8:43;5:62;3:60;4:27;7:50;9:42;6:15;2:19,"0:[4,6,26];1:[4,6,26];8:[4,6,13,26];5:[0,4,5,6,13,26];3:[1,4,6,13,18,26];4:[4,6];7:[1,4,5,6,26];9:[0,4,6,26];6:[4];2:[4]","c0:bw=32,experts=[4,6,26]; c1:bw=37,experts=[4,6,26]; c8:bw=43,experts=[4,6,13,26]; c5:bw=62,experts=[0,4,5,6,13,26]; c3:bw=60,experts=[1,4,6,13,18,26]; c4:bw=27,experts=[4,6]; c7:bw=50,experts=[1,4,5,6,26]; c9:bw=42,experts=[0,4,6,26]; c6:bw=15,experts=[4]; c2:bw=19,experts=[4]","6.7081,6.2956,7.6047,8.9474,7.2303,9.7479,6.8217,5.2631,9.5791,5.3213"
3,2026-09-25 19:39:58,Ours,0.006040000000000001,3.199040308639566,6.25,6.25,3,75.3907,1:15.39,73.8025,0.194,1.3927,227.1662,3:47.17,10,"9,2,0,6,8,5,3,7,1,4",9:43;2:37;0:45;6:36;8:27;5:12;3:23;7:29;1:12;4:47,"9:[4,6,24,26];2:[4,6,26];0:[1,4,6,26];6:[4,6,13];8:[4,6];5:[4];3:[4,6];7:[4,6];1:[4];4:[4,6,13,26]","c9:bw=43,experts=[4,6,24,26]; c2:bw=37,experts=[4,6,26]; c0:bw=45,experts=[1,4,6,26]; c6:bw=36,experts=[4,6,13]; c8:bw=27,experts=[4,6]; c5:bw=12,experts=[4]; c3:bw=23,experts=[4,6]; c7:bw=29,experts=[4,6]; c1:bw=12,experts=[4]; c4:bw=47,experts=[4,6,13,26]","5.1053,5.4932,6.6993,9.5996,7.9793,9.1584,7.3699,6.5600,6.2062,9.6314"
4,2026-09-25 19:41:13,Ours,0.00802,3.1062579420640404,9.2,9.2,4,75.7245,1:15.72,74.0694,0.188,1.4654,302.9058,5:02.91,10,"1,7,6,2,8,0,3,4,5,9",1:36;7:40;6:48;2:54;8:28;0:53;3:30;4:50;5:66;9:19,"1:[4,6,26];7:[4,5,6,26];6:[4,6,13,26];2:[1,4,6,13,26];8:[4,6];0:[1,4,6,13,26];3:[4,6,26];4:[4,5,6,24,26];5:[1,4,6,10,24,26];9:[4]","c1:bw=36,experts=[4,6,26]; c7:bw=40,experts=[4,5,6,26]; c6:bw=48,experts=[4,6,13,26]; c2:bw=54,experts=[1,4,6,13,26]; c8:bw=28,experts=[4,6]; c0:bw=53,experts=[1,4,6,13,26]; c3:bw=30,experts=[4,6,26]; c4:bw=50,experts=[4,5,6,24,26]; c5:bw=66,experts=[1,4,6,10,24,26]; c9:bw=19,experts=[4]","6.2956,6.6836,9.6206,5.3616,7.6745,6.7938,7.4506,9.9410,9.0966,5.1514"
5,2026-09-25 19:42:28,Ours,0.01,3.014784347050086,11.21,11.21,5,74.6672,1:14.67,73.0718,0.1656,1.4283,377.5893,6:17.59,10,"1,5,4,8,0,7,6,3,2,9",1:18;5:36;4:44;8:33;0:45;7:22;6:48;3:57;2:6;9:56,"1:[4];5:[4,6,26];4:[4,6,18,26];8:[4,6,26];0:[4,6,24,26];7:[4,6];6:[4,6,24,26];3:[1,4,6,13,26];2:[];9:[1,4,5,6,26]","c1:bw=18,experts=[4]; c5:bw=36,experts=[4,6,26]; c4:bw=44,experts=[4,6,18,26]; c8:bw=33,experts=[4,6,26]; c0:bw=45,experts=[4,6,24,26]; c7:bw=22,experts=[4,6]; c6:bw=48,experts=[4,6,24,26]; c3:bw=57,experts=[1,4,6,13,26]; c2:bw=6,experts=[]; c9:bw=56,experts=[1,4,5,6,26]","6.1432,8.8075,9.6207,7.8142,6.9019,6.5481,9.5885,7.3855,5.4267,4.8355"
6,2026-09-25 19:43:42,Ours,0.01,2.8981492921690264,15.36,15.36,6,74.2326,1:14.23,72.6082,0.1951,1.4277,451.8388,7:31.84,10,"8,2,5,7,3,1,9,0,4,6",8:60;2:37;5:24;7:52;3:33;1:29;9:43;0:28;4:16;6:18,"8:[1,2,4,6,26,28];2:[4,6,26];5:[4,6];7:[1,4,6,24,26];3:[4,6,26];1:[4,6];9:[1,4,6,24];0:[4,6];4:[4];6:[4]","c8:bw=60,experts=[1,2,4,6,26,28]; c2:bw=37,experts=[4,6,26]; c5:bw=24,experts=[4,6]; c7:bw=52,experts=[1,4,6,24,26]; c3:bw=33,experts=[4,6,26]; c1:bw=29,experts=[4,6]; c9:bw=43,experts=[1,4,6,24]; c0:bw=28,experts=[4,6]; c4:bw=16,experts=[4]; c6:bw=18,experts=[4]","7.5156,5.3628,8.7327,6.3328,7.3273,6.0107,5.0559,6.7375,9.9241,9.6086"
7,2026-09-25 19:44:57,Ours,0.01,2.7768153449939637,17.58,17.58,7,74.78,1:14.78,73.2476,0.1901,1.3406,526.6366,8:46.64,10,"0,5,2,6,3,7,4,1,8,9",0:33;5:44;2:36;6:12;3:24;7:28;4:12;1:9;8:52;9:1,"0:[4,6,26];5:[4,6,10,26];2:[4,6,26];6:[4];3:[4,6];7:[4,6];4:[4];1:[];8:[0,4,5,6,26];9:[]","c0:bw=33,experts=[4,6,26]; c5:bw=44,experts=[4,6,10,26]; c2:bw=36,experts=[4,6,26]; c6:bw=12,experts=[4]; c3:bw=24,experts=[4,6]; c7:bw=28,experts=[4,6]; c4:bw=12,experts=[4]; c1:bw=9,experts=[]; c8:bw=52,experts=[0,4,5,6,26]; c9:bw=1,experts=[]","6.7196,8.8848,5.4861,9.6935,7.6353,6.5307,9.6992,6.2233,7.5623,4.8128"
8,2026-09-25 19:46:10,Ours,0.01,2.6850293809632033,18.42,18.42,8,72.5213,1:12.52,70.9892,0.1893,1.3412,599.175,9:59.18,10,"4,8,1,3,0,5,2,9,7,6",4:4;8:33;1:52;3:33;0:29;5:25;2:48;9:53;7:14;6:37,"4:[];8:[4,6,26];1:[0,4,6,26,28];3:[4,6,26];0:[4,6];5:[4,6];2:[1,4,6,26];9:[0,1,4,6,26];7:[4];6:[4,6,26]","c4:bw=4,experts=[]; c8:bw=33,experts=[4,6,26]; c1:bw=52,experts=[0,4,6,26,28]; c3:bw=33,experts=[4,6,26]; c0:bw=29,experts=[4,6]; c5:bw=25,experts=[4,6]; c2:bw=48,experts=[1,4,6,26]; c9:bw=53,experts=[0,1,4,6,26]; c7:bw=14,experts=[4]; c6:bw=37,experts=[4,6,26]","9.4791,7.5443,5.9246,7.0024,6.5216,8.6147,5.2680,4.9449,6.5623,9.1270"
9,2026-09-25 19:47:20,Ours,0.01,2.594092857693483,21.89,21.89,9,70.0291,1:10.03,68.5893,0.1703,1.2681,669.2226,11:09.22,10,"2,0,4,9,8,6,7,5,1,3",2:19;0:47;4:53;9:24;8:16;6:28;7:41;5:47;1:13;3:21,"2:[4];0:[0,4,6,26];4:[0,4,6,10,26];9:[4,6];8:[4];6:[4,6];7:[0,4,6,26];5:[4,6,13,26];1:[4];3:[4,6]","c2:bw=19,experts=[4]; c0:bw=47,experts=[0,4,6,26]; c4:bw=53,experts=[0,4,6,10,26]; c9:bw=24,experts=[4,6]; c8:bw=16,experts=[4]; c6:bw=28,experts=[4,6]; c7:bw=41,experts=[0,4,6,26]; c5:bw=47,experts=[4,6,13,26]; c1:bw=13,experts=[4]; c3:bw=21,experts=[4,6]","5.1122,6.2287,9.0110,4.7313,7.1784,9.0847,6.1954,8.3638,5.8232,6.8606"
10,2026-09-25 19:48:30,Ours,0.01,2.513473013672072,24.44,24.44,10,70.0732,1:10.07,68.5802,0.1775,1.3139,739.3115,12:19.31,10,"4,2,7,0,6,3,5,8,9,1",4:33;2:31;7:34;0:53;6:58;3:41;5:52;8:32;9:32;1:37,"4:[4,6,26];2:[4,6,26];7:[4,6,26];0:[4,6,10,13,26];6:[0,1,4,6,26];3:[0,4,6,26];5:[0,1,4,6,26];8:[4,6,26];9:[4,6,26];1:[4,6,26]","c4:bw=33,experts=[4,6,26]; c2:bw=31,experts=[4,6,26]; c7:bw=34,experts=[4,6,26]; c0:bw=53,experts=[4,6,10,13,26]; c6:bw=58,experts=[0,1,4,6,26]; c3:bw=41,experts=[0,4,6,26]; c5:bw=52,experts=[0,1,4,6,26]; c8:bw=32,experts=[4,6,26]; c9:bw=32,experts=[4,6,26]; c1:bw=37,experts=[4,6,26]","9.0590,5.1328,6.3212,6.2303,8.8119,6.8298,8.3666,7.1332,4.7783,5.9169"
