Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-25 19:36:58,Ours,0.00208,3.634240801551111,2.24,2.24,1,51.0096,0:51.01,49.9453,0.1308,0.9325,51.0096,0:51.01,10,"8,1,5,0,7,2,9,4,3,6",8:50;1:26;5:40;0:2;7:18;2:26;9:41;4:36;3:46;6:37,"8:[0,2,10,11,15];1:[17,23];5:[10,11,15,17];0:[];7:[11];2:[11,15];9:[0,11,15,30];4:[11,15,20];3:[10,17,20,30];6:[11,15,20]","c8:bw=50,experts=[0,2,10,11,15]; c1:bw=26,experts=[17,23]; c5:bw=40,experts=[10,11,15,17]; c0:bw=2,experts=[]; c7:bw=18,experts=[11]; c2:bw=26,experts=[11,15]; c9:bw=41,experts=[0,11,15,30]; c4:bw=36,experts=[11,15,20]; c3:bw=46,experts=[10,17,20,30]; c6:bw=37,experts=[11,15,20]","5.6384,4.1698,6.0190,4.5237,4.4678,3.7552,3.4120,6.5301,4.9747,6.4547"
2,2026-09-25 19:37:49,Ours,0.00406,3.215240090512374,4.31,4.31,2,50.3562,0:50.36,49.3025,0.1262,0.9264,101.5309,1:41.53,10,"0,1,8,5,3,4,7,9,6,2",0:32;1:37;8:43;5:62;3:60;4:27;7:50;9:42;6:15;2:19,"0:[10,11,15];1:[0,11,17];8:[0,10,11,15];5:[0,2,10,11,17,23];3:[0,10,11,15,17,20];4:[11,15];7:[0,10,11,15,20];9:[15,17,20,23];6:[20];2:[15]","c0:bw=32,experts=[10,11,15]; c1:bw=37,experts=[0,11,17]; c8:bw=43,experts=[0,10,11,15]; c5:bw=62,experts=[0,2,10,11,17,23]; c3:bw=60,experts=[0,10,11,15,17,20]; c4:bw=27,experts=[11,15]; c7:bw=50,experts=[0,10,11,15,20]; c9:bw=42,experts=[15,17,20,23]; c6:bw=15,experts=[20]; c2:bw=19,experts=[15]","4.4976,4.1658,5.1550,5.9908,4.9428,6.5593,4.4703,3.4334,6.4393,3.6483"
3,2026-09-25 19:38:42,Ours,0.006040000000000001,3.0874611964030167,8.34,8.34,3,52.8974,0:52.90,51.7507,0.1444,0.9992,154.4431,2:34.44,10,"9,2,0,6,8,5,3,7,1,4",9:43;2:37;0:45;6:36;8:27;5:12;3:23;7:29;1:12;4:47,"9:[11,15,17,20];2:[11,15,20];0:[11,15,17,20];6:[10,11,20];8:[11,15];5:[17];3:[11,20];7:[15,20];1:[17];4:[11,15,17,20]","c9:bw=43,experts=[11,15,17,20]; c2:bw=37,experts=[11,15,20]; c0:bw=45,experts=[11,15,17,20]; c6:bw=36,experts=[10,11,20]; c8:bw=27,experts=[11,15]; c5:bw=12,experts=[17]; c3:bw=23,experts=[11,20]; c7:bw=29,experts=[15,20]; c1:bw=12,experts=[17]; c4:bw=47,experts=[11,15,17,20]","3.4383,3.6651,4.5232,6.4608,5.1612,6.1877,5.5465,4.9495,4.5862,7.2322"
4,2026-09-25 19:39:37,Ours,0.00802,3.0030246924776884,9.74,9.74,4,55.6771,0:55.68,54.5548,0.1433,0.978,210.1364,3:30.14,10,"1,7,6,2,8,0,3,4,5,9",1:36;7:40;6:48;2:54;8:28;0:53;3:30;4:50;5:66;9:19,"1:[11,15,17];7:[0,11,15,20];6:[0,11,20,23];2:[0,10,11,15,17];8:[11,15];0:[0,10,11,15,17];3:[11,17,20];4:[0,10,11,15,17];5:[0,2,3,10,11,17];9:[15]","c1:bw=36,experts=[11,15,17]; c7:bw=40,experts=[0,11,15,20]; c6:bw=48,experts=[0,11,20,23]; c2:bw=54,experts=[0,10,11,15,17]; c8:bw=28,experts=[11,15]; c0:bw=53,experts=[0,10,11,15,17]; c3:bw=30,experts=[11,17,20]; c4:bw=50,experts=[0,10,11,15,17]; c5:bw=66,experts=[0,2,3,10,11,17]; c9:bw=19,experts=[15]","4.6141,4.9285,7.1284,4.0268,5.6763,4.9637,5.4976,7.2714,6.6809,3.7672"
5,2026-09-25 19:40:33,Ours,0.01,2.921608709288712,11.62,11.62,5,55.4768,0:55.48,54.3451,0.1386,0.9898,265.6282,4:25.63,10,"1,5,4,8,0,7,6,3,2,9",1:18;5:36;4:44;8:33;0:45;7:22;6:48;3:57;2:6;9:56,"1:[17];5:[11,17,20];4:[11,15,17,20];8:[15,17,20];0:[11,15,17,20];7:[15,20];6:[11,15,17,20];3:[11,15,17,20,29];2:[];9:[10,11,15,17,20]","c1:bw=18,experts=[17]; c5:bw=36,experts=[11,17,20]; c4:bw=44,experts=[11,15,17,20]; c8:bw=33,experts=[15,17,20]; c0:bw=45,experts=[11,15,17,20]; c7:bw=22,experts=[15,20]; c6:bw=48,experts=[11,15,17,20]; c3:bw=57,experts=[11,15,17,20,29]; c2:bw=6,experts=[]; c9:bw=56,experts=[10,11,15,17,20]","4.5918,6.6019,7.1396,5.6548,4.9968,4.9035,7.1317,5.4992,4.0432,3.7826"
6,2026-09-25 19:41:29,Ours,0.01,2.8289023109482794,16.32,16.32,6,55.5999,0:55.60,54.4705,0.143,0.9854,321.2434,5:21.24,10,"8,2,5,7,3,1,9,0,4,6",8:60;2:37;5:24;7:52;3:33;1:29;9:43;0:28;4:16;6:18,"8:[0,10,11,15,20,30];2:[11,15,20];5:[17,20];7:[0,2,11,15,20];3:[15,17,20];1:[15,17];9:[11,15,17,20];0:[15,20];4:[15];6:[15]","c8:bw=60,experts=[0,10,11,15,20,30]; c2:bw=37,experts=[11,15,20]; c5:bw=24,experts=[17,20]; c7:bw=52,experts=[0,2,11,15,20]; c3:bw=33,experts=[15,17,20]; c1:bw=29,experts=[15,17]; c9:bw=43,experts=[11,15,17,20]; c0:bw=28,experts=[15,20]; c4:bw=16,experts=[15]; c6:bw=18,experts=[15]","5.6853,4.0384,6.6210,4.9017,5.4763,4.6112,3.7708,4.9905,7.2276,7.1476"
7,2026-09-25 19:42:24,Ours,0.01,2.7338925367842397,18.29,18.29,7,55.5294,0:55.53,54.389,0.1361,1.0004,376.7871,6:16.79,10,"0,5,2,6,3,7,4,1,8,9",0:33;5:44;2:36;6:12;3:24;7:28;4:12;1:9;8:52;9:1,"0:[15,17,20];5:[11,15,17,20];2:[15,17,20];6:[15];3:[15,17];7:[15,17];4:[15];1:[];8:[10,11,15,17,20];9:[]","c0:bw=33,experts=[15,17,20]; c5:bw=44,experts=[11,15,17,20]; c2:bw=36,experts=[15,17,20]; c6:bw=12,experts=[15]; c3:bw=24,experts=[15,17]; c7:bw=28,experts=[15,17]; c4:bw=12,experts=[15]; c1:bw=9,experts=[]; c8:bw=52,experts=[10,11,15,17,20]; c9:bw=1,experts=[]","4.9361,6.6288,3.9972,7.0915,5.4619,4.9207,7.1863,4.6283,5.7120,3.8262"
8,2026-09-25 19:43:20,Ours,0.01,2.6511544933956386,22.03,22.03,8,56.1343,0:56.13,54.969,0.1313,1.033,432.937,7:12.94,10,"4,8,1,3,0,5,2,9,7,6",4:4;8:33;1:52;3:33;0:29;5:25;2:48;9:53;7:14;6:37,"4:[];8:[15,17,20];1:[0,11,15,17,20];3:[15,17,20];0:[15,17];5:[17,20];2:[11,15,17,20];9:[0,11,15,17,20];7:[15];6:[15,17,20]","c4:bw=4,experts=[]; c8:bw=33,experts=[15,17,20]; c1:bw=52,experts=[0,11,15,17,20]; c3:bw=33,experts=[15,17,20]; c0:bw=29,experts=[15,17]; c5:bw=25,experts=[17,20]; c2:bw=48,experts=[11,15,17,20]; c9:bw=53,experts=[0,11,15,17,20]; c7:bw=14,experts=[15]; c6:bw=37,experts=[15,17,20]","7.2570,5.7158,4.6016,5.4923,5.0447,6.6976,4.1664,3.7874,4.9939,7.2120"
9,2026-09-25 19:44:16,Ours,0.01,2.5783193165501768,23.86,23.86,9,55.5253,0:55.53,54.4077,0.1275,0.9856,488.476,8:08.48,10,"2,0,4,9,8,6,7,5,1,3",2:19;0:47;4:53;9:24;8:16;6:28;7:41;5:47;1:13;3:21,"2:[15];0:[11,15,17,20];4:[0,11,15,17,20];9:[15,17];8:[15];6:[15,20];7:[11,15,17,20];5:[2,11,17,20];1:[15];3:[15,17]","c2:bw=19,experts=[15]; c0:bw=47,experts=[11,15,17,20]; c4:bw=53,experts=[0,11,15,17,20]; c9:bw=24,experts=[15,17]; c8:bw=16,experts=[15]; c6:bw=28,experts=[15,20]; c7:bw=41,experts=[11,15,17,20]; c5:bw=47,experts=[2,11,17,20]; c1:bw=13,experts=[15]; c3:bw=21,experts=[15,17]","4.0144,5.0206,7.2360,3.7417,5.6897,7.0944,4.9108,6.6332,4.6018,5.4650"
10,2026-09-25 19:45:10,Ours,0.01,2.5185007855974253,26.11,26.11,10,54.5423,0:54.54,53.4933,0.1308,0.9173,543.0348,9:03.03,10,"4,2,7,0,6,3,5,8,9,1",4:33;2:31;7:34;0:53;6:58;3:41;5:52;8:32;9:32;1:37,"4:[15,17,20];2:[15,17,20];7:[15,17,20];0:[10,11,15,17,20];6:[0,11,15,17,20];3:[11,15,17,20];5:[0,2,11,17,20];8:[15,17,20];9:[15,17,20];1:[15,17,20]","c4:bw=33,experts=[15,17,20]; c2:bw=31,experts=[15,17,20]; c7:bw=34,experts=[15,17,20]; c0:bw=53,experts=[10,11,15,17,20]; c6:bw=58,experts=[0,11,15,17,20]; c3:bw=41,experts=[11,15,17,20]; c5:bw=52,experts=[0,2,11,17,20]; c8:bw=32,experts=[15,17,20]; c9:bw=32,experts=[15,17,20]; c1:bw=37,experts=[15,17,20]","7.2113,4.0314,4.9258,4.9886,7.1147,5.4811,6.5872,5.5648,3.4061,4.1824"
