Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
1,8,2,327,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1,264,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,2,384,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,0,1,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,7,1,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,2,1,229,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,9,2,214,3421,16,0,1.0,0.0,1.0,0.0,1.0,1.0
1,4,1,417,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,3,2,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,6,1,412,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
2,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
2,8,2,327,5219,16,1,1.0,1.0,1.0,1.0,1.0,1.0
2,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
2,7,2,282,4512,16,1,1.0,1.0,1.0,1.0,1.0,1.0
2,9,2,214,3421,16,1,1.0,1.0,1.0,1.0,1.0,1.0
2,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
2,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,9,2,214,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
3,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,0,2,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
3,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,4,2,417,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
4,7,2,282,4512,12,1,1.0,1.0,1.0,1.0,1.0,1.0
4,6,2,412,6582,12,1,1.0,1.0,1.0,1.0,1.0,1.0
4,2,2,229,3656,12,1,1.0,1.0,1.0,1.0,1.0,1.0
4,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
4,0,2,286,4573,11,1,1.0,1.0,1.0,1.0,1.0,1.0
4,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
4,4,2,417,6664,11,1,1.0,1.0,1.0,1.0,1.0,1.0
4,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,4,2,417,6664,7,1,1.0,1.0,1.0,1.0,1.0,1.0
5,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,0,2,286,4573,6,1,1.0,1.0,1.0,1.0,1.0,1.0
5,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,6,2,412,6582,7,1,1.0,1.0,1.0,1.0,1.0,1.0
5,3,2,314,5018,6,1,1.0,1.0,1.0,1.0,1.0,1.0
5,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,9,2,214,3421,6,1,1.0,1.0,1.0,1.0,1.0,1.0
6,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,7,2,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
6,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,9,2,214,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,5,2,384,6137,6,1,1.0,1.0,1.0,1.0,1.0,1.0
7,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,8,2,327,5219,6,1,1.0,1.0,1.0,1.0,1.0,1.0
7,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,1,2,264,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
8,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,2,2,229,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
8,9,2,214,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
8,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,0,2,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
9,4,2,417,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
9,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,7,2,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
9,5,2,384,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
9,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
10,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
10,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
10,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
10,0,2,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,6,2,412,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,3,2,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,5,2,384,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
10,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
10,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,3,2,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,6,2,412,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,5,2,384,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
12,2,2,229,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
12,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,8,2,327,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
12,0,2,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,1,2,264,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,7,2,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,2,2,229,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,5,2,384,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,3,2,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,7,2,282,4512,9,1,1.0,1.0,1.0,1.0,1.0,1.0
15,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,8,2,327,5219,9,1,1.0,1.0,1.0,1.0,1.0,1.0
15,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,2,2,229,3656,8,1,1.0,1.0,1.0,1.0,1.0,1.0
15,4,2,417,6664,9,1,1.0,1.0,1.0,1.0,1.0,1.0
15,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,8,2,327,5219,11,1,1.0,1.0,1.0,1.0,1.0,1.0
16,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,0,2,286,4573,14,1,1.0,1.0,1.0,1.0,1.0,1.0
16,2,2,229,3656,11,1,1.0,1.0,1.0,1.0,1.0,1.0
17,4,2,417,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
17,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,3,2,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
17,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,7,2,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,4,2,417,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,0,2,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
19,8,2,327,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
19,4,2,417,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,1,2,264,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
19,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
19,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
19,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
19,6,2,412,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
