Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
1,1,2,264,4218,16,0,1.0,0.0,0.0,0.0,0.0,1.0
1,0,1,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,7,2,282,4512,16,0,1.0,0.0,1.0,0.0,0.0,1.0
1,2,2,229,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,3,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
2,4,3,417,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
2,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
2,2,2,229,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,3,327,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
3,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,3,2,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
3,7,3,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
3,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
4,8,3,327,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
4,3,3,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
4,9,2,214,3421,16,0,1.0,1.0,0.0,1.0,1.0,1.0
5,1,2,264,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
5,8,3,327,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
5,7,2,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
5,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,5,2,384,6137,16,0,1.0,0.0,0.0,0.0,1.0,1.0
6,3,3,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
6,1,3,264,4218,16,0,1.0,1.0,1.0,0.0,1.0,1.0
6,0,3,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
6,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,6,2,412,6582,16,0,0.0,0.0,0.0,1.0,0.0,0.0
7,0,3,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
7,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,3,2,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
7,7,3,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,8,3,327,5219,16,0,1.0,0.0,1.0,1.0,1.0,1.0
8,3,3,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,3,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
8,5,2,384,6137,16,0,1.0,0.0,1.0,1.0,1.0,1.0
8,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,2,2,229,3656,16,0,1.0,0.0,1.0,1.0,1.0,1.0
9,9,2,214,3421,16,0,1.0,0.0,0.0,0.0,1.0,1.0
9,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,6,3,412,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
9,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,3,2,314,5018,16,0,1.0,0.0,0.0,0.0,1.0,1.0
10,4,3,417,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,3,229,3656,16,0,1.0,1.0,0.0,1.0,1.0,1.0
10,7,3,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,8,3,327,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
10,9,3,214,3421,16,0,1.0,0.0,0.0,0.0,0.0,1.0
11,5,2,384,6137,16,0,1.0,1.0,0.0,1.0,1.0,1.0
11,2,2,229,3656,16,0,1.0,0.0,0.0,1.0,1.0,1.0
11,0,2,286,4573,16,0,1.0,0.0,0.0,1.0,1.0,1.0
11,8,3,327,5219,16,0,1.0,0.0,1.0,0.0,0.0,1.0
11,9,3,214,3421,16,0,1.0,0.0,1.0,1.0,1.0,1.0
11,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,4,2,417,6664,16,0,1.0,0.0,0.0,1.0,1.0,1.0
12,3,3,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
12,7,3,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
12,6,2,412,6582,16,0,1.0,1.0,0.0,1.0,1.0,1.0
13,3,3,314,5018,16,0,0.0,0.0,1.0,1.0,1.0,0.0
13,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,5,2,384,6137,16,0,1.0,1.0,1.0,0.0,1.0,1.0
13,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,6,3,412,6582,16,0,0.0,0.0,0.0,1.0,0.0,0.0
13,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,0,2,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,1,3,264,4218,16,0,1.0,0.0,1.0,1.0,1.0,1.0
14,7,2,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,0,2,286,4573,16,0,1.0,0.0,0.0,0.0,1.0,1.0
14,9,3,214,3421,16,0,1.0,0.0,1.0,1.0,1.0,1.0
14,8,2,327,5219,16,0,0.0,0.0,0.0,1.0,0.0,0.0
15,0,2,286,4573,16,0,1.0,0.0,1.0,1.0,1.0,1.0
15,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,6,3,412,6582,16,0,1.0,0.0,0.0,0.0,0.0,1.0
16,1,2,264,4218,16,0,1.0,1.0,1.0,1.0,0.0,1.0
16,7,2,282,4512,16,0,1.0,0.0,1.0,1.0,0.0,1.0
16,4,3,417,6664,16,0,0.0,0.0,0.0,0.0,0.0,0.0
16,9,2,214,3421,16,0,1.0,0.0,1.0,0.0,1.0,1.0
17,7,2,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
17,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,1,2,264,4218,16,0,1.0,1.0,0.0,0.0,0.0,1.0
17,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,9,3,214,3421,16,0,0.0,0.0,1.0,1.0,0.0,0.0
17,6,3,412,6582,16,0,1.0,0.0,1.0,1.0,1.0,1.0
18,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,5,3,384,6137,16,0,1.0,1.0,0.0,0.0,1.0,1.0
18,2,3,229,3656,16,0,1.0,0.0,0.0,0.0,0.0,1.0
18,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,3,3,314,5018,16,0,1.0,0.0,0.0,0.0,1.0,1.0
18,6,3,412,6582,16,0,0.0,1.0,0.0,0.0,0.0,0.0
19,9,3,214,3421,16,0,1.0,0.0,1.0,1.0,1.0,1.0
19,5,2,384,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,7,2,282,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,0,2,286,4573,16,0,1.0,1.0,1.0,0.0,1.0,1.0
20,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,2,3,229,3656,16,0,1.0,0.0,0.0,0.0,1.0,1.0
21,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,5,3,384,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
21,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,9,2,214,3421,16,0,1.0,0.0,0.0,0.0,1.0,1.0
22,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,9,3,214,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
22,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,5,1,384,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,4,3,417,6664,16,0,1.0,0.0,1.0,1.0,1.0,1.0
22,8,3,327,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
23,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,8,3,327,5219,16,0,1.0,1.0,1.0,1.0,0.0,1.0
23,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,2,3,229,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
23,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,6,3,412,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
24,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,7,1,282,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,1,1,264,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,5,2,384,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
24,8,1,327,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,0,3,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
25,6,1,412,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,3,1,314,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
26,6,3,412,6582,16,0,1.0,0.0,0.0,0.0,1.0,1.0
26,7,3,282,4512,16,0,1.0,0.0,0.0,1.0,1.0,1.0
26,1,3,264,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
26,5,2,384,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
26,2,3,229,3656,16,0,1.0,0.0,1.0,1.0,1.0,1.0
26,0,1,286,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,4,1,417,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,0,3,286,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
27,9,1,214,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,2,2,229,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
27,3,2,314,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
27,5,3,384,6137,16,0,1.0,1.0,0.0,1.0,1.0,1.0
28,6,2,412,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
28,8,2,327,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
28,2,1,229,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,5,3,384,6137,16,0,1.0,0.0,1.0,1.0,1.0,1.0
28,1,2,264,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
