Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
1,0,1,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,7,3,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
2,6,3,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
3,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
3,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
5,1,3,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
5,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,4,3,105,6664,16,0,1.0,0.0,1.0,1.0,1.0,1.0
6,6,3,103,6582,16,0,1.0,0.0,0.0,0.0,1.0,1.0
7,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,2,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
7,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
9,8,3,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
9,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
11,4,3,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
13,2,3,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
14,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
14,8,3,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
15,0,3,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
15,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
15,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
15,5,3,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
15,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
17,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,0,2,72,4573,16,0,0.0,1.0,1.0,0.0,0.0,0.0
17,2,3,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,2,2,58,3656,16,0,1.0,1.0,1.0,0.0,1.0,1.0
20,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
20,3,3,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
20,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
21,8,3,82,5219,16,0,1.0,0.0,0.0,1.0,1.0,1.0
21,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
22,7,3,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
22,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,5,3,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
23,7,2,71,4512,16,0,1.0,0.0,1.0,0.0,1.0,1.0
23,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
23,0,2,72,4573,16,0,1.0,0.0,1.0,1.0,1.0,1.0
24,4,2,105,6664,16,0,0.0,0.0,0.0,0.0,0.0,0.0
24,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,8,3,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
24,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,6,3,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
25,3,2,79,5018,16,0,1.0,0.0,0.0,1.0,1.0,1.0
25,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
26,5,3,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
26,0,2,72,4573,16,0,1.0,0.0,0.0,1.0,1.0,1.0
27,4,2,105,6664,16,0,0.0,0.0,0.0,0.0,1.0,0.0
27,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
27,2,3,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
28,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
