Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
1,1,1,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,0,1,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,7,1,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,2,1,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,2,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
1,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,2,72,4573,2,1,1.0,1.0,1.0,1.0,1.0,1.0
2,1,2,66,4218,2,1,1.0,1.0,1.0,1.0,1.0,1.0
2,8,2,82,5219,2,1,1.0,1.0,1.0,1.0,1.0,1.0
2,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
2,9,2,54,3421,2,1,1.0,1.0,1.0,1.0,1.0,1.0
2,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
2,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,9,2,54,3421,2,1,1.0,1.0,1.0,1.0,1.0,1.0
3,2,2,58,3656,2,1,1.0,1.0,1.0,1.0,1.0,1.0
3,0,2,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,6,2,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
3,4,2,105,6664,2,1,1.0,1.0,1.0,1.0,1.0,1.0
4,1,2,66,4218,4,1,1.0,1.0,1.0,1.0,1.0,1.0
4,7,2,71,4512,4,1,1.0,1.0,1.0,1.0,1.0,1.0
4,6,2,103,6582,4,1,1.0,1.0,1.0,1.0,1.0,1.0
4,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
4,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
4,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,5,2,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,4,2,105,6664,2,1,1.0,1.0,1.0,1.0,1.0,1.0
5,8,2,82,5219,2,1,1.0,1.0,1.0,1.0,1.0,1.0
5,0,2,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,6,2,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
5,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
6,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
6,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
7,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
7,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
7,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
8,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
